tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P
5011807,37200.0,37278.0,37375.0,37495.0,37512.0,37536.0,37564.0,37615.0,37720.0,37771.0,37789.0,37826.0,37941.0,38015.0,38052.0,38104.0,38175.0,38225.0,38300.0,38345.0,38414.0,38441.0,38544.0,38611.0,38638.0,38681.0,38723.0,38793.0,38844.0,38940.0,38965.0,39017.0,39038.0,39082.0,39123.0,39171.0,39237.0,39284.0,39328.0,39402.0,39450.0,39489.0,39541.0,39595.0,39780.0,40004.0,40163.0,40275.0,40354.0,40505.0,40581.0,40665.0,40862.0,40898.0,40938.0,41057.0,41109.0,41132.0,41178.0,41229.0,41282.0,41335.0,41367.0,41432.0,41468.0,41519.0
5013507,27600.0,27659.0,27733.0,27825.0,27845.0,27874.0,27907.0,27966.0,28125.0,28189.0,28209.0,28251.0,28384.0,28471.0,28524.0,28598.0,28700.0,28755.0,28837.0,28894.0,28981.0,29009.0,29128.0,29205.0,29238.0,29297.0,29372.0,29479.0,29545.0,29668.0,29693.0,29761.0,29789.0,29846.0,29899.0,29962.0,30048.0,30114.0,30162.0,30244.0,30315.0,30373.0,30451.0,30531.0,30750.0,31056.0,31274.0,31428.0,31536.0,31744.0,31817.0,31898.0,32086.0,32130.0,32169.0,32285.0,32324.0,32342.0,32393.0,32449.0,32507.0,32566.0,32601.0,32672.0,32712.0,32769.0
5013509,57360.0,57440.0,57539.0,57662.0,57683.0,57713.0,57747.0,57817.0,57961.0,58001.0,58018.0,58062.0,58199.0,58288.0,58330.0,58388.0,58468.0,58513.0,58582.0,58623.0,58684.0,58711.0,58805.0,58866.0,58891.0,58941.0,58981.0,59072.0,59145.0,59282.0,59308.0,59365.0,59388.0,59436.0,59511.0,59599.0,59719.0,59775.0,59821.0,59900.0,59956.0,60002.0,60063.0,60125.0,60349.0,60594.0,60768.0,60891.0,60978.0,61144.0,61238.0,61342.0,61584.0,61635.0,61700.0,61896.0,61961.0,61990.0,62075.0,62169.0,62233.0,62298.0,62337.0,62416.0,62460.0,62524.0
5015443,30480.0,30539.0,30613.0,30705.0,30725.0,30754.0,30787.0,30846.0,31005.0,31069.0,31089.0,31131.0,31264.0,31351.0,31404.0,31478.0,31580.0,31635.0,31717.0,31774.0,31861.0,31889.0,32008.0,32085.0,32118.0,32177.0,32252.0,32359.0,32425.0,32548.0,32573.0,32641.0,32669.0,32726.0,32779.0,32842.0,32928.0,32994.0,33042.0,33124.0,33195.0,33253.0,33331.0,33411.0,33630.0,33936.0,34154.0,34308.0,34416.0,34624.0,34697.0,34778.0,34966.0,35010.0,35049.0,35165.0,35204.0,35222.0,35273.0,35329.0,35387.0,35446.0,35481.0,35552.0,35592.0,35649.0
5015449,64560.0,64627.0,64711.0,64815.0,64837.0,64869.0,64905.0,64958.0,65056.0,65107.0,65126.0,65171.0,65312.0,65404.0,65435.0,65478.0,65538.0,65596.0,65684.0,65714.0,65759.0,65787.0,65891.0,65958.0,65986.0,66031.0,66056.0,66136.0,66197.0,66311.0,66341.0,66389.0,66409.0,66449.0,66486.0,66529.0,66587.0,66637.0,66675.0,66739.0,66786.0,66824.0,66875.0,66928.0,67088.0,67278.0,67413.0,67508.0,67575.0,67704.0,67792.0,67890.0,68119.0,68162.0,68207.0,68342.0,68398.0,68423.0,68464.0,68509.0,68560.0,68611.0,68642.0,68705.0,68740.0,68789.0
5015993,24720.0,24776.0,24846.0,24933.0,24949.0,24972.0,24997.0,25039.0,25141.0,25181.0,25196.0,25225.0,25315.0,25373.0,25420.0,25485.0,25573.0,25636.0,25731.0,25784.0,25864.0,25907.0,26021.0,26095.0,26125.0,26189.0,26248.0,26343.0,26402.0,26512.0,26550.0,26615.0,26642.0,26696.0,26747.0,26808.0,26890.0,26952.0,26999.0,27079.0,27140.0,27190.0,27256.0,27324.0,27499.0,27694.0,27832.0,27930.0,27999.0,28130.0,28202.0,28282.0,28468.0,28512.0,28552.0,28670.0,28721.0,28744.0,28794.0,28848.0,28901.0,28955.0,28987.0,29052.0,29088.0,29141.0
5016512,23760.0,23816.0,23886.0,23973.0,23989.0,24012.0,24037.0,24079.0,24181.0,24221.0,24236.0,24265.0,24355.0,24413.0,24460.0,24525.0,24613.0,24676.0,24771.0,24824.0,24904.0,24947.0,25061.0,25135.0,25165.0,25229.0,25288.0,25383.0,25442.0,25552.0,25590.0,25655.0,25682.0,25736.0,25787.0,25848.0,25930.0,25992.0,26039.0,26119.0,26180.0,26230.0,26296.0,26364.0,26539.0,26734.0,26872.0,26970.0,27039.0,27170.0,27242.0,27322.0,27508.0,27552.0,27592.0,27710.0,27761.0,27784.0,27834.0,27888.0,27941.0,27995.0,28027.0,28092.0,28128.0,28181.0
5016983,35280.0,35358.0,35455.0,35575.0,35592.0,35616.0,35644.0,35695.0,35800.0,35851.0,35869.0,35906.0,36021.0,36095.0,36132.0,36184.0,36255.0,36305.0,36380.0,36425.0,36494.0,36521.0,36624.0,36691.0,36718.0,36761.0,36803.0,36873.0,36924.0,37020.0,37045.0,37097.0,37118.0,37162.0,37203.0,37251.0,37317.0,37364.0,37408.0,37482.0,37530.0,37569.0,37621.0,37675.0,37860.0,38084.0,38243.0,38355.0,38434.0,38585.0,38661.0,38745.0,38942.0,38978.0,39018.0,39137.0,39189.0,39212.0,39258.0,39309.0,39362.0,39415.0,39447.0,39512.0,39548.0,39599.0
5019401,28560.0,28619.0,28693.0,28785.0,28805.0,28834.0,28867.0,28926.0,29085.0,29149.0,29169.0,29211.0,29344.0,29431.0,29484.0,29558.0,29660.0,29715.0,29797.0,29854.0,29941.0,29969.0,30088.0,30165.0,30198.0,30257.0,30332.0,30439.0,30505.0,30628.0,30653.0,30721.0,30749.0,30806.0,30859.0,30922.0,31008.0,31074.0,31122.0,31204.0,31275.0,31333.0,31411.0,31491.0,31710.0,32016.0,32234.0,32388.0,32496.0,32704.0,32777.0,32858.0,33046.0,33090.0,33129.0,33245.0,33284.0,33302.0,33353.0,33409.0,33467.0,33526.0,33561.0,33632.0,33672.0,33729.0
5019551,29520.0,29579.0,29653.0,29745.0,29765.0,29794.0,29827.0,29886.0,30045.0,30109.0,30129.0,30171.0,30304.0,30391.0,30444.0,30518.0,30620.0,30675.0,30757.0,30814.0,30901.0,30929.0,31048.0,31125.0,31158.0,31217.0,31292.0,31399.0,31465.0,31588.0,31613.0,31681.0,31709.0,31766.0,31819.0,31882.0,31968.0,32034.0,32082.0,32164.0,32235.0,32293.0,32371.0,32451.0,32670.0,32976.0,33194.0,33348.0,33456.0,33664.0,33737.0,33818.0,34006.0,34050.0,34089.0,34205.0,34244.0,34262.0,34313.0,34369.0,34427.0,34486.0,34521.0,34592.0,34632.0,34689.0
