tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P
5089737,36900.0,37003.0,37042.0,37080.0,37121.0,37147.0,37274.0,37310.0,37360.0,37407.0,37437.0,37508.0,37545.0,37584.0,37610.0,37639.0,37692.0,37721.0,37785.0,37837.0,37941.0,37985.0,38035.0,38070.0,38097.0,38128.0,38172.0,38236.0,38258.0,38297.0,38324.0,38365.0,38401.0,38425.0,38464.0,38531.0,38562.0,38611.0,38661.0,38695.0,38709.0,38758.0,38796.0,38837.0,38888.0,38937.0,38980.0,39062.0,39156.0,39317.0,39427.0,39651.0,39702.0,39892.0,39976.0,40069.0,40150.0,40195.0,40243.0,40360.0
5089739,46800.0,46907.0,46947.0,46987.0,47028.0,47055.0,47187.0,47226.0,47280.0,47331.0,47363.0,47433.0,47470.0,47508.0,47533.0,47562.0,47615.0,47644.0,47706.0,47759.0,47847.0,47895.0,47950.0,47989.0,48013.0,48040.0,48080.0,48152.0,48178.0,48224.0,48249.0,48287.0,48324.0,48350.0,48389.0,48454.0,48485.0,48534.0,48583.0,48617.0,48632.0,48677.0,48711.0,48749.0,48805.0,48860.0,48897.0,48969.0,49053.0,49176.0,49260.0,49432.0,49471.0,49670.0,49765.0,49871.0,49952.0,49996.0,50042.0,50156.0
5090448,29700.0,29845.0,29899.0,29953.0,30011.0,30064.0,30323.0,30366.0,30426.0,30483.0,30519.0,30598.0,30639.0,30682.0,30711.0,30743.0,30802.0,30835.0,30906.0,30982.0,31075.0,31126.0,31185.0,31227.0,31254.0,31284.0,31327.0,31395.0,31415.0,31450.0,31478.0,31522.0,31574.0,31609.0,31649.0,31716.0,31747.0,31797.0,31848.0,31882.0,31897.0,31948.0,31987.0,32029.0,32096.0,32161.0,32214.0,32316.0,32433.0,32659.0,32813.0,33128.0,33201.0,33505.0,33597.0,33700.0,33803.0,33860.0,33901.0,34003.0
5090449,44100.0,44207.0,44247.0,44287.0,44328.0,44355.0,44487.0,44526.0,44580.0,44631.0,44663.0,44733.0,44770.0,44808.0,44833.0,44862.0,44915.0,44944.0,45006.0,45059.0,45147.0,45195.0,45250.0,45289.0,45313.0,45340.0,45380.0,45452.0,45478.0,45524.0,45549.0,45587.0,45624.0,45650.0,45689.0,45754.0,45785.0,45834.0,45883.0,45917.0,45932.0,45977.0,46011.0,46049.0,46105.0,46160.0,46197.0,46269.0,46353.0,46476.0,46560.0,46732.0,46771.0,46970.0,47065.0,47171.0,47252.0,47296.0,47342.0,47456.0
5090455,75600.0,75689.0,75722.0,75755.0,75790.0,75812.0,75922.0,75952.0,75993.0,76032.0,76057.0,76117.0,76148.0,76181.0,76203.0,76228.0,76273.0,76298.0,76352.0,76397.0,76463.0,76497.0,76536.0,76564.0,76587.0,76613.0,76649.0,76708.0,76723.0,76749.0,76769.0,76799.0,76824.0,76842.0,76869.0,76916.0,76940.0,76978.0,77017.0,77046.0,77059.0,77088.0,77110.0,77134.0,77175.0,77214.0,77242.0,77296.0,77359.0,77429.0,77477.0,77575.0,77598.0,77753.0,77817.0,77889.0,77945.0,77976.0,78016.0,78116.0
5091054,34200.0,34299.0,34336.0,34373.0,34411.0,34435.0,34555.0,34591.0,34641.0,34688.0,34718.0,34783.0,34817.0,34852.0,34875.0,34902.0,34951.0,34978.0,35035.0,35078.0,35158.0,35202.0,35253.0,35289.0,35313.0,35341.0,35381.0,35444.0,35458.0,35484.0,35509.0,35547.0,35580.0,35602.0,35630.0,35678.0,35709.0,35758.0,35808.0,35837.0,35849.0,35886.0,35914.0,35945.0,35986.0,36026.0,36061.0,36128.0,36205.0,36297.0,36360.0,36488.0,36518.0,36657.0,36729.0,36810.0,36871.0,36905.0,36939.0,37024.0
5091060,28080.0,28194.0,28237.0,28279.0,28324.0,28361.0,28544.0,28585.0,28642.0,28697.0,28733.0,28815.0,28858.0,28902.0,28932.0,28966.0,29028.0,29062.0,29134.0,29226.0,29346.0,29402.0,29466.0,29511.0,29544.0,29581.0,29634.0,29724.0,29750.0,29796.0,29829.0,29880.0,29927.0,29959.0,30005.0,30084.0,30123.0,30184.0,30246.0,30290.0,30309.0,30376.0,30427.0,30482.0,30575.0,30665.0,30725.0,30841.0,30974.0,31186.0,31330.0,31625.0,31692.0,31988.0,32086.0,32195.0,32326.0,32398.0,32453.0,32588.0
5091066,45000.0,45099.0,45136.0,45173.0,45211.0,45235.0,45355.0,45391.0,45441.0,45488.0,45518.0,45583.0,45617.0,45652.0,45675.0,45702.0,45751.0,45778.0,45835.0,45878.0,45958.0,46002.0,46053.0,46089.0,46113.0,46141.0,46181.0,46244.0,46258.0,46284.0,46309.0,46347.0,46380.0,46402.0,46430.0,46478.0,46509.0,46558.0,46608.0,46637.0,46649.0,46686.0,46714.0,46745.0,46786.0,46826.0,46861.0,46928.0,47005.0,47097.0,47160.0,47288.0,47318.0,47457.0,47529.0,47610.0,47671.0,47705.0,47739.0,47824.0
5095123,21300.0,21372.0,21399.0,21426.0,21453.0,21484.0,21633.0,21669.0,21719.0,21766.0,21796.0,21869.0,21907.0,21946.0,21972.0,22002.0,22056.0,22086.0,22150.0,22204.0,22268.0,22296.0,22328.0,22352.0,22376.0,22403.0,22442.0,22499.0,22511.0,22532.0,22549.0,22574.0,22597.0,22612.0,22635.0,22674.0,22704.0,22751.0,22799.0,22828.0,22840.0,22872.0,22896.0,22922.0,22958.0,22993.0,23027.0,23092.0,23167.0,23246.0,23300.0,23410.0,23435.0,23557.0,23620.0,23690.0,23758.0,23796.0,23837.0,23937.0
5095125,30900.0,31045.0,31099.0,31153.0,31211.0,31264.0,31523.0,31566.0,31626.0,31683.0,31719.0,31798.0,31839.0,31882.0,31911.0,31943.0,32002.0,32035.0,32106.0,32182.0,32275.0,32326.0,32385.0,32427.0,32454.0,32484.0,32527.0,32595.0,32615.0,32650.0,32678.0,32722.0,32774.0,32809.0,32849.0,32916.0,32947.0,32997.0,33048.0,33082.0,33097.0,33148.0,33187.0,33229.0,33296.0,33361.0,33414.0,33516.0,33633.0,33859.0,34013.0,34328.0,34401.0,34705.0,34797.0,34900.0,35003.0,35060.0,35101.0,35203.0
