tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P
5016961,41400.0,41476.0,41563.0,41698.0,41729.0,41767.0,41800.0,41827.0,41904.0,41941.0,42039.0,42085.0,42151.0,42203.0,42232.0,42265.0,42296.0,42360.0,42475.0,42508.0,42555.0,42573.0,42611.0,42655.0,42716.0,42749.0,42786.0,42868.0,42894.0,43049.0,43100.0,43165.0,43215.0,43258.0,43285.0,43308.0,43331.0,43401.0,43527.0,43578.0,43629.0,43663.0,43696.0,43735.0,43772.0,43820.0,43863.0,43923.0,43958.0,44007.0,44117.0,44168.0,44284.0,44303.0,44394.0,44482.0,44752.0
5016963,52200.0,52252.0,52311.0,52404.0,52425.0,52458.0,52486.0,52509.0,52576.0,52647.0,52747.0,52794.0,52861.0,52914.0,52943.0,52977.0,53009.0,53075.0,53192.0,53225.0,53246.0,53266.0,53297.0,53345.0,53403.0,53434.0,53476.0,53568.0,53596.0,53745.0,53794.0,53857.0,53906.0,53962.0,53986.0,54006.0,54026.0,54056.0,54109.0,54161.0,54214.0,54248.0,54282.0,54317.0,54350.0,54386.0,54419.0,54464.0,54494.0,54535.0,54647.0,54699.0,54817.0,54832.0,54901.0,54992.0,55271.0
5016965,63000.0,63083.0,63178.0,63326.0,63359.0,63400.0,63435.0,63464.0,63549.0,63597.0,63724.0,63783.0,63868.0,63935.0,63972.0,64014.0,64054.0,64137.0,64285.0,64326.0,64398.0,64419.0,64465.0,64516.0,64584.0,64621.0,64661.0,64751.0,64783.0,64956.0,65013.0,65072.0,65118.0,65153.0,65182.0,65207.0,65232.0,65283.0,65373.0,65431.0,65489.0,65527.0,65564.0,65606.0,65645.0,65693.0,65737.0,65798.0,65837.0,65892.0,65993.0,66040.0,66147.0,66168.0,66267.0,66358.0,66637.0
5086493,27000.0,27054.0,27116.0,27213.0,27235.0,27285.0,27328.0,27363.0,27465.0,27503.0,27608.0,27657.0,27728.0,27784.0,27815.0,27850.0,27884.0,27953.0,28076.0,28110.0,28170.0,28194.0,28245.0,28424.0,28649.0,28770.0,28821.0,28934.0,28977.0,29237.0,29323.0,29406.0,29470.0,29536.0,29597.0,29649.0,29701.0,29804.0,29989.0,30060.0,30131.0,30178.0,30224.0,30273.0,30319.0,30371.0,30418.0,30483.0,30561.0,30669.0,30808.0,30872.0,31021.0,31038.0,31117.0,31205.0,31473.0
5086495,37800.0,37839.0,37884.0,37954.0,37970.0,38010.0,38045.0,38073.0,38155.0,38187.0,38276.0,38317.0,38377.0,38424.0,38450.0,38480.0,38508.0,38566.0,38670.0,38700.0,38751.0,38769.0,38807.0,38852.0,38914.0,38947.0,38981.0,39055.0,39084.0,39213.0,39255.0,39301.0,39336.0,39372.0,39404.0,39431.0,39458.0,39522.0,39636.0,39683.0,39730.0,39761.0,39790.0,39830.0,39867.0,39919.0,39966.0,40030.0,40069.0,40123.0,40233.0,40284.0,40401.0,40419.0,40503.0,40591.0,40859.0
5086497,48600.0,48673.0,48756.0,48886.0,48916.0,48953.0,48984.0,49010.0,49084.0,49120.0,49215.0,49259.0,49323.0,49373.0,49401.0,49433.0,49463.0,49525.0,49636.0,49665.0,49710.0,49727.0,49764.0,49806.0,49865.0,49896.0,49931.0,50010.0,50035.0,50184.0,50233.0,50296.0,50344.0,50385.0,50411.0,50433.0,50455.0,50522.0,50643.0,50692.0,50742.0,50774.0,50806.0,50844.0,50879.0,50925.0,50967.0,51024.0,51058.0,51105.0,51210.0,51259.0,51371.0,51390.0,51477.0,51562.0,51821.0
5086499,59400.0,59463.0,59535.0,59647.0,59672.0,59722.0,59765.0,59800.0,59900.0,59941.0,60035.0,60079.0,60142.0,60192.0,60220.0,60251.0,60281.0,60342.0,60452.0,60482.0,60541.0,60561.0,60601.0,60649.0,60719.0,60757.0,60800.0,60896.0,60920.0,61072.0,61122.0,61181.0,61226.0,61282.0,61306.0,61327.0,61348.0,61407.0,61511.0,61562.0,61613.0,61646.0,61679.0,61713.0,61745.0,61790.0,61831.0,61887.0,61923.0,61974.0,62093.0,62148.0,62275.0,62293.0,62380.0,62468.0,62736.0
5086501,72000.0,72041.0,72088.0,72161.0,72178.0,72211.0,72239.0,72262.0,72329.0,72361.0,72440.0,72477.0,72530.0,72572.0,72595.0,72622.0,72647.0,72699.0,72792.0,72818.0,72856.0,72874.0,72903.0,72941.0,72991.0,73017.0,73052.0,73129.0,73158.0,73287.0,73330.0,73384.0,73425.0,73452.0,73478.0,73500.0,73522.0,73564.0,73638.0,73679.0,73720.0,73747.0,73773.0,73806.0,73836.0,73875.0,73911.0,73960.0,74001.0,74059.0,74139.0,74176.0,74261.0,74277.0,74350.0,74431.0,74679.0
5086503,80400.0,80442.0,80490.0,80565.0,80581.0,80610.0,80635.0,80655.0,80714.0,80734.0,80803.0,80835.0,80882.0,80919.0,80939.0,80962.0,80984.0,81029.0,81110.0,81134.0,81166.0,81181.0,81206.0,81237.0,81282.0,81306.0,81332.0,81391.0,81423.0,81545.0,81585.0,81628.0,81661.0,81684.0,81704.0,81721.0,81738.0,81760.0,81799.0,81837.0,81875.0,81900.0,81924.0,81950.0,81975.0,82005.0,82033.0,82071.0,82103.0,82147.0,82219.0,82252.0,82330.0,82344.0,82409.0,82496.0,82763.0
5087894,30600.0,30641.0,30689.0,30763.0,30780.0,30820.0,30854.0,30882.0,30964.0,30978.0,31049.0,31082.0,31130.0,31168.0,31189.0,31213.0,31236.0,31283.0,31366.0,31388.0,31412.0,31426.0,31454.0,31485.0,31542.0,31572.0,31596.0,31648.0,31670.0,31774.0,31809.0,31869.0,31915.0,31932.0,31951.0,31967.0,31983.0,32003.0,32038.0,32089.0,32140.0,32173.0,32206.0,32254.0,32298.0,32346.0,32390.0,32450.0,32488.0,32540.0,32598.0,32625.0,32687.0,32701.0,32768.0,32856.0,33124.0
