tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P
5009769,51000.0,51036.0,51100.0,51159.0,51213.0,51268.0,51295.0,51320.0,51354.0,51402.0,51420.0,51466.0,51486.0,51511.0,51555.0,51662.0,51772.0,51819.0,51840.0,51898.0,51978.0,52037.0,52082.0,52164.0,52291.0,52337.0,52385.0,52410.0,52451.0,52479.0,52532.0,52582.0,52618.0,52645.0,52691.0,52747.0,52794.0,52844.0,52882.0,52929.0,53009.0,53091.0,53119.0,53156.0,53195.0,53249.0,53354.0,53386.0,53417.0,53449.0,53473.0,53507.0,53541.0,53671.0,53800.0,53881.0,53936.0,54024.0,54070.0,54103.0,54120.0,54158.0,54194.0,54252.0,54314.0,54391.0,54438.0
5009772,65700.0,65740.0,65811.0,65876.0,65935.0,65990.0,66017.0,66042.0,66074.0,66119.0,66137.0,66184.0,66204.0,66229.0,66267.0,66357.0,66450.0,66493.0,66512.0,66565.0,66635.0,66689.0,66730.0,66805.0,66921.0,67000.0,67082.0,67114.0,67151.0,67177.0,67226.0,67271.0,67300.0,67322.0,67359.0,67406.0,67446.0,67488.0,67519.0,67566.0,67646.0,67729.0,67754.0,67787.0,67832.0,67895.0,68015.0,68044.0,68073.0,68105.0,68129.0,68163.0,68196.0,68341.0,68485.0,68575.0,68636.0,68735.0,68782.0,68815.0,68832.0,68874.0,68912.0,68971.0,69034.0,69112.0,69250.0
5013171,31200.0,31244.0,31323.0,31396.0,31461.0,31530.0,31564.0,31594.0,31631.0,31683.0,31704.0,31757.0,31779.0,31808.0,31865.0,32002.0,32144.0,32198.0,32222.0,32287.0,32360.0,32429.0,32481.0,32576.0,32721.0,32774.0,32829.0,32862.0,32906.0,32950.0,33032.0,33109.0,33166.0,33209.0,33281.0,33344.0,33398.0,33455.0,33497.0,33556.0,33657.0,33749.0,33788.0,33840.0,33884.0,33945.0,34061.0,34089.0,34117.0,34145.0,34166.0,34196.0,34227.0,34359.0,34490.0,34572.0,34628.0,34717.0,34757.0,34786.0,34800.0,34835.0,34867.0,34918.0,34972.0,35038.0,35179.0
5013173,44100.0,44136.0,44200.0,44259.0,44313.0,44368.0,44395.0,44420.0,44454.0,44502.0,44520.0,44566.0,44586.0,44611.0,44655.0,44762.0,44872.0,44919.0,44940.0,44998.0,45078.0,45137.0,45182.0,45264.0,45391.0,45437.0,45485.0,45510.0,45551.0,45579.0,45632.0,45682.0,45718.0,45745.0,45791.0,45847.0,45894.0,45944.0,45982.0,46029.0,46109.0,46191.0,46219.0,46256.0,46295.0,46349.0,46454.0,46486.0,46517.0,46549.0,46573.0,46607.0,46641.0,46771.0,46900.0,46981.0,47036.0,47124.0,47170.0,47203.0,47220.0,47258.0,47294.0,47352.0,47414.0,47491.0,47538.0
5013175,55200.0,55240.0,55311.0,55376.0,55435.0,55490.0,55517.0,55542.0,55574.0,55619.0,55637.0,55684.0,55704.0,55729.0,55767.0,55857.0,55950.0,55993.0,56012.0,56065.0,56135.0,56189.0,56230.0,56305.0,56421.0,56500.0,56582.0,56614.0,56651.0,56677.0,56726.0,56771.0,56800.0,56822.0,56859.0,56906.0,56946.0,56988.0,57019.0,57066.0,57146.0,57229.0,57254.0,57287.0,57332.0,57395.0,57515.0,57544.0,57573.0,57605.0,57629.0,57663.0,57696.0,57841.0,57985.0,58075.0,58136.0,58235.0,58282.0,58315.0,58332.0,58374.0,58412.0,58471.0,58534.0,58612.0,58750.0
5013179,76200.0,76222.0,76261.0,76297.0,76330.0,76369.0,76388.0,76406.0,76434.0,76474.0,76490.0,76538.0,76558.0,76585.0,76611.0,76673.0,76736.0,76775.0,76793.0,76840.0,76910.0,76942.0,76967.0,77012.0,77080.0,77116.0,77154.0,77175.0,77200.0,77216.0,77246.0,77273.0,77292.0,77306.0,77330.0,77361.0,77388.0,77416.0,77437.0,77481.0,77556.0,77619.0,77641.0,77670.0,77698.0,77736.0,77810.0,77831.0,77851.0,77875.0,77893.0,77919.0,77945.0,78051.0,78157.0,78223.0,78268.0,78340.0,78369.0,78402.0,78418.0,78442.0,78464.0,78516.0,78572.0,78640.0,78736.0
5015251,32400.0,32444.0,32523.0,32596.0,32661.0,32730.0,32764.0,32794.0,32831.0,32883.0,32904.0,32957.0,32979.0,33008.0,33065.0,33202.0,33344.0,33398.0,33422.0,33487.0,33560.0,33629.0,33681.0,33776.0,33921.0,33974.0,34029.0,34062.0,34106.0,34150.0,34232.0,34309.0,34366.0,34409.0,34481.0,34544.0,34598.0,34655.0,34697.0,34756.0,34857.0,34949.0,34988.0,35040.0,35084.0,35145.0,35261.0,35289.0,35317.0,35345.0,35366.0,35396.0,35427.0,35559.0,35690.0,35772.0,35828.0,35917.0,35957.0,35986.0,36000.0,36035.0,36067.0,36118.0,36172.0,36238.0,36379.0
5015255,53100.0,53136.0,53200.0,53259.0,53313.0,53368.0,53395.0,53420.0,53454.0,53502.0,53520.0,53566.0,53586.0,53611.0,53655.0,53762.0,53872.0,53919.0,53940.0,53998.0,54078.0,54137.0,54182.0,54264.0,54391.0,54437.0,54485.0,54510.0,54551.0,54579.0,54632.0,54682.0,54718.0,54745.0,54791.0,54847.0,54894.0,54944.0,54982.0,55029.0,55109.0,55191.0,55219.0,55256.0,55295.0,55349.0,55454.0,55486.0,55517.0,55549.0,55573.0,55607.0,55641.0,55771.0,55900.0,55981.0,56036.0,56124.0,56170.0,56203.0,56220.0,56258.0,56294.0,56352.0,56414.0,56491.0,56538.0
5015257,64200.0,64240.0,64311.0,64376.0,64435.0,64490.0,64517.0,64542.0,64574.0,64619.0,64637.0,64684.0,64704.0,64729.0,64767.0,64857.0,64950.0,64993.0,65012.0,65065.0,65135.0,65189.0,65230.0,65305.0,65421.0,65500.0,65582.0,65614.0,65651.0,65677.0,65726.0,65771.0,65800.0,65822.0,65859.0,65906.0,65946.0,65988.0,66019.0,66066.0,66146.0,66229.0,66254.0,66287.0,66332.0,66395.0,66515.0,66544.0,66573.0,66605.0,66629.0,66663.0,66696.0,66841.0,66985.0,67075.0,67136.0,67235.0,67282.0,67315.0,67332.0,67374.0,67412.0,67471.0,67534.0,67612.0,67750.0
5015259,72900.0,72950.0,73038.0,73119.0,73192.0,73260.0,73294.0,73324.0,73363.0,73419.0,73441.0,73505.0,73532.0,73567.0,73600.0,73680.0,73762.0,73824.0,73852.0,73926.0,73993.0,74066.0,74121.0,74222.0,74377.0,74425.0,74476.0,74504.0,74534.0,74555.0,74596.0,74634.0,74661.0,74681.0,74714.0,74775.0,74827.0,74881.0,74922.0,74961.0,75028.0,75108.0,75133.0,75167.0,75205.0,75258.0,75361.0,75387.0,75413.0,75440.0,75460.0,75488.0,75517.0,75653.0,75788.0,75872.0,75929.0,76021.0,76065.0,76095.0,76110.0,76146.0,76180.0,76220.0,76262.0,76314.0,76409.0
