tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P
5019137,49020.0,49103.0,49195.0,49306.0,49396.0,49460.0,49556.0,49759.0,49833.0,49878.0,50064.0,50123.0,50170.0,50211.0,50269.0,50297.0,50326.0,50346.0,50382.0,50429.0,50488.0,50551.0,50584.0,50753.0,50796.0,50827.0,50855.0,50901.0,50935.0
5019528,34620.0,34748.0,34890.0,35061.0,35199.0,35298.0,35378.0,35547.0,35648.0,35710.0,35907.0,35969.0,36018.0,36062.0,36124.0,36150.0,36187.0,36209.0,36249.0,36300.0,36364.0,36432.0,36468.0,36589.0,36620.0,36642.0,36664.0,36701.0,36727.0
5083451,74220.0,74299.0,74387.0,74493.0,74579.0,74641.0,74732.0,74926.0,75000.0,75045.0,75203.0,75253.0,75293.0,75328.0,75377.0,75404.0,75435.0,75456.0,75495.0,75535.0,75585.0,75638.0,75666.0,75793.0,75825.0,75848.0,75869.0,75904.0,75929.0
5084538,25620.0,25694.0,25776.0,25874.0,25954.0,26011.0,26083.0,26235.0,26304.0,26346.0,26527.0,26584.0,26630.0,26670.0,26727.0,26751.0,26781.0,26804.0,26845.0,26896.0,26960.0,27028.0,27064.0,27183.0,27213.0,27235.0,27289.0,27378.0,27443.0
5084544,50820.0,50910.0,51010.0,51130.0,51227.0,51296.0,51391.0,51592.0,51690.0,51751.0,51925.0,51980.0,52024.0,52062.0,52117.0,52141.0,52173.0,52195.0,52234.0,52274.0,52324.0,52377.0,52405.0,52538.0,52572.0,52596.0,52620.0,52660.0,52688.0
5085185,52620.0,52710.0,52810.0,52930.0,53027.0,53096.0,53191.0,53392.0,53490.0,53551.0,53725.0,53780.0,53824.0,53862.0,53917.0,53941.0,53973.0,53995.0,54034.0,54074.0,54124.0,54177.0,54205.0,54338.0,54372.0,54396.0,54420.0,54460.0,54488.0
5085789,54420.0,54535.0,54662.0,54815.0,54939.0,55028.0,55140.0,55378.0,55481.0,55544.0,55734.0,55794.0,55842.0,55884.0,55943.0,55969.0,56005.0,56027.0,56068.0,56114.0,56173.0,56235.0,56267.0,56421.0,56460.0,56488.0,56513.0,56554.0,56584.0
5086537,49020.0,49110.0,49210.0,49330.0,49427.0,49496.0,49591.0,49792.0,49890.0,49951.0,50125.0,50180.0,50224.0,50262.0,50317.0,50341.0,50373.0,50395.0,50434.0,50474.0,50524.0,50577.0,50605.0,50738.0,50772.0,50796.0,50820.0,50860.0,50888.0
5086553,56220.0,56335.0,56462.0,56615.0,56739.0,56828.0,56940.0,57178.0,57281.0,57344.0,57534.0,57594.0,57642.0,57684.0,57743.0,57769.0,57805.0,57827.0,57868.0,57914.0,57973.0,58035.0,58067.0,58221.0,58260.0,58288.0,58313.0,58354.0,58384.0
5087107,61620.0,61735.0,61862.0,62015.0,62139.0,62228.0,62340.0,62578.0,62681.0,62744.0,62934.0,62994.0,63042.0,63084.0,63143.0,63169.0,63205.0,63227.0,63268.0,63314.0,63373.0,63435.0,63467.0,63621.0,63660.0,63688.0,63713.0,63754.0,63784.0
5087111,77820.0,77883.0,77953.0,78037.0,78105.0,78155.0,78242.0,78425.0,78494.0,78536.0,78678.0,78723.0,78759.0,78790.0,78835.0,78860.0,78892.0,78912.0,78949.0,78981.0,79022.0,79065.0,79087.0,79202.0,79231.0,79252.0,79277.0,79318.0,79348.0
5087572,38220.0,38326.0,38444.0,38585.0,38699.0,38782.0,38874.0,39070.0,39155.0,39207.0,39370.0,39422.0,39463.0,39499.0,39549.0,39573.0,39602.0,39622.0,39658.0,39694.0,39740.0,39788.0,39814.0,39932.0,39962.0,39983.0,40005.0,40042.0,40068.0
5087674,65220.0,65335.0,65462.0,65615.0,65739.0,65828.0,65940.0,66178.0,66281.0,66344.0,66534.0,66594.0,66642.0,66684.0,66743.0,66769.0,66805.0,66827.0,66868.0,66914.0,66973.0,67035.0,67067.0,67221.0,67260.0,67288.0,67313.0,67354.0,67384.0
5087676,70620.0,70699.0,70787.0,70893.0,70979.0,71041.0,71132.0,71326.0,71400.0,71445.0,71603.0,71653.0,71693.0,71728.0,71777.0,71804.0,71835.0,71856.0,71895.0,71935.0,71985.0,72038.0,72066.0,72193.0,72225.0,72248.0,72269.0,72304.0,72329.0
5087680,83700.0,83763.0,83833.0,83917.0,83985.0,84035.0,84122.0,84305.0,84374.0,84416.0,84558.0,84603.0,84639.0,84670.0,84715.0,84740.0,84772.0,84792.0,84829.0,84861.0,84902.0,84945.0,84967.0,85082.0,85111.0,85132.0,85157.0,85198.0,85228.0
5090055,58020.0,58135.0,58262.0,58415.0,58539.0,58628.0,58740.0,58978.0,59081.0,59144.0,59334.0,59394.0,59442.0,59484.0,59543.0,59569.0,59605.0,59627.0,59668.0,59714.0,59773.0,59835.0,59867.0,60021.0,60060.0,60088.0,60113.0,60154.0,60184.0
5091367,65400.0,65473.0,65554.0,65652.0,65731.0,65789.0,65863.0,66020.0,66061.0,66086.0,66262.0,66318.0,66362.0,66401.0,66456.0,66480.0,66507.0,66524.0,66555.0,66586.0,66626.0,66668.0,66690.0,66785.0,66809.0,66826.0,66848.0,66884.0,66909.0
5091605,43620.0,43710.0,43810.0,43930.0,44027.0,44096.0,44191.0,44392.0,44490.0,44551.0,44725.0,44780.0,44824.0,44862.0,44917.0,44941.0,44973.0,44995.0,45034.0,45074.0,45124.0,45177.0,45205.0,45338.0,45372.0,45396.0,45420.0,45460.0,45488.0
5091938,72600.0,72668.0,72744.0,72835.0,72908.0,72961.0,73040.0,73208.0,73340.0,73422.0,73581.0,73631.0,73671.0,73706.0,73755.0,73781.0,73811.0,73832.0,73870.0,73923.0,73991.0,74062.0,74100.0,74193.0,74217.0,74233.0,74251.0,74280.0,74301.0
5091940,79800.0,79866.0,79939.0,80027.0,80098.0,80149.0,80203.0,80317.0,80406.0,80461.0,80597.0,80640.0,80674.0,80704.0,80746.0,80770.0,80801.0,80819.0,80852.0,80884.0,80925.0,80968.0,80990.0,81118.0,81151.0,81174.0,81192.0,81221.0,81242.0
5092326,81420.0,81483.0,81553.0,81637.0,81705.0,81755.0,81842.0,82025.0,82094.0,82136.0,82278.0,82323.0,82359.0,82390.0,82435.0,82460.0,82492.0,82512.0,82549.0,82581.0,82622.0,82665.0,82687.0,82802.0,82831.0,82852.0,82877.0,82918.0,82948.0
5093016,29220.0,29343.0,29479.0,29643.0,29776.0,29872.0,29949.0,30111.0,30208.0,30268.0,30457.0,30517.0,30565.0,30607.0,30666.0,30691.0,30727.0,30748.0,30787.0,30836.0,30898.0,30963.0,30998.0,31114.0,31144.0,31165.0,31186.0,31221.0,31247.0
5093019,63420.0,63535.0,63662.0,63815.0,63939.0,64028.0,64140.0,64378.0,64481.0,64544.0,64734.0,64794.0,64842.0,64884.0,64943.0,64969.0,65005.0,65027.0,65068.0,65114.0,65173.0,65235.0,65267.0,65421.0,65460.0,65488.0,65513.0,65554.0,65584.0
5093021,68820.0,68899.0,68987.0,69093.0,69179.0,69241.0,69332.0,69526.0,69600.0,69645.0,69803.0,69853.0,69893.0,69928.0,69977.0,70004.0,70035.0,70056.0,70095.0,70135.0,70185.0,70238.0,70266.0,70393.0,70425.0,70448.0,70469.0,70504.0,70529.0
5093125,41820.0,41926.0,42044.0,42185.0,42299.0,42382.0,42474.0,42670.0,42755.0,42807.0,42970.0,43022.0,43063.0,43099.0,43149.0,43173.0,43202.0,43222.0,43258.0,43294.0,43340.0,43388.0,43414.0,43532.0,43562.0,43583.0,43605.0,43642.0,43668.0
5093584,36420.0,36526.0,36644.0,36785.0,36899.0,36982.0,37074.0,37270.0,37355.0,37407.0,37570.0,37622.0,37663.0,37699.0,37749.0,37773.0,37802.0,37822.0,37858.0,37894.0,37940.0,37988.0,38014.0,38132.0,38162.0,38183.0,38205.0,38242.0,38268.0
5094066,67020.0,67135.0,67262.0,67415.0,67539.0,67628.0,67740.0,67978.0,68081.0,68144.0,68334.0,68394.0,68442.0,68484.0,68543.0,68569.0,68605.0,68627.0,68668.0,68714.0,68773.0,68835.0,68867.0,69021.0,69060.0,69088.0,69113.0,69154.0,69184.0
5097653,43800.0,43880.0,43969.0,44076.0,44163.0,44226.0,44300.0,44456.0,44543.0,44597.0,44766.0,44820.0,44863.0,44900.0,44953.0,44977.0,45010.0,45033.0,45075.0,45116.0,45168.0,45223.0,45252.0,45388.0,45423.0,45447.0,45470.0,45509.0,45537.0
5098026,34620.0,34743.0,34879.0,35043.0,35176.0,35272.0,35349.0,35511.0,35608.0,35668.0,35857.0,35917.0,35965.0,36007.0,36066.0,36091.0,36127.0,36148.0,36187.0,36236.0,36298.0,36363.0,36398.0,36514.0,36544.0,36565.0,36586.0,36621.0,36647.0
5099767,51000.0,51080.0,51169.0,51276.0,51363.0,51426.0,51500.0,51656.0,51743.0,51797.0,51966.0,52020.0,52063.0,52100.0,52153.0,52177.0,52210.0,52233.0,52275.0,52316.0,52368.0,52423.0,52452.0,52588.0,52623.0,52647.0,52670.0,52709.0,52737.0
5099769,58200.0,58273.0,58354.0,58452.0,58531.0,58589.0,58663.0,58820.0,58861.0,58886.0,59062.0,59118.0,59162.0,59201.0,59256.0,59280.0,59307.0,59324.0,59355.0,59386.0,59426.0,59468.0,59490.0,59585.0,59609.0,59626.0,59648.0,59684.0,59709.0
5100243,31020.0,31143.0,31279.0,31443.0,31576.0,31672.0,31749.0,31911.0,32008.0,32068.0,32257.0,32317.0,32365.0,32407.0,32466.0,32491.0,32527.0,32548.0,32587.0,32636.0,32698.0,32763.0,32798.0,32914.0,32944.0,32965.0,32986.0,33021.0,33047.0
5100247,47220.0,47310.0,47410.0,47530.0,47627.0,47696.0,47791.0,47992.0,48090.0,48151.0,48325.0,48380.0,48424.0,48462.0,48517.0,48541.0,48573.0,48595.0,48634.0,48674.0,48724.0,48777.0,48805.0,48938.0,48972.0,48996.0,49020.0,49060.0,49088.0
5100348,40020.0,40126.0,40244.0,40385.0,40499.0,40582.0,40674.0,40870.0,40955.0,41007.0,41170.0,41222.0,41263.0,41299.0,41349.0,41373.0,41402.0,41422.0,41458.0,41494.0,41540.0,41588.0,41614.0,41732.0,41762.0,41783.0,41805.0,41842.0,41868.0
5100350,45420.0,45510.0,45610.0,45730.0,45827.0,45896.0,45991.0,46192.0,46290.0,46351.0,46525.0,46580.0,46624.0,46662.0,46717.0,46741.0,46773.0,46795.0,46834.0,46874.0,46924.0,46977.0,47005.0,47138.0,47172.0,47196.0,47220.0,47260.0,47288.0
5100352,59820.0,59935.0,60062.0,60215.0,60339.0,60428.0,60540.0,60778.0,60881.0,60944.0,61134.0,61194.0,61242.0,61284.0,61343.0,61369.0,61405.0,61427.0,61468.0,61514.0,61573.0,61635.0,61667.0,61821.0,61860.0,61888.0,61913.0,61954.0,61984.0
5100582,34620.0,34743.0,34879.0,35043.0,35176.0,35272.0,35349.0,35511.0,35608.0,35668.0,35857.0,35917.0,35965.0,36007.0,36066.0,36091.0,36127.0,36148.0,36187.0,36236.0,36298.0,36363.0,36398.0,36514.0,36544.0,36565.0,36586.0,36621.0,36647.0
5101041,36420.0,36526.0,36644.0,36785.0,36899.0,36982.0,37074.0,37270.0,37355.0,37407.0,37570.0,37622.0,37663.0,37699.0,37749.0,37773.0,37802.0,37822.0,37858.0,37894.0,37940.0,37988.0,38014.0,38132.0,38162.0,38183.0,38205.0,38242.0,38268.0
5101188,25620.0,25694.0,25776.0,25874.0,25954.0,26011.0,26083.0,26235.0,26304.0,26346.0,26527.0,26584.0,26630.0,26670.0,26727.0,26751.0,26781.0,26804.0,26845.0,26896.0,26960.0,27028.0,27064.0,27183.0,27213.0,27235.0,27289.0,27378.0,27443.0
5101194,50820.0,50910.0,51010.0,51130.0,51227.0,51296.0,51391.0,51592.0,51690.0,51751.0,51925.0,51980.0,52024.0,52062.0,52117.0,52141.0,52173.0,52195.0,52234.0,52274.0,52324.0,52377.0,52405.0,52538.0,52572.0,52596.0,52620.0,52660.0,52688.0
5102088,65220.0,65335.0,65462.0,65615.0,65739.0,65828.0,65940.0,66178.0,66281.0,66344.0,66534.0,66594.0,66642.0,66684.0,66743.0,66769.0,66805.0,66827.0,66868.0,66914.0,66973.0,67035.0,67067.0,67221.0,67260.0,67288.0,67313.0,67354.0,67384.0
5102090,70620.0,70699.0,70787.0,70893.0,70979.0,71041.0,71132.0,71326.0,71400.0,71445.0,71603.0,71653.0,71693.0,71728.0,71777.0,71804.0,71835.0,71856.0,71895.0,71935.0,71985.0,72038.0,72066.0,72193.0,72225.0,72248.0,72269.0,72304.0,72329.0
5102094,83700.0,83763.0,83833.0,83917.0,83985.0,84035.0,84122.0,84305.0,84374.0,84416.0,84558.0,84603.0,84639.0,84670.0,84715.0,84740.0,84772.0,84792.0,84829.0,84861.0,84902.0,84945.0,84967.0,85082.0,85111.0,85132.0,85157.0,85198.0,85228.0
5102611,58020.0,58135.0,58262.0,58415.0,58539.0,58628.0,58740.0,58978.0,59081.0,59144.0,59334.0,59394.0,59442.0,59484.0,59543.0,59569.0,59605.0,59627.0,59668.0,59714.0,59773.0,59835.0,59867.0,60021.0,60060.0,60088.0,60113.0,60154.0,60184.0
5103770,31020.0,31143.0,31279.0,31443.0,31576.0,31672.0,31749.0,31911.0,32008.0,32068.0,32257.0,32317.0,32365.0,32407.0,32466.0,32491.0,32527.0,32548.0,32587.0,32636.0,32698.0,32763.0,32798.0,32914.0,32944.0,32965.0,32986.0,33021.0,33047.0
5103774,47220.0,47310.0,47410.0,47530.0,47627.0,47696.0,47791.0,47992.0,48090.0,48151.0,48325.0,48380.0,48424.0,48462.0,48517.0,48541.0,48573.0,48595.0,48634.0,48674.0,48724.0,48777.0,48805.0,48938.0,48972.0,48996.0,49020.0,49060.0,49088.0
5105150,81420.0,81483.0,81553.0,81637.0,81705.0,81755.0,81842.0,82025.0,82094.0,82136.0,82278.0,82323.0,82359.0,82390.0,82435.0,82460.0,82492.0,82512.0,82549.0,82581.0,82622.0,82665.0,82687.0,82802.0,82831.0,82852.0,82877.0,82918.0,82948.0
5106085,38220.0,38326.0,38444.0,38585.0,38699.0,38782.0,38874.0,39070.0,39155.0,39207.0,39370.0,39422.0,39463.0,39499.0,39549.0,39573.0,39602.0,39622.0,39658.0,39694.0,39740.0,39788.0,39814.0,39932.0,39962.0,39983.0,40005.0,40042.0,40068.0
