tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P
5004765,64200.0,64236.0,64289.0,64331.0,64368.0,64394.0,64429.0,64446.0,64500.0,64519.0,64553.0,64602.0,64641.0,64675.0,64701.0,64740.0,64760.0,64817.0,64870.0,64914.0,64955.0,64986.0,65021.0,65061.0,65093.0,65117.0,65153.0,65174.0,65234.0,65273.0,65306.0,65345.0,65384.0,65437.0,65465.0,65591.0,65673.0,65782.0
5005286,26100.0,26131.0,26176.0,26213.0,26245.0,26268.0,26298.0,26313.0,26359.0,26375.0,26404.0,26445.0,26478.0,26507.0,26529.0,26560.0,26582.0,26622.0,26650.0,26673.0,26703.0,26725.0,26750.0,26771.0,26788.0,26811.0,26845.0,26865.0,26920.0,26953.0,26980.0,27007.0,27034.0,27074.0,27096.0,27208.0,27281.0,27378.0
5005292,39600.0,39640.0,39699.0,39747.0,39789.0,39818.0,39858.0,39878.0,39939.0,39959.0,40006.0,40073.0,40126.0,40173.0,40209.0,40261.0,40284.0,40351.0,40400.0,40441.0,40491.0,40537.0,40590.0,40631.0,40664.0,40697.0,40746.0,40775.0,40856.0,40902.0,40940.0,40977.0,41014.0,41058.0,41081.0,41207.0,41289.0,41398.0
5005296,49500.0,49545.0,49612.0,49666.0,49713.0,49746.0,49791.0,49813.0,49881.0,49905.0,49952.0,50018.0,50071.0,50117.0,50153.0,50205.0,50234.0,50296.0,50343.0,50382.0,50427.0,50464.0,50507.0,50554.0,50591.0,50624.0,50673.0,50702.0,50783.0,50851.0,50908.0,50953.0,50998.0,51044.0,51069.0,51199.0,51284.0,51396.0
5005298,54900.0,54943.0,55007.0,55058.0,55103.0,55135.0,55178.0,55199.0,55264.0,55285.0,55332.0,55399.0,55452.0,55499.0,55535.0,55587.0,55611.0,55708.0,55757.0,55797.0,55843.0,55874.0,55909.0,55947.0,55977.0,56012.0,56064.0,56095.0,56181.0,56234.0,56278.0,56312.0,56345.0,56393.0,56419.0,56559.0,56650.0,56771.0
5005300,60300.0,60343.0,60406.0,60457.0,60502.0,60533.0,60575.0,60596.0,60660.0,60682.0,60725.0,60786.0,60834.0,60876.0,60909.0,60956.0,60986.0,61064.0,61105.0,61138.0,61185.0,61225.0,61272.0,61312.0,61345.0,61375.0,61420.0,61446.0,61520.0,61579.0,61628.0,61674.0,61720.0,61766.0,61791.0,61930.0,62021.0,62141.0
5005302,64980.0,65016.0,65069.0,65111.0,65148.0,65174.0,65209.0,65226.0,65280.0,65299.0,65333.0,65382.0,65421.0,65455.0,65481.0,65520.0,65540.0,65597.0,65650.0,65694.0,65735.0,65766.0,65801.0,65841.0,65873.0,65897.0,65933.0,65954.0,66014.0,66053.0,66086.0,66125.0,66164.0,66217.0,66245.0,66371.0,66453.0,66562.0
5005329,27000.0,27031.0,27076.0,27113.0,27145.0,27168.0,27198.0,27213.0,27259.0,27275.0,27304.0,27345.0,27378.0,27407.0,27429.0,27460.0,27482.0,27522.0,27550.0,27573.0,27603.0,27625.0,27650.0,27671.0,27688.0,27711.0,27745.0,27765.0,27820.0,27853.0,27880.0,27907.0,27934.0,27974.0,27996.0,28108.0,28181.0,28278.0
5005331,31500.0,31541.0,31602.0,31651.0,31694.0,31724.0,31765.0,31785.0,31847.0,31868.0,31903.0,31953.0,31993.0,32028.0,32055.0,32095.0,32130.0,32169.0,32209.0,32241.0,32273.0,32301.0,32333.0,32367.0,32395.0,32427.0,32474.0,32502.0,32580.0,32645.0,32698.0,32728.0,32758.0,32806.0,32832.0,32928.0,32991.0,33074.0
5005333,36000.0,36040.0,36099.0,36147.0,36189.0,36218.0,36258.0,36278.0,36339.0,36359.0,36406.0,36473.0,36526.0,36573.0,36609.0,36661.0,36684.0,36751.0,36800.0,36841.0,36891.0,36937.0,36990.0,37031.0,37064.0,37097.0,37146.0,37175.0,37256.0,37302.0,37340.0,37377.0,37414.0,37458.0,37481.0,37607.0,37689.0,37798.0
5005335,40500.0,40540.0,40599.0,40647.0,40689.0,40718.0,40758.0,40778.0,40839.0,40859.0,40906.0,40973.0,41026.0,41073.0,41109.0,41161.0,41184.0,41251.0,41300.0,41341.0,41391.0,41437.0,41490.0,41531.0,41564.0,41597.0,41646.0,41675.0,41756.0,41802.0,41840.0,41877.0,41914.0,41958.0,41981.0,42107.0,42189.0,42298.0
5005337,45000.0,45045.0,45112.0,45166.0,45213.0,45246.0,45291.0,45313.0,45381.0,45405.0,45452.0,45518.0,45571.0,45617.0,45653.0,45705.0,45734.0,45796.0,45843.0,45882.0,45927.0,45964.0,46007.0,46054.0,46091.0,46124.0,46173.0,46202.0,46283.0,46351.0,46408.0,46453.0,46498.0,46544.0,46569.0,46699.0,46784.0,46896.0
5005339,50400.0,50445.0,50512.0,50566.0,50613.0,50646.0,50691.0,50713.0,50781.0,50805.0,50852.0,50918.0,50971.0,51017.0,51053.0,51105.0,51134.0,51196.0,51243.0,51282.0,51327.0,51364.0,51407.0,51454.0,51491.0,51524.0,51573.0,51602.0,51683.0,51751.0,51808.0,51853.0,51898.0,51944.0,51969.0,52099.0,52184.0,52296.0
5005341,55800.0,55843.0,55907.0,55958.0,56003.0,56035.0,56078.0,56099.0,56164.0,56185.0,56232.0,56299.0,56352.0,56399.0,56435.0,56487.0,56511.0,56608.0,56657.0,56697.0,56743.0,56774.0,56809.0,56847.0,56877.0,56912.0,56964.0,56995.0,57081.0,57134.0,57178.0,57212.0,57245.0,57293.0,57319.0,57459.0,57550.0,57671.0
5005343,61080.0,61123.0,61186.0,61237.0,61282.0,61313.0,61355.0,61376.0,61440.0,61462.0,61505.0,61566.0,61614.0,61656.0,61689.0,61736.0,61766.0,61844.0,61885.0,61918.0,61965.0,62005.0,62052.0,62092.0,62125.0,62155.0,62200.0,62226.0,62300.0,62359.0,62408.0,62454.0,62500.0,62546.0,62571.0,62710.0,62801.0,62921.0
5005345,65760.0,65796.0,65849.0,65891.0,65928.0,65954.0,65989.0,66006.0,66060.0,66079.0,66113.0,66162.0,66201.0,66235.0,66261.0,66300.0,66320.0,66377.0,66430.0,66474.0,66515.0,66546.0,66581.0,66621.0,66653.0,66677.0,66713.0,66734.0,66794.0,66833.0,66866.0,66905.0,66944.0,66997.0,67025.0,67151.0,67233.0,67342.0
5005347,70800.0,70837.0,70891.0,70935.0,70974.0,71001.0,71037.0,71055.0,71111.0,71130.0,71162.0,71207.0,71243.0,71274.0,71298.0,71333.0,71358.0,71417.0,71458.0,71491.0,71531.0,71560.0,71594.0,71635.0,71668.0,71696.0,71737.0,71761.0,71830.0,71879.0,71919.0,71955.0,71991.0,72043.0,72071.0,72182.0,72254.0,72351.0
5005349,75600.0,75642.0,75704.0,75754.0,75798.0,75829.0,75870.0,75890.0,75953.0,75974.0,76004.0,76047.0,76081.0,76111.0,76134.0,76167.0,76191.0,76241.0,76278.0,76309.0,76346.0,76371.0,76401.0,76435.0,76462.0,76486.0,76522.0,76543.0,76604.0,76645.0,76679.0,76711.0,76743.0,76779.0,76798.0,76898.0,76963.0,77051.0
5005351,80400.0,80442.0,80504.0,80554.0,80598.0,80629.0,80670.0,80690.0,80753.0,80774.0,80804.0,80847.0,80881.0,80911.0,80934.0,80967.0,80991.0,81041.0,81078.0,81109.0,81146.0,81171.0,81201.0,81235.0,81262.0,81286.0,81322.0,81343.0,81404.0,81445.0,81479.0,81511.0,81543.0,81579.0,81598.0,81698.0,81763.0,81851.0
5005353,84600.0,84642.0,84704.0,84754.0,84798.0,84829.0,84870.0,84890.0,84953.0,84974.0,85004.0,85047.0,85081.0,85111.0,85134.0,85167.0,85191.0,85241.0,85278.0,85309.0,85346.0,85371.0,85401.0,85435.0,85462.0,85486.0,85522.0,85543.0,85604.0,85645.0,85679.0,85711.0,85743.0,85779.0,85798.0,85898.0,85963.0,86051.0
5005941,26400.0,26444.0,26510.0,26563.0,26609.0,26642.0,26686.0,26708.0,26775.0,26798.0,26840.0,26900.0,26948.0,26990.0,27022.0,27069.0,27094.0,27156.0,27204.0,27243.0,27301.0,27342.0,27389.0,27444.0,27489.0,27541.0,27618.0,27663.0,27789.0,27861.0,27920.0,27976.0,28031.0,28110.0,28152.0,28268.0,28344.0,28445.0
