tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P
5009531,45900.0,45986.0,46039.0,46108.0,46157.0,46180.0,46228.0,46254.0,46298.0,46359.0,46393.0,46442.0,46510.0,46553.0,46607.0,46680.0,46725.0,46780.0,46813.0,46882.0,46909.0,46959.0,47021.0,47062.0,47131.0,47212.0,47282.0,47360.0,47412.0,47500.0,47589.0,47714.0,47860.0,48074.0,48225.0,48388.0,48487.0,48556.0,48694.0,48828.0,48897.0,48954.0,49065.0,49160.0,49241.0,49336.0,49377.0,49446.0,49529.0,49574.0,49639.0,49686.0,49775.0,49825.0,49899.0,49947.0,49983.0,50013.0,50076.0,50115.0,50184.0,50256.0,50300.0,50341.0,50380.0,50422.0
5009533,56700.0,56794.0,56852.0,56928.0,56977.0,57001.0,57049.0,57075.0,57120.0,57181.0,57215.0,57264.0,57333.0,57376.0,57430.0,57504.0,57554.0,57615.0,57651.0,57716.0,57742.0,57789.0,57845.0,57883.0,57947.0,58027.0,58083.0,58147.0,58203.0,58299.0,58396.0,58522.0,58679.0,58923.0,59096.0,59283.0,59379.0,59448.0,59585.0,59755.0,59842.0,59916.0,60062.0,60186.0,60279.0,60388.0,60435.0,60513.0,60626.0,60687.0,60766.0,60821.0,60912.0,60963.0,61039.0,61096.0,61139.0,61174.0,61238.0,61277.0,61347.0,61422.0,61468.0,61511.0,61551.0,61595.0
5009535,68400.0,68470.0,68513.0,68570.0,68615.0,68636.0,68680.0,68704.0,68745.0,68801.0,68832.0,68877.0,68940.0,68979.0,69028.0,69094.0,69139.0,69194.0,69226.0,69288.0,69312.0,69357.0,69412.0,69444.0,69499.0,69567.0,69622.0,69685.0,69730.0,69806.0,69883.0,70021.0,70160.0,70363.0,70507.0,70662.0,70752.0,70808.0,70920.0,71042.0,71104.0,71156.0,71254.0,71338.0,71417.0,71509.0,71549.0,71615.0,71689.0,71729.0,71790.0,71843.0,71903.0,71937.0,71987.0,72032.0,72066.0,72094.0,72139.0,72166.0,72215.0,72286.0,72329.0,72369.0,72407.0,72448.0
5009537,78000.0,78058.0,78094.0,78139.0,78176.0,78194.0,78231.0,78251.0,78285.0,78332.0,78358.0,78396.0,78448.0,78481.0,78522.0,78577.0,78612.0,78655.0,78680.0,78727.0,78746.0,78780.0,78821.0,78848.0,78893.0,78942.0,78984.0,79032.0,79069.0,79132.0,79196.0,79291.0,79425.0,79615.0,79749.0,79894.0,79968.0,80020.0,80124.0,80227.0,80280.0,80325.0,80394.0,80452.0,80512.0,80583.0,80613.0,80664.0,80729.0,80763.0,80808.0,80847.0,80897.0,80925.0,80966.0,81003.0,81031.0,81054.0,81094.0,81118.0,81162.0,81218.0,81252.0,81284.0,81314.0,81345.0
5009744,28500.0,28582.0,28633.0,28699.0,28760.0,28789.0,28849.0,28881.0,28936.0,29012.0,29055.0,29116.0,29201.0,29254.0,29321.0,29412.0,29464.0,29528.0,29565.0,29712.0,29770.0,29877.0,30007.0,30076.0,30194.0,30280.0,30358.0,30447.0,30506.0,30607.0,30709.0,30829.0,30971.0,31196.0,31356.0,31528.0,31609.0,31672.0,31797.0,31914.0,31974.0,32024.0,32148.0,32254.0,32346.0,32454.0,32500.0,32577.0,32653.0,32694.0,32771.0,32818.0,32902.0,32949.0,33021.0,33064.0,33096.0,33122.0,33183.0,33220.0,33287.0,33356.0,33398.0,33437.0,33474.0,33514.0
5009745,40500.0,40580.0,40630.0,40694.0,40745.0,40770.0,40820.0,40847.0,40894.0,40958.0,40994.0,41045.0,41117.0,41162.0,41218.0,41294.0,41335.0,41385.0,41414.0,41479.0,41505.0,41552.0,41608.0,41649.0,41718.0,41806.0,41876.0,41954.0,42004.0,42089.0,42174.0,42298.0,42433.0,42637.0,42781.0,42937.0,43023.0,43089.0,43220.0,43339.0,43400.0,43451.0,43560.0,43653.0,43721.0,43801.0,43835.0,43892.0,43964.0,44002.0,44061.0,44102.0,44182.0,44227.0,44294.0,44339.0,44374.0,44402.0,44456.0,44489.0,44548.0,44618.0,44660.0,44700.0,44737.0,44778.0
5009747,51300.0,51386.0,51439.0,51508.0,51557.0,51580.0,51628.0,51654.0,51698.0,51759.0,51793.0,51842.0,51910.0,51953.0,52007.0,52080.0,52125.0,52180.0,52213.0,52282.0,52309.0,52359.0,52421.0,52462.0,52531.0,52612.0,52682.0,52760.0,52812.0,52900.0,52989.0,53114.0,53260.0,53474.0,53625.0,53788.0,53887.0,53956.0,54094.0,54228.0,54297.0,54354.0,54465.0,54560.0,54641.0,54736.0,54777.0,54846.0,54929.0,54974.0,55039.0,55086.0,55175.0,55225.0,55299.0,55347.0,55383.0,55413.0,55476.0,55515.0,55584.0,55656.0,55700.0,55741.0,55780.0,55822.0
5009749,63000.0,63101.0,63163.0,63244.0,63295.0,63320.0,63370.0,63397.0,63444.0,63508.0,63544.0,63595.0,63667.0,63712.0,63768.0,63844.0,63890.0,63947.0,63980.0,64042.0,64067.0,64112.0,64167.0,64201.0,64259.0,64327.0,64380.0,64440.0,64486.0,64564.0,64643.0,64740.0,64875.0,65139.0,65326.0,65527.0,65616.0,65691.0,65840.0,66010.0,66097.0,66170.0,66334.0,66474.0,66574.0,66691.0,66741.0,66825.0,66939.0,67000.0,67074.0,67133.0,67202.0,67241.0,67300.0,67343.0,67376.0,67402.0,67450.0,67479.0,67532.0,67586.0,67619.0,67650.0,67679.0,67710.0
5009751,74400.0,74470.0,74513.0,74570.0,74615.0,74636.0,74680.0,74704.0,74745.0,74801.0,74832.0,74877.0,74940.0,74979.0,75028.0,75094.0,75139.0,75194.0,75226.0,75288.0,75312.0,75357.0,75412.0,75444.0,75499.0,75567.0,75622.0,75685.0,75730.0,75806.0,75883.0,76021.0,76160.0,76363.0,76507.0,76662.0,76752.0,76808.0,76920.0,77042.0,77104.0,77156.0,77254.0,77338.0,77417.0,77509.0,77549.0,77615.0,77689.0,77729.0,77790.0,77843.0,77903.0,77937.0,77987.0,78032.0,78066.0,78094.0,78139.0,78166.0,78215.0,78286.0,78329.0,78369.0,78407.0,78448.0
5009773,25800.0,25882.0,25933.0,25999.0,26060.0,26089.0,26149.0,26181.0,26236.0,26312.0,26355.0,26416.0,26501.0,26554.0,26621.0,26712.0,26764.0,26828.0,26865.0,27012.0,27070.0,27177.0,27307.0,27376.0,27494.0,27580.0,27658.0,27747.0,27806.0,27907.0,28009.0,28129.0,28271.0,28496.0,28656.0,28828.0,28909.0,28972.0,29097.0,29214.0,29274.0,29324.0,29448.0,29554.0,29646.0,29754.0,29800.0,29877.0,29953.0,29994.0,30071.0,30118.0,30202.0,30249.0,30321.0,30364.0,30396.0,30422.0,30483.0,30520.0,30587.0,30656.0,30698.0,30737.0,30774.0,30814.0
