tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P
5007650,31980.0,32042.0,32111.0,32194.0,32261.0,32309.0,32374.0,32513.0,32565.0,32597.0,32794.0,32825.0,32841.0,32855.0,32895.0,32919.0,32949.0,32971.0,33012.0,33044.0,33085.0,33128.0,33150.0,33262.0,33290.0,33310.0,33405.0,33449.0,33494.0,33522.0,33587.0,33628.0,33662.0,33693.0,33712.0,33736.0,33797.0,33838.0,33876.0,33907.0,33963.0,33972.0,34000.0,34021.0,34057.0,34102.0,34120.0,34138.0,34146.0,34178.0,34196.0,34221.0,34241.0,34280.0,34380.0,34417.0,34448.0,34498.0,34566.0,34622.0,34649.0,34669.0,34730.0,34765.0,34842.0,34912.0,34944.0,34968.0,35007.0
5007652,42780.0,42865.0,42959.0,43072.0,43163.0,43229.0,43324.0,43525.0,43620.0,43679.0,43876.0,43929.0,43954.0,43976.0,44038.0,44063.0,44103.0,44130.0,44178.0,44220.0,44273.0,44329.0,44358.0,44520.0,44561.0,44590.0,44738.0,44779.0,44820.0,44849.0,44953.0,45019.0,45064.0,45098.0,45119.0,45144.0,45213.0,45288.0,45336.0,45375.0,45444.0,45465.0,45498.0,45523.0,45566.0,45613.0,45631.0,45649.0,45658.0,45693.0,45714.0,45742.0,45763.0,45815.0,45944.0,45991.0,46031.0,46096.0,46186.0,46270.0,46311.0,46335.0,46408.0,46445.0,46525.0,46598.0,46631.0,46656.0,46731.0
5007654,53580.0,53672.0,53775.0,53898.0,53998.0,54070.0,54198.0,54469.0,54559.0,54614.0,54830.0,54881.0,54915.0,54944.0,55003.0,55028.0,55058.0,55079.0,55116.0,55164.0,55224.0,55288.0,55321.0,55486.0,55528.0,55558.0,55735.0,55789.0,55837.0,55872.0,55947.0,55995.0,56040.0,56082.0,56108.0,56140.0,56214.0,56278.0,56341.0,56393.0,56477.0,56495.0,56530.0,56557.0,56603.0,56656.0,56678.0,56700.0,56711.0,56753.0,56776.0,56805.0,56830.0,56895.0,57027.0,57075.0,57116.0,57182.0,57273.0,57358.0,57400.0,57423.0,57492.0,57528.0,57608.0,57680.0,57714.0,57743.0,57810.0
5007656,64380.0,64472.0,64575.0,64698.0,64798.0,64870.0,64998.0,65269.0,65359.0,65414.0,65630.0,65681.0,65715.0,65744.0,65803.0,65828.0,65858.0,65879.0,65916.0,65964.0,66024.0,66088.0,66121.0,66286.0,66328.0,66358.0,66535.0,66589.0,66637.0,66672.0,66747.0,66795.0,66840.0,66882.0,66908.0,66940.0,67014.0,67078.0,67141.0,67193.0,67277.0,67295.0,67330.0,67357.0,67403.0,67456.0,67478.0,67500.0,67511.0,67553.0,67576.0,67605.0,67630.0,67695.0,67827.0,67875.0,67916.0,67982.0,68073.0,68158.0,68200.0,68223.0,68292.0,68328.0,68408.0,68480.0,68514.0,68543.0,68610.0
5007658,75180.0,75260.0,75349.0,75456.0,75543.0,75607.0,75740.0,76022.0,76086.0,76126.0,76313.0,76360.0,76383.0,76404.0,76459.0,76483.0,76514.0,76534.0,76570.0,76607.0,76654.0,76704.0,76730.0,76857.0,76889.0,76912.0,77027.0,77074.0,77120.0,77151.0,77227.0,77276.0,77310.0,77342.0,77361.0,77385.0,77453.0,77525.0,77580.0,77625.0,77718.0,77736.0,77771.0,77798.0,77843.0,77891.0,77910.0,77934.0,77945.0,77979.0,77997.0,78018.0,78037.0,78092.0,78196.0,78234.0,78266.0,78318.0,78390.0,78468.0,78506.0,78529.0,78598.0,78635.0,78715.0,78788.0,78822.0,78845.0,78889.0
5007917,30180.0,30242.0,30311.0,30394.0,30461.0,30509.0,30574.0,30713.0,30765.0,30797.0,30994.0,31025.0,31041.0,31055.0,31095.0,31119.0,31149.0,31171.0,31212.0,31244.0,31285.0,31328.0,31350.0,31462.0,31490.0,31510.0,31605.0,31649.0,31694.0,31722.0,31787.0,31828.0,31862.0,31893.0,31912.0,31936.0,31997.0,32038.0,32076.0,32107.0,32163.0,32172.0,32200.0,32221.0,32257.0,32302.0,32320.0,32338.0,32346.0,32378.0,32396.0,32421.0,32441.0,32480.0,32580.0,32617.0,32648.0,32698.0,32766.0,32822.0,32849.0,32869.0,32930.0,32965.0,33042.0,33112.0,33144.0,33168.0,33207.0
5007919,40980.0,41061.0,41151.0,41259.0,41346.0,41409.0,41493.0,41670.0,41760.0,41816.0,42018.0,42074.0,42096.0,42116.0,42169.0,42192.0,42225.0,42247.0,42287.0,42329.0,42383.0,42439.0,42469.0,42617.0,42655.0,42681.0,42793.0,42834.0,42872.0,42903.0,42976.0,43023.0,43058.0,43090.0,43109.0,43133.0,43207.0,43251.0,43289.0,43321.0,43385.0,43393.0,43427.0,43453.0,43496.0,43541.0,43559.0,43580.0,43590.0,43629.0,43647.0,43678.0,43698.0,43753.0,43877.0,43922.0,43961.0,44023.0,44108.0,44201.0,44247.0,44268.0,44332.0,44368.0,44446.0,44517.0,44549.0,44563.0,44637.0
5007921,62580.0,62672.0,62775.0,62898.0,62998.0,63070.0,63198.0,63469.0,63559.0,63614.0,63830.0,63881.0,63915.0,63944.0,64003.0,64028.0,64058.0,64079.0,64116.0,64164.0,64224.0,64288.0,64321.0,64486.0,64528.0,64558.0,64735.0,64789.0,64837.0,64872.0,64947.0,64995.0,65040.0,65082.0,65108.0,65140.0,65214.0,65278.0,65341.0,65393.0,65477.0,65495.0,65530.0,65557.0,65603.0,65656.0,65678.0,65700.0,65711.0,65753.0,65776.0,65805.0,65830.0,65895.0,66027.0,66075.0,66116.0,66182.0,66273.0,66358.0,66400.0,66423.0,66492.0,66528.0,66608.0,66680.0,66714.0,66743.0,66810.0
5007923,73380.0,73491.0,73614.0,73762.0,73881.0,73967.0,74118.0,74437.0,74508.0,74551.0,74829.0,74891.0,74922.0,74950.0,75009.0,75034.0,75063.0,75084.0,75121.0,75157.0,75202.0,75250.0,75275.0,75419.0,75455.0,75481.0,75635.0,75677.0,75717.0,75742.0,75828.0,75883.0,75924.0,75956.0,75976.0,76000.0,76086.0,76160.0,76210.0,76252.0,76352.0,76376.0,76411.0,76438.0,76484.0,76529.0,76548.0,76567.0,76576.0,76603.0,76625.0,76665.0,76686.0,76746.0,76889.0,76941.0,76985.0,77056.0,77155.0,77223.0,77256.0,77276.0,77336.0,77375.0,77460.0,77537.0,77573.0,77610.0,77678.0
5007925,84180.0,84260.0,84349.0,84456.0,84543.0,84607.0,84740.0,85022.0,85086.0,85126.0,85313.0,85360.0,85383.0,85404.0,85459.0,85483.0,85514.0,85534.0,85570.0,85607.0,85654.0,85704.0,85730.0,85857.0,85889.0,85912.0,86027.0,86074.0,86120.0,86151.0,86227.0,86276.0,86310.0,86342.0,86361.0,86385.0,86453.0,86525.0,86580.0,86625.0,86718.0,86736.0,86771.0,86798.0,86843.0,86891.0,86910.0,86934.0,86945.0,86979.0,86997.0,87018.0,87037.0,87092.0,87196.0,87234.0,87266.0,87318.0,87390.0,87468.0,87506.0,87529.0,87598.0,87635.0,87715.0,87788.0,87822.0,87845.0,87889.0
