tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
5011029,23400.0,23619.0,23748.0,23932.0,24027.0,24059.0,24113.0,24143.0,24225.0,24247.0,24299.0,24334.0,24401.0,24437.0,24477.0,24517.0,24557.0,24596.0,24642.0,24679.0,24732.0,24774.0,24798.0,24840.0,24868.0,24897.0,24960.0,25001.0,25054.0,25132.0,25147.0,25178.0,25197.0,25220.0,25261.0,25334.0,25383.0,25465.0,25537.0,25567.0,25636.0,25669.0,25730.0,25752.0,25772.0,25791.0,25815.0,25831.0,25861.0,25889.0,25936.0,25979.0,26044.0,26096.0,26132.0,26161.0,26188.0,26218.0,26257.0,26289.0,26376.0
5011035,58500.0,58762.0,58976.0,59280.0,59437.0,59465.0,59537.0,59577.0,59686.0,59714.0,59778.0,59832.0,59934.0,59989.0,60050.0,60110.0,60205.0,60297.0,60408.0,60453.0,60518.0,60585.0,60624.0,60685.0,60726.0,60768.0,60873.0,60943.0,61042.0,61184.0,61212.0,61260.0,61289.0,61324.0,61388.0,61504.0,61624.0,61824.0,61947.0,61998.0,62113.0,62153.0,62259.0,62300.0,62337.0,62372.0,62417.0,62450.0,62494.0,62534.0,62602.0,62663.0,62755.0,62828.0,62900.0,62957.0,63011.0,63069.0,63117.0,63157.0,63262.0
5011375,30600.0,30729.0,30874.0,31080.0,31185.0,31217.0,31272.0,31303.0,31386.0,31416.0,31484.0,31510.0,31558.0,31597.0,31640.0,31683.0,31708.0,31732.0,31760.0,31772.0,31790.0,31811.0,31824.0,31870.0,31900.0,31932.0,31986.0,32021.0,32070.0,32153.0,32170.0,32202.0,32222.0,32245.0,32293.0,32380.0,32424.0,32497.0,32555.0,32579.0,32633.0,32663.0,32724.0,32744.0,32762.0,32779.0,32801.0,32816.0,32851.0,32883.0,32938.0,32988.0,33034.0,33070.0,33107.0,33137.0,33165.0,33196.0,33231.0,33259.0,33335.0
5011379,51300.0,51536.0,51730.0,52006.0,52149.0,52174.0,52233.0,52266.0,52355.0,52379.0,52433.0,52469.0,52537.0,52573.0,52614.0,52654.0,52693.0,52731.0,52776.0,52797.0,52828.0,52869.0,52893.0,52942.0,52976.0,53011.0,53097.0,53153.0,53220.0,53308.0,53325.0,53361.0,53383.0,53410.0,53478.0,53600.0,53694.0,53852.0,53970.0,54019.0,54130.0,54161.0,54238.0,54274.0,54307.0,54338.0,54377.0,54406.0,54447.0,54485.0,54548.0,54605.0,54683.0,54746.0,54799.0,54842.0,54882.0,54925.0,54959.0,54987.0,55063.0
5011959,32400.0,32669.0,32933.0,33308.0,33501.0,33531.0,33597.0,33634.0,33734.0,33759.0,33816.0,33862.0,33949.0,33995.0,34047.0,34098.0,34159.0,34218.0,34289.0,34331.0,34392.0,34446.0,34477.0,34544.0,34580.0,34617.0,34710.0,34771.0,34862.0,34972.0,34994.0,35034.0,35059.0,35089.0,35154.0,35271.0,35347.0,35474.0,35577.0,35620.0,35716.0,35751.0,35825.0,35858.0,35888.0,35916.0,35952.0,35979.0,36016.0,36050.0,36107.0,36158.0,36231.0,36290.0,36346.0,36390.0,36432.0,36477.0,36521.0,36557.0,36653.0
5011961,43200.0,43473.0,43663.0,43933.0,44072.0,44100.0,44167.0,44205.0,44307.0,44335.0,44398.0,44441.0,44522.0,44565.0,44613.0,44661.0,44716.0,44769.0,44833.0,44867.0,44915.0,44964.0,44992.0,45047.0,45084.0,45122.0,45212.0,45272.0,45376.0,45489.0,45511.0,45553.0,45579.0,45611.0,45672.0,45783.0,45876.0,46033.0,46148.0,46196.0,46305.0,46343.0,46433.0,46469.0,46502.0,46533.0,46573.0,46602.0,46645.0,46685.0,46752.0,46812.0,46890.0,46953.0,47014.0,47063.0,47109.0,47158.0,47204.0,47242.0,47342.0
5011963,54000.0,54273.0,54463.0,54733.0,54872.0,54900.0,54967.0,55005.0,55107.0,55135.0,55198.0,55241.0,55322.0,55365.0,55413.0,55461.0,55516.0,55569.0,55633.0,55667.0,55715.0,55764.0,55792.0,55847.0,55884.0,55922.0,56012.0,56072.0,56176.0,56289.0,56311.0,56353.0,56379.0,56411.0,56472.0,56583.0,56676.0,56833.0,56948.0,56996.0,57105.0,57143.0,57233.0,57269.0,57302.0,57333.0,57373.0,57402.0,57445.0,57485.0,57552.0,57612.0,57690.0,57753.0,57814.0,57863.0,57909.0,57958.0,58004.0,58042.0,58142.0
5012166,29400.0,29593.0,29706.0,29867.0,29951.0,29971.0,30004.0,30023.0,30074.0,30092.0,30132.0,30170.0,30243.0,30278.0,30317.0,30356.0,30381.0,30405.0,30435.0,30463.0,30502.0,30539.0,30561.0,30614.0,30650.0,30687.0,30752.0,30795.0,30841.0,30936.0,30955.0,30986.0,31005.0,31029.0,31067.0,31135.0,31182.0,31262.0,31330.0,31358.0,31423.0,31451.0,31515.0,31539.0,31561.0,31582.0,31609.0,31629.0,31659.0,31687.0,31734.0,31777.0,31835.0,31882.0,31923.0,31956.0,31987.0,32019.0,32079.0,32129.0,32262.0
5013136,27000.0,27292.0,27482.0,27752.0,27891.0,27930.0,28003.0,28044.0,28156.0,28182.0,28242.0,28292.0,28387.0,28439.0,28497.0,28555.0,28611.0,28665.0,28731.0,28789.0,28872.0,28924.0,28955.0,29014.0,29051.0,29090.0,29167.0,29217.0,29302.0,29409.0,29430.0,29469.0,29493.0,29523.0,29580.0,29682.0,29756.0,29880.0,29980.0,30022.0,30116.0,30156.0,30239.0,30273.0,30304.0,30333.0,30370.0,30397.0,30439.0,30478.0,30544.0,30603.0,30685.0,30750.0,30804.0,30847.0,30887.0,30931.0,30981.0,31022.0,31133.0
5013138,37800.0,38073.0,38263.0,38533.0,38672.0,38700.0,38767.0,38805.0,38907.0,38935.0,38998.0,39041.0,39122.0,39165.0,39213.0,39261.0,39316.0,39369.0,39433.0,39467.0,39515.0,39564.0,39592.0,39647.0,39684.0,39722.0,39812.0,39872.0,39976.0,40089.0,40111.0,40153.0,40179.0,40211.0,40272.0,40383.0,40476.0,40633.0,40748.0,40796.0,40905.0,40943.0,41033.0,41069.0,41102.0,41133.0,41173.0,41202.0,41245.0,41285.0,41352.0,41412.0,41490.0,41553.0,41614.0,41663.0,41709.0,41758.0,41804.0,41842.0,41942.0
5013140,48600.0,48873.0,49063.0,49333.0,49472.0,49500.0,49567.0,49605.0,49707.0,49735.0,49798.0,49841.0,49922.0,49965.0,50013.0,50061.0,50116.0,50169.0,50233.0,50267.0,50315.0,50364.0,50392.0,50447.0,50484.0,50522.0,50612.0,50672.0,50776.0,50889.0,50911.0,50953.0,50979.0,51011.0,51072.0,51183.0,51276.0,51433.0,51548.0,51596.0,51705.0,51743.0,51833.0,51869.0,51902.0,51933.0,51973.0,52002.0,52045.0,52085.0,52152.0,52212.0,52290.0,52353.0,52414.0,52463.0,52509.0,52558.0,52604.0,52642.0,52742.0
