tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P
5088778,36000.0,36006.0,36077.0,36118.0,36188.0,36266.0,36370.0,36437.0,36463.0,36490.0,36533.0,36584.0,36625.0,36658.0,36706.0,36749.0,36773.0,36796.0,36812.0,36836.0,36865.0,36894.0,36932.0,36955.0,36995.0,37064.0,37119.0,37159.0,37169.0,37205.0,37220.0,37256.0,37278.0,37358.0,37386.0,37423.0
5088780,41400.0,41408.0,41507.0,41565.0,41663.0,41760.0,41867.0,41935.0,41969.0,42006.0,42051.0,42104.0,42143.0,42174.0,42219.0,42259.0,42282.0,42325.0,42354.0,42398.0,42428.0,42458.0,42498.0,42529.0,42583.0,42656.0,42715.0,42763.0,42775.0,42819.0,42836.0,42875.0,42900.0,42987.0,43017.0,43058.0
5088784,52200.0,52212.0,52353.0,52436.0,52574.0,52673.0,52761.0,52817.0,52847.0,52879.0,52918.0,52965.0,53009.0,53045.0,53097.0,53143.0,53170.0,53211.0,53239.0,53276.0,53315.0,53354.0,53405.0,53432.0,53481.0,53567.0,53636.0,53683.0,53695.0,53737.0,53753.0,53791.0,53815.0,53900.0,53930.0,53970.0
5088786,57600.0,57610.0,57733.0,57805.0,57927.0,58045.0,58179.0,58265.0,58299.0,58336.0,58380.0,58431.0,58474.0,58509.0,58560.0,58605.0,58631.0,58674.0,58702.0,58738.0,58776.0,58813.0,58863.0,58887.0,58931.0,59005.0,59065.0,59114.0,59126.0,59171.0,59187.0,59226.0,59250.0,59336.0,59366.0,59407.0
5088788,63000.0,63015.0,63193.0,63297.0,63471.0,63584.0,63683.0,63747.0,63784.0,63823.0,63886.0,63961.0,63998.0,64028.0,64071.0,64110.0,64132.0,64185.0,64221.0,64252.0,64288.0,64323.0,64370.0,64405.0,64467.0,64538.0,64594.0,64631.0,64640.0,64674.0,64698.0,64756.0,64792.0,64921.0,64966.0,65026.0
5088790,68400.0,68411.0,68549.0,68630.0,68766.0,68873.0,68971.0,69034.0,69072.0,69113.0,69153.0,69201.0,69251.0,69292.0,69351.0,69404.0,69433.0,69476.0,69505.0,69540.0,69571.0,69602.0,69643.0,69678.0,69740.0,69793.0,69835.0,69884.0,69896.0,69941.0,69957.0,69995.0,70019.0,70103.0,70132.0,70171.0
5088792,73800.0,73811.0,73944.0,74022.0,74152.0,74245.0,74335.0,74393.0,74432.0,74474.0,74524.0,74583.0,74622.0,74654.0,74700.0,74741.0,74764.0,74808.0,74838.0,74878.0,74918.0,74957.0,75010.0,75040.0,75094.0,75155.0,75203.0,75248.0,75259.0,75300.0,75319.0,75363.0,75391.0,75490.0,75524.0,75570.0
5088794,79200.0,79211.0,79344.0,79422.0,79552.0,79645.0,79735.0,79793.0,79832.0,79874.0,79924.0,79983.0,80022.0,80054.0,80100.0,80141.0,80164.0,80208.0,80238.0,80278.0,80318.0,80357.0,80410.0,80440.0,80494.0,80555.0,80603.0,80648.0,80659.0,80700.0,80719.0,80763.0,80791.0,80890.0,80924.0,80970.0
5088796,84600.0,84611.0,84744.0,84822.0,84952.0,85045.0,85135.0,85193.0,85232.0,85274.0,85324.0,85383.0,85422.0,85454.0,85500.0,85541.0,85564.0,85608.0,85638.0,85678.0,85718.0,85757.0,85810.0,85840.0,85894.0,85955.0,86003.0,86048.0,86059.0,86100.0,86119.0,86163.0,86191.0,86290.0,86324.0,86370.0
5090530,34200.0,34206.0,34277.0,34318.0,34388.0,34466.0,34570.0,34637.0,34663.0,34690.0,34733.0,34784.0,34825.0,34858.0,34906.0,34949.0,34973.0,34996.0,35012.0,35036.0,35065.0,35094.0,35132.0,35155.0,35195.0,35264.0,35319.0,35359.0,35369.0,35405.0,35420.0,35456.0,35478.0,35558.0,35586.0,35623.0
