tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
5008911,76200.0,76270.0,76384.0,76441.0,76496.0,76558.0,76621.0,76651.0,76762.0,76845.0,76887.0,76942.0,76989.0,77071.0,77108.0,77138.0,77189.0,77214.0,77242.0,77302.0,77342.0,77398.0,77447.0,77464.0,77488.0,77512.0,77550.0,77587.0,77610.0,77653.0,77694.0,77735.0,77759.0,77800.0,77838.0,77863.0,77899.0,77931.0,77956.0,78000.0,78051.0,78185.0,78256.0,78505.0
5009755,41400.0,41484.0,41621.0,41695.0,41755.0,41823.0,41916.0,41960.0,42122.0,42244.0,42303.0,42382.0,42439.0,42540.0,42600.0,42650.0,42715.0,42747.0,42783.0,42862.0,42915.0,42988.0,43064.0,43090.0,43126.0,43163.0,43239.0,43315.0,43348.0,43431.0,43509.0,43580.0,43622.0,43694.0,43759.0,43809.0,43882.0,43939.0,43983.0,44043.0,44111.0,44249.0,44318.0,44560.0
5009757,50400.0,50483.0,50619.0,50701.0,50776.0,50861.0,50943.0,50982.0,51126.0,51234.0,51298.0,51384.0,51446.0,51535.0,51584.0,51625.0,51689.0,51724.0,51763.0,51848.0,51905.0,51985.0,52049.0,52071.0,52101.0,52132.0,52202.0,52272.0,52316.0,52401.0,52480.0,52562.0,52610.0,52692.0,52766.0,52850.0,52970.0,53022.0,53061.0,53127.0,53203.0,53383.0,53456.0,53713.0
5009759,59400.0,59484.0,59621.0,59698.0,59772.0,59856.0,59943.0,59984.0,60136.0,60250.0,60306.0,60373.0,60428.0,60531.0,60579.0,60618.0,60684.0,60717.0,60753.0,60832.0,60885.0,60959.0,61010.0,61028.0,61052.0,61076.0,61127.0,61178.0,61210.0,61281.0,61347.0,61410.0,61447.0,61510.0,61566.0,61608.0,61668.0,61715.0,61751.0,61808.0,61872.0,62017.0,62091.0,62352.0
5010116,25800.0,25874.0,25994.0,26067.0,26136.0,26214.0,26302.0,26343.0,26497.0,26612.0,26671.0,26745.0,26812.0,26935.0,26987.0,27031.0,27105.0,27163.0,27228.0,27370.0,27465.0,27597.0,27683.0,27713.0,27754.0,27796.0,27900.0,28002.0,28058.0,28154.0,28243.0,28345.0,28405.0,28507.0,28599.0,28682.0,28802.0,28856.0,28897.0,29014.0,29147.0,29364.0,29444.0,29724.0
5010118,35100.0,35194.0,35349.0,35423.0,35493.0,35573.0,35663.0,35705.0,35862.0,35981.0,36040.0,36119.0,36184.0,36295.0,36338.0,36373.0,36437.0,36467.0,36501.0,36575.0,36624.0,36692.0,36753.0,36774.0,36803.0,36832.0,36887.0,36942.0,36980.0,37077.0,37168.0,37242.0,37286.0,37361.0,37429.0,37506.0,37617.0,37676.0,37721.0,37830.0,37954.0,38205.0,38276.0,38527.0
5010120,44100.0,44184.0,44321.0,44402.0,44471.0,44550.0,44650.0,44697.0,44873.0,45005.0,45061.0,45146.0,45208.0,45306.0,45351.0,45388.0,45449.0,45484.0,45523.0,45609.0,45667.0,45748.0,45811.0,45833.0,45863.0,45894.0,45957.0,46019.0,46052.0,46131.0,46204.0,46265.0,46301.0,46363.0,46419.0,46482.0,46572.0,46625.0,46665.0,46724.0,46791.0,46945.0,47018.0,47273.0
5010122,53100.0,53184.0,53321.0,53402.0,53471.0,53550.0,53650.0,53697.0,53873.0,54005.0,54061.0,54146.0,54208.0,54306.0,54351.0,54388.0,54449.0,54484.0,54523.0,54609.0,54667.0,54748.0,54811.0,54833.0,54863.0,54894.0,54957.0,55019.0,55052.0,55131.0,55204.0,55265.0,55301.0,55363.0,55419.0,55482.0,55572.0,55625.0,55665.0,55724.0,55791.0,55945.0,56018.0,56273.0
5010124,62100.0,62181.0,62314.0,62452.0,62520.0,62597.0,62706.0,62757.0,62948.0,63092.0,63150.0,63229.0,63289.0,63403.0,63459.0,63505.0,63568.0,63601.0,63638.0,63719.0,63773.0,63850.0,63910.0,63931.0,63960.0,63988.0,64054.0,64120.0,64157.0,64232.0,64303.0,64360.0,64393.0,64450.0,64502.0,64552.0,64624.0,64679.0,64721.0,64787.0,64861.0,65035.0,65113.0,65387.0
5010126,72000.0,72074.0,72196.0,72259.0,72323.0,72396.0,72477.0,72515.0,72657.0,72763.0,72817.0,72890.0,72948.0,73046.0,73092.0,73131.0,73190.0,73217.0,73247.0,73312.0,73355.0,73415.0,73468.0,73486.0,73511.0,73538.0,73604.0,73670.0,73704.0,73789.0,73869.0,73926.0,73959.0,74016.0,74069.0,74118.0,74188.0,74228.0,74259.0,74310.0,74368.0,74517.0,74592.0,74855.0
5015646,24300.0,24374.0,24495.0,24569.0,24630.0,24699.0,24774.0,24809.0,24940.0,25039.0,25091.0,25156.0,25231.0,25330.0,25365.0,25395.0,25452.0,25483.0,25518.0,25594.0,25645.0,25716.0,25782.0,25805.0,25837.0,25869.0,25942.0,26015.0,26062.0,26148.0,26228.0,26310.0,26358.0,26440.0,26514.0,26583.0,26682.0,26709.0,26730.0,26799.0,26878.0,27062.0,27132.0,27378.0
5015648,33300.0,33394.0,33549.0,33623.0,33693.0,33773.0,33863.0,33905.0,34062.0,34181.0,34240.0,34319.0,34384.0,34495.0,34538.0,34573.0,34637.0,34667.0,34701.0,34775.0,34824.0,34892.0,34953.0,34974.0,35003.0,35032.0,35087.0,35142.0,35180.0,35277.0,35368.0,35442.0,35486.0,35561.0,35629.0,35706.0,35817.0,35876.0,35921.0,36030.0,36154.0,36405.0,36476.0,36727.0
5015650,42300.0,42382.0,42515.0,42588.0,42654.0,42729.0,42829.0,42876.0,43052.0,43186.0,43241.0,43318.0,43376.0,43472.0,43514.0,43549.0,43609.0,43639.0,43673.0,43747.0,43796.0,43864.0,43924.0,43945.0,43974.0,44002.0,44064.0,44126.0,44156.0,44225.0,44290.0,44346.0,44379.0,44435.0,44485.0,44554.0,44653.0,44703.0,44741.0,44810.0,44888.0,45057.0,45131.0,45392.0
5015652,51300.0,51384.0,51521.0,51602.0,51671.0,51750.0,51850.0,51897.0,52073.0,52205.0,52261.0,52346.0,52408.0,52506.0,52551.0,52588.0,52649.0,52684.0,52723.0,52809.0,52867.0,52948.0,53011.0,53033.0,53063.0,53094.0,53157.0,53219.0,53252.0,53331.0,53404.0,53465.0,53501.0,53563.0,53619.0,53682.0,53772.0,53825.0,53865.0,53924.0,53991.0,54145.0,54218.0,54473.0
5015654,60300.0,60379.0,60509.0,60610.0,60678.0,60756.0,60851.0,60896.0,61063.0,61190.0,61248.0,61337.0,61398.0,61507.0,61559.0,61602.0,61668.0,61705.0,61746.0,61835.0,61895.0,61978.0,62034.0,62053.0,62080.0,62108.0,62168.0,62228.0,62263.0,62335.0,62402.0,62459.0,62492.0,62549.0,62600.0,62652.0,62727.0,62772.0,62806.0,62870.0,62942.0,63130.0,63206.0,63473.0
5015656,69300.0,69374.0,69496.0,69559.0,69623.0,69696.0,69777.0,69815.0,69957.0,70063.0,70117.0,70190.0,70248.0,70346.0,70392.0,70431.0,70490.0,70517.0,70547.0,70612.0,70655.0,70715.0,70768.0,70786.0,70811.0,70838.0,70904.0,70970.0,71004.0,71089.0,71169.0,71226.0,71259.0,71316.0,71369.0,71418.0,71488.0,71528.0,71559.0,71610.0,71668.0,71817.0,71892.0,72155.0
