tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
5091589,44400.0,44434.0,44459.0,44484.0,44528.0,44592.0,44624.0,44660.0,44723.0,44754.0,44787.0,44833.0,44894.0,44926.0,45007.0,45047.0,45093.0,45170.0,45234.0,45286.0,45342.0,45393.0,45441.0,45494.0,45584.0,45630.0,45678.0,45728.0,45782.0,45817.0,45880.0,45907.0,45997.0,46056.0,46123.0,46280.0,46359.0,46438.0,46516.0
5091591,50400.0,50434.0,50459.0,50484.0,50528.0,50592.0,50624.0,50660.0,50723.0,50754.0,50787.0,50833.0,50894.0,50926.0,51007.0,51047.0,51093.0,51170.0,51234.0,51286.0,51342.0,51393.0,51441.0,51494.0,51584.0,51630.0,51678.0,51728.0,51782.0,51817.0,51880.0,51907.0,51997.0,52056.0,52123.0,52280.0,52359.0,52438.0,52516.0
5091593,56400.0,56442.0,56473.0,56504.0,56559.0,56638.0,56678.0,56722.0,56800.0,56836.0,56876.0,56930.0,57002.0,57039.0,57135.0,57183.0,57238.0,57385.0,57465.0,57531.0,57587.0,57638.0,57685.0,57738.0,57832.0,57880.0,57931.0,57983.0,58036.0,58069.0,58119.0,58140.0,58221.0,58274.0,58334.0,58507.0,58584.0,58661.0,58739.0
5091595,63600.0,63635.0,63661.0,63687.0,63733.0,63799.0,63832.0,63869.0,63934.0,63967.0,64002.0,64045.0,64102.0,64132.0,64209.0,64247.0,64290.0,64402.0,64479.0,64542.0,64595.0,64643.0,64686.0,64734.0,64816.0,64858.0,64902.0,64946.0,64998.0,65031.0,65078.0,65098.0,65167.0,65212.0,65264.0,65395.0,65470.0,65545.0,65619.0
5091598,78600.0,78627.0,78647.0,78667.0,78703.0,78754.0,78780.0,78809.0,78859.0,78879.0,78901.0,78924.0,78954.0,78970.0,79010.0,79030.0,79053.0,79116.0,79159.0,79194.0,79231.0,79265.0,79290.0,79318.0,79375.0,79404.0,79434.0,79465.0,79502.0,79525.0,79568.0,79586.0,79640.0,79675.0,79716.0,79834.0,79912.0,79990.0,80068.0
5091600,84000.0,84027.0,84047.0,84067.0,84103.0,84154.0,84180.0,84209.0,84259.0,84279.0,84301.0,84324.0,84354.0,84370.0,84410.0,84430.0,84453.0,84516.0,84559.0,84594.0,84631.0,84665.0,84690.0,84718.0,84775.0,84804.0,84834.0,84865.0,84902.0,84925.0,84968.0,84986.0,85040.0,85075.0,85116.0,85234.0,85312.0,85390.0,85468.0
5092208,45900.0,45931.0,45953.0,45976.0,46016.0,46073.0,46102.0,46134.0,46189.0,46223.0,46260.0,46295.0,46342.0,46366.0,46429.0,46460.0,46497.0,46542.0,46606.0,46658.0,46708.0,46753.0,46784.0,46819.0,46885.0,46919.0,46954.0,46990.0,47038.0,47069.0,47131.0,47157.0,47240.0,47294.0,47357.0,47470.0,47547.0,47624.0,47700.0
5092212,56700.0,56728.0,56749.0,56770.0,56807.0,56860.0,56887.0,56917.0,56969.0,57004.0,57041.0,57078.0,57127.0,57152.0,57217.0,57249.0,57287.0,57334.0,57355.0,57373.0,57407.0,57439.0,57471.0,57506.0,57572.0,57606.0,57642.0,57678.0,57730.0,57763.0,57813.0,57834.0,57886.0,57920.0,57958.0,58096.0,58169.0,58242.0,58314.0
5092214,62100.0,62127.0,62147.0,62167.0,62202.0,62253.0,62278.0,62306.0,62356.0,62384.0,62414.0,62443.0,62482.0,62502.0,62554.0,62580.0,62609.0,62653.0,62710.0,62756.0,62796.0,62833.0,62857.0,62884.0,62968.0,63011.0,63056.0,63103.0,63141.0,63166.0,63221.0,63245.0,63317.0,63364.0,63417.0,63540.0,63640.0,63740.0,63841.0
5092218,72900.0,72937.0,72964.0,72991.0,73039.0,73109.0,73144.0,73183.0,73250.0,73280.0,73312.0,73344.0,73387.0,73409.0,73466.0,73494.0,73527.0,73585.0,73620.0,73649.0,73694.0,73735.0,73760.0,73787.0,73847.0,73878.0,73910.0,73942.0,73987.0,74015.0,74061.0,74080.0,74132.0,74166.0,74206.0,74305.0,74385.0,74465.0,74546.0
