tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5088602,42300.0,42370.0,42411.0,42475.0,42515.0,42545.0,42578.0,42632.0,42705.0,42774.0,42811.0,42879.0,43007.0,43134.0,43254.0,43440.0,43543.0,43611.0,43655.0,43710.0,43760.0,43806.0,43841.0,43892.0,43940.0,43971.0,44038.0,44087.0,44115.0,44140.0,44179.0,44230.0,44278.0,44313.0,44370.0,44409.0,44444.0,44516.0,44554.0,44594.0,44626.0,44688.0,44724.0,44749.0,44778.0,44804.0,44835.0,44857.0,44905.0,44982.0,45018.0,45070.0,45130.0,45177.0,45213.0,45234.0,45285.0,45381.0,45464.0
5088606,61800.0,61868.0,61908.0,61971.0,62010.0,62037.0,62068.0,62135.0,62230.0,62320.0,62367.0,62442.0,62575.0,62707.0,62833.0,63029.0,63137.0,63213.0,63262.0,63324.0,63381.0,63439.0,63483.0,63531.0,63577.0,63609.0,63684.0,63740.0,63768.0,63793.0,63833.0,63889.0,63941.0,63985.0,64055.0,64117.0,64162.0,64257.0,64296.0,64374.0,64417.0,64500.0,64539.0,64566.0,64591.0,64614.0,64642.0,64662.0,64708.0,64781.0,64816.0,64874.0,64941.0,64994.0,65026.0,65045.0,65091.0,65163.0,65225.0
5088754,27360.0,27475.0,27543.0,27650.0,27716.0,27776.0,27843.0,28006.0,28163.0,28311.0,28390.0,28485.0,28628.0,28769.0,28954.0,29240.0,29399.0,29517.0,29594.0,29680.0,29758.0,29825.0,29876.0,29939.0,30000.0,30050.0,30146.0,30218.0,30257.0,30290.0,30353.0,30425.0,30492.0,30540.0,30618.0,30673.0,30726.0,30834.0,30877.0,30940.0,30985.0,31071.0,31112.0,31142.0,31191.0,31235.0,31288.0,31326.0,31395.0,31505.0,31557.0,31621.0,31695.0,31765.0,31808.0,31834.0,31896.0,31997.0,32083.0
5088756,38700.0,38778.0,38824.0,38896.0,38940.0,38972.0,39008.0,39091.0,39201.0,39305.0,39360.0,39445.0,39576.0,39705.0,39862.0,40105.0,40240.0,40330.0,40389.0,40455.0,40515.0,40564.0,40602.0,40657.0,40709.0,40742.0,40854.0,40937.0,40967.0,40993.0,41052.0,41115.0,41174.0,41215.0,41280.0,41334.0,41381.0,41476.0,41512.0,41570.0,41605.0,41673.0,41713.0,41742.0,41775.0,41805.0,41841.0,41868.0,41928.0,42023.0,42068.0,42121.0,42182.0,42253.0,42295.0,42320.0,42380.0,42465.0,42538.0
5088758,48960.0,49033.0,49076.0,49143.0,49185.0,49217.0,49253.0,49331.0,49430.0,49524.0,49574.0,49645.0,49782.0,49917.0,50082.0,50338.0,50480.0,50574.0,50636.0,50703.0,50765.0,50824.0,50868.0,50928.0,50985.0,51030.0,51143.0,51227.0,51260.0,51288.0,51350.0,51420.0,51486.0,51534.0,51612.0,51672.0,51725.0,51822.0,51866.0,51937.0,51978.0,52056.0,52103.0,52137.0,52181.0,52220.0,52268.0,52302.0,52373.0,52486.0,52539.0,52599.0,52669.0,52741.0,52784.0,52809.0,52870.0,52949.0,53017.0
5088760,60300.0,60386.0,60436.0,60515.0,60565.0,60610.0,60662.0,60821.0,60929.0,61031.0,61085.0,61172.0,61300.0,61426.0,61620.0,61921.0,62088.0,62196.0,62266.0,62351.0,62429.0,62506.0,62564.0,62646.0,62725.0,62769.0,62858.0,62924.0,62958.0,62987.0,63048.0,63130.0,63206.0,63261.0,63348.0,63424.0,63476.0,63595.0,63646.0,63721.0,63768.0,63857.0,63908.0,63945.0,63988.0,64027.0,64073.0,64106.0,64171.0,64275.0,64324.0,64380.0,64445.0,64515.0,64552.0,64574.0,64626.0,64704.0,64770.0
5088762,71400.0,71465.0,71503.0,71564.0,71602.0,71631.0,71663.0,71749.0,71827.0,71900.0,71939.0,72011.0,72115.0,72218.0,72345.0,72542.0,72652.0,72729.0,72780.0,72847.0,72908.0,72963.0,73005.0,73050.0,73093.0,73125.0,73211.0,73275.0,73304.0,73329.0,73386.0,73448.0,73505.0,73546.0,73612.0,73672.0,73710.0,73799.0,73838.0,73902.0,73938.0,74008.0,74048.0,74076.0,74105.0,74131.0,74162.0,74184.0,74232.0,74309.0,74345.0,74397.0,74457.0,74508.0,74540.0,74559.0,74606.0,74670.0,74724.0
5089044,54600.0,54668.0,54708.0,54771.0,54810.0,54834.0,54862.0,54927.0,54994.0,55058.0,55092.0,55154.0,55276.0,55396.0,55527.0,55731.0,55844.0,55912.0,55956.0,56017.0,56072.0,56116.0,56149.0,56203.0,56255.0,56285.0,56391.0,56470.0,56505.0,56535.0,56593.0,56656.0,56715.0,56763.0,56840.0,56892.0,56956.0,57051.0,57087.0,57132.0,57168.0,57237.0,57274.0,57300.0,57331.0,57359.0,57392.0,57416.0,57460.0,57529.0,57562.0,57616.0,57679.0,57748.0,57785.0,57807.0,57861.0,57906.0,57945.0
5089046,64200.0,64274.0,64317.0,64385.0,64428.0,64463.0,64503.0,64542.0,64621.0,64696.0,64736.0,64817.0,64945.0,65071.0,65227.0,65469.0,65603.0,65696.0,65757.0,65825.0,65888.0,65948.0,65993.0,66059.0,66122.0,66150.0,66246.0,66317.0,66338.0,66357.0,66399.0,66461.0,66519.0,66558.0,66620.0,66680.0,66746.0,66837.0,66886.0,66947.0,66991.0,67075.0,67116.0,67145.0,67170.0,67193.0,67221.0,67241.0,67290.0,67368.0,67404.0,67457.0,67518.0,67571.0,67605.0,67625.0,67674.0,67707.0,67735.0
5089050,82800.0,82854.0,82886.0,82936.0,82968.0,82995.0,83026.0,83070.0,83133.0,83193.0,83225.0,83270.0,83365.0,83460.0,83586.0,83781.0,83889.0,83966.0,84017.0,84073.0,84125.0,84178.0,84218.0,84257.0,84295.0,84322.0,84375.0,84415.0,84437.0,84456.0,84492.0,84547.0,84599.0,84634.0,84691.0,84741.0,84778.0,84861.0,84900.0,84944.0,84978.0,85042.0,85079.0,85106.0,85131.0,85154.0,85181.0,85201.0,85236.0,85292.0,85319.0,85365.0,85418.0,85456.0,85487.0,85506.0,85551.0,85583.0,85611.0
5089199,22500.0,22565.0,22603.0,22664.0,22702.0,22731.0,22763.0,22849.0,22927.0,23000.0,23039.0,23111.0,23215.0,23318.0,23445.0,23642.0,23752.0,23829.0,23880.0,23947.0,24008.0,24063.0,24105.0,24150.0,24193.0,24225.0,24311.0,24375.0,24404.0,24429.0,24486.0,24548.0,24605.0,24646.0,24712.0,24772.0,24810.0,24899.0,24938.0,25002.0,25038.0,25108.0,25148.0,25176.0,25205.0,25231.0,25262.0,25284.0,25332.0,25409.0,25445.0,25497.0,25557.0,25608.0,25640.0,25659.0,25706.0,25770.0,25824.0
5089451,45000.0,45070.0,45111.0,45175.0,45215.0,45245.0,45278.0,45332.0,45405.0,45474.0,45511.0,45579.0,45707.0,45834.0,45954.0,46140.0,46243.0,46311.0,46355.0,46410.0,46460.0,46506.0,46541.0,46592.0,46640.0,46671.0,46738.0,46787.0,46815.0,46840.0,46879.0,46930.0,46978.0,47013.0,47070.0,47109.0,47144.0,47216.0,47254.0,47294.0,47326.0,47388.0,47424.0,47449.0,47478.0,47504.0,47535.0,47557.0,47605.0,47682.0,47718.0,47770.0,47830.0,47877.0,47913.0,47934.0,47985.0,48081.0,48164.0
