tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5015820,54000.0,54205.0,54351.0,54423.0,54490.0,54624.0,54743.0,54788.0,54833.0,54880.0,54939.0,55020.0,55096.0,55137.0,55184.0,55211.0,55249.0,55275.0,55299.0,55340.0,55395.0,55458.0,55477.0,55493.0,55528.0,55605.0,55685.0,55740.0,55840.0,55864.0,55890.0,55965.0,56003.0,56046.0,56099.0,56153.0,56184.0,56212.0,56296.0,56367.0,56447.0,56521.0,56582.0,56613.0,56663.0,56716.0,56754.0,56794.0,56828.0,56852.0,56918.0,56981.0,57002.0,57055.0,57106.0,57129.0,57193.0,57224.0,57252.0
5015822,64800.0,65081.0,65280.0,65379.0,65471.0,65655.0,65820.0,65879.0,65940.0,65983.0,66037.0,66111.0,66180.0,66236.0,66300.0,66341.0,66400.0,66440.0,66477.0,66540.0,66596.0,66660.0,66692.0,66720.0,66780.0,66868.0,66960.0,67023.0,67140.0,67169.0,67200.0,67280.0,67320.0,67374.0,67440.0,67500.0,67560.0,67620.0,67680.0,67750.0,67829.0,67902.0,67961.0,67992.0,68040.0,68090.0,68126.0,68164.0,68196.0,68219.0,68280.0,68363.0,68391.0,68460.0,68507.0,68528.0,68586.0,68614.0,68640.0
5015824,75600.0,75795.0,75934.0,75979.0,76021.0,76106.0,76183.0,76213.0,76243.0,76266.0,76295.0,76335.0,76371.0,76405.0,76444.0,76466.0,76498.0,76519.0,76539.0,76573.0,76590.0,76609.0,76626.0,76640.0,76673.0,76720.0,76769.0,76828.0,76935.0,76958.0,76983.0,77064.0,77104.0,77155.0,77218.0,77257.0,77307.0,77345.0,77383.0,77436.0,77496.0,77551.0,77596.0,77619.0,77657.0,77701.0,77733.0,77767.0,77795.0,77815.0,77869.0,77927.0,77946.0,77996.0,78039.0,78058.0,78111.0,78137.0,78160.0
5015826,84600.0,84795.0,84934.0,84979.0,85021.0,85106.0,85183.0,85213.0,85243.0,85266.0,85295.0,85335.0,85371.0,85405.0,85444.0,85466.0,85498.0,85519.0,85539.0,85573.0,85590.0,85609.0,85626.0,85640.0,85673.0,85720.0,85769.0,85828.0,85935.0,85958.0,85983.0,86064.0,86104.0,86155.0,86218.0,86257.0,86307.0,86345.0,86383.0,86436.0,86496.0,86551.0,86596.0,86619.0,86657.0,86701.0,86733.0,86767.0,86795.0,86815.0,86869.0,86927.0,86946.0,86996.0,87039.0,87058.0,87111.0,87137.0,87160.0
5016273,26100.0,26249.0,26355.0,26388.0,26419.0,26480.0,26535.0,26559.0,26584.0,26597.0,26613.0,26636.0,26657.0,26676.0,26698.0,26717.0,26745.0,26764.0,26781.0,26811.0,26831.0,26854.0,26867.0,26879.0,26904.0,26950.0,26999.0,27042.0,27121.0,27140.0,27160.0,27219.0,27249.0,27285.0,27329.0,27364.0,27389.0,27403.0,27441.0,27481.0,27526.0,27568.0,27602.0,27620.0,27649.0,27684.0,27709.0,27735.0,27757.0,27773.0,27815.0,27878.0,27899.0,27952.0,27988.0,28004.0,28048.0,28069.0,28088.0
5016275,36000.0,36253.0,36433.0,36477.0,36518.0,36601.0,36675.0,36715.0,36756.0,36795.0,36843.0,36909.0,36970.0,37017.0,37072.0,37111.0,37167.0,37205.0,37240.0,37300.0,37338.0,37380.0,37402.0,37420.0,37494.0,37579.0,37667.0,37711.0,37791.0,37816.0,37842.0,37908.0,37941.0,38004.0,38081.0,38126.0,38157.0,38182.0,38257.0,38320.0,38391.0,38457.0,38511.0,38539.0,38583.0,38638.0,38677.0,38718.0,38753.0,38778.0,38844.0,38908.0,38929.0,38984.0,39055.0,39087.0,39175.0,39218.0,39256.0
5016960,36000.0,36210.0,36359.0,36413.0,36463.0,36564.0,36654.0,36691.0,36729.0,36759.0,36797.0,36849.0,36898.0,36939.0,36986.0,37016.0,37059.0,37088.0,37115.0,37161.0,37200.0,37245.0,37269.0,37289.0,37345.0,37410.0,37477.0,37531.0,37631.0,37655.0,37681.0,37741.0,37771.0,37824.0,37889.0,37933.0,37964.0,37985.0,38052.0,38115.0,38186.0,38252.0,38306.0,38334.0,38377.0,38425.0,38460.0,38497.0,38528.0,38550.0,38608.0,38676.0,38699.0,38757.0,38815.0,38841.0,38912.0,38947.0,38978.0
5016962,46800.0,47038.0,47207.0,47283.0,47354.0,47497.0,47625.0,47657.0,47689.0,47726.0,47772.0,47835.0,47894.0,47939.0,47990.0,48040.0,48111.0,48159.0,48204.0,48278.0,48313.0,48352.0,48375.0,48394.0,48456.0,48541.0,48630.0,48692.0,48806.0,48833.0,48861.0,48946.0,48988.0,49044.0,49114.0,49160.0,49191.0,49220.0,49295.0,49365.0,49443.0,49516.0,49575.0,49605.0,49654.0,49703.0,49738.0,49775.0,49806.0,49828.0,49887.0,49960.0,49984.0,50046.0,50105.0,50131.0,50204.0,50240.0,50272.0
5016964,57600.0,57854.0,58034.0,58109.0,58179.0,58319.0,58445.0,58512.0,58581.0,58625.0,58680.0,58755.0,58825.0,58871.0,58923.0,58986.0,59077.0,59138.0,59195.0,59292.0,59349.0,59413.0,59471.0,59521.0,59629.0,59755.0,59886.0,59970.0,60124.0,60153.0,60183.0,60265.0,60306.0,60398.0,60511.0,60572.0,60605.0,60636.0,60699.0,60768.0,60846.0,60918.0,60977.0,61007.0,61057.0,61116.0,61158.0,61203.0,61241.0,61268.0,61339.0,61426.0,61455.0,61529.0,61619.0,61659.0,61770.0,61824.0,61873.0
5016966,68400.0,68677.0,68874.0,68945.0,69011.0,69143.0,69260.0,69300.0,69340.0,69374.0,69417.0,69476.0,69531.0,69568.0,69611.0,69648.0,69701.0,69737.0,69770.0,69825.0,69870.0,69920.0,69945.0,69966.0,70028.0,70103.0,70182.0,70238.0,70342.0,70378.0,70417.0,70494.0,70533.0,70598.0,70678.0,70736.0,70772.0,70803.0,70871.0,70933.0,71003.0,71068.0,71121.0,71148.0,71192.0,71239.0,71272.0,71307.0,71337.0,71358.0,71415.0,71490.0,71515.0,71579.0,71625.0,71646.0,71703.0,71731.0,71756.0
