tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P
5005889,29700.0,29734.0,29830.0,29872.0,30171.0,30225.0,30289.0,30382.0,30451.0,30477.0,30515.0,30541.0,30592.0,30665.0,30714.0,30809.0,30834.0,30849.0,30897.0,30928.0,30953.0,30968.0,30993.0,31004.0,31035.0
5005896,54900.0,54929.0,55011.0,55047.0,55455.0,55516.0,55588.0,55694.0,55760.0,55791.0,55836.0,55866.0,55926.0,56010.0,56059.0,56154.0,56179.0,56194.0,56242.0,56273.0,56298.0,56313.0,56338.0,56349.0,56380.0
5005898,58500.0,58529.0,58611.0,58647.0,59055.0,59116.0,59188.0,59294.0,59360.0,59391.0,59436.0,59466.0,59526.0,59610.0,59659.0,59754.0,59779.0,59794.0,59842.0,59873.0,59898.0,59913.0,59938.0,59949.0,59980.0
5005900,65700.0,65729.0,65811.0,65847.0,66255.0,66316.0,66388.0,66494.0,66560.0,66591.0,66636.0,66666.0,66726.0,66810.0,66859.0,66954.0,66979.0,66994.0,67042.0,67073.0,67098.0,67113.0,67138.0,67149.0,67180.0
5005902,69300.0,69324.0,69391.0,69421.0,69673.0,69724.0,69784.0,69872.0,69934.0,69957.0,69991.0,70014.0,70060.0,70124.0,70173.0,70268.0,70293.0,70308.0,70356.0,70387.0,70412.0,70427.0,70452.0,70463.0,70494.0
5005904,72900.0,72924.0,72991.0,73021.0,73273.0,73324.0,73384.0,73472.0,73534.0,73557.0,73591.0,73614.0,73660.0,73724.0,73773.0,73868.0,73893.0,73908.0,73956.0,73987.0,74012.0,74027.0,74052.0,74063.0,74094.0
5005906,76500.0,76518.0,76570.0,76594.0,76827.0,76873.0,76928.0,77009.0,77063.0,77086.0,77119.0,77141.0,77185.0,77246.0,77295.0,77390.0,77415.0,77430.0,77478.0,77509.0,77534.0,77549.0,77574.0,77585.0,77616.0
5014807,33300.0,33323.0,33388.0,33417.0,33611.0,33643.0,33681.0,33736.0,33794.0,33812.0,33838.0,33856.0,33891.0,33941.0,33987.0,34076.0,34099.0,34113.0,34158.0,34186.0,34209.0,34223.0,34247.0,34257.0,34286.0
5014809,36900.0,36924.0,36993.0,37024.0,37245.0,37300.0,37365.0,37461.0,37524.0,37545.0,37575.0,37595.0,37635.0,37691.0,37740.0,37835.0,37860.0,37875.0,37923.0,37954.0,37979.0,37994.0,38019.0,38030.0,38061.0
5014811,40500.0,40524.0,40593.0,40624.0,40845.0,40900.0,40965.0,41061.0,41124.0,41145.0,41175.0,41195.0,41235.0,41291.0,41340.0,41435.0,41460.0,41475.0,41523.0,41554.0,41579.0,41594.0,41619.0,41630.0,41661.0
5014813,44100.0,44126.0,44200.0,44233.0,44487.0,44544.0,44612.0,44713.0,44759.0,44780.0,44810.0,44830.0,44870.0,44926.0,44975.0,45070.0,45095.0,45110.0,45158.0,45189.0,45214.0,45229.0,45254.0,45265.0,45296.0
5014818,62100.0,62125.0,62196.0,62227.0,62523.0,62596.0,62683.0,62810.0,62868.0,62889.0,62920.0,62940.0,62981.0,63038.0,63087.0,63182.0,63207.0,63222.0,63270.0,63301.0,63326.0,63341.0,63366.0,63377.0,63408.0
5016829,47700.0,47728.0,47808.0,47843.0,48125.0,48187.0,48261.0,48370.0,48442.0,48467.0,48504.0,48528.0,48577.0,48647.0,48696.0,48791.0,48816.0,48831.0,48879.0,48910.0,48935.0,48950.0,48975.0,48986.0,49017.0
5016831,51300.0,51328.0,51408.0,51443.0,51725.0,51787.0,51861.0,51970.0,52042.0,52067.0,52104.0,52128.0,52177.0,52247.0,52296.0,52391.0,52416.0,52431.0,52479.0,52510.0,52535.0,52550.0,52575.0,52586.0,52617.0
5089719,47700.0,47727.0,47804.0,47838.0,48109.0,48169.0,48240.0,48345.0,48414.0,48438.0,48473.0,48497.0,48544.0,48611.0,48658.0,48750.0,48774.0,48788.0,48834.0,48863.0,48887.0,48902.0,48927.0,48937.0,48967.0
5089721,51300.0,51327.0,51404.0,51438.0,51709.0,51769.0,51840.0,51945.0,52014.0,52038.0,52073.0,52097.0,52144.0,52211.0,52258.0,52350.0,52374.0,52388.0,52434.0,52463.0,52487.0,52502.0,52527.0,52537.0,52567.0
5090418,55500.0,55522.0,55585.0,55613.0,55896.0,55998.0,56119.0,56297.0,56353.0,56376.0,56410.0,56432.0,56477.0,56540.0,56587.0,56679.0,56703.0,56717.0,56763.0,56792.0,56816.0,56831.0,56856.0,56866.0,56896.0
5090420,59100.0,59122.0,59185.0,59213.0,59496.0,59598.0,59719.0,59897.0,59953.0,59976.0,60010.0,60032.0,60077.0,60140.0,60187.0,60279.0,60303.0,60317.0,60363.0,60392.0,60416.0,60431.0,60456.0,60466.0,60496.0
5090422,62700.0,62722.0,62785.0,62813.0,63096.0,63198.0,63319.0,63497.0,63553.0,63576.0,63610.0,63632.0,63677.0,63740.0,63787.0,63879.0,63903.0,63917.0,63963.0,63992.0,64016.0,64031.0,64056.0,64066.0,64096.0
5091478,29700.0,29732.0,29824.0,29865.0,30153.0,30205.0,30266.0,30356.0,30422.0,30447.0,30484.0,30509.0,30558.0,30628.0,30675.0,30767.0,30791.0,30805.0,30851.0,30880.0,30904.0,30919.0,30944.0,30954.0,30984.0
