tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P,086_P,087_P,088_P,089_P,090_P,091_P
5004908,23400.0,23433.0,23473.0,23513.0,23597.0,23633.0,23675.0,23694.0,23737.0,23776.0,23819.0,23854.0,23919.0,23949.0,23975.0,24024.0,24065.0,24082.0,24132.0,24197.0,24266.0,24322.0,24341.0,24376.0,24407.0,24462.0,24520.0,24579.0,24612.0,24645.0,24678.0,24751.0,24803.0,24859.0,24906.0,24961.0,25015.0,25077.0,25110.0,25196.0,25433.0,25488.0,25524.0,25648.0,25760.0,25906.0,26027.0,26103.0,26145.0,26167.0,26211.0,26285.0,26360.0,26410.0,26455.0,26512.0,26559.0,26595.0,26679.0,26699.0,26789.0,26837.0,26857.0,26904.0,26949.0,27023.0,27044.0,27080.0,27135.0,27180.0,27218.0,27277.0,27341.0,27432.0,27520.0,27571.0,27621.0,27685.0,27774.0,27823.0,27900.0,27947.0,27976.0,28002.0,28055.0,28094.0,28130.0,28146.0,28191.0,28217.0,28250.0
5004911,60000.0,60048.0,60105.0,60147.0,60235.0,60273.0,60317.0,60337.0,60381.0,60425.0,60473.0,60513.0,60585.0,60618.0,60647.0,60702.0,60748.0,60767.0,60822.0,60898.0,60980.0,61048.0,61071.0,61114.0,61142.0,61192.0,61251.0,61311.0,61345.0,61379.0,61414.0,61497.0,61557.0,61622.0,61675.0,61725.0,61775.0,61826.0,61853.0,61966.0,62275.0,62356.0,62409.0,62589.0,62751.0,62963.0,63108.0,63198.0,63248.0,63280.0,63346.0,63445.0,63529.0,63592.0,63649.0,63721.0,63780.0,63822.0,63921.0,63945.0,64050.0,64123.0,64154.0,64225.0,64275.0,64356.0,64383.0,64427.0,64475.0,64542.0,64584.0,64648.0,64743.0,64879.0,65010.0,65087.0,65162.0,65253.0,65381.0,65445.0,65547.0,65597.0,65627.0,65654.0,65710.0,65751.0,65789.0,65806.0,65853.0,65881.0,65917.0
5004913,75600.0,75645.0,75699.0,75735.0,75811.0,75844.0,75882.0,75899.0,75936.0,75973.0,76008.0,76037.0,76091.0,76116.0,76138.0,76179.0,76213.0,76227.0,76269.0,76332.0,76399.0,76447.0,76463.0,76494.0,76521.0,76568.0,76618.0,76668.0,76695.0,76722.0,76749.0,76822.0,76874.0,76921.0,76960.0,76996.0,77031.0,77072.0,77094.0,77170.0,77379.0,77446.0,77490.0,77638.0,77772.0,77947.0,78050.0,78117.0,78154.0,78180.0,78232.0,78298.0,78351.0,78395.0,78434.0,78486.0,78528.0,78563.0,78639.0,78657.0,78738.0,78783.0,78802.0,78847.0,78877.0,78925.0,78942.0,78970.0,78999.0,79035.0,79065.0,79112.0,79165.0,79240.0,79312.0,79354.0,79395.0,79459.0,79548.0,79595.0,79669.0,79718.0,79748.0,79775.0,79831.0,79872.0,79910.0,79927.0,79974.0,80002.0,80036.0
5005388,31800.0,31854.0,31918.0,31974.0,32092.0,32143.0,32202.0,32229.0,32287.0,32339.0,32390.0,32432.0,32509.0,32544.0,32575.0,32634.0,32683.0,32703.0,32763.0,32846.0,32936.0,33045.0,33082.0,33150.0,33192.0,33267.0,33349.0,33432.0,33483.0,33535.0,33588.0,33713.0,33804.0,33888.0,33958.0,34025.0,34092.0,34190.0,34243.0,34364.0,34696.0,34783.0,34840.0,35034.0,35209.0,35439.0,35576.0,35677.0,35733.0,35761.0,35817.0,35895.0,35975.0,36027.0,36073.0,36135.0,36185.0,36219.0,36303.0,36323.0,36413.0,36477.0,36504.0,36568.0,36609.0,36675.0,36696.0,36730.0,36774.0,36813.0,36851.0,36909.0,36978.0,37077.0,37172.0,37228.0,37282.0,37356.0,37460.0,37513.0,37596.0,37644.0,37673.0,37700.0,37755.0,37795.0,37832.0,37849.0,37895.0,37922.0,37956.0
5005859,19800.0,19848.0,19905.0,19946.0,20033.0,20070.0,20113.0,20133.0,20176.0,20218.0,20250.0,20277.0,20325.0,20347.0,20366.0,20403.0,20434.0,20447.0,20484.0,20523.0,20564.0,20623.0,20643.0,20680.0,20700.0,20735.0,20778.0,20822.0,20860.0,20898.0,20937.0,20976.0,21004.0,21040.0,21070.0,21103.0,21135.0,21175.0,21196.0,21256.0,21419.0,21469.0,21502.0,21613.0,21713.0,21845.0,21913.0,21970.0,22002.0,22016.0,22044.0,22080.0,22115.0,22145.0,22172.0,22203.0,22228.0,22242.0,22284.0,22294.0,22338.0,22372.0,22386.0,22419.0,22449.0,22497.0,22515.0,22544.0,22584.0,22623.0,22648.0,22687.0,22735.0,22803.0,22869.0,22907.0,22944.0,22993.0,23061.0,23108.0,23182.0,23222.0,23246.0,23268.0,23313.0,23346.0,23377.0,23391.0,23429.0,23451.0,23478.0
5005865,57000.0,57050.0,57110.0,57155.0,57249.0,57290.0,57337.0,57359.0,57405.0,57442.0,57487.0,57524.0,57592.0,57623.0,57650.0,57702.0,57745.0,57763.0,57815.0,57920.0,58033.0,58112.0,58139.0,58188.0,58223.0,58284.0,58350.0,58416.0,58461.0,58507.0,58554.0,58622.0,58672.0,58722.0,58763.0,58820.0,58876.0,58942.0,58977.0,59054.0,59266.0,59345.0,59396.0,59571.0,59729.0,59937.0,60050.0,60129.0,60173.0,60209.0,60283.0,60378.0,60441.0,60497.0,60548.0,60623.0,60685.0,60722.0,60807.0,60827.0,60917.0,60975.0,61000.0,61058.0,61096.0,61157.0,61174.0,61202.0,61236.0,61281.0,61317.0,61372.0,61432.0,61518.0,61601.0,61649.0,61697.0,61804.0,61953.0,62003.0,62081.0,62131.0,62161.0,62188.0,62244.0,62285.0,62323.0,62340.0,62387.0,62415.0,62451.0
5006083,58200.0,58250.0,58310.0,58355.0,58449.0,58490.0,58537.0,58559.0,58605.0,58642.0,58687.0,58724.0,58792.0,58823.0,58850.0,58902.0,58945.0,58963.0,59015.0,59120.0,59233.0,59312.0,59339.0,59388.0,59423.0,59484.0,59550.0,59616.0,59661.0,59707.0,59754.0,59822.0,59872.0,59922.0,59963.0,60020.0,60076.0,60142.0,60177.0,60254.0,60466.0,60545.0,60596.0,60771.0,60929.0,61137.0,61250.0,61329.0,61373.0,61409.0,61483.0,61578.0,61641.0,61697.0,61748.0,61823.0,61885.0,61922.0,62007.0,62027.0,62117.0,62175.0,62200.0,62258.0,62296.0,62357.0,62374.0,62402.0,62436.0,62481.0,62517.0,62572.0,62632.0,62718.0,62801.0,62849.0,62897.0,63004.0,63153.0,63203.0,63281.0,63331.0,63361.0,63388.0,63444.0,63485.0,63523.0,63540.0,63587.0,63615.0,63651.0
5006440,70200.0,70252.0,70313.0,70357.0,70450.0,70490.0,70536.0,70557.0,70604.0,70642.0,70683.0,70717.0,70779.0,70807.0,70832.0,70879.0,70918.0,70934.0,70982.0,71066.0,71157.0,71235.0,71262.0,71311.0,71347.0,71410.0,71497.0,71585.0,71615.0,71646.0,71677.0,71774.0,71844.0,71901.0,71948.0,71990.0,72032.0,72089.0,72120.0,72207.0,72445.0,72515.0,72560.0,72715.0,72855.0,73038.0,73131.0,73189.0,73221.0,73244.0,73292.0,73341.0,73415.0,73464.0,73507.0,73572.0,73625.0,73657.0,73722.0,73738.0,73807.0,73857.0,73878.0,73928.0,73956.0,74001.0,74020.0,74052.0,74077.0,74121.0,74145.0,74183.0,74251.0,74348.0,74441.0,74495.0,74548.0,74612.0,74701.0,74755.0,74840.0,74890.0,74920.0,74947.0,75003.0,75044.0,75082.0,75099.0,75146.0,75174.0,75210.0
5006730,51600.0,51644.0,51697.0,51740.0,51830.0,51869.0,51914.0,51935.0,51979.0,52023.0,52071.0,52111.0,52184.0,52218.0,52247.0,52303.0,52350.0,52369.0,52426.0,52510.0,52601.0,52670.0,52693.0,52736.0,52768.0,52824.0,52886.0,52949.0,52988.0,53027.0,53066.0,53150.0,53211.0,53272.0,53322.0,53364.0,53405.0,53461.0,53491.0,53594.0,53876.0,53950.0,53998.0,54163.0,54312.0,54507.0,54667.0,54766.0,54820.0,54848.0,54906.0,55001.0,55093.0,55154.0,55208.0,55297.0,55369.0,55421.0,55525.0,55550.0,55661.0,55758.0,55799.0,55894.0,55945.0,56028.0,56060.0,56114.0,56188.0,56259.0,56308.0,56383.0,56485.0,56631.0,56771.0,56853.0,56932.0,57046.0,57204.0,57263.0,57357.0,57407.0,57437.0,57464.0,57520.0,57561.0,57599.0,57616.0,57663.0,57691.0,57727.0
5006732,66600.0,66643.0,66694.0,66736.0,66824.0,66862.0,66906.0,66926.0,66969.0,67009.0,67052.0,67088.0,67154.0,67184.0,67210.0,67260.0,67302.0,67319.0,67371.0,67451.0,67536.0,67602.0,67625.0,67666.0,67699.0,67758.0,67815.0,67873.0,67906.0,67939.0,67973.0,68056.0,68116.0,68177.0,68227.0,68273.0,68318.0,68369.0,68396.0,68508.0,68815.0,68895.0,68947.0,69124.0,69284.0,69494.0,69631.0,69714.0,69760.0,69790.0,69852.0,69942.0,70017.0,70070.0,70117.0,70184.0,70238.0,70274.0,70359.0,70379.0,70469.0,70528.0,70553.0,70612.0,70647.0,70703.0,70722.0,70754.0,70790.0,70834.0,70871.0,70927.0,70991.0,71083.0,71172.0,71224.0,71274.0,71355.0,71469.0,71519.0,71599.0,71648.0,71678.0,71705.0,71760.0,71801.0,71839.0,71856.0,71903.0,71930.0,71964.0
5006734,79200.0,79245.0,79299.0,79335.0,79411.0,79444.0,79482.0,79499.0,79536.0,79573.0,79608.0,79637.0,79691.0,79716.0,79738.0,79779.0,79813.0,79827.0,79869.0,79932.0,79999.0,80047.0,80063.0,80094.0,80121.0,80168.0,80218.0,80268.0,80295.0,80322.0,80349.0,80422.0,80474.0,80521.0,80560.0,80596.0,80631.0,80672.0,80694.0,80770.0,80979.0,81046.0,81090.0,81238.0,81372.0,81547.0,81650.0,81717.0,81754.0,81780.0,81832.0,81898.0,81951.0,81995.0,82034.0,82086.0,82128.0,82163.0,82239.0,82257.0,82338.0,82383.0,82402.0,82447.0,82477.0,82525.0,82542.0,82570.0,82599.0,82635.0,82665.0,82712.0,82765.0,82840.0,82912.0,82954.0,82995.0,83059.0,83148.0,83195.0,83269.0,83318.0,83348.0,83375.0,83431.0,83472.0,83510.0,83527.0,83574.0,83602.0,83636.0
5006826,63000.0,63045.0,63098.0,63139.0,63225.0,63262.0,63305.0,63325.0,63366.0,63408.0,63453.0,63490.0,63558.0,63589.0,63616.0,63668.0,63712.0,63730.0,63784.0,63885.0,63993.0,64053.0,64073.0,64111.0,64140.0,64192.0,64250.0,64309.0,64335.0,64361.0,64387.0,64464.0,64520.0,64576.0,64622.0,64668.0,64713.0,64755.0,64777.0,64870.0,65126.0,65212.0,65268.0,65460.0,65633.0,65860.0,65971.0,66060.0,66109.0,66136.0,66190.0,66264.0,66303.0,66356.0,66403.0,66469.0,66523.0,66556.0,66625.0,66642.0,66715.0,66771.0,66795.0,66849.0,66882.0,66936.0,66954.0,66983.0,67014.0,67058.0,67092.0,67143.0,67203.0,67289.0,67372.0,67420.0,67467.0,67564.0,67700.0,67752.0,67834.0,67884.0,67914.0,67941.0,67997.0,68038.0,68076.0,68093.0,68140.0,68168.0,68204.0
5006828,77400.0,77433.0,77472.0,77513.0,77598.0,77635.0,77678.0,77698.0,77739.0,77771.0,77808.0,77838.0,77893.0,77919.0,77941.0,77983.0,78018.0,78033.0,78076.0,78141.0,78210.0,78278.0,78301.0,78343.0,78367.0,78410.0,78459.0,78509.0,78534.0,78559.0,78584.0,78635.0,78672.0,78715.0,78751.0,78792.0,78832.0,78893.0,78925.0,79013.0,79255.0,79333.0,79384.0,79558.0,79716.0,79923.0,80009.0,80083.0,80123.0,80148.0,80198.0,80257.0,80301.0,80342.0,80378.0,80429.0,80471.0,80499.0,80577.0,80596.0,80679.0,80723.0,80742.0,80786.0,80815.0,80862.0,80883.0,80918.0,80943.0,80985.0,81017.0,81066.0,81118.0,81193.0,81265.0,81307.0,81347.0,81400.0,81473.0,81518.0,81590.0,81640.0,81670.0,81697.0,81753.0,81794.0,81832.0,81849.0,81896.0,81924.0,81960.0
5007052,57000.0,57048.0,57105.0,57147.0,57235.0,57273.0,57317.0,57337.0,57381.0,57425.0,57473.0,57513.0,57585.0,57618.0,57647.0,57702.0,57748.0,57767.0,57822.0,57898.0,57980.0,58048.0,58071.0,58114.0,58142.0,58192.0,58251.0,58311.0,58345.0,58379.0,58414.0,58497.0,58557.0,58622.0,58675.0,58725.0,58775.0,58826.0,58853.0,58966.0,59275.0,59356.0,59409.0,59589.0,59751.0,59963.0,60108.0,60198.0,60248.0,60280.0,60346.0,60445.0,60529.0,60592.0,60649.0,60721.0,60780.0,60822.0,60921.0,60945.0,61050.0,61123.0,61154.0,61225.0,61275.0,61356.0,61383.0,61427.0,61475.0,61542.0,61584.0,61648.0,61743.0,61879.0,62010.0,62087.0,62162.0,62253.0,62381.0,62445.0,62547.0,62597.0,62627.0,62654.0,62710.0,62751.0,62789.0,62806.0,62853.0,62881.0,62917.0
5007054,71400.0,71440.0,71487.0,71524.0,71602.0,71636.0,71675.0,71693.0,71731.0,71766.0,71802.0,71832.0,71887.0,71912.0,71934.0,71976.0,72011.0,72026.0,72068.0,72132.0,72200.0,72260.0,72280.0,72317.0,72347.0,72400.0,72458.0,72517.0,72550.0,72583.0,72616.0,72687.0,72739.0,72797.0,72845.0,72885.0,72925.0,72979.0,73008.0,73091.0,73318.0,73388.0,73434.0,73589.0,73729.0,73913.0,74023.0,74093.0,74132.0,74156.0,74206.0,74278.0,74352.0,74401.0,74445.0,74501.0,74546.0,74581.0,74662.0,74681.0,74767.0,74820.0,74843.0,74895.0,74929.0,74985.0,75003.0,75034.0,75065.0,75103.0,75134.0,75181.0,75239.0,75322.0,75402.0,75449.0,75494.0,75567.0,75669.0,75720.0,75802.0,75851.0,75881.0,75908.0,75963.0,76004.0,76042.0,76059.0,76106.0,76133.0,76166.0
5007056,82500.0,82545.0,82599.0,82635.0,82711.0,82744.0,82782.0,82799.0,82836.0,82873.0,82908.0,82937.0,82991.0,83016.0,83038.0,83079.0,83113.0,83127.0,83169.0,83232.0,83299.0,83347.0,83363.0,83394.0,83421.0,83468.0,83518.0,83568.0,83595.0,83622.0,83649.0,83722.0,83774.0,83821.0,83860.0,83896.0,83931.0,83972.0,83994.0,84070.0,84279.0,84346.0,84390.0,84538.0,84672.0,84847.0,84950.0,85017.0,85054.0,85080.0,85132.0,85198.0,85251.0,85295.0,85334.0,85386.0,85428.0,85463.0,85539.0,85557.0,85638.0,85683.0,85702.0,85747.0,85777.0,85825.0,85842.0,85870.0,85899.0,85935.0,85965.0,86012.0,86065.0,86140.0,86212.0,86254.0,86295.0,86359.0,86448.0,86495.0,86569.0,86618.0,86648.0,86675.0,86731.0,86772.0,86810.0,86827.0,86874.0,86902.0,86936.0
5007377,25200.0,25243.0,25295.0,25339.0,25432.0,25472.0,25519.0,25540.0,25587.0,25630.0,25676.0,25714.0,25784.0,25816.0,25844.0,25897.0,25942.0,25961.0,26015.0,26096.0,26183.0,26267.0,26295.0,26347.0,26387.0,26458.0,26540.0,26622.0,26667.0,26713.0,26760.0,26881.0,26968.0,27041.0,27102.0,27167.0,27231.0,27311.0,27354.0,27465.0,27769.0,27837.0,27882.0,28034.0,28172.0,28352.0,28521.0,28624.0,28680.0,28711.0,28775.0,28854.0,28930.0,28993.0,29049.0,29127.0,29190.0,29242.0,29348.0,29374.0,29487.0,29555.0,29584.0,29651.0,29696.0,29769.0,29821.0,29907.0,29998.0,30055.0,30098.0,30165.0,30237.0,30340.0,30439.0,30497.0,30553.0,30629.0,30736.0,30789.0,30873.0,30922.0,30952.0,30979.0,31035.0,31076.0,31114.0,31131.0,31178.0,31206.0,31240.0
5007379,39900.0,39946.0,40000.0,40048.0,40150.0,40194.0,40245.0,40268.0,40319.0,40365.0,40412.0,40451.0,40523.0,40556.0,40585.0,40640.0,40686.0,40705.0,40758.0,40832.0,40912.0,40983.0,41007.0,41051.0,41085.0,41145.0,41212.0,41280.0,41318.0,41357.0,41396.0,41470.0,41524.0,41581.0,41628.0,41675.0,41722.0,41775.0,41804.0,41908.0,42192.0,42261.0,42306.0,42460.0,42599.0,42783.0,42915.0,43005.0,43054.0,43083.0,43141.0,43229.0,43319.0,43377.0,43429.0,43503.0,43564.0,43605.0,43705.0,43729.0,43836.0,43909.0,43940.0,44011.0,44056.0,44129.0,44152.0,44191.0,44239.0,44291.0,44334.0,44400.0,44486.0,44609.0,44727.0,44796.0,44863.0,44955.0,45084.0,45135.0,45217.0,45266.0,45296.0,45323.0,45379.0,45420.0,45458.0,45475.0,45522.0,45550.0,45586.0
