tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P
5006115,30600.0,30663.0,30758.0,30798.0,30825.0,30875.0,30925.0,30975.0,31027.0,31071.0,31106.0,31150.0,31205.0,31235.0,31279.0,31325.0,31391.0,31411.0,31479.0,31504.0,31569.0,31713.0,31863.0,31955.0,32024.0,32071.0,32165.0,32258.0,32305.0,32345.0,32377.0,32409.0,32459.0,32476.0,32491.0,32536.0,32555.0,32587.0,32638.0,32664.0,32694.0,32722.0,32753.0,32782.0,32817.0,32850.0,32880.0,32901.0,32920.0,32945.0
5006192,25200.0,25270.0,25376.0,25418.0,25447.0,25499.0,25572.0,25635.0,25699.0,25754.0,25796.0,25893.0,26016.0,26116.0,26263.0,26407.0,26611.0,26672.0,26884.0,26961.0,27068.0,27245.0,27473.0,27613.0,27683.0,27741.0,27858.0,27974.0,28033.0,28083.0,28148.0,28213.0,28313.0,28340.0,28364.0,28426.0,28451.0,28495.0,28564.0,28600.0,28641.0,28679.0,28721.0,28761.0,28810.0,28855.0,28896.0,28924.0,28949.0,28984.0
5006194,34200.0,34287.0,34419.0,34471.0,34507.0,34571.0,34646.0,34721.0,34781.0,34833.0,34874.0,35007.0,35177.0,35308.0,35502.0,35655.0,35871.0,35936.0,36161.0,36241.0,36355.0,36574.0,36885.0,37077.0,37157.0,37221.0,37350.0,37463.0,37521.0,37569.0,37630.0,37690.0,37784.0,37812.0,37838.0,37895.0,37919.0,37959.0,38023.0,38056.0,38094.0,38129.0,38168.0,38205.0,38251.0,38293.0,38331.0,38357.0,38381.0,38415.0
5006196,63000.0,63078.0,63197.0,63240.0,63269.0,63322.0,63392.0,63456.0,63511.0,63558.0,63596.0,63663.0,63748.0,63791.0,63855.0,63971.0,64135.0,64184.0,64354.0,64416.0,64556.0,64756.0,65047.0,65226.0,65316.0,65386.0,65526.0,65693.0,65779.0,65851.0,65919.0,65987.0,66092.0,66127.0,66158.0,66232.0,66263.0,66316.0,66399.0,66442.0,66491.0,66537.0,66588.0,66636.0,66694.0,66745.0,66791.0,66823.0,66852.0,66892.0
5006669,32100.0,32171.0,32279.0,32327.0,32360.0,32420.0,32502.0,32570.0,32626.0,32674.0,32713.0,32775.0,32854.0,32896.0,32957.0,33037.0,33151.0,33185.0,33304.0,33347.0,33430.0,33602.0,33824.0,33960.0,34027.0,34081.0,34188.0,34289.0,34341.0,34384.0,34432.0,34480.0,34553.0,34575.0,34595.0,34658.0,34684.0,34729.0,34800.0,34837.0,34879.0,34918.0,34961.0,35002.0,35050.0,35090.0,35127.0,35152.0,35175.0,35207.0
5006671,40500.0,40581.0,40704.0,40747.0,40777.0,40830.0,40891.0,40968.0,41047.0,41115.0,41168.0,41241.0,41334.0,41376.0,41437.0,41519.0,41635.0,41670.0,41790.0,41832.0,41948.0,42201.0,42428.0,42568.0,42642.0,42690.0,42786.0,42893.0,42948.0,42993.0,43056.0,43119.0,43217.0,43242.0,43264.0,43319.0,43342.0,43381.0,43443.0,43475.0,43511.0,43545.0,43583.0,43618.0,43661.0,43703.0,43741.0,43767.0,43791.0,43825.0
5006673,48900.0,48982.0,49106.0,49145.0,49172.0,49220.0,49291.0,49371.0,49439.0,49498.0,49544.0,49628.0,49734.0,49773.0,49831.0,49928.0,50065.0,50106.0,50249.0,50300.0,50418.0,50633.0,50931.0,51115.0,51198.0,51256.0,51373.0,51485.0,51542.0,51591.0,51655.0,51718.0,51816.0,51850.0,51880.0,51946.0,51973.0,52020.0,52094.0,52133.0,52177.0,52218.0,52263.0,52306.0,52358.0,52399.0,52437.0,52463.0,52487.0,52520.0
5006675,57300.0,57366.0,57465.0,57506.0,57534.0,57584.0,57641.0,57693.0,57749.0,57797.0,57836.0,57907.0,57998.0,58031.0,58081.0,58181.0,58323.0,58365.0,58512.0,58566.0,58721.0,58937.0,59211.0,59379.0,59461.0,59519.0,59634.0,59752.0,59812.0,59863.0,59921.0,59979.0,60068.0,60102.0,60132.0,60196.0,60222.0,60267.0,60339.0,60376.0,60418.0,60458.0,60502.0,60543.0,60594.0,60641.0,60684.0,60714.0,60741.0,60777.0
5006677,66900.0,66966.0,67065.0,67106.0,67134.0,67184.0,67241.0,67293.0,67349.0,67397.0,67436.0,67507.0,67598.0,67631.0,67681.0,67781.0,67923.0,67965.0,68112.0,68166.0,68321.0,68537.0,68811.0,68979.0,69061.0,69119.0,69234.0,69352.0,69412.0,69463.0,69521.0,69579.0,69668.0,69702.0,69732.0,69796.0,69822.0,69867.0,69939.0,69976.0,70018.0,70058.0,70102.0,70143.0,70194.0,70241.0,70284.0,70314.0,70341.0,70377.0
5006679,76500.0,76563.0,76658.0,76687.0,76707.0,76743.0,76794.0,76844.0,76894.0,76937.0,76970.0,77019.0,77082.0,77110.0,77152.0,77218.0,77312.0,77340.0,77438.0,77473.0,77581.0,77741.0,77997.0,78155.0,78253.0,78309.0,78420.0,78510.0,78556.0,78595.0,78642.0,78688.0,78760.0,78786.0,78809.0,78858.0,78878.0,78913.0,78968.0,78997.0,79029.0,79059.0,79092.0,79124.0,79163.0,79203.0,79239.0,79264.0,79287.0,79318.0
5006873,32400.0,32487.0,32619.0,32671.0,32707.0,32771.0,32846.0,32921.0,32981.0,33033.0,33074.0,33207.0,33377.0,33508.0,33702.0,33855.0,34071.0,34136.0,34361.0,34441.0,34555.0,34774.0,35085.0,35277.0,35357.0,35421.0,35550.0,35663.0,35721.0,35769.0,35830.0,35890.0,35984.0,36012.0,36038.0,36095.0,36119.0,36159.0,36223.0,36256.0,36294.0,36329.0,36368.0,36405.0,36451.0,36493.0,36531.0,36557.0,36581.0,36615.0
5006875,42000.0,42070.0,42175.0,42218.0,42247.0,42300.0,42368.0,42442.0,42502.0,42553.0,42593.0,42674.0,42778.0,42834.0,42916.0,43065.0,43276.0,43339.0,43558.0,43637.0,43763.0,43961.0,44193.0,44336.0,44419.0,44483.0,44612.0,44738.0,44802.0,44856.0,44915.0,44973.0,45064.0,45092.0,45117.0,45179.0,45205.0,45249.0,45319.0,45355.0,45396.0,45434.0,45476.0,45516.0,45566.0,45612.0,45654.0,45683.0,45709.0,45746.0
5006877,51600.0,51673.0,51783.0,51827.0,51857.0,51913.0,51981.0,52056.0,52117.0,52169.0,52211.0,52288.0,52386.0,52428.0,52489.0,52603.0,52764.0,52812.0,52979.0,53040.0,53175.0,53393.0,53649.0,53807.0,53895.0,53960.0,54091.0,54226.0,54295.0,54353.0,54420.0,54486.0,54589.0,54623.0,54654.0,54724.0,54753.0,54803.0,54882.0,54923.0,54969.0,55012.0,55060.0,55105.0,55160.0,55210.0,55256.0,55287.0,55315.0,55355.0
5006879,61200.0,61278.0,61397.0,61440.0,61469.0,61522.0,61592.0,61656.0,61711.0,61758.0,61796.0,61863.0,61948.0,61991.0,62055.0,62171.0,62335.0,62384.0,62554.0,62616.0,62756.0,62956.0,63247.0,63426.0,63516.0,63586.0,63726.0,63893.0,63979.0,64051.0,64119.0,64187.0,64292.0,64327.0,64358.0,64432.0,64463.0,64516.0,64599.0,64642.0,64691.0,64737.0,64788.0,64836.0,64894.0,64945.0,64991.0,65023.0,65052.0,65092.0
5006881,70800.0,70866.0,70965.0,71003.0,71029.0,71076.0,71129.0,71191.0,71238.0,71279.0,71311.0,71358.0,71418.0,71448.0,71493.0,71577.0,71696.0,71732.0,71855.0,71899.0,72016.0,72182.0,72413.0,72555.0,72647.0,72704.0,72818.0,72937.0,72998.0,73049.0,73106.0,73163.0,73251.0,73284.0,73314.0,73375.0,73400.0,73443.0,73512.0,73548.0,73588.0,73626.0,73668.0,73707.0,73756.0,73803.0,73845.0,73874.0,73901.0,73938.0
5006883,80100.0,80157.0,80242.0,80273.0,80294.0,80332.0,80375.0,80415.0,80461.0,80500.0,80531.0,80570.0,80620.0,80646.0,80684.0,80743.0,80827.0,80852.0,80939.0,80971.0,81057.0,81229.0,81430.0,81554.0,81634.0,81682.0,81778.0,81883.0,81937.0,81982.0,82026.0,82070.0,82139.0,82170.0,82197.0,82251.0,82273.0,82311.0,82371.0,82402.0,82438.0,82471.0,82508.0,82543.0,82585.0,82630.0,82671.0,82699.0,82725.0,82760.0
5007038,66600.0,66666.0,66765.0,66804.0,66831.0,66879.0,66944.0,67004.0,67059.0,67106.0,67144.0,67213.0,67301.0,67342.0,67402.0,67491.0,67618.0,67656.0,67788.0,67835.0,67979.0,68181.0,68396.0,68529.0,68609.0,68664.0,68773.0,68883.0,68939.0,68986.0,69044.0,69102.0,69192.0,69225.0,69254.0,69311.0,69335.0,69375.0,69439.0,69472.0,69510.0,69545.0,69584.0,69621.0,69667.0,69713.0,69755.0,69784.0,69810.0,69848.0
5007989,29700.0,29771.0,29879.0,29927.0,29960.0,30020.0,30102.0,30170.0,30226.0,30274.0,30313.0,30375.0,30454.0,30496.0,30557.0,30637.0,30751.0,30785.0,30904.0,30947.0,31030.0,31202.0,31424.0,31560.0,31627.0,31681.0,31788.0,31889.0,31941.0,31984.0,32032.0,32080.0,32153.0,32175.0,32195.0,32258.0,32284.0,32329.0,32400.0,32437.0,32479.0,32518.0,32561.0,32602.0,32650.0,32690.0,32727.0,32752.0,32775.0,32807.0
5007991,38100.0,38181.0,38304.0,38347.0,38377.0,38430.0,38491.0,38568.0,38647.0,38715.0,38768.0,38841.0,38934.0,38976.0,39037.0,39119.0,39235.0,39270.0,39390.0,39432.0,39548.0,39801.0,40028.0,40168.0,40242.0,40290.0,40386.0,40493.0,40548.0,40593.0,40656.0,40719.0,40817.0,40842.0,40864.0,40919.0,40942.0,40981.0,41043.0,41075.0,41111.0,41145.0,41183.0,41218.0,41261.0,41303.0,41341.0,41367.0,41391.0,41425.0
5007993,59700.0,59766.0,59865.0,59906.0,59934.0,59984.0,60041.0,60093.0,60149.0,60197.0,60236.0,60307.0,60398.0,60431.0,60481.0,60581.0,60723.0,60765.0,60912.0,60966.0,61121.0,61337.0,61611.0,61779.0,61861.0,61919.0,62034.0,62152.0,62212.0,62263.0,62321.0,62379.0,62468.0,62502.0,62532.0,62596.0,62622.0,62667.0,62739.0,62776.0,62818.0,62858.0,62902.0,62943.0,62994.0,63041.0,63084.0,63114.0,63141.0,63177.0
5007995,69300.0,69361.0,69454.0,69497.0,69526.0,69579.0,69626.0,69688.0,69732.0,69770.0,69799.0,69850.0,69914.0,69941.0,69981.0,70070.0,70195.0,70233.0,70363.0,70410.0,70571.0,70730.0,71035.0,71223.0,71297.0,71348.0,71450.0,71564.0,71622.0,71671.0,71723.0,71775.0,71856.0,71886.0,71912.0,71970.0,71994.0,72035.0,72100.0,72133.0,72171.0,72206.0,72245.0,72282.0,72327.0,72371.0,72411.0,72439.0,72464.0,72499.0
5007997,78300.0,78363.0,78458.0,78487.0,78507.0,78543.0,78594.0,78644.0,78694.0,78737.0,78770.0,78819.0,78882.0,78910.0,78952.0,79018.0,79112.0,79140.0,79238.0,79273.0,79381.0,79541.0,79797.0,79955.0,80053.0,80109.0,80220.0,80310.0,80356.0,80395.0,80442.0,80488.0,80560.0,80586.0,80609.0,80658.0,80678.0,80713.0,80768.0,80797.0,80829.0,80859.0,80892.0,80924.0,80963.0,81003.0,81039.0,81064.0,81087.0,81118.0
5008096,24900.0,24961.0,25053.0,25084.0,25105.0,25144.0,25192.0,25235.0,25267.0,25295.0,25317.0,25352.0,25397.0,25428.0,25473.0,25530.0,25611.0,25635.0,25719.0,25750.0,25853.0,25935.0,26076.0,26162.0,26230.0,26262.0,26327.0,26403.0,26442.0,26475.0,26513.0,26551.0,26611.0,26630.0,26647.0,26692.0,26710.0,26742.0,26792.0,26818.0,26847.0,26875.0,26905.0,26934.0,26969.0,27003.0,27034.0,27055.0,27074.0,27102.0
5008098,33300.0,33371.0,33479.0,33527.0,33560.0,33620.0,33702.0,33770.0,33826.0,33874.0,33913.0,33975.0,34054.0,34096.0,34157.0,34237.0,34351.0,34385.0,34504.0,34547.0,34630.0,34802.0,35024.0,35160.0,35227.0,35281.0,35388.0,35489.0,35541.0,35584.0,35632.0,35680.0,35753.0,35775.0,35795.0,35858.0,35884.0,35929.0,36000.0,36037.0,36079.0,36118.0,36161.0,36202.0,36250.0,36290.0,36327.0,36352.0,36375.0,36407.0
5008100,41700.0,41781.0,41904.0,41947.0,41977.0,42030.0,42091.0,42168.0,42247.0,42315.0,42368.0,42441.0,42534.0,42576.0,42637.0,42719.0,42835.0,42870.0,42990.0,43032.0,43148.0,43401.0,43628.0,43768.0,43842.0,43890.0,43986.0,44093.0,44148.0,44193.0,44256.0,44319.0,44417.0,44442.0,44464.0,44519.0,44542.0,44581.0,44643.0,44675.0,44711.0,44745.0,44783.0,44818.0,44861.0,44903.0,44941.0,44967.0,44991.0,45025.0
5008102,50100.0,50182.0,50306.0,50345.0,50372.0,50420.0,50491.0,50571.0,50639.0,50698.0,50744.0,50828.0,50934.0,50973.0,51031.0,51128.0,51265.0,51306.0,51449.0,51500.0,51618.0,51833.0,52131.0,52315.0,52398.0,52456.0,52573.0,52685.0,52742.0,52791.0,52855.0,52918.0,53016.0,53050.0,53080.0,53146.0,53173.0,53220.0,53294.0,53333.0,53377.0,53418.0,53463.0,53506.0,53558.0,53599.0,53637.0,53663.0,53687.0,53720.0
5008104,58500.0,58566.0,58665.0,58706.0,58734.0,58784.0,58841.0,58893.0,58949.0,58997.0,59036.0,59107.0,59198.0,59231.0,59281.0,59381.0,59523.0,59565.0,59712.0,59766.0,59921.0,60137.0,60411.0,60579.0,60661.0,60719.0,60834.0,60952.0,61012.0,61063.0,61121.0,61179.0,61268.0,61302.0,61332.0,61396.0,61422.0,61467.0,61539.0,61576.0,61618.0,61658.0,61702.0,61743.0,61794.0,61841.0,61884.0,61914.0,61941.0,61977.0
5008551,24300.0,24370.0,24476.0,24518.0,24547.0,24599.0,24672.0,24735.0,24799.0,24854.0,24896.0,24993.0,25116.0,25216.0,25363.0,25507.0,25711.0,25772.0,25984.0,26061.0,26168.0,26345.0,26573.0,26713.0,26783.0,26841.0,26958.0,27074.0,27133.0,27183.0,27248.0,27313.0,27413.0,27440.0,27464.0,27526.0,27551.0,27595.0,27664.0,27700.0,27741.0,27779.0,27821.0,27861.0,27910.0,27955.0,27996.0,28024.0,28049.0,28084.0
5008553,33600.0,33687.0,33819.0,33871.0,33907.0,33971.0,34046.0,34121.0,34181.0,34233.0,34274.0,34407.0,34577.0,34708.0,34902.0,35055.0,35271.0,35336.0,35561.0,35641.0,35755.0,35974.0,36285.0,36477.0,36557.0,36621.0,36750.0,36863.0,36921.0,36969.0,37030.0,37090.0,37184.0,37212.0,37238.0,37295.0,37319.0,37359.0,37423.0,37456.0,37494.0,37529.0,37568.0,37605.0,37651.0,37693.0,37731.0,37757.0,37781.0,37815.0
5008555,43200.0,43273.0,43383.0,43427.0,43457.0,43513.0,43581.0,43656.0,43717.0,43769.0,43811.0,43888.0,43986.0,44028.0,44089.0,44203.0,44364.0,44412.0,44579.0,44640.0,44775.0,44993.0,45249.0,45407.0,45495.0,45560.0,45691.0,45826.0,45895.0,45953.0,46020.0,46086.0,46189.0,46223.0,46254.0,46324.0,46353.0,46403.0,46482.0,46523.0,46569.0,46612.0,46660.0,46705.0,46760.0,46810.0,46856.0,46887.0,46915.0,46955.0
5008557,64200.0,64278.0,64397.0,64440.0,64469.0,64522.0,64592.0,64656.0,64711.0,64758.0,64796.0,64863.0,64948.0,64991.0,65055.0,65171.0,65335.0,65384.0,65554.0,65616.0,65756.0,65956.0,66247.0,66426.0,66516.0,66586.0,66726.0,66893.0,66979.0,67051.0,67119.0,67187.0,67292.0,67327.0,67358.0,67432.0,67463.0,67516.0,67599.0,67642.0,67691.0,67737.0,67788.0,67836.0,67894.0,67945.0,67991.0,68023.0,68052.0,68092.0
