tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P
5010837,71100.0,71166.0,71226.0,71281.0,71306.0,71378.0,71408.0,71432.0,71471.0,71570.0,71602.0,71639.0,71705.0,71761.0,71805.0,71849.0,71975.0,72004.0,72031.0,72059.0,72107.0,72126.0,72156.0,72191.0,72203.0,72245.0,72269.0,72297.0,72319.0,72350.0,72419.0,72437.0,72466.0,72500.0,72540.0,72567.0,72602.0,72625.0,72656.0,72717.0,72782.0,72817.0,72837.0,72865.0,72907.0,73009.0,73169.0,73423.0,73490.0,73546.0,73572.0,73597.0,73622.0
5010839,80100.0,80166.0,80226.0,80281.0,80306.0,80378.0,80408.0,80432.0,80471.0,80570.0,80602.0,80639.0,80705.0,80761.0,80805.0,80849.0,80975.0,81004.0,81031.0,81059.0,81107.0,81126.0,81156.0,81191.0,81203.0,81245.0,81269.0,81297.0,81319.0,81350.0,81419.0,81437.0,81466.0,81500.0,81540.0,81567.0,81602.0,81625.0,81656.0,81717.0,81782.0,81817.0,81837.0,81865.0,81907.0,82009.0,82169.0,82423.0,82490.0,82546.0,82572.0,82597.0,82622.0
5016386,22800.0,22879.0,22951.0,23016.0,23065.0,23142.0,23183.0,23215.0,23255.0,23365.0,23393.0,23427.0,23500.0,23579.0,23640.0,23703.0,23877.0,23916.0,23954.0,23992.0,24060.0,24089.0,24136.0,24191.0,24211.0,24278.0,24314.0,24357.0,24391.0,24438.0,24530.0,24553.0,24607.0,24671.0,24732.0,24772.0,24826.0,24871.0,24929.0,25001.0,25076.0,25123.0,25165.0,25223.0,25312.0,25489.0,25647.0,25898.0,26023.0,26160.0,26224.0,26286.0,26327.0
5016388,30600.0,30701.0,30793.0,30878.0,30919.0,31022.0,31061.0,31091.0,31132.0,31298.0,31331.0,31371.0,31447.0,31530.0,31594.0,31660.0,31862.0,31908.0,31952.0,31996.0,32075.0,32113.0,32174.0,32246.0,32271.0,32358.0,32403.0,32456.0,32498.0,32556.0,32648.0,32671.0,32724.0,32787.0,32842.0,32878.0,32927.0,32975.0,33039.0,33131.0,33226.0,33273.0,33321.0,33388.0,33492.0,33708.0,33882.0,34160.0,34278.0,34403.0,34461.0,34517.0,34553.0
5016390,39600.0,39689.0,39770.0,39844.0,39897.0,39996.0,40039.0,40073.0,40118.0,40224.0,40254.0,40290.0,40364.0,40427.0,40476.0,40526.0,40691.0,40728.0,40764.0,40800.0,40865.0,40896.0,40946.0,41004.0,41025.0,41096.0,41130.0,41170.0,41202.0,41245.0,41370.0,41401.0,41455.0,41518.0,41577.0,41616.0,41668.0,41704.0,41751.0,41844.0,41947.0,42005.0,42037.0,42081.0,42149.0,42304.0,42456.0,42699.0,42822.0,42935.0,42987.0,43038.0,43077.0
5016392,48600.0,48682.0,48757.0,48824.0,48855.0,48941.0,48978.0,49007.0,49050.0,49166.0,49195.0,49229.0,49303.0,49376.0,49432.0,49489.0,49682.0,49726.0,49768.0,49810.0,49884.0,49923.0,49986.0,50060.0,50086.0,50176.0,50214.0,50258.0,50294.0,50342.0,50451.0,50479.0,50528.0,50585.0,50638.0,50673.0,50720.0,50752.0,50794.0,50887.0,50966.0,51020.0,51051.0,51094.0,51159.0,51314.0,51489.0,51769.0,51864.0,52000.0,52063.0,52125.0,52162.0
5016394,57600.0,57686.0,57764.0,57835.0,57874.0,57965.0,57999.0,58025.0,58066.0,58189.0,58218.0,58252.0,58326.0,58390.0,58439.0,58489.0,58666.0,58706.0,58745.0,58784.0,58852.0,58889.0,58949.0,59018.0,59043.0,59126.0,59165.0,59212.0,59249.0,59300.0,59398.0,59423.0,59470.0,59525.0,59580.0,59617.0,59667.0,59698.0,59739.0,59823.0,59892.0,59932.0,59965.0,60011.0,60082.0,60238.0,60401.0,60662.0,60763.0,60869.0,60918.0,60966.0,61017.0
5016396,66600.0,66686.0,66764.0,66835.0,66874.0,66965.0,66999.0,67025.0,67066.0,67189.0,67218.0,67252.0,67326.0,67390.0,67439.0,67489.0,67666.0,67706.0,67745.0,67784.0,67852.0,67889.0,67949.0,68018.0,68043.0,68126.0,68165.0,68212.0,68249.0,68300.0,68398.0,68423.0,68470.0,68525.0,68580.0,68617.0,68667.0,68698.0,68739.0,68823.0,68892.0,68932.0,68965.0,69011.0,69082.0,69238.0,69401.0,69662.0,69763.0,69869.0,69918.0,69966.0,70017.0
5016398,75600.0,75664.0,75722.0,75775.0,75805.0,75873.0,75894.0,75911.0,75946.0,76037.0,76057.0,76081.0,76136.0,76185.0,76223.0,76261.0,76369.0,76393.0,76417.0,76441.0,76482.0,76499.0,76526.0,76557.0,76568.0,76606.0,76628.0,76654.0,76675.0,76702.0,76765.0,76781.0,76816.0,76856.0,76888.0,76909.0,76938.0,76960.0,76989.0,77040.0,77081.0,77110.0,77128.0,77153.0,77193.0,77308.0,77426.0,77613.0,77679.0,77742.0,77771.0,77800.0,77823.0
5016400,84600.0,84664.0,84722.0,84775.0,84805.0,84873.0,84894.0,84911.0,84946.0,85037.0,85057.0,85081.0,85136.0,85185.0,85223.0,85261.0,85369.0,85393.0,85417.0,85441.0,85482.0,85499.0,85526.0,85557.0,85568.0,85606.0,85628.0,85654.0,85675.0,85702.0,85765.0,85781.0,85816.0,85856.0,85888.0,85909.0,85938.0,85960.0,85989.0,86040.0,86081.0,86110.0,86128.0,86153.0,86193.0,86308.0,86426.0,86613.0,86679.0,86742.0,86771.0,86800.0,86823.0
