tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P
5005392,72000.0,72039.0,72084.0,72154.0,72171.0,72207.0,72238.0,72264.0,72338.0,72361.0,72440.0,72477.0,72530.0,72572.0,72660.0,72713.0,72779.0,72854.0,72934.0,72972.0,73035.0,73119.0,73170.0,73214.0,73290.0,73335.0,73396.0,73424.0,73475.0,73525.0,73562.0,73617.0,73652.0,73693.0,73736.0,73765.0,73803.0,73876.0,73915.0,73948.0,74017.0,74061.0,74127.0,74154.0,74183.0,74264.0,74285.0,74323.0,74367.0,74411.0,74440.0,74479.0,74508.0,74547.0,74610.0,74677.0,74714.0,74740.0,74776.0,74833.0,74949.0,75103.0,75302.0,75378.0,75467.0,75508.0,75549.0,75582.0
5005394,82800.0,82835.0,82876.0,82939.0,82954.0,82988.0,83017.0,83041.0,83109.0,83129.0,83199.0,83232.0,83279.0,83316.0,83395.0,83443.0,83495.0,83555.0,83623.0,83655.0,83709.0,83780.0,83824.0,83862.0,83926.0,83961.0,84009.0,84035.0,84082.0,84128.0,84162.0,84212.0,84246.0,84286.0,84324.0,84350.0,84383.0,84435.0,84467.0,84497.0,84566.0,84602.0,84661.0,84685.0,84710.0,84779.0,84797.0,84831.0,84871.0,84905.0,84928.0,84958.0,84978.0,85004.0,85050.0,85094.0,85127.0,85145.0,85170.0,85208.0,85305.0,85456.0,85651.0,85716.0,85782.0,85813.0,85843.0,85868.0
5006395,30600.0,30635.0,30675.0,30737.0,30751.0,30784.0,30813.0,30837.0,30904.0,30926.0,31004.0,31040.0,31093.0,31135.0,31222.0,31275.0,31326.0,31385.0,31455.0,31488.0,31543.0,31617.0,31662.0,31701.0,31768.0,31810.0,31866.0,31895.0,31947.0,31998.0,32036.0,32093.0,32127.0,32168.0,32210.0,32238.0,32275.0,32343.0,32382.0,32421.0,32489.0,32541.0,32624.0,32658.0,32693.0,32771.0,32791.0,32828.0,32872.0,32916.0,32945.0,32985.0,33025.0,33078.0,33154.0,33218.0,33258.0,33286.0,33324.0,33383.0,33481.0,33614.0,33786.0,33891.0,33975.0,34014.0,34052.0,34077.0
5006397,41400.0,41440.0,41486.0,41558.0,41574.0,41613.0,41646.0,41673.0,41752.0,41779.0,41874.0,41918.0,41982.0,42032.0,42137.0,42200.0,42268.0,42346.0,42438.0,42481.0,42553.0,42649.0,42708.0,42759.0,42847.0,42903.0,42980.0,43019.0,43089.0,43157.0,43208.0,43284.0,43328.0,43381.0,43427.0,43458.0,43497.0,43585.0,43628.0,43668.0,43751.0,43809.0,43911.0,43952.0,43996.0,44096.0,44121.0,44170.0,44227.0,44291.0,44334.0,44392.0,44422.0,44462.0,44530.0,44628.0,44684.0,44719.0,44768.0,44843.0,44979.0,45132.0,45330.0,45410.0,45511.0,45558.0,45603.0,45628.0
5006399,52200.0,52239.0,52283.0,52352.0,52368.0,52410.0,52446.0,52476.0,52561.0,52590.0,52691.0,52738.0,52806.0,52860.0,52973.0,53042.0,53122.0,53212.0,53310.0,53356.0,53433.0,53536.0,53599.0,53653.0,53747.0,53808.0,53890.0,53923.0,53983.0,54042.0,54086.0,54151.0,54190.0,54236.0,54280.0,54310.0,54348.0,54428.0,54473.0,54516.0,54597.0,54662.0,54753.0,54790.0,54830.0,54939.0,54967.0,55018.0,55077.0,55130.0,55165.0,55213.0,55245.0,55287.0,55362.0,55460.0,55507.0,55541.0,55588.0,55660.0,55797.0,55966.0,56186.0,56277.0,56374.0,56419.0,56463.0,56495.0
5006401,63000.0,63042.0,63090.0,63165.0,63182.0,63221.0,63254.0,63281.0,63359.0,63383.0,63465.0,63503.0,63558.0,63602.0,63694.0,63749.0,63828.0,63917.0,64004.0,64045.0,64114.0,64206.0,64262.0,64310.0,64394.0,64447.0,64518.0,64548.0,64602.0,64655.0,64695.0,64754.0,64790.0,64833.0,64872.0,64898.0,64933.0,65015.0,65055.0,65096.0,65173.0,65245.0,65326.0,65359.0,65395.0,65481.0,65503.0,65549.0,65603.0,65649.0,65680.0,65721.0,65752.0,65793.0,65879.0,65949.0,65991.0,66023.0,66068.0,66137.0,66270.0,66468.0,66724.0,66787.0,66885.0,66931.0,66975.0,67013.0
5006729,28800.0,28849.0,28906.0,28995.0,29015.0,29069.0,29116.0,29154.0,29265.0,29295.0,29400.0,29449.0,29520.0,29576.0,29693.0,29763.0,29836.0,29920.0,30012.0,30055.0,30128.0,30225.0,30284.0,30335.0,30424.0,30481.0,30559.0,30609.0,30700.0,30789.0,30856.0,30954.0,30999.0,31052.0,31096.0,31126.0,31165.0,31255.0,31306.0,31351.0,31471.0,31560.0,31662.0,31703.0,31748.0,31857.0,31884.0,31936.0,31996.0,32056.0,32096.0,32149.0,32189.0,32241.0,32333.0,32417.0,32467.0,32527.0,32609.0,32736.0,32919.0,33142.0,33432.0,33538.0,33663.0,33721.0,33777.0,33821.0
5007097,22800.0,22848.0,22903.0,22989.0,23009.0,23048.0,23082.0,23110.0,23189.0,23214.0,23303.0,23344.0,23404.0,23451.0,23550.0,23610.0,23669.0,23736.0,23817.0,23855.0,23919.0,24004.0,24056.0,24101.0,24178.0,24235.0,24312.0,24355.0,24433.0,24509.0,24566.0,24649.0,24693.0,24746.0,24800.0,24836.0,24884.0,24971.0,25024.0,25072.0,25184.0,25277.0,25371.0,25409.0,25450.0,25559.0,25587.0,25642.0,25706.0,25767.0,25808.0,25863.0,25908.0,25968.0,26073.0,26152.0,26205.0,26278.0,26378.0,26533.0,26697.0,26910.0,27187.0,27289.0,27440.0,27510.0,27578.0,27619.0
5007099,34800.0,34849.0,34906.0,34995.0,35015.0,35069.0,35116.0,35154.0,35265.0,35295.0,35400.0,35449.0,35520.0,35576.0,35693.0,35763.0,35836.0,35920.0,36012.0,36055.0,36128.0,36225.0,36284.0,36335.0,36424.0,36481.0,36559.0,36609.0,36700.0,36789.0,36856.0,36954.0,36999.0,37052.0,37096.0,37126.0,37165.0,37255.0,37306.0,37351.0,37471.0,37560.0,37662.0,37703.0,37748.0,37857.0,37884.0,37936.0,37996.0,38056.0,38096.0,38149.0,38189.0,38241.0,38333.0,38417.0,38467.0,38527.0,38609.0,38736.0,38919.0,39142.0,39432.0,39538.0,39663.0,39721.0,39777.0,39821.0
5007101,46800.0,46849.0,46905.0,46993.0,47013.0,47053.0,47087.0,47115.0,47195.0,47223.0,47322.0,47368.0,47434.0,47486.0,47596.0,47662.0,47742.0,47832.0,47936.0,47985.0,48067.0,48176.0,48242.0,48299.0,48398.0,48451.0,48523.0,48561.0,48629.0,48696.0,48746.0,48819.0,48860.0,48908.0,48951.0,48980.0,49017.0,49098.0,49140.0,49181.0,49281.0,49350.0,49449.0,49489.0,49532.0,49634.0,49660.0,49715.0,49780.0,49838.0,49877.0,49929.0,49962.0,50006.0,50100.0,50182.0,50235.0,50271.0,50321.0,50398.0,50542.0,50717.0,50944.0,51039.0,51160.0,51216.0,51270.0,51305.0
