tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P
5093482,32700.0,32841.0,32954.0,33061.0,33188.0,33267.0,33321.0,33372.0,33400.0,33450.0,33492.0,33538.0,33633.0,33698.0,33787.0,33813.0,33866.0,33937.0,34069.0,34128.0,34200.0,34260.0,34317.0,34363.0,34425.0,34523.0,34613.0,34649.0,34713.0,34740.0,34782.0,34809.0,34850.0,34911.0,34967.0,35010.0,35058.0,35111.0,35175.0,35209.0,35241.0,35276.0,35321.0,35380.0,35469.0,35524.0,35606.0,35680.0,35720.0,35781.0,35812.0,35888.0,35944.0,35983.0,36052.0,36132.0,36188.0,36225.0,36294.0,36337.0,36391.0,36455.0,36485.0,36573.0
5093484,49500.0,49561.0,49610.0,49648.0,49693.0,49778.0,49837.0,49892.0,49923.0,49959.0,49990.0,50023.0,50098.0,50222.0,50332.0,50352.0,50392.0,50446.0,50547.0,50592.0,50647.0,50693.0,50729.0,50758.0,50797.0,50909.0,51012.0,51055.0,51132.0,51165.0,51215.0,51248.0,51298.0,51378.0,51451.0,51507.0,51566.0,51630.0,51696.0,51730.0,51763.0,51799.0,51845.0,51905.0,51997.0,52054.0,52137.0,52212.0,52285.0,52398.0,52432.0,52519.0,52583.0,52628.0,52683.0,52747.0,52792.0,52838.0,52925.0,52972.0,53031.0,53098.0,53129.0,53221.0
5093486,63900.0,63937.0,63966.0,64027.0,64099.0,64159.0,64201.0,64240.0,64262.0,64298.0,64329.0,64363.0,64417.0,64474.0,64574.0,64599.0,64648.0,64714.0,64837.0,64892.0,64959.0,65015.0,65039.0,65058.0,65084.0,65164.0,65237.0,65270.0,65330.0,65352.0,65386.0,65408.0,65441.0,65513.0,65578.0,65628.0,65671.0,65718.0,65777.0,65808.0,65838.0,65870.0,65910.0,65963.0,66043.0,66094.0,66183.0,66263.0,66316.0,66398.0,66447.0,66589.0,66693.0,66765.0,66857.0,66964.0,67039.0,67089.0,67183.0,67218.0,67261.0,67326.0,67356.0,67446.0
5095640,69900.0,69941.0,69974.0,70000.0,70031.0,70089.0,70129.0,70167.0,70187.0,70234.0,70274.0,70316.0,70406.0,70522.0,70613.0,70627.0,70656.0,70695.0,70767.0,70799.0,70839.0,70873.0,70918.0,70954.0,71004.0,71105.0,71198.0,71221.0,71263.0,71291.0,71334.0,71362.0,71405.0,71461.0,71512.0,71552.0,71580.0,71610.0,71674.0,71707.0,71739.0,71773.0,71801.0,71838.0,71895.0,71931.0,72005.0,72072.0,72164.0,72307.0,72346.0,72426.0,72485.0,72526.0,72582.0,72647.0,72692.0,72712.0,72750.0,72772.0,72799.0,72850.0,72874.0,72944.0
5096196,34200.0,34231.0,34256.0,34297.0,34345.0,34395.0,34430.0,34463.0,34481.0,34519.0,34551.0,34585.0,34633.0,34694.0,34771.0,34788.0,34823.0,34870.0,34957.0,34996.0,35044.0,35084.0,35128.0,35163.0,35211.0,35261.0,35306.0,35328.0,35368.0,35393.0,35431.0,35456.0,35493.0,35530.0,35563.0,35589.0,35622.0,35658.0,35688.0,35703.0,35718.0,35734.0,35761.0,35797.0,35852.0,35887.0,35919.0,35948.0,35993.0,36062.0,36103.0,36191.0,36256.0,36300.0,36328.0,36361.0,36384.0,36404.0,36443.0,36490.0,36548.0,36673.0,36731.0,36904.0
5096198,42000.0,42036.0,42064.0,42093.0,42127.0,42184.0,42223.0,42260.0,42280.0,42318.0,42350.0,42385.0,42461.0,42533.0,42583.0,42600.0,42635.0,42682.0,42769.0,42808.0,42856.0,42896.0,42927.0,42952.0,42985.0,43047.0,43104.0,43132.0,43183.0,43207.0,43244.0,43268.0,43304.0,43362.0,43414.0,43455.0,43492.0,43532.0,43562.0,43577.0,43592.0,43608.0,43641.0,43684.0,43750.0,43791.0,43849.0,43901.0,43942.0,44006.0,44030.0,44082.0,44120.0,44147.0,44190.0,44240.0,44275.0,44292.0,44324.0,44352.0,44388.0,44513.0,44571.0,44744.0
5096200,54900.0,54933.0,54960.0,55042.0,55140.0,55184.0,55215.0,55244.0,55260.0,55282.0,55300.0,55320.0,55380.0,55500.0,55620.0,55627.0,55640.0,55658.0,55691.0,55706.0,55724.0,55740.0,55823.0,55889.0,55980.0,56043.0,56100.0,56122.0,56160.0,56184.0,56220.0,56244.0,56280.0,56326.0,56368.0,56400.0,56457.0,56520.0,56590.0,56627.0,56662.0,56700.0,56732.0,56775.0,56840.0,56880.0,56912.0,56940.0,56987.0,57060.0,57240.0,57293.0,57332.0,57360.0,57400.0,57447.0,57480.0,57542.0,57660.0,57713.0,57780.0,57822.0,57842.0,57900.0
5096202,66300.0,66333.0,66360.0,66442.0,66540.0,66584.0,66615.0,66644.0,66660.0,66682.0,66700.0,66720.0,66780.0,66900.0,67020.0,67027.0,67040.0,67058.0,67091.0,67106.0,67124.0,67140.0,67223.0,67289.0,67380.0,67443.0,67500.0,67522.0,67560.0,67584.0,67620.0,67644.0,67680.0,67726.0,67768.0,67800.0,67857.0,67920.0,67990.0,68027.0,68062.0,68100.0,68132.0,68175.0,68240.0,68280.0,68312.0,68340.0,68387.0,68460.0,68640.0,68693.0,68732.0,68760.0,68800.0,68847.0,68880.0,68942.0,69060.0,69113.0,69180.0,69222.0,69242.0,69300.0
5096204,79800.0,79833.0,79860.0,79887.0,79920.0,79964.0,79995.0,80024.0,80040.0,80062.0,80080.0,80100.0,80160.0,80220.0,80340.0,80347.0,80360.0,80378.0,80411.0,80426.0,80444.0,80460.0,80522.0,80572.0,80640.0,80671.0,80700.0,80722.0,80760.0,80772.0,80790.0,80802.0,80820.0,80866.0,80908.0,80940.0,80997.0,81060.0,81107.0,81131.0,81154.0,81180.0,81202.0,81230.0,81273.0,81300.0,81332.0,81360.0,81407.0,81480.0,81600.0,81653.0,81692.0,81720.0,81760.0,81807.0,81840.0,81882.0,81960.0,82013.0,82080.0,82101.0,82111.0,82140.0
5096750,27900.0,28075.0,28214.0,28237.0,28265.0,28332.0,28378.0,28422.0,28447.0,28490.0,28526.0,28565.0,28640.0,28728.0,28823.0,28851.0,28907.0,28982.0,29121.0,29183.0,29259.0,29323.0,29377.0,29420.0,29479.0,29573.0,29659.0,29703.0,29781.0,29809.0,29852.0,29880.0,29921.0,29999.0,30070.0,30125.0,30184.0,30248.0,30366.0,30427.0,30486.0,30550.0,30628.0,30730.0,30886.0,30983.0,31053.0,31115.0,31235.0,31421.0,31598.0,31716.0,31803.0,31864.0,31924.0,31994.0,32044.0,32086.0,32166.0,32246.0,32346.0,32445.0,32491.0,32629.0
5096752,43500.0,43561.0,43610.0,43648.0,43693.0,43778.0,43837.0,43892.0,43923.0,43959.0,43990.0,44023.0,44098.0,44222.0,44332.0,44352.0,44392.0,44446.0,44547.0,44592.0,44647.0,44693.0,44729.0,44758.0,44797.0,44909.0,45012.0,45055.0,45132.0,45165.0,45215.0,45248.0,45298.0,45378.0,45451.0,45507.0,45566.0,45630.0,45696.0,45730.0,45763.0,45799.0,45845.0,45905.0,45997.0,46054.0,46137.0,46212.0,46285.0,46398.0,46432.0,46519.0,46583.0,46628.0,46683.0,46747.0,46792.0,46838.0,46925.0,46972.0,47031.0,47098.0,47129.0,47221.0
5096754,58500.0,58537.0,58566.0,58627.0,58699.0,58759.0,58801.0,58840.0,58862.0,58898.0,58929.0,58963.0,59017.0,59074.0,59174.0,59199.0,59248.0,59314.0,59437.0,59492.0,59559.0,59615.0,59639.0,59658.0,59684.0,59764.0,59837.0,59870.0,59930.0,59952.0,59986.0,60008.0,60041.0,60113.0,60178.0,60228.0,60271.0,60318.0,60377.0,60408.0,60438.0,60470.0,60510.0,60563.0,60643.0,60694.0,60783.0,60863.0,60916.0,60998.0,61047.0,61189.0,61293.0,61365.0,61457.0,61564.0,61639.0,61689.0,61783.0,61818.0,61861.0,61926.0,61956.0,62046.0
5097760,44100.0,44136.0,44164.0,44193.0,44227.0,44284.0,44323.0,44360.0,44380.0,44418.0,44450.0,44485.0,44561.0,44633.0,44683.0,44700.0,44735.0,44782.0,44869.0,44908.0,44956.0,44996.0,45027.0,45052.0,45085.0,45147.0,45204.0,45232.0,45283.0,45307.0,45344.0,45368.0,45404.0,45462.0,45514.0,45555.0,45592.0,45632.0,45662.0,45677.0,45692.0,45708.0,45741.0,45784.0,45850.0,45891.0,45949.0,46001.0,46042.0,46106.0,46130.0,46182.0,46220.0,46247.0,46290.0,46340.0,46375.0,46392.0,46424.0,46452.0,46488.0,46613.0,46671.0,46844.0
5097762,52800.0,52833.0,52860.0,52915.0,52980.0,53002.0,53017.0,53031.0,53040.0,53083.0,53120.0,53160.0,53220.0,53340.0,53460.0,53470.0,53490.0,53517.0,53567.0,53589.0,53616.0,53640.0,53702.0,53752.0,53820.0,53883.0,53940.0,53962.0,54000.0,54024.0,54060.0,54084.0,54120.0,54166.0,54208.0,54240.0,54297.0,54360.0,54430.0,54467.0,54502.0,54540.0,54572.0,54615.0,54680.0,54720.0,54783.0,54840.0,54911.0,55020.0,55140.0,55193.0,55232.0,55260.0,55300.0,55347.0,55380.0,55422.0,55500.0,55553.0,55620.0,55662.0,55682.0,55740.0
5097764,64200.0,64233.0,64260.0,64342.0,64440.0,64484.0,64515.0,64544.0,64560.0,64582.0,64600.0,64620.0,64680.0,64800.0,64920.0,64927.0,64940.0,64958.0,64991.0,65006.0,65024.0,65040.0,65123.0,65189.0,65280.0,65343.0,65400.0,65422.0,65460.0,65484.0,65520.0,65544.0,65580.0,65626.0,65668.0,65700.0,65757.0,65820.0,65890.0,65927.0,65962.0,66000.0,66032.0,66075.0,66140.0,66180.0,66212.0,66240.0,66287.0,66360.0,66540.0,66593.0,66632.0,66660.0,66700.0,66747.0,66780.0,66842.0,66960.0,67013.0,67080.0,67122.0,67142.0,67200.0
5098322,38400.0,38436.0,38464.0,38493.0,38527.0,38584.0,38623.0,38660.0,38680.0,38718.0,38750.0,38785.0,38861.0,38933.0,38983.0,39000.0,39035.0,39082.0,39169.0,39208.0,39256.0,39296.0,39327.0,39352.0,39385.0,39447.0,39504.0,39532.0,39583.0,39607.0,39644.0,39668.0,39704.0,39762.0,39814.0,39855.0,39892.0,39932.0,39962.0,39977.0,39992.0,40008.0,40041.0,40084.0,40150.0,40191.0,40249.0,40301.0,40342.0,40406.0,40430.0,40482.0,40520.0,40547.0,40590.0,40640.0,40675.0,40692.0,40724.0,40752.0,40788.0,40913.0,40971.0,41144.0
5098326,59700.0,59733.0,59760.0,59842.0,59940.0,59984.0,60015.0,60044.0,60060.0,60082.0,60100.0,60120.0,60180.0,60300.0,60420.0,60427.0,60440.0,60458.0,60491.0,60506.0,60524.0,60540.0,60623.0,60689.0,60780.0,60843.0,60900.0,60922.0,60960.0,60984.0,61020.0,61044.0,61080.0,61126.0,61168.0,61200.0,61257.0,61320.0,61390.0,61427.0,61462.0,61500.0,61532.0,61575.0,61640.0,61680.0,61712.0,61740.0,61787.0,61860.0,62040.0,62093.0,62132.0,62160.0,62200.0,62247.0,62280.0,62342.0,62460.0,62513.0,62580.0,62622.0,62642.0,62700.0
