tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5008349,76500.0,76528.0,76548.0,76569.0,76598.0,76628.0,76658.0,76692.0,76738.0,76760.0,76783.0,76809.0,76856.0,76896.0,76913.0,76952.0,76985.0,77027.0,77082.0,77110.0,77150.0,77193.0,77224.0,77248.0,77293.0,77320.0,77365.0,77389.0,77430.0,77471.0,77495.0,77528.0,77552.0,77600.0,77633.0,77672.0,77754.0,77794.0,77828.0,77857.0,77885.0,77918.0,77935.0,78035.0,78100.0,78196.0
5008351,81900.0,81928.0,81948.0,81969.0,81998.0,82028.0,82058.0,82092.0,82138.0,82160.0,82183.0,82209.0,82256.0,82296.0,82313.0,82352.0,82385.0,82427.0,82482.0,82510.0,82550.0,82593.0,82624.0,82648.0,82693.0,82720.0,82765.0,82789.0,82830.0,82871.0,82895.0,82928.0,82952.0,83000.0,83033.0,83072.0,83154.0,83194.0,83228.0,83257.0,83285.0,83318.0,83335.0,83435.0,83500.0,83596.0
5008997,27600.0,27626.0,27646.0,27676.0,27717.0,27760.0,27799.0,27843.0,27902.0,27931.0,27961.0,27996.0,28083.0,28143.0,28168.0,28237.0,28295.0,28369.0,28467.0,28512.0,28576.0,28644.0,28694.0,28732.0,28803.0,28848.0,28905.0,28934.0,28983.0,29048.0,29087.0,29142.0,29182.0,29237.0,29274.0,29325.0,29430.0,29478.0,29518.0,29550.0,29581.0,29642.0,29674.0,29774.0,29839.0,29935.0
5009001,38400.0,38436.0,38462.0,38499.0,38550.0,38603.0,38655.0,38713.0,38792.0,38830.0,38869.0,38915.0,39017.0,39101.0,39137.0,39214.0,39279.0,39361.0,39470.0,39522.0,39596.0,39675.0,39733.0,39777.0,39859.0,39910.0,39993.0,40036.0,40145.0,40230.0,40281.0,40325.0,40357.0,40421.0,40464.0,40516.0,40625.0,40677.0,40721.0,40768.0,40815.0,40889.0,40928.0,41058.0,41143.0,41268.0
5009003,44400.0,44445.0,44479.0,44515.0,44565.0,44616.0,44668.0,44726.0,44805.0,44844.0,44883.0,44930.0,45025.0,45120.0,45161.0,45228.0,45285.0,45357.0,45454.0,45502.0,45570.0,45643.0,45696.0,45736.0,45812.0,45859.0,45941.0,45984.0,46051.0,46124.0,46168.0,46233.0,46279.0,46343.0,46386.0,46433.0,46532.0,46590.0,46639.0,46685.0,46730.0,46812.0,46855.0,46987.0,47073.0,47200.0
5009005,51600.0,51638.0,51666.0,51693.0,51731.0,51771.0,51818.0,51871.0,51942.0,51977.0,52013.0,52054.0,52136.0,52221.0,52258.0,52325.0,52382.0,52454.0,52550.0,52595.0,52659.0,52727.0,52777.0,52815.0,52886.0,52931.0,52996.0,53030.0,53090.0,53158.0,53199.0,53263.0,53308.0,53387.0,53440.0,53490.0,53594.0,53659.0,53712.0,53754.0,53795.0,53857.0,53890.0,54021.0,54107.0,54233.0
5009007,58800.0,58841.0,58871.0,58897.0,58934.0,58972.0,59023.0,59080.0,59157.0,59195.0,59234.0,59279.0,59362.0,59429.0,59458.0,59512.0,59558.0,59616.0,59694.0,59733.0,59788.0,59846.0,59889.0,59921.0,59982.0,60018.0,60077.0,60107.0,60169.0,60230.0,60267.0,60332.0,60379.0,60436.0,60474.0,60519.0,60613.0,60667.0,60712.0,60755.0,60797.0,60857.0,60889.0,61014.0,61095.0,61214.0
5009009,66000.0,66028.0,66048.0,66074.0,66110.0,66148.0,66187.0,66231.0,66290.0,66319.0,66348.0,66382.0,66469.0,66520.0,66542.0,66604.0,66657.0,66724.0,66812.0,66845.0,66892.0,66942.0,66979.0,67007.0,67059.0,67091.0,67143.0,67170.0,67219.0,67275.0,67309.0,67355.0,67388.0,67446.0,67485.0,67536.0,67641.0,67699.0,67748.0,67786.0,67824.0,67876.0,67904.0,68001.0,68065.0,68158.0
5009011,72900.0,72926.0,72945.0,72966.0,72995.0,73026.0,73059.0,73096.0,73146.0,73170.0,73195.0,73223.0,73267.0,73320.0,73342.0,73392.0,73435.0,73489.0,73560.0,73596.0,73647.0,73701.0,73741.0,73771.0,73827.0,73861.0,73912.0,73938.0,73988.0,74029.0,74053.0,74094.0,74124.0,74177.0,74212.0,74257.0,74349.0,74388.0,74421.0,74452.0,74483.0,74523.0,74545.0,74663.0,74740.0,74852.0
5009122,25800.0,25832.0,25855.0,25876.0,25905.0,25934.0,25974.0,26019.0,26079.0,26108.0,26138.0,26174.0,26218.0,26275.0,26300.0,26349.0,26390.0,26442.0,26512.0,26545.0,26592.0,26642.0,26679.0,26707.0,26759.0,26791.0,26847.0,26876.0,26926.0,26977.0,27008.0,27063.0,27102.0,27171.0,27218.0,27267.0,27369.0,27426.0,27473.0,27523.0,27572.0,27637.0,27672.0,27782.0,27854.0,27959.0
