tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P
5009810,44400.0,44468.0,44498.0,44517.0,44582.0,44622.0,44679.0,44700.0,44764.0,44839.0,44887.0,44945.0,44979.0,45033.0,45168.0,45256.0,45457.0,45710.0,45880.0,45998.0,46079.0,46183.0,46261.0,46357.0,46432.0,46482.0,46652.0,46786.0,46841.0,46904.0,46932.0,47001.0,47038.0,47062.0,47100.0,47152.0,47187.0,47223.0,47271.0,47315.0,47342.0,47397.0,47510.0,47587.0,47675.0,47720.0,47767.0
5009812,52800.0,52884.0,52921.0,52944.0,53024.0,53063.0,53119.0,53140.0,53203.0,53276.0,53323.0,53381.0,53416.0,53471.0,53595.0,53676.0,53879.0,54127.0,54293.0,54409.0,54489.0,54575.0,54640.0,54727.0,54802.0,54852.0,55023.0,55152.0,55211.0,55278.0,55306.0,55375.0,55413.0,55436.0,55471.0,55523.0,55558.0,55594.0,55642.0,55686.0,55714.0,55773.0,55894.0,55975.0,56067.0,56114.0,56164.0
5009814,61800.0,61864.0,61892.0,61910.0,61970.0,62011.0,62070.0,62092.0,62158.0,62235.0,62284.0,62345.0,62377.0,62428.0,62535.0,62605.0,62790.0,63090.0,63291.0,63431.0,63528.0,63631.0,63709.0,63801.0,63874.0,63923.0,64090.0,64216.0,64296.0,64386.0,64414.0,64483.0,64520.0,64544.0,64580.0,64633.0,64669.0,64706.0,64755.0,64800.0,64827.0,64883.0,64998.0,65062.0,65135.0,65172.0,65211.0
5010206,25200.0,25257.0,25282.0,25298.0,25351.0,25396.0,25460.0,25484.0,25556.0,25639.0,25692.0,25757.0,25793.0,25851.0,25954.0,26021.0,26180.0,26362.0,26484.0,26569.0,26628.0,26720.0,26789.0,26847.0,26903.0,26940.0,27066.0,27187.0,27232.0,27283.0,27305.0,27360.0,27390.0,27410.0,27441.0,27478.0,27503.0,27529.0,27564.0,27596.0,27617.0,27673.0,27788.0,27838.0,27895.0,27925.0,27956.0
5010208,33600.0,33709.0,33757.0,33787.0,33890.0,33945.0,34023.0,34052.0,34140.0,34242.0,34307.0,34385.0,34429.0,34500.0,34636.0,34725.0,34952.0,35244.0,35440.0,35576.0,35669.0,35767.0,35841.0,35929.0,36000.0,36048.0,36210.0,36335.0,36374.0,36418.0,36441.0,36497.0,36527.0,36549.0,36584.0,36631.0,36663.0,36696.0,36740.0,36780.0,36804.0,36858.0,36967.0,37030.0,37101.0,37138.0,37176.0
5010210,42000.0,42068.0,42098.0,42117.0,42182.0,42222.0,42279.0,42300.0,42364.0,42439.0,42487.0,42545.0,42579.0,42633.0,42768.0,42856.0,43057.0,43310.0,43480.0,43598.0,43679.0,43783.0,43861.0,43957.0,44032.0,44082.0,44252.0,44386.0,44441.0,44504.0,44532.0,44601.0,44638.0,44662.0,44700.0,44752.0,44787.0,44823.0,44871.0,44915.0,44942.0,44997.0,45110.0,45187.0,45275.0,45320.0,45367.0
5010212,50400.0,50468.0,50498.0,50517.0,50582.0,50622.0,50679.0,50700.0,50764.0,50839.0,50887.0,50945.0,50979.0,51033.0,51168.0,51256.0,51457.0,51710.0,51880.0,51998.0,52079.0,52183.0,52261.0,52357.0,52432.0,52482.0,52652.0,52786.0,52841.0,52904.0,52932.0,53001.0,53038.0,53062.0,53100.0,53152.0,53187.0,53223.0,53271.0,53315.0,53342.0,53397.0,53510.0,53587.0,53675.0,53720.0,53767.0
5010214,59400.0,59464.0,59492.0,59510.0,59570.0,59611.0,59670.0,59692.0,59758.0,59835.0,59884.0,59945.0,59977.0,60028.0,60135.0,60205.0,60390.0,60690.0,60891.0,61031.0,61128.0,61231.0,61309.0,61401.0,61474.0,61523.0,61690.0,61816.0,61896.0,61986.0,62014.0,62083.0,62120.0,62144.0,62180.0,62233.0,62269.0,62306.0,62355.0,62400.0,62427.0,62483.0,62598.0,62662.0,62735.0,62772.0,62811.0
5010216,69300.0,69357.0,69382.0,69398.0,69451.0,69488.0,69541.0,69560.0,69619.0,69688.0,69732.0,69786.0,69815.0,69861.0,69975.0,70049.0,70221.0,70456.0,70613.0,70723.0,70798.0,70878.0,70938.0,71013.0,71070.0,71108.0,71239.0,71354.0,71401.0,71455.0,71477.0,71532.0,71563.0,71587.0,71623.0,71670.0,71702.0,71735.0,71779.0,71819.0,71844.0,71897.0,72005.0,72063.0,72129.0,72163.0,72200.0
5010218,76800.0,76846.0,76867.0,76880.0,76923.0,76954.0,76997.0,77013.0,77062.0,77119.0,77155.0,77200.0,77224.0,77263.0,77370.0,77440.0,77612.0,77820.0,77959.0,78056.0,78123.0,78202.0,78262.0,78318.0,78368.0,78401.0,78516.0,78615.0,78656.0,78703.0,78723.0,78773.0,78801.0,78826.0,78864.0,78911.0,78943.0,78976.0,79020.0,79060.0,79084.0,79131.0,79227.0,79277.0,79334.0,79363.0,79393.0
