tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
5008534,31800.0,31844.0,31983.0,32068.0,32145.0,32260.0,32264.0,32321.0,32350.0,32447.0,32535.0,32650.0,32806.0,32854.0,32880.0,32902.0,32947.0,32998.0,33041.0,33088.0,33130.0,33167.0,33197.0,33222.0,33282.0,33296.0,33360.0,33388.0,33404.0,33439.0,33479.0,33525.0,33581.0,33629.0,33674.0,33735.0,33801.0,33849.0,33868.0,33914.0,33955.0,33980.0,33991.0,34016.0,34036.0,34048.0,34118.0,34170.0,34185.0,34251.0,34367.0
5008536,39000.0,39043.0,39181.0,39311.0,39428.0,39604.0,39610.0,39695.0,39732.0,39858.0,39972.0,40120.0,40237.0,40325.0,40373.0,40401.0,40457.0,40546.0,40633.0,40683.0,40728.0,40790.0,40840.0,40876.0,40961.0,40982.0,41073.0,41118.0,41143.0,41197.0,41258.0,41328.0,41393.0,41431.0,41467.0,41541.0,41621.0,41706.0,41740.0,41799.0,41852.0,41900.0,41920.0,41967.0,42005.0,42017.0,42087.0,42141.0,42156.0,42225.0,42370.0
5008538,47400.0,47443.0,47581.0,47711.0,47828.0,48004.0,48010.0,48095.0,48132.0,48258.0,48372.0,48520.0,48637.0,48725.0,48773.0,48801.0,48857.0,48946.0,49033.0,49083.0,49128.0,49190.0,49240.0,49276.0,49361.0,49382.0,49473.0,49518.0,49543.0,49597.0,49658.0,49728.0,49793.0,49831.0,49867.0,49941.0,50021.0,50106.0,50140.0,50199.0,50252.0,50300.0,50320.0,50367.0,50405.0,50417.0,50487.0,50541.0,50556.0,50625.0,50770.0
5008540,57000.0,57046.0,57191.0,57318.0,57432.0,57603.0,57608.0,57677.0,57730.0,57911.0,58074.0,58287.0,58406.0,58490.0,58536.0,58573.0,58648.0,58726.0,58813.0,58863.0,58907.0,58981.0,59041.0,59100.0,59183.0,59203.0,59292.0,59363.0,59403.0,59457.0,59518.0,59588.0,59693.0,59735.0,59776.0,59846.0,59922.0,60022.0,60062.0,60125.0,60181.0,60219.0,60239.0,60285.0,60322.0,60336.0,60419.0,60479.0,60496.0,60572.0,60702.0
5008542,66600.0,66641.0,66770.0,66906.0,67028.0,67212.0,67218.0,67299.0,67345.0,67500.0,67640.0,67824.0,67954.0,68024.0,68063.0,68087.0,68136.0,68203.0,68275.0,68319.0,68358.0,68411.0,68455.0,68487.0,68566.0,68585.0,68669.0,68709.0,68731.0,68760.0,68792.0,68830.0,68915.0,68943.0,68969.0,69031.0,69098.0,69193.0,69231.0,69287.0,69338.0,69373.0,69398.0,69455.0,69502.0,69514.0,69583.0,69638.0,69654.0,69725.0,69872.0
5010962,25800.0,25886.0,26159.0,26310.0,26445.0,26649.0,26655.0,26741.0,26774.0,26886.0,26987.0,27119.0,27282.0,27376.0,27428.0,27460.0,27526.0,27601.0,27687.0,27752.0,27811.0,27886.0,27948.0,27994.0,28092.0,28116.0,28219.0,28272.0,28301.0,28364.0,28434.0,28515.0,28607.0,28659.0,28709.0,28823.0,28948.0,29054.0,29097.0,29177.0,29249.0,29296.0,29320.0,29375.0,29420.0,29439.0,29551.0,29628.0,29650.0,29749.0,29962.0
5010964,36000.0,36053.0,36221.0,36392.0,36546.0,36777.0,36784.0,36857.0,36902.0,37056.0,37195.0,37378.0,37511.0,37592.0,37636.0,37659.0,37707.0,37778.0,37841.0,37881.0,37916.0,37976.0,38025.0,38056.0,38137.0,38157.0,38243.0,38274.0,38292.0,38327.0,38367.0,38413.0,38498.0,38544.0,38587.0,38664.0,38749.0,38828.0,38860.0,38911.0,38957.0,38996.0,39011.0,39044.0,39071.0,39085.0,39165.0,39222.0,39238.0,39311.0,39487.0
5010966,45600.0,45645.0,45786.0,45933.0,46065.0,46263.0,46269.0,46342.0,46385.0,46532.0,46665.0,46839.0,46972.0,47057.0,47103.0,47134.0,47197.0,47281.0,47357.0,47414.0,47465.0,47544.0,47608.0,47649.0,47749.0,47773.0,47880.0,47928.0,47955.0,48005.0,48061.0,48127.0,48205.0,48255.0,48303.0,48385.0,48475.0,48568.0,48605.0,48666.0,48721.0,48765.0,48784.0,48828.0,48864.0,48880.0,48970.0,49031.0,49049.0,49128.0,49268.0
5010968,55200.0,55248.0,55402.0,55553.0,55689.0,55893.0,55899.0,55964.0,56010.0,56167.0,56309.0,56496.0,56639.0,56737.0,56791.0,56819.0,56875.0,56972.0,57049.0,57121.0,57186.0,57271.0,57341.0,57396.0,57506.0,57533.0,57650.0,57716.0,57753.0,57808.0,57869.0,57940.0,58039.0,58093.0,58144.0,58235.0,58335.0,58449.0,58495.0,58569.0,58635.0,58689.0,58714.0,58771.0,58818.0,58836.0,58939.0,59006.0,59025.0,59111.0,59276.0
5010970,67200.0,67250.0,67408.0,67558.0,67693.0,67896.0,67902.0,67983.0,68027.0,68177.0,68312.0,68489.0,68633.0,68717.0,68763.0,68791.0,68847.0,68940.0,69029.0,69080.0,69125.0,69188.0,69239.0,69282.0,69377.0,69400.0,69500.0,69546.0,69572.0,69610.0,69652.0,69701.0,69784.0,69819.0,69853.0,69926.0,70006.0,70099.0,70136.0,70196.0,70250.0,70304.0,70327.0,70379.0,70422.0,70434.0,70504.0,70560.0,70576.0,70649.0,70786.0
