tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5007586,44100.0,44208.0,44234.0,44318.0,44382.0,44420.0,44467.0,44493.0,44529.0,44551.0,44572.0,44637.0,44700.0,44726.0,44768.0,44789.0,44867.0,44904.0,44979.0,45020.0,45047.0,45083.0,45122.0,45167.0,45225.0,45268.0,45302.0,45426.0,45541.0,45572.0,45614.0,45641.0,45661.0,45682.0,45720.0,45771.0,45796.0,45854.0,45908.0,46044.0,46092.0,46151.0,46190.0,46215.0,46428.0,46438.0
5007590,57300.0,57418.0,57445.0,57534.0,57602.0,57644.0,57696.0,57723.0,57762.0,57786.0,57803.0,57854.0,57903.0,57927.0,57965.0,57983.0,58051.0,58084.0,58163.0,58199.0,58223.0,58256.0,58307.0,58366.0,58423.0,58465.0,58498.0,58621.0,58738.0,58770.0,58811.0,58838.0,58857.0,58877.0,58913.0,58962.0,58986.0,59042.0,59094.0,59227.0,59268.0,59319.0,59354.0,59384.0,59575.0,59584.0
5007592,63600.0,63718.0,63745.0,63834.0,63902.0,63944.0,63996.0,64023.0,64062.0,64086.0,64103.0,64154.0,64203.0,64227.0,64265.0,64283.0,64351.0,64384.0,64463.0,64499.0,64523.0,64556.0,64607.0,64666.0,64723.0,64765.0,64798.0,64921.0,65038.0,65070.0,65111.0,65138.0,65157.0,65177.0,65213.0,65262.0,65286.0,65342.0,65394.0,65527.0,65568.0,65619.0,65654.0,65684.0,65875.0,65884.0
5007594,69900.0,69958.0,69979.0,70048.0,70101.0,70137.0,70181.0,70204.0,70237.0,70256.0,70269.0,70307.0,70344.0,70368.0,70406.0,70424.0,70500.0,70536.0,70605.0,70638.0,70660.0,70689.0,70748.0,70816.0,70874.0,70917.0,70950.0,71074.0,71192.0,71224.0,71262.0,71287.0,71305.0,71323.0,71355.0,71398.0,71420.0,71470.0,71516.0,71633.0,71701.0,71785.0,71822.0,71842.0,72044.0,72054.0
5007618,33000.0,33250.0,33276.0,33362.0,33428.0,33471.0,33524.0,33548.0,33582.0,33603.0,33619.0,33668.0,33715.0,33741.0,33782.0,33802.0,33867.0,33898.0,33964.0,33998.0,34021.0,34051.0,34092.0,34139.0,34203.0,34251.0,34288.0,34427.0,34574.0,34614.0,34649.0,34672.0,34688.0,34710.0,34750.0,34804.0,34831.0,34893.0,34951.0,35098.0,35156.0,35229.0,35271.0,35302.0,35523.0,35534.0
5007620,40500.0,40612.0,40635.0,40710.0,40768.0,40808.0,40857.0,40885.0,40925.0,40950.0,40966.0,41016.0,41065.0,41091.0,41132.0,41152.0,41220.0,41252.0,41323.0,41357.0,41380.0,41411.0,41453.0,41501.0,41565.0,41613.0,41650.0,41788.0,41931.0,41969.0,42006.0,42030.0,42048.0,42068.0,42105.0,42155.0,42180.0,42237.0,42290.0,42424.0,42471.0,42530.0,42569.0,42605.0,42823.0,42833.0
5007622,47400.0,47511.0,47538.0,47626.0,47694.0,47743.0,47803.0,47833.0,47875.0,47900.0,47921.0,47983.0,48043.0,48076.0,48128.0,48154.0,48237.0,48277.0,48365.0,48410.0,48440.0,48481.0,48540.0,48607.0,48681.0,48736.0,48779.0,48939.0,49085.0,49125.0,49169.0,49198.0,49220.0,49246.0,49294.0,49359.0,49391.0,49466.0,49536.0,49713.0,49769.0,49838.0,49881.0,49918.0,50153.0,50164.0
5007624,54600.0,54744.0,54781.0,54904.0,54998.0,55050.0,55113.0,55148.0,55198.0,55229.0,55264.0,55369.0,55471.0,55506.0,55562.0,55591.0,55677.0,55718.0,55797.0,55846.0,55879.0,55923.0,55979.0,56042.0,56109.0,56159.0,56198.0,56344.0,56484.0,56522.0,56567.0,56596.0,56618.0,56646.0,56698.0,56768.0,56803.0,56883.0,56958.0,57149.0,57206.0,57278.0,57318.0,57353.0,57576.0,57587.0
5007626,61800.0,61944.0,61981.0,62104.0,62198.0,62250.0,62313.0,62348.0,62398.0,62429.0,62464.0,62569.0,62671.0,62706.0,62762.0,62791.0,62877.0,62918.0,62997.0,63046.0,63079.0,63123.0,63179.0,63242.0,63309.0,63359.0,63398.0,63544.0,63684.0,63722.0,63767.0,63796.0,63818.0,63846.0,63898.0,63968.0,64003.0,64083.0,64158.0,64349.0,64406.0,64478.0,64518.0,64553.0,64776.0,64787.0
5010240,37800.0,37912.0,37935.0,38010.0,38068.0,38108.0,38157.0,38185.0,38225.0,38250.0,38266.0,38316.0,38365.0,38391.0,38432.0,38452.0,38520.0,38552.0,38623.0,38657.0,38680.0,38711.0,38753.0,38801.0,38865.0,38913.0,38950.0,39088.0,39231.0,39269.0,39306.0,39330.0,39348.0,39368.0,39405.0,39455.0,39480.0,39537.0,39590.0,39724.0,39771.0,39830.0,39869.0,39905.0,40123.0,40133.0
