tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P
5017502,65400.0,65445.0,65473.0,65499.0,65530.0,65568.0,65598.0,65653.0,65696.0,65730.0,65775.0,65918.0,66009.0,66126.0,66148.0,66192.0,66228.0,66259.0,66307.0,66368.0,66425.0,66461.0,66501.0,66616.0,66652.0,66838.0,67005.0,67117.0,67252.0,67351.0,67449.0,67618.0
5017504,71700.0,71740.0,71765.0,71787.0,71815.0,71848.0,71874.0,71923.0,71961.0,71991.0,72029.0,72124.0,72187.0,72267.0,72286.0,72324.0,72355.0,72382.0,72426.0,72482.0,72534.0,72567.0,72604.0,72705.0,72737.0,72871.0,72943.0,73004.0,73078.0,73176.0,73272.0,73439.0
5018803,50700.0,50750.0,50781.0,50809.0,50844.0,50886.0,50919.0,50980.0,51028.0,51065.0,51115.0,51286.0,51396.0,51536.0,51559.0,51606.0,51644.0,51677.0,51726.0,51788.0,51846.0,51883.0,51924.0,52037.0,52072.0,52246.0,52359.0,52460.0,52581.0,52678.0,52774.0,52939.0
5018807,63600.0,63645.0,63673.0,63699.0,63730.0,63768.0,63798.0,63853.0,63896.0,63930.0,63975.0,64118.0,64209.0,64326.0,64348.0,64392.0,64428.0,64459.0,64507.0,64568.0,64625.0,64661.0,64701.0,64816.0,64852.0,65038.0,65205.0,65317.0,65452.0,65551.0,65649.0,65818.0
5018810,78000.0,78035.0,78057.0,78077.0,78101.0,78130.0,78153.0,78196.0,78229.0,78255.0,78290.0,78370.0,78421.0,78485.0,78499.0,78527.0,78550.0,78570.0,78605.0,78649.0,78690.0,78716.0,78745.0,78840.0,78870.0,78978.0,79051.0,79116.0,79194.0,79290.0,79385.0,79550.0
5018814,26400.0,26456.0,26491.0,26523.0,26562.0,26609.0,26646.0,26715.0,26769.0,26811.0,26869.0,26997.0,27064.0,27150.0,27179.0,27237.0,27284.0,27325.0,27388.0,27467.0,27541.0,27588.0,27640.0,27753.0,27788.0,27983.0,28097.0,28227.0,28384.0,28484.0,28583.0,28753.0
5018818,37800.0,37849.0,37880.0,37908.0,37943.0,37984.0,38017.0,38078.0,38125.0,38162.0,38212.0,38354.0,38449.0,38571.0,38595.0,38642.0,38680.0,38714.0,38766.0,38832.0,38894.0,38933.0,38976.0,39084.0,39118.0,39283.0,39406.0,39514.0,39645.0,39744.0,39842.0,40012.0
5018820,43800.0,43850.0,43881.0,43909.0,43944.0,43986.0,44019.0,44080.0,44128.0,44165.0,44215.0,44386.0,44496.0,44636.0,44659.0,44706.0,44744.0,44777.0,44826.0,44888.0,44946.0,44983.0,45024.0,45137.0,45172.0,45346.0,45459.0,45560.0,45681.0,45778.0,45874.0,46039.0
5018823,60600.0,60645.0,60673.0,60699.0,60730.0,60768.0,60798.0,60853.0,60896.0,60930.0,60975.0,61118.0,61209.0,61326.0,61348.0,61392.0,61428.0,61459.0,61507.0,61568.0,61625.0,61661.0,61701.0,61816.0,61852.0,62038.0,62205.0,62317.0,62452.0,62551.0,62649.0,62818.0
5018830,83700.0,83735.0,83757.0,83777.0,83801.0,83830.0,83853.0,83896.0,83929.0,83955.0,83990.0,84070.0,84121.0,84185.0,84199.0,84227.0,84250.0,84270.0,84305.0,84349.0,84390.0,84416.0,84445.0,84540.0,84570.0,84678.0,84751.0,84816.0,84894.0,84990.0,85085.0,85250.0
5084011,30600.0,30655.0,30689.0,30720.0,30759.0,30805.0,30841.0,30909.0,30962.0,31003.0,31060.0,31239.0,31334.0,31456.0,31482.0,31534.0,31576.0,31613.0,31669.0,31739.0,31805.0,31846.0,31892.0,32003.0,32038.0,32226.0,32368.0,32571.0,32815.0,32911.0,33006.0,33169.0
5084017,52500.0,52548.0,52578.0,52605.0,52638.0,52678.0,52710.0,52769.0,52815.0,52851.0,52899.0,53063.0,53168.0,53303.0,53326.0,53371.0,53407.0,53439.0,53487.0,53547.0,53603.0,53638.0,53677.0,53785.0,53819.0,53986.0,54095.0,54191.0,54308.0,54401.0,54493.0,54652.0
5084019,59400.0,59443.0,59470.0,59495.0,59525.0,59561.0,59590.0,59643.0,59684.0,59716.0,59761.0,59899.0,59987.0,60099.0,60120.0,60162.0,60196.0,60227.0,60274.0,60332.0,60387.0,60422.0,60460.0,60570.0,60605.0,60784.0,60945.0,61053.0,61183.0,61278.0,61372.0,61535.0
