tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P
5004983,54600.0,54732.0,54827.0,54908.0,54964.0,55178.0,55336.0,55568.0,55696.0,55794.0,55858.0,55929.0,55994.0,56057.0,56104.0,56170.0,56233.0,56272.0,56379.0,56459.0,56496.0,56527.0,56589.0,56660.0,56727.0,56778.0,56860.0,56932.0,56987.0,57095.0,57140.0,57211.0,57254.0,57336.0,57384.0,57419.0,57468.0,57527.0,57619.0,57704.0,57726.0,57760.0,57793.0,57842.0,57884.0,57956.0,58016.0,58101.0,58156.0,58252.0,58281.0,58341.0,58354.0,58382.0,58412.0,58567.0,58691.0,58751.0,58844.0,58949.0,59007.0,59082.0,59157.0,59209.0,59273.0,59330.0,59421.0,59454.0,59512.0,59603.0
5005216,34800.0,34962.0,35077.0,35233.0,35339.0,35632.0,35848.0,36076.0,36202.0,36292.0,36350.0,36416.0,36476.0,36524.0,36560.0,36611.0,36659.0,36686.0,36766.0,36826.0,36854.0,36878.0,36950.0,37010.0,37066.0,37106.0,37169.0,37216.0,37257.0,37350.0,37383.0,37423.0,37455.0,37517.0,37556.0,37583.0,37625.0,37666.0,37730.0,37797.0,37815.0,37840.0,37862.0,37900.0,37933.0,37988.0,38034.0,38095.0,38134.0,38209.0,38233.0,38282.0,38293.0,38319.0,38339.0,38424.0,38508.0,38565.0,38654.0,38753.0,38806.0,38874.0,38938.0,38982.0,39035.0,39084.0,39160.0,39188.0,39236.0,39312.0
5005218,46800.0,46932.0,47027.0,47108.0,47164.0,47378.0,47536.0,47768.0,47896.0,47994.0,48058.0,48129.0,48194.0,48257.0,48304.0,48370.0,48433.0,48472.0,48579.0,48659.0,48696.0,48727.0,48789.0,48860.0,48927.0,48978.0,49060.0,49132.0,49187.0,49295.0,49340.0,49411.0,49454.0,49536.0,49584.0,49619.0,49668.0,49727.0,49819.0,49904.0,49926.0,49960.0,49993.0,50042.0,50084.0,50156.0,50216.0,50301.0,50356.0,50452.0,50481.0,50541.0,50554.0,50582.0,50612.0,50767.0,50891.0,50951.0,51044.0,51149.0,51207.0,51282.0,51357.0,51409.0,51473.0,51530.0,51621.0,51654.0,51712.0,51803.0
5005220,59400.0,59586.0,59719.0,59803.0,59861.0,60095.0,60268.0,60521.0,60661.0,60768.0,60838.0,60924.0,61002.0,61071.0,61124.0,61194.0,61262.0,61313.0,61400.0,61465.0,61497.0,61524.0,61584.0,61664.0,61739.0,61794.0,61882.0,61954.0,62004.0,62129.0,62179.0,62258.0,62302.0,62385.0,62436.0,62473.0,62525.0,62583.0,62674.0,62759.0,62781.0,62813.0,62848.0,62900.0,62945.0,63022.0,63082.0,63169.0,63226.0,63339.0,63370.0,63432.0,63445.0,63474.0,63499.0,63669.0,63795.0,63847.0,63929.0,64021.0,64075.0,64144.0,64225.0,64281.0,64344.0,64399.0,64489.0,64522.0,64579.0,64669.0
5005222,71400.0,71525.0,71615.0,71685.0,71733.0,71911.0,72042.0,72260.0,72381.0,72476.0,72538.0,72610.0,72675.0,72734.0,72779.0,72834.0,72886.0,72924.0,73012.0,73077.0,73109.0,73136.0,73196.0,73270.0,73339.0,73386.0,73462.0,73518.0,73565.0,73662.0,73704.0,73776.0,73818.0,73898.0,73943.0,73975.0,74021.0,74072.0,74151.0,74226.0,74246.0,74279.0,74312.0,74357.0,74395.0,74460.0,74515.0,74585.0,74630.0,74702.0,74729.0,74784.0,74796.0,74824.0,74843.0,74918.0,74986.0,75026.0,75089.0,75159.0,75197.0,75246.0,75308.0,75351.0,75409.0,75461.0,75529.0,75554.0,75597.0,75666.0
5005545,30600.0,30732.0,30827.0,30901.0,30952.0,31090.0,31192.0,31364.0,31460.0,31538.0,31589.0,31638.0,31682.0,31731.0,31769.0,31815.0,31859.0,31888.0,31944.0,31985.0,32016.0,32042.0,32079.0,32141.0,32199.0,32246.0,32322.0,32381.0,32416.0,32493.0,32528.0,32589.0,32615.0,32665.0,32700.0,32725.0,32755.0,32808.0,32891.0,32952.0,32968.0,32996.0,33018.0,33048.0,33074.0,33118.0,33167.0,33229.0,33269.0,33339.0,33366.0,33422.0,33436.0,33466.0,33485.0,33560.0,33621.0,33660.0,33721.0,33789.0,33835.0,33893.0,33948.0,33986.0,34036.0,34075.0,34148.0,34175.0,34221.0,34294.0
5005547,40500.0,40634.0,40729.0,40791.0,40833.0,40996.0,41117.0,41309.0,41416.0,41504.0,41561.0,41623.0,41680.0,41732.0,41772.0,41827.0,41879.0,41907.0,42005.0,42078.0,42107.0,42132.0,42185.0,42242.0,42295.0,42338.0,42407.0,42465.0,42512.0,42625.0,42657.0,42706.0,42751.0,42836.0,42876.0,42904.0,42938.0,42991.0,43073.0,43149.0,43169.0,43194.0,43220.0,43256.0,43287.0,43338.0,43391.0,43464.0,43511.0,43598.0,43625.0,43680.0,43695.0,43728.0,43748.0,43910.0,44007.0,44065.0,44156.0,44257.0,44312.0,44383.0,44451.0,44498.0,44556.0,44612.0,44690.0,44719.0,44768.0,44846.0
5005549,52200.0,52321.0,52408.0,52488.0,52542.0,52737.0,52881.0,53116.0,53247.0,53335.0,53393.0,53447.0,53496.0,53556.0,53602.0,53663.0,53721.0,53759.0,53857.0,53929.0,53954.0,53975.0,54050.0,54115.0,54175.0,54235.0,54331.0,54403.0,54437.0,54555.0,54599.0,54650.0,54693.0,54776.0,54817.0,54847.0,54893.0,54955.0,55052.0,55131.0,55152.0,55182.0,55207.0,55259.0,55304.0,55379.0,55433.0,55508.0,55557.0,55635.0,55668.0,55737.0,55753.0,55790.0,55809.0,55901.0,55999.0,56059.0,56153.0,56258.0,56317.0,56392.0,56483.0,56547.0,56608.0,56673.0,56744.0,56770.0,56815.0,56887.0
5005551,64800.0,64914.0,64995.0,65084.0,65144.0,65438.0,65655.0,65888.0,66017.0,66110.0,66171.0,66237.0,66297.0,66353.0,66395.0,66465.0,66532.0,66568.0,66655.0,66720.0,66753.0,66782.0,66856.0,66929.0,66997.0,67048.0,67130.0,67196.0,67234.0,67371.0,67417.0,67491.0,67534.0,67617.0,67665.0,67700.0,67748.0,67801.0,67885.0,67962.0,67982.0,68010.0,68042.0,68092.0,68135.0,68207.0,68260.0,68332.0,68379.0,68463.0,68493.0,68554.0,68565.0,68590.0,68608.0,68681.0,68762.0,68817.0,68903.0,68999.0,69049.0,69113.0,69178.0,69223.0,69283.0,69337.0,69406.0,69431.0,69475.0,69545.0
5005728,27000.0,27127.0,27218.0,27301.0,27357.0,27561.0,27711.0,27857.0,27938.0,28021.0,28075.0,28152.0,28223.0,28282.0,28327.0,28387.0,28445.0,28479.0,28575.0,28647.0,28682.0,28713.0,28770.0,28831.0,28887.0,28937.0,29017.0,29075.0,29120.0,29222.0,29268.0,29334.0,29377.0,29458.0,29504.0,29536.0,29581.0,29633.0,29715.0,29814.0,29840.0,29867.0,29892.0,29940.0,29981.0,30050.0,30111.0,30192.0,30245.0,30323.0,30352.0,30411.0,30423.0,30450.0,30479.0,30602.0,30704.0,30751.0,30825.0,30907.0,30954.0,31013.0,31070.0,31110.0,31162.0,31209.0,31311.0,31348.0,31412.0,31514.0
