tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P
5007023,66600.0,66648.0,66722.0,66763.0,66848.0,66909.0,66955.0,66999.0,67038.0,67078.0,67114.0,67340.0,67486.0,67519.0,67543.0,67573.0,67616.0,67651.0,67721.0,67841.0,67922.0,67981.0,68005.0,68103.0,68138.0,68199.0,68296.0,68368.0,68446.0,68522.0,68580.0,68624.0,68685.0,68737.0
5007024,77400.0,77436.0,77491.0,77522.0,77585.0,77631.0,77676.0,77719.0,77745.0,77772.0,77804.0,78001.0,78128.0,78155.0,78175.0,78199.0,78234.0,78263.0,78320.0,78417.0,78481.0,78524.0,78543.0,78618.0,78649.0,78703.0,78787.0,78855.0,78928.0,78999.0,79054.0,79095.0,79152.0,79201.0
5007026,82800.0,82836.0,82891.0,82922.0,82985.0,83031.0,83076.0,83119.0,83145.0,83172.0,83204.0,83401.0,83528.0,83555.0,83575.0,83599.0,83634.0,83663.0,83720.0,83817.0,83881.0,83924.0,83943.0,84018.0,84049.0,84103.0,84187.0,84255.0,84328.0,84399.0,84454.0,84495.0,84552.0,84601.0
5008047,36000.0,36044.0,36112.0,36150.0,36228.0,36285.0,36341.0,36395.0,36421.0,36448.0,36484.0,36707.0,36851.0,36883.0,36909.0,36941.0,36987.0,37025.0,37100.0,37227.0,37311.0,37364.0,37396.0,37524.0,37563.0,37631.0,37739.0,37824.0,37902.0,37978.0,38037.0,38081.0,38142.0,38194.0
5008049,43200.0,43260.0,43353.0,43405.0,43511.0,43587.0,43649.0,43708.0,43748.0,43788.0,43833.0,44114.0,44295.0,44335.0,44368.0,44409.0,44468.0,44516.0,44612.0,44776.0,44887.0,44964.0,45002.0,45157.0,45202.0,45281.0,45405.0,45483.0,45561.0,45637.0,45696.0,45740.0,45801.0,45853.0
5008050,52200.0,52257.0,52345.0,52394.0,52495.0,52569.0,52645.0,52717.0,52760.0,52803.0,52862.0,53227.0,53463.0,53515.0,53545.0,53582.0,53634.0,53677.0,53763.0,53909.0,54007.0,54094.0,54125.0,54252.0,54294.0,54368.0,54485.0,54558.0,54636.0,54712.0,54771.0,54815.0,54876.0,54928.0
5008052,59400.0,59454.0,59537.0,59584.0,59680.0,59749.0,59798.0,59844.0,59888.0,59933.0,59980.0,60274.0,60464.0,60506.0,60528.0,60555.0,60593.0,60625.0,60688.0,60795.0,60867.0,60940.0,60966.0,61071.0,61107.0,61169.0,61267.0,61356.0,61434.0,61510.0,61569.0,61613.0,61674.0,61726.0
5009312,30600.0,30644.0,30712.0,30750.0,30828.0,30885.0,30924.0,30962.0,30985.0,31008.0,31039.0,31229.0,31352.0,31378.0,31399.0,31426.0,31464.0,31495.0,31557.0,31663.0,31736.0,31807.0,31829.0,31921.0,31953.0,32009.0,32098.0,32160.0,32238.0,32314.0,32373.0,32417.0,32478.0,32530.0
5010003,37800.0,37860.0,37953.0,38005.0,38111.0,38187.0,38249.0,38308.0,38348.0,38388.0,38433.0,38714.0,38895.0,38935.0,38968.0,39009.0,39068.0,39116.0,39212.0,39376.0,39487.0,39564.0,39602.0,39757.0,39802.0,39881.0,40005.0,40083.0,40161.0,40237.0,40296.0,40340.0,40401.0,40453.0
5011548,29400.0,29451.0,29531.0,29576.0,29667.0,29733.0,29792.0,29848.0,29884.0,29920.0,29962.0,30225.0,30395.0,30432.0,30472.0,30521.0,30591.0,30649.0,30764.0,30959.0,31090.0,31164.0,31206.0,31379.0,31433.0,31528.0,31676.0,31756.0,31834.0,31910.0,31969.0,32013.0,32074.0,32126.0
