tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P
5099976,62400.0,62563.0,62599.0,62659.0,62787.0,62976.0,62990.0,63152.0,63279.0,63329.0,63523.0,63674.0,63746.0,63826.0,63960.0,64046.0,64101.0,64250.0,64292.0,64323.0,64357.0,64441.0,64595.0,64658.0,64729.0,64790.0,64829.0,64889.0,64952.0,64992.0,65047.0,65153.0,65553.0,65571.0,65613.0,65644.0,65693.0,65734.0,65757.0,65828.0,65915.0,66013.0,66028.0,66075.0,66138.0,66330.0,66494.0
5104115,34200.0,34470.0,34498.0,34546.0,34674.0,34863.0,34877.0,35061.0,35206.0,35263.0,35485.0,35560.0,35611.0,35667.0,35761.0,35821.0,35844.0,35907.0,35967.0,36012.0,36041.0,36084.0,36147.0,36180.0,36217.0,36258.0,36284.0,36304.0,36345.0,36365.0,36412.0,36502.0,36842.0,36856.0,36893.0,36921.0,36965.0,37001.0,37023.0,37092.0,37163.0,37211.0,37225.0,37270.0,37305.0,37497.0,37661.0
5104225,63000.0,63163.0,63199.0,63259.0,63387.0,63576.0,63590.0,63752.0,63879.0,63929.0,64123.0,64274.0,64346.0,64426.0,64560.0,64646.0,64701.0,64850.0,64892.0,64923.0,64957.0,65041.0,65195.0,65258.0,65329.0,65390.0,65429.0,65489.0,65552.0,65592.0,65647.0,65753.0,66153.0,66171.0,66213.0,66244.0,66293.0,66334.0,66357.0,66428.0,66515.0,66613.0,66628.0,66675.0,66738.0,66930.0,67094.0
5105087,43200.0,43260.0,43305.0,43380.0,43473.0,43610.0,43620.0,43838.0,44009.0,44077.0,44340.0,44460.0,44483.0,44509.0,44552.0,44580.0,44613.0,44700.0,44769.0,44820.0,44880.0,44940.0,45000.0,45028.0,45060.0,45097.0,45120.0,45180.0,45240.0,45300.0,45340.0,45417.0,45707.0,45720.0,45747.0,45767.0,45799.0,45825.0,45840.0,45960.0,46080.0,46200.0,46229.0,46320.0,46440.0,46505.0,46560.0
5105089,52800.0,52948.0,52986.0,53050.0,53162.0,53328.0,53340.0,53555.0,53724.0,53791.0,54049.0,54152.0,54224.0,54304.0,54438.0,54523.0,54552.0,54630.0,54680.0,54717.0,54735.0,54782.0,54892.0,54948.0,55010.0,55073.0,55113.0,55148.0,55208.0,55232.0,55289.0,55399.0,55813.0,55830.0,55871.0,55901.0,55949.0,55989.0,56012.0,56084.0,56172.0,56235.0,56254.0,56316.0,56365.0,56507.0,56629.0
5105091,64200.0,64363.0,64399.0,64459.0,64587.0,64776.0,64790.0,64952.0,65079.0,65129.0,65323.0,65474.0,65546.0,65626.0,65760.0,65846.0,65901.0,66050.0,66092.0,66123.0,66157.0,66241.0,66395.0,66458.0,66529.0,66590.0,66629.0,66689.0,66752.0,66792.0,66847.0,66953.0,67353.0,67371.0,67413.0,67444.0,67493.0,67534.0,67557.0,67628.0,67715.0,67813.0,67828.0,67875.0,67938.0,68130.0,68294.0
5105093,73200.0,73260.0,73305.0,73380.0,73450.0,73553.0,73560.0,73778.0,73949.0,74017.0,74280.0,74460.0,74483.0,74509.0,74552.0,74580.0,74613.0,74700.0,74734.0,74760.0,74820.0,74880.0,74940.0,74968.0,75000.0,75037.0,75060.0,75120.0,75180.0,75240.0,75297.0,75407.0,75822.0,75840.0,75867.0,75887.0,75919.0,75945.0,75960.0,76080.0,76200.0,76320.0,76349.0,76440.0,76560.0,76625.0,76680.0
5105095,80400.0,80460.0,80505.0,80580.0,80626.0,80695.0,80700.0,80936.0,81122.0,81195.0,81480.0,81540.0,81552.0,81565.0,81587.0,81600.0,81616.0,81660.0,81694.0,81720.0,81780.0,81840.0,81900.0,81928.0,81960.0,81997.0,82020.0,82080.0,82140.0,82200.0,82246.0,82334.0,82666.0,82680.0,82693.0,82703.0,82719.0,82732.0,82740.0,82800.0,82920.0,83040.0,83069.0,83160.0,83280.0,83345.0,83400.0
5107077,50400.0,50548.0,50586.0,50650.0,50762.0,50928.0,50940.0,51155.0,51324.0,51391.0,51649.0,51752.0,51824.0,51904.0,52038.0,52123.0,52152.0,52230.0,52280.0,52317.0,52335.0,52382.0,52492.0,52548.0,52610.0,52673.0,52713.0,52748.0,52808.0,52832.0,52889.0,52999.0,53413.0,53430.0,53471.0,53501.0,53549.0,53589.0,53612.0,53684.0,53772.0,53835.0,53854.0,53916.0,53965.0,54107.0,54229.0
5107079,60600.0,60763.0,60799.0,60859.0,60987.0,61176.0,61190.0,61352.0,61479.0,61529.0,61723.0,61874.0,61946.0,62026.0,62160.0,62246.0,62301.0,62450.0,62492.0,62523.0,62557.0,62641.0,62795.0,62858.0,62929.0,62990.0,63029.0,63089.0,63152.0,63192.0,63247.0,63353.0,63753.0,63771.0,63813.0,63844.0,63893.0,63934.0,63957.0,64028.0,64115.0,64213.0,64228.0,64275.0,64338.0,64530.0,64694.0
5107462,32400.0,32670.0,32698.0,32746.0,32874.0,33063.0,33077.0,33261.0,33406.0,33463.0,33685.0,33760.0,33811.0,33867.0,33961.0,34021.0,34044.0,34107.0,34167.0,34212.0,34241.0,34284.0,34347.0,34380.0,34417.0,34458.0,34484.0,34504.0,34545.0,34565.0,34612.0,34702.0,35042.0,35056.0,35093.0,35121.0,35165.0,35201.0,35223.0,35292.0,35363.0,35411.0,35425.0,35470.0,35505.0,35697.0,35861.0
5107726,46800.0,46948.0,46986.0,47050.0,47162.0,47328.0,47340.0,47555.0,47724.0,47791.0,48049.0,48152.0,48224.0,48304.0,48438.0,48523.0,48552.0,48630.0,48680.0,48717.0,48735.0,48782.0,48892.0,48948.0,49010.0,49073.0,49113.0,49148.0,49208.0,49232.0,49289.0,49399.0,49813.0,49830.0,49871.0,49901.0,49949.0,49989.0,50012.0,50084.0,50172.0,50235.0,50254.0,50316.0,50365.0,50507.0,50629.0
