tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
5009956,70200.0,70253.0,70328.0,70380.0,70408.0,70429.0,70507.0,70560.0,70598.0,70680.0,70860.0,70920.0,70980.0,71036.0,71100.0,71160.0,71220.0,71273.0,71340.0,71400.0,71456.0,71520.0,71561.0,71630.0,71700.0,71820.0,72060.0,72214.0,72418.0,72540.0,72660.0,72757.0,72840.0,72899.0,72960.0,72992.0,73032.0,73087.0,73140.0,73168.0,73182.0,73247.0,73277.0,73320.0
5010394,24000.0,24069.0,24168.0,24236.0,24272.0,24299.0,24399.0,24465.0,24506.0,24596.0,24778.0,24837.0,24886.0,24943.0,25009.0,25055.0,25114.0,25190.0,25286.0,25381.0,25458.0,25546.0,25592.0,25671.0,25750.0,25903.0,26027.0,26149.0,26311.0,26408.0,26499.0,26653.0,26786.0,26843.0,26901.0,26930.0,26966.0,27015.0,27062.0,27087.0,27100.0,27157.0,27183.0,27219.0
5010396,31800.0,31868.0,31964.0,32030.0,32075.0,32108.0,32231.0,32313.0,32363.0,32474.0,32673.0,32745.0,32802.0,32878.0,32965.0,33023.0,33084.0,33184.0,33310.0,33398.0,33463.0,33537.0,33592.0,33686.0,33781.0,33919.0,34062.0,34269.0,34542.0,34707.0,34807.0,35001.0,35168.0,35214.0,35260.0,35290.0,35327.0,35379.0,35428.0,35450.0,35461.0,35512.0,35536.0,35570.0
5010398,42600.0,42664.0,42755.0,42817.0,42847.0,42870.0,42954.0,43010.0,43060.0,43170.0,43372.0,43439.0,43487.0,43546.0,43614.0,43678.0,43742.0,43809.0,43892.0,43969.0,44048.0,44137.0,44186.0,44269.0,44353.0,44504.0,44670.0,44820.0,45018.0,45137.0,45240.0,45397.0,45532.0,45584.0,45637.0,45672.0,45716.0,45776.0,45834.0,45856.0,45867.0,45918.0,45941.0,45975.0
5010400,51000.0,51066.0,51160.0,51225.0,51254.0,51276.0,51356.0,51409.0,51455.0,51557.0,51778.0,51845.0,51887.0,51947.0,52017.0,52085.0,52152.0,52234.0,52336.0,52425.0,52500.0,52585.0,52627.0,52698.0,52769.0,52946.0,53087.0,53262.0,53494.0,53633.0,53755.0,53919.0,54060.0,54102.0,54144.0,54183.0,54231.0,54297.0,54360.0,54384.0,54396.0,54452.0,54478.0,54515.0
5010402,59400.0,59454.0,59531.0,59585.0,59610.0,59629.0,59699.0,59745.0,59800.0,59922.0,60135.0,60179.0,60211.0,60258.0,60312.0,60370.0,60409.0,60470.0,60547.0,60611.0,60665.0,60725.0,60785.0,60887.0,60991.0,61082.0,61218.0,61408.0,61659.0,61810.0,61904.0,62071.0,62214.0,62295.0,62377.0,62418.0,62469.0,62540.0,62609.0,62632.0,62644.0,62697.0,62721.0,62756.0
5010404,68400.0,68450.0,68521.0,68570.0,68596.0,68616.0,68689.0,68738.0,68780.0,68872.0,69045.0,69106.0,69143.0,69191.0,69246.0,69291.0,69332.0,69395.0,69474.0,69546.0,69610.0,69682.0,69721.0,69788.0,69856.0,70008.0,70133.0,70302.0,70525.0,70660.0,70764.0,70915.0,71044.0,71091.0,71138.0,71174.0,71218.0,71279.0,71337.0,71359.0,71370.0,71420.0,71443.0,71475.0
5010406,26100.0,26178.0,26289.0,26366.0,26402.0,26429.0,26528.0,26594.0,26640.0,26742.0,26937.0,27015.0,27072.0,27144.0,27228.0,27280.0,27351.0,27451.0,27577.0,27658.0,27723.0,27797.0,27850.0,27940.0,28032.0,28169.0,28316.0,28502.0,28749.0,28898.0,28987.0,29155.0,29300.0,29352.0,29405.0,29435.0,29473.0,29525.0,29575.0,29599.0,29611.0,29666.0,29691.0,29727.0
5010408,55200.0,55252.0,55327.0,55378.0,55407.0,55428.0,55507.0,55560.0,55605.0,55703.0,55893.0,55961.0,55992.0,56039.0,56094.0,56149.0,56199.0,56271.0,56360.0,56432.0,56494.0,56565.0,56613.0,56695.0,56778.0,56888.0,57037.0,57207.0,57431.0,57566.0,57661.0,57827.0,57970.0,58053.0,58137.0,58179.0,58231.0,58303.0,58370.0,58393.0,58405.0,58458.0,58483.0,58518.0
5011358,26400.0,26478.0,26589.0,26666.0,26702.0,26729.0,26828.0,26894.0,26940.0,27042.0,27237.0,27315.0,27372.0,27444.0,27528.0,27580.0,27651.0,27751.0,27877.0,27958.0,28023.0,28097.0,28150.0,28240.0,28332.0,28469.0,28616.0,28802.0,29049.0,29198.0,29287.0,29455.0,29600.0,29652.0,29705.0,29735.0,29773.0,29825.0,29875.0,29899.0,29911.0,29966.0,29991.0,30027.0
