tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P
5013973,62700.0,62943.0,63162.0,63473.0,63633.0,63664.0,63743.0,63787.0,63908.0,63938.0,64007.0,64060.0,64160.0,64227.0,64302.0,64377.0,64498.0,64616.0,64758.0,64802.0,64864.0,64939.0,64983.0,65046.0,65088.0,65132.0,65225.0,65287.0,65375.0,65510.0,65537.0,65583.0,65612.0,65646.0,65704.0,65749.0,65807.0,65882.0,66008.0,66108.0,66150.0,66243.0,66280.0,66395.0,66450.0,66529.0,66592.0,66649.0,66707.0,66753.0,66797.0,66844.0,66878.0,66982.0,67000.0,67161.0
5015161,27900.0,28251.0,28439.0,28706.0,28844.0,28888.0,28975.0,29023.0,29155.0,29184.0,29251.0,29319.0,29446.0,29506.0,29573.0,29639.0,29703.0,29765.0,29841.0,29925.0,30045.0,30122.0,30167.0,30242.0,30286.0,30331.0,30432.0,30499.0,30611.0,30740.0,30766.0,30817.0,30848.0,30886.0,30946.0,30993.0,31055.0,31139.0,31280.0,31388.0,31433.0,31534.0,31566.0,31642.0,31700.0,31770.0,31840.0,31903.0,31962.0,32009.0,32053.0,32102.0,32139.0,32250.0,32267.0,32438.0
5015163,38700.0,38982.0,39187.0,39478.0,39628.0,39659.0,39729.0,39768.0,39875.0,39901.0,39960.0,40003.0,40083.0,40122.0,40165.0,40208.0,40261.0,40312.0,40374.0,40413.0,40469.0,40520.0,40549.0,40604.0,40640.0,40678.0,40767.0,40826.0,40936.0,41035.0,41055.0,41095.0,41120.0,41150.0,41212.0,41260.0,41324.0,41413.0,41561.0,41670.0,41716.0,41819.0,41859.0,41943.0,41996.0,42067.0,42128.0,42183.0,42239.0,42284.0,42326.0,42373.0,42408.0,42513.0,42571.0,42794.0
5015165,49500.0,49768.0,49965.0,50245.0,50390.0,50417.0,50485.0,50523.0,50626.0,50652.0,50713.0,50756.0,50838.0,50876.0,50919.0,50961.0,51014.0,51065.0,51127.0,51162.0,51213.0,51269.0,51302.0,51377.0,51415.0,51455.0,51560.0,51630.0,51737.0,51875.0,51903.0,51954.0,51986.0,52024.0,52099.0,52157.0,52233.0,52328.0,52488.0,52602.0,52650.0,52758.0,52801.0,52892.0,52949.0,53026.0,53106.0,53178.0,53239.0,53288.0,53334.0,53385.0,53423.0,53538.0,53557.0,53732.0
5015771,26400.0,26613.0,26761.0,26972.0,27081.0,27114.0,27172.0,27204.0,27293.0,27321.0,27386.0,27431.0,27516.0,27564.0,27618.0,27671.0,27725.0,27777.0,27839.0,27897.0,27980.0,28031.0,28061.0,28117.0,28157.0,28198.0,28271.0,28319.0,28408.0,28499.0,28517.0,28562.0,28590.0,28622.0,28669.0,28705.0,28752.0,28822.0,28939.0,29020.0,29054.0,29131.0,29167.0,29249.0,29307.0,29380.0,29443.0,29501.0,29557.0,29602.0,29644.0,29689.0,29727.0,29840.0,29861.0,30113.0
5017124,25800.0,26013.0,26161.0,26372.0,26481.0,26514.0,26572.0,26604.0,26693.0,26721.0,26786.0,26831.0,26916.0,26964.0,27018.0,27071.0,27125.0,27177.0,27239.0,27297.0,27380.0,27431.0,27461.0,27517.0,27557.0,27598.0,27671.0,27719.0,27808.0,27899.0,27917.0,27962.0,27990.0,28022.0,28069.0,28105.0,28152.0,28222.0,28339.0,28420.0,28454.0,28531.0,28567.0,28649.0,28707.0,28780.0,28843.0,28901.0,28957.0,29002.0,29044.0,29089.0,29127.0,29240.0,29261.0,29513.0
5017337,20700.0,20895.0,21026.0,21212.0,21307.0,21326.0,21366.0,21388.0,21449.0,21464.0,21498.0,21525.0,21575.0,21605.0,21638.0,21671.0,21700.0,21728.0,21762.0,21792.0,21836.0,21866.0,21884.0,21921.0,21949.0,21977.0,22035.0,22073.0,22108.0,22181.0,22195.0,22217.0,22231.0,22247.0,22279.0,22304.0,22336.0,22389.0,22477.0,22537.0,22562.0,22619.0,22647.0,22711.0,22752.0,22809.0,22853.0,22893.0,22929.0,22958.0,22985.0,23014.0,23040.0,23120.0,23132.0,23303.0
5017343,66600.0,66843.0,67062.0,67373.0,67533.0,67564.0,67643.0,67687.0,67808.0,67838.0,67907.0,67960.0,68060.0,68127.0,68202.0,68277.0,68398.0,68516.0,68658.0,68702.0,68764.0,68839.0,68883.0,68946.0,68988.0,69032.0,69125.0,69187.0,69275.0,69410.0,69437.0,69483.0,69512.0,69546.0,69604.0,69649.0,69707.0,69782.0,69908.0,70008.0,70050.0,70143.0,70180.0,70295.0,70350.0,70429.0,70492.0,70549.0,70607.0,70653.0,70697.0,70744.0,70778.0,70882.0,70900.0,71061.0
5017356,57600.0,57837.0,58031.0,58306.0,58448.0,58480.0,58541.0,58575.0,58668.0,58698.0,58767.0,58816.0,58908.0,58956.0,59010.0,59062.0,59147.0,59230.0,59329.0,59382.0,59459.0,59510.0,59539.0,59602.0,59648.0,59695.0,59801.0,59871.0,59970.0,60108.0,60135.0,60184.0,60214.0,60250.0,60315.0,60365.0,60432.0,60523.0,60675.0,60792.0,60841.0,60952.0,60995.0,61098.0,61162.0,61254.0,61336.0,61411.0,61479.0,61534.0,61585.0,61641.0,61680.0,61797.0,61813.0,62057.0
5017887,44100.0,44382.0,44587.0,44878.0,45028.0,45059.0,45129.0,45168.0,45275.0,45301.0,45360.0,45403.0,45483.0,45522.0,45565.0,45608.0,45661.0,45712.0,45774.0,45813.0,45869.0,45920.0,45949.0,46004.0,46040.0,46078.0,46167.0,46226.0,46336.0,46435.0,46455.0,46495.0,46520.0,46550.0,46612.0,46660.0,46724.0,46813.0,46961.0,47070.0,47116.0,47219.0,47259.0,47343.0,47396.0,47467.0,47528.0,47583.0,47639.0,47684.0,47726.0,47773.0,47808.0,47913.0,47971.0,48194.0
