tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P
5007341,55800.0,55919.0,56055.0,56162.0,56255.0,56334.0,56353.0,56424.0,56476.0,56539.0,56576.0,56650.0,56679.0,56732.0,56797.0,56841.0,56916.0,57004.0,57072.0,57148.0,57195.0,57274.0,57354.0,57439.0,57552.0,57763.0,58064.0,58219.0,58254.0,58324.0,58363.0,58469.0,58496.0,58559.0,58603.0,58687.0,58729.0,58776.0,58823.0,58884.0,58943.0,59014.0,59047.0,59094.0,59141.0,59169.0,59228.0,59265.0,59303.0,59418.0,59508.0,59610.0,59647.0,59715.0,59797.0,59866.0,59929.0
5007343,68400.0,68514.0,68660.0,68751.0,68830.0,68899.0,68915.0,68977.0,69022.0,69078.0,69111.0,69170.0,69193.0,69236.0,69287.0,69321.0,69379.0,69453.0,69510.0,69574.0,69613.0,69680.0,69748.0,69823.0,69916.0,70112.0,70391.0,70534.0,70563.0,70627.0,70663.0,70760.0,70784.0,70839.0,70882.0,70963.0,71003.0,71048.0,71093.0,71144.0,71194.0,71254.0,71284.0,71326.0,71370.0,71396.0,71441.0,71472.0,71504.0,71601.0,71673.0,71755.0,71788.0,71848.0,71927.0,71990.0,72048.0
5007477,34200.0,34307.0,34455.0,34563.0,34656.0,34723.0,34739.0,34800.0,34844.0,34898.0,34931.0,34988.0,35011.0,35053.0,35103.0,35136.0,35191.0,35272.0,35318.0,35369.0,35407.0,35471.0,35535.0,35606.0,35700.0,35851.0,36065.0,36175.0,36199.0,36258.0,36291.0,36380.0,36406.0,36467.0,36499.0,36558.0,36588.0,36622.0,36655.0,36693.0,36730.0,36775.0,36796.0,36826.0,36865.0,36888.0,36926.0,36953.0,36981.0,37065.0,37127.0,37197.0,37230.0,37292.0,37360.0,37422.0,37479.0
5007479,43200.0,43326.0,43478.0,43604.0,43713.0,43799.0,43819.0,43896.0,43952.0,44021.0,44062.0,44130.0,44157.0,44206.0,44265.0,44303.0,44369.0,44462.0,44535.0,44618.0,44661.0,44735.0,44810.0,44902.0,45030.0,45225.0,45502.0,45644.0,45670.0,45727.0,45759.0,45847.0,45876.0,45942.0,45978.0,46045.0,46080.0,46119.0,46158.0,46210.0,46261.0,46322.0,46350.0,46390.0,46446.0,46478.0,46535.0,46565.0,46595.0,46692.0,46769.0,46857.0,46886.0,46938.0,47031.0,47096.0,47155.0
5007481,54000.0,54120.0,54260.0,54361.0,54449.0,54522.0,54539.0,54605.0,54653.0,54712.0,54746.0,54797.0,54817.0,54854.0,54899.0,54934.0,54993.0,55065.0,55132.0,55207.0,55248.0,55317.0,55387.0,55465.0,55559.0,55764.0,56055.0,56205.0,56238.0,56298.0,56332.0,56424.0,56446.0,56498.0,56531.0,56593.0,56635.0,56682.0,56727.0,56776.0,56824.0,56881.0,56908.0,56947.0,56995.0,57023.0,57073.0,57100.0,57128.0,57209.0,57309.0,57423.0,57459.0,57524.0,57614.0,57673.0,57727.0
5009491,30600.0,30707.0,30855.0,30963.0,31056.0,31123.0,31139.0,31200.0,31244.0,31298.0,31331.0,31388.0,31411.0,31453.0,31503.0,31536.0,31591.0,31672.0,31718.0,31769.0,31807.0,31871.0,31935.0,32006.0,32100.0,32251.0,32465.0,32575.0,32599.0,32658.0,32691.0,32780.0,32806.0,32867.0,32899.0,32958.0,32988.0,33022.0,33055.0,33093.0,33130.0,33175.0,33196.0,33226.0,33265.0,33288.0,33326.0,33353.0,33381.0,33465.0,33527.0,33597.0,33630.0,33692.0,33760.0,33822.0,33879.0
5009493,37800.0,37925.0,38047.0,38152.0,38243.0,38303.0,38317.0,38371.0,38410.0,38458.0,38486.0,38550.0,38575.0,38621.0,38678.0,38714.0,38775.0,38834.0,38896.0,38966.0,39006.0,39074.0,39142.0,39217.0,39328.0,39505.0,39757.0,39887.0,39910.0,39973.0,40008.0,40103.0,40123.0,40169.0,40206.0,40275.0,40314.0,40358.0,40402.0,40450.0,40496.0,40552.0,40582.0,40625.0,40665.0,40688.0,40734.0,40768.0,40803.0,40895.0,40970.0,41055.0,41080.0,41126.0,41207.0,41263.0,41315.0
5009495,48600.0,48726.0,48878.0,49004.0,49113.0,49199.0,49219.0,49296.0,49352.0,49421.0,49462.0,49530.0,49557.0,49606.0,49665.0,49703.0,49769.0,49862.0,49935.0,50018.0,50061.0,50135.0,50210.0,50302.0,50430.0,50625.0,50902.0,51044.0,51070.0,51127.0,51159.0,51247.0,51276.0,51342.0,51378.0,51445.0,51480.0,51519.0,51558.0,51610.0,51661.0,51722.0,51750.0,51790.0,51846.0,51878.0,51935.0,51965.0,51995.0,52092.0,52169.0,52257.0,52286.0,52338.0,52431.0,52496.0,52555.0
5009499,70200.0,70308.0,70436.0,70537.0,70625.0,70684.0,70698.0,70751.0,70790.0,70838.0,70866.0,70922.0,70944.0,70984.0,71033.0,71064.0,71117.0,71183.0,71240.0,71305.0,71344.0,71411.0,71478.0,71568.0,71656.0,71871.0,72176.0,72333.0,72358.0,72408.0,72436.0,72511.0,72529.0,72570.0,72599.0,72655.0,72692.0,72733.0,72773.0,72812.0,72850.0,72897.0,72918.0,72949.0,72984.0,73004.0,73049.0,73075.0,73102.0,73176.0,73231.0,73294.0,73324.0,73378.0,73452.0,73515.0,73573.0
5010553,39600.0,39725.0,39847.0,39952.0,40043.0,40103.0,40117.0,40171.0,40210.0,40258.0,40286.0,40350.0,40375.0,40421.0,40478.0,40514.0,40575.0,40634.0,40696.0,40766.0,40806.0,40874.0,40942.0,41017.0,41128.0,41305.0,41557.0,41687.0,41710.0,41773.0,41808.0,41903.0,41923.0,41969.0,42006.0,42075.0,42114.0,42158.0,42202.0,42250.0,42296.0,42352.0,42382.0,42425.0,42465.0,42488.0,42534.0,42568.0,42603.0,42695.0,42770.0,42855.0,42880.0,42926.0,43007.0,43063.0,43115.0
