tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P
5083773,30600.0,30845.0,30992.0,31159.0,31224.0,31258.0,31282.0,31329.0,31360.0,31413.0,31451.0,31485.0,31558.0,31601.0,31643.0,31707.0,31741.0,31849.0
5083775,34200.0,34430.0,34568.0,34725.0,34786.0,34818.0,34840.0,34884.0,34914.0,34964.0,34999.0,35031.0,35099.0,35139.0,35179.0,35231.0,35259.0,35347.0
5083777,37800.0,38029.0,38166.0,38322.0,38383.0,38415.0,38437.0,38481.0,38510.0,38559.0,38594.0,38626.0,38694.0,38734.0,38776.0,38829.0,38858.0,38973.0
5083779,41400.0,41629.0,41766.0,41922.0,41983.0,42015.0,42037.0,42081.0,42110.0,42159.0,42194.0,42226.0,42294.0,42334.0,42376.0,42429.0,42458.0,42573.0
5083781,45000.0,45239.0,45382.0,45545.0,45609.0,45642.0,45665.0,45711.0,45742.0,45794.0,45831.0,45865.0,45936.0,45978.0,46020.0,46062.0,46085.0,46200.0
5083783,48600.0,48839.0,48982.0,49145.0,49209.0,49242.0,49265.0,49311.0,49342.0,49394.0,49431.0,49465.0,49536.0,49578.0,49620.0,49662.0,49685.0,49800.0
5083785,52200.0,52439.0,52582.0,52745.0,52809.0,52842.0,52865.0,52911.0,52942.0,52994.0,53031.0,53065.0,53136.0,53178.0,53220.0,53262.0,53285.0,53400.0
5083787,55800.0,56022.0,56155.0,56306.0,56365.0,56396.0,56417.0,56459.0,56487.0,56535.0,56569.0,56600.0,56666.0,56705.0,56745.0,56789.0,56812.0,56935.0
5083789,59400.0,59622.0,59755.0,59906.0,59965.0,59996.0,60017.0,60059.0,60087.0,60135.0,60169.0,60200.0,60266.0,60305.0,60345.0,60389.0,60412.0,60535.0
5083791,63000.0,63291.0,63466.0,63665.0,63743.0,63783.0,63811.0,63866.0,63903.0,63966.0,64011.0,64052.0,64139.0,64190.0,64242.0,64273.0,64289.0,64442.0
5083795,70200.0,70375.0,70480.0,70600.0,70647.0,70671.0,70688.0,70721.0,70744.0,70782.0,70809.0,70834.0,70886.0,70917.0,70947.0,70984.0,71003.0,71109.0
5089780,37800.0,37994.0,38110.0,38243.0,38295.0,38322.0,38341.0,38378.0,38403.0,38445.0,38475.0,38502.0,38560.0,38594.0,38628.0,38675.0,38700.0,38816.0
5089782,41400.0,41594.0,41710.0,41843.0,41895.0,41922.0,41941.0,41978.0,42003.0,42045.0,42075.0,42102.0,42160.0,42194.0,42228.0,42275.0,42300.0,42416.0
5089784,45000.0,45206.0,45330.0,45471.0,45526.0,45554.0,45574.0,45613.0,45639.0,45684.0,45716.0,45745.0,45806.0,45842.0,45879.0,45929.0,45956.0,46047.0
5089786,48600.0,48806.0,48930.0,49071.0,49126.0,49154.0,49174.0,49213.0,49239.0,49284.0,49316.0,49345.0,49406.0,49442.0,49479.0,49529.0,49556.0,49647.0
5089788,55800.0,55999.0,56118.0,56254.0,56307.0,56334.0,56353.0,56391.0,56417.0,56460.0,56491.0,56519.0,56578.0,56613.0,56649.0,56677.0,56692.0,56804.0
5089790,59400.0,59599.0,59718.0,59854.0,59907.0,59934.0,59953.0,59991.0,60017.0,60060.0,60091.0,60119.0,60178.0,60213.0,60249.0,60277.0,60292.0,60404.0
5089792,63000.0,63188.0,63301.0,63430.0,63480.0,63506.0,63524.0,63560.0,63584.0,63625.0,63654.0,63680.0,63736.0,63769.0,63803.0,63830.0,63845.0,63950.0
5111016,30600.0,30845.0,30992.0,31159.0,31224.0,31258.0,31282.0,31329.0,31360.0,31413.0,31451.0,31485.0,31558.0,31601.0,31643.0,31707.0,31741.0,31849.0
5111018,34200.0,34430.0,34568.0,34725.0,34786.0,34818.0,34840.0,34884.0,34914.0,34964.0,34999.0,35031.0,35099.0,35139.0,35179.0,35231.0,35259.0,35347.0
5111020,37800.0,38029.0,38166.0,38322.0,38383.0,38415.0,38437.0,38481.0,38510.0,38559.0,38594.0,38626.0,38694.0,38734.0,38776.0,38829.0,38858.0,38973.0
5111022,41400.0,41629.0,41766.0,41922.0,41983.0,42015.0,42037.0,42081.0,42110.0,42159.0,42194.0,42226.0,42294.0,42334.0,42376.0,42429.0,42458.0,42573.0
5111024,45000.0,45239.0,45382.0,45545.0,45609.0,45642.0,45665.0,45711.0,45742.0,45794.0,45831.0,45865.0,45936.0,45978.0,46020.0,46062.0,46085.0,46200.0
5111026,48600.0,48839.0,48982.0,49145.0,49209.0,49242.0,49265.0,49311.0,49342.0,49394.0,49431.0,49465.0,49536.0,49578.0,49620.0,49662.0,49685.0,49800.0
5111028,52200.0,52439.0,52582.0,52745.0,52809.0,52842.0,52865.0,52911.0,52942.0,52994.0,53031.0,53065.0,53136.0,53178.0,53220.0,53262.0,53285.0,53400.0
5111030,55800.0,56022.0,56155.0,56306.0,56365.0,56396.0,56417.0,56459.0,56487.0,56535.0,56569.0,56600.0,56666.0,56705.0,56745.0,56789.0,56812.0,56935.0
5111032,59400.0,59622.0,59755.0,59906.0,59965.0,59996.0,60017.0,60059.0,60087.0,60135.0,60169.0,60200.0,60266.0,60305.0,60345.0,60389.0,60412.0,60535.0
5111034,63000.0,63291.0,63466.0,63665.0,63743.0,63783.0,63811.0,63866.0,63903.0,63966.0,64011.0,64052.0,64139.0,64190.0,64242.0,64273.0,64289.0,64442.0
5111038,70200.0,70375.0,70480.0,70600.0,70647.0,70671.0,70688.0,70721.0,70744.0,70782.0,70809.0,70834.0,70886.0,70917.0,70947.0,70984.0,71003.0,71109.0
