tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
5009163,39600.0,39697.0,39736.0,39802.0,39849.0,39878.0,39926.0,39949.0,39974.0,40016.0,40035.0,40066.0,40099.0,40128.0,40179.0,40232.0,40262.0,40304.0,40334.0,40364.0,40405.0,40464.0,40495.0,40550.0,40617.0,40684.0,40724.0,40764.0,40805.0,40876.0,40928.0,40978.0,41019.0,41062.0,41105.0,41153.0,41179.0,41293.0,41511.0
5009165,45000.0,45102.0,45143.0,45211.0,45260.0,45291.0,45341.0,45365.0,45391.0,45435.0,45454.0,45487.0,45521.0,45551.0,45602.0,45656.0,45686.0,45729.0,45759.0,45791.0,45843.0,45918.0,45951.0,46009.0,46073.0,46138.0,46173.0,46208.0,46244.0,46329.0,46390.0,46449.0,46498.0,46543.0,46587.0,46635.0,46660.0,46781.0,47015.0
5015644,81000.0,81063.0,81088.0,81130.0,81163.0,81184.0,81218.0,81234.0,81251.0,81280.0,81293.0,81315.0,81338.0,81358.0,81393.0,81443.0,81470.0,81509.0,81536.0,81565.0,81591.0,81629.0,81660.0,81716.0,81756.0,81796.0,81821.0,81846.0,81872.0,81943.0,81994.0,82023.0,82047.0,82076.0,82105.0,82136.0,82152.0,82254.0,82449.0
5018685,23400.0,23493.0,23531.0,23593.0,23639.0,23668.0,23715.0,23738.0,23762.0,23803.0,23821.0,23852.0,23884.0,23912.0,23961.0,24017.0,24048.0,24093.0,24124.0,24155.0,24190.0,24239.0,24265.0,24311.0,24369.0,24428.0,24460.0,24493.0,24526.0,24603.0,24658.0,24710.0,24754.0,24806.0,24857.0,24919.0,24952.0,25063.0,25278.0
5018687,28800.0,28908.0,28952.0,29025.0,29077.0,29110.0,29164.0,29190.0,29218.0,29265.0,29286.0,29321.0,29358.0,29390.0,29446.0,29511.0,29547.0,29599.0,29635.0,29671.0,29755.0,29875.0,29911.0,29976.0,30063.0,30150.0,30195.0,30240.0,30286.0,30395.0,30473.0,30548.0,30610.0,30687.0,30764.0,30844.0,30886.0,31009.0,31246.0
5018689,34200.0,34308.0,34352.0,34425.0,34477.0,34510.0,34564.0,34590.0,34618.0,34665.0,34686.0,34721.0,34758.0,34790.0,34846.0,34911.0,34947.0,34999.0,35035.0,35071.0,35155.0,35275.0,35311.0,35376.0,35463.0,35550.0,35595.0,35640.0,35686.0,35795.0,35873.0,35948.0,36010.0,36087.0,36164.0,36244.0,36286.0,36409.0,36646.0
5018691,39600.0,39689.0,39725.0,39784.0,39832.0,39862.0,39912.0,39936.0,39961.0,40004.0,40023.0,40055.0,40088.0,40117.0,40169.0,40224.0,40254.0,40298.0,40328.0,40359.0,40402.0,40463.0,40494.0,40549.0,40613.0,40678.0,40717.0,40756.0,40795.0,40866.0,40918.0,40969.0,41011.0,41055.0,41099.0,41151.0,41179.0,41301.0,41537.0
5018693,45000.0,45094.0,45132.0,45195.0,45239.0,45267.0,45313.0,45335.0,45358.0,45398.0,45416.0,45446.0,45477.0,45504.0,45552.0,45606.0,45636.0,45679.0,45709.0,45740.0,45801.0,45888.0,45916.0,45967.0,46032.0,46097.0,46132.0,46167.0,46202.0,46283.0,46342.0,46394.0,46437.0,46480.0,46523.0,46571.0,46596.0,46717.0,46951.0
5018695,50400.0,50494.0,50532.0,50595.0,50639.0,50667.0,50713.0,50735.0,50758.0,50798.0,50816.0,50846.0,50877.0,50904.0,50952.0,51006.0,51036.0,51079.0,51109.0,51140.0,51201.0,51288.0,51316.0,51367.0,51432.0,51497.0,51532.0,51567.0,51602.0,51683.0,51742.0,51794.0,51837.0,51880.0,51923.0,51971.0,51996.0,52117.0,52351.0
5018697,55800.0,55891.0,55928.0,55990.0,56031.0,56057.0,56099.0,56120.0,56142.0,56179.0,56195.0,56223.0,56252.0,56277.0,56320.0,56367.0,56393.0,56430.0,56456.0,56482.0,56533.0,56605.0,56638.0,56696.0,56746.0,56797.0,56831.0,56865.0,56900.0,56974.0,57028.0,57082.0,57126.0,57167.0,57207.0,57247.0,57269.0,57389.0,57620.0
