tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P
5008431,43200.0,43207.0,43261.0,43291.0,43335.0,43371.0,43437.0,43718.0,43847.0,43953.0,44086.0,44200.0,44235.0,44271.0,44309.0,44356.0,44421.0,44480.0,44525.0,44577.0,44613.0,44665.0,44707.0,44740.0,44798.0,44834.0,44878.0,44942.0,44995.0,45022.0,45058.0,45110.0,45202.0,45300.0,45374.0,45426.0,45481.0,45522.0,45568.0,45623.0,45658.0,45693.0,45715.0,45757.0,45784.0,45835.0,45870.0,45902.0,45992.0,46035.0
5008433,50400.0,50407.0,50461.0,50491.0,50535.0,50571.0,50637.0,50918.0,51047.0,51153.0,51286.0,51400.0,51435.0,51471.0,51509.0,51556.0,51621.0,51680.0,51725.0,51777.0,51813.0,51865.0,51907.0,51940.0,51998.0,52034.0,52078.0,52142.0,52195.0,52222.0,52258.0,52310.0,52402.0,52500.0,52574.0,52626.0,52681.0,52722.0,52768.0,52823.0,52858.0,52893.0,52915.0,52957.0,52984.0,53035.0,53070.0,53102.0,53192.0,53235.0
5008435,57600.0,57608.0,57674.0,57711.0,57764.0,57808.0,57887.0,58271.0,58447.0,58534.0,58678.0,58801.0,58841.0,58882.0,58927.0,58983.0,59061.0,59133.0,59183.0,59241.0,59284.0,59345.0,59394.0,59434.0,59492.0,59529.0,59573.0,59638.0,59691.0,59717.0,59757.0,59801.0,59878.0,59960.0,60047.0,60109.0,60173.0,60224.0,60268.0,60320.0,60359.0,60398.0,60422.0,60468.0,60498.0,60555.0,60594.0,60619.0,60687.0,60719.0
5008437,64800.0,64806.0,64851.0,64876.0,64912.0,64942.0,64995.0,65278.0,65408.0,65499.0,65647.0,65775.0,65812.0,65849.0,65884.0,65928.0,65989.0,66045.0,66100.0,66163.0,66206.0,66268.0,66318.0,66357.0,66397.0,66422.0,66452.0,66496.0,66532.0,66553.0,66594.0,66636.0,66711.0,66790.0,66870.0,66926.0,66984.0,67036.0,67079.0,67131.0,67167.0,67203.0,67225.0,67267.0,67294.0,67346.0,67382.0,67406.0,67472.0,67503.0
5010040,32400.0,32409.0,32478.0,32516.0,32572.0,32618.0,32700.0,32995.0,33131.0,33219.0,33369.0,33498.0,33543.0,33589.0,33623.0,33665.0,33723.0,33777.0,33820.0,33870.0,33906.0,33958.0,34000.0,34034.0,34087.0,34120.0,34160.0,34219.0,34268.0,34297.0,34342.0,34390.0,34474.0,34562.0,34638.0,34691.0,34746.0,34790.0,34833.0,34885.0,34929.0,34973.0,35000.0,35052.0,35085.0,35149.0,35192.0,35227.0,35324.0,35371.0
5010042,59580.0,59591.0,59677.0,59725.0,59795.0,59852.0,59955.0,60261.0,60402.0,60509.0,60671.0,60811.0,60897.0,60984.0,61029.0,61085.0,61163.0,61236.0,61285.0,61341.0,61394.0,61470.0,61531.0,61579.0,61660.0,61710.0,61771.0,61860.0,61934.0,61973.0,62029.0,62086.0,62186.0,62291.0,62376.0,62436.0,62497.0,62552.0,62606.0,62670.0,62715.0,62760.0,62788.0,62841.0,62875.0,62941.0,62985.0,63010.0,63079.0,63112.0
5010044,68400.0,68409.0,68484.0,68525.0,68586.0,68636.0,68725.0,69014.0,69147.0,69246.0,69390.0,69513.0,69556.0,69600.0,69635.0,69679.0,69740.0,69797.0,69844.0,69899.0,69939.0,69996.0,70042.0,70080.0,70133.0,70166.0,70206.0,70265.0,70314.0,70346.0,70383.0,70428.0,70508.0,70592.0,70661.0,70710.0,70760.0,70805.0,70850.0,70903.0,70940.0,70977.0,71000.0,71044.0,71072.0,71127.0,71165.0,71187.0,71248.0,71277.0
5010046,76500.0,76508.0,76571.0,76606.0,76657.0,76699.0,76776.0,77035.0,77154.0,77238.0,77365.0,77475.0,77516.0,77557.0,77585.0,77620.0,77668.0,77712.0,77751.0,77795.0,77825.0,77868.0,77903.0,77932.0,77972.0,77997.0,78027.0,78071.0,78107.0,78132.0,78164.0,78202.0,78269.0,78339.0,78400.0,78443.0,78487.0,78530.0,78573.0,78625.0,78659.0,78693.0,78714.0,78755.0,78781.0,78831.0,78867.0,78889.0,78950.0,78980.0
5010048,83700.0,83708.0,83771.0,83806.0,83857.0,83899.0,83976.0,84235.0,84354.0,84438.0,84565.0,84675.0,84716.0,84757.0,84785.0,84820.0,84868.0,84912.0,84951.0,84995.0,85025.0,85068.0,85103.0,85132.0,85172.0,85197.0,85227.0,85271.0,85307.0,85332.0,85364.0,85402.0,85469.0,85539.0,85600.0,85643.0,85687.0,85730.0,85773.0,85825.0,85859.0,85893.0,85914.0,85955.0,85981.0,86031.0,86067.0,86089.0,86150.0,86180.0
5010614,34800.0,34809.0,34878.0,34916.0,34972.0,35018.0,35100.0,35395.0,35531.0,35619.0,35769.0,35898.0,35943.0,35989.0,36023.0,36065.0,36123.0,36177.0,36220.0,36270.0,36306.0,36358.0,36400.0,36434.0,36487.0,36520.0,36560.0,36619.0,36668.0,36697.0,36742.0,36790.0,36874.0,36962.0,37038.0,37091.0,37146.0,37190.0,37233.0,37285.0,37329.0,37373.0,37400.0,37452.0,37485.0,37549.0,37592.0,37627.0,37724.0,37771.0
5010616,44400.0,44409.0,44478.0,44516.0,44572.0,44618.0,44700.0,44995.0,45131.0,45219.0,45369.0,45498.0,45543.0,45589.0,45623.0,45665.0,45723.0,45777.0,45820.0,45870.0,45906.0,45958.0,46000.0,46034.0,46087.0,46120.0,46160.0,46219.0,46268.0,46297.0,46342.0,46390.0,46474.0,46562.0,46638.0,46691.0,46746.0,46790.0,46833.0,46885.0,46929.0,46973.0,47000.0,47052.0,47085.0,47149.0,47192.0,47227.0,47324.0,47371.0
5010620,63180.0,63192.0,63287.0,63340.0,63417.0,63480.0,63595.0,64006.0,64194.0,64291.0,64482.0,64647.0,64768.0,64891.0,64934.0,64987.0,65061.0,65130.0,65187.0,65253.0,65304.0,65377.0,65435.0,65482.0,65550.0,65593.0,65645.0,65721.0,65784.0,65826.0,65877.0,65930.0,66023.0,66120.0,66196.0,66249.0,66304.0,66375.0,66434.0,66504.0,66545.0,66586.0,66612.0,66661.0,66692.0,66752.0,66794.0,66818.0,66884.0,66916.0
5011117,31200.0,31205.0,31249.0,31273.0,31309.0,31338.0,31392.0,31514.0,31570.0,31648.0,31757.0,31850.0,31886.0,31922.0,31939.0,31960.0,31989.0,32016.0,32040.0,32067.0,32092.0,32129.0,32158.0,32182.0,32224.0,32250.0,32282.0,32328.0,32366.0,32386.0,32411.0,32448.0,32514.0,32584.0,32632.0,32666.0,32701.0,32726.0,32760.0,32801.0,32833.0,32865.0,32885.0,32922.0,32946.0,32992.0,33023.0,33068.0,33194.0,33255.0
5011123,52800.0,52807.0,52861.0,52891.0,52935.0,52971.0,53037.0,53318.0,53447.0,53553.0,53686.0,53800.0,53835.0,53871.0,53909.0,53956.0,54021.0,54080.0,54125.0,54177.0,54213.0,54265.0,54307.0,54340.0,54398.0,54434.0,54478.0,54542.0,54595.0,54622.0,54658.0,54710.0,54802.0,54900.0,54974.0,55026.0,55081.0,55122.0,55168.0,55223.0,55258.0,55293.0,55315.0,55357.0,55384.0,55435.0,55470.0,55502.0,55592.0,55635.0
5011125,60000.0,60008.0,60074.0,60111.0,60164.0,60208.0,60287.0,60671.0,60847.0,60934.0,61078.0,61201.0,61241.0,61282.0,61327.0,61383.0,61461.0,61533.0,61583.0,61641.0,61684.0,61745.0,61794.0,61834.0,61892.0,61929.0,61973.0,62038.0,62091.0,62117.0,62157.0,62201.0,62278.0,62360.0,62447.0,62509.0,62573.0,62624.0,62668.0,62720.0,62759.0,62798.0,62822.0,62868.0,62898.0,62955.0,62994.0,63019.0,63087.0,63119.0
5011173,63780.0,63792.0,63887.0,63940.0,64017.0,64080.0,64195.0,64606.0,64794.0,64891.0,65082.0,65247.0,65368.0,65491.0,65534.0,65587.0,65661.0,65730.0,65787.0,65853.0,65904.0,65977.0,66035.0,66082.0,66150.0,66193.0,66245.0,66321.0,66384.0,66426.0,66477.0,66530.0,66623.0,66720.0,66796.0,66849.0,66904.0,66975.0,67034.0,67104.0,67145.0,67186.0,67212.0,67261.0,67292.0,67352.0,67394.0,67418.0,67484.0,67516.0
5011175,72900.0,72909.0,72984.0,73025.0,73086.0,73136.0,73225.0,73514.0,73647.0,73746.0,73890.0,74013.0,74056.0,74100.0,74135.0,74179.0,74240.0,74297.0,74344.0,74399.0,74439.0,74496.0,74542.0,74580.0,74633.0,74666.0,74706.0,74765.0,74814.0,74846.0,74883.0,74928.0,75008.0,75092.0,75161.0,75210.0,75260.0,75305.0,75350.0,75403.0,75440.0,75477.0,75500.0,75544.0,75572.0,75627.0,75665.0,75687.0,75748.0,75777.0
5011177,80100.0,80108.0,80171.0,80206.0,80257.0,80299.0,80376.0,80635.0,80754.0,80838.0,80965.0,81075.0,81116.0,81157.0,81185.0,81220.0,81268.0,81312.0,81351.0,81395.0,81425.0,81468.0,81503.0,81532.0,81572.0,81597.0,81627.0,81671.0,81707.0,81732.0,81764.0,81802.0,81869.0,81939.0,82000.0,82043.0,82087.0,82130.0,82173.0,82225.0,82259.0,82293.0,82314.0,82355.0,82381.0,82431.0,82467.0,82489.0,82550.0,82580.0
5012097,28380.0,28389.0,28463.0,28504.0,28564.0,28613.0,28701.0,28964.0,29085.0,29163.0,29321.0,29457.0,29516.0,29576.0,29610.0,29652.0,29710.0,29763.0,29805.0,29853.0,29892.0,29948.0,29993.0,30030.0,30094.0,30134.0,30182.0,30253.0,30311.0,30336.0,30380.0,30431.0,30521.0,30617.0,30727.0,30805.0,30886.0,30937.0,30990.0,31054.0,31095.0,31136.0,31162.0,31211.0,31242.0,31302.0,31344.0,31401.0,31558.0,31633.0
5012099,37200.0,37209.0,37278.0,37316.0,37372.0,37418.0,37500.0,37795.0,37931.0,38019.0,38169.0,38298.0,38343.0,38389.0,38423.0,38465.0,38523.0,38577.0,38620.0,38670.0,38706.0,38758.0,38800.0,38834.0,38887.0,38920.0,38960.0,39019.0,39068.0,39097.0,39142.0,39190.0,39274.0,39362.0,39438.0,39491.0,39546.0,39590.0,39633.0,39685.0,39729.0,39773.0,39800.0,39852.0,39885.0,39949.0,39992.0,40027.0,40124.0,40171.0
5012101,46800.0,46809.0,46878.0,46916.0,46972.0,47018.0,47100.0,47395.0,47531.0,47619.0,47769.0,47898.0,47943.0,47989.0,48023.0,48065.0,48123.0,48177.0,48220.0,48270.0,48306.0,48358.0,48400.0,48434.0,48487.0,48520.0,48560.0,48619.0,48668.0,48697.0,48742.0,48790.0,48874.0,48962.0,49038.0,49091.0,49146.0,49190.0,49233.0,49285.0,49329.0,49373.0,49400.0,49452.0,49485.0,49549.0,49592.0,49627.0,49724.0,49771.0
5012103,56400.0,56411.0,56497.0,56545.0,56615.0,56672.0,56775.0,57081.0,57222.0,57329.0,57491.0,57631.0,57717.0,57804.0,57849.0,57905.0,57983.0,58056.0,58105.0,58161.0,58214.0,58290.0,58351.0,58399.0,58480.0,58530.0,58591.0,58680.0,58754.0,58793.0,58849.0,58906.0,59006.0,59111.0,59196.0,59256.0,59317.0,59372.0,59426.0,59490.0,59535.0,59580.0,59608.0,59661.0,59695.0,59761.0,59805.0,59830.0,59899.0,59932.0
