tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P
5004128,29400.0,29491.0,29542.0,29568.0,29619.0,29829.0,29897.0,29974.0,30013.0,30061.0,30106.0,30155.0,30201.0,30267.0,30308.0,30383.0,30445.0,30500.0,30562.0,30607.0,30650.0,30738.0,30822.0,30877.0,30938.0,31053.0,31196.0,31231.0,31262.0,31314.0,31421.0,31517.0,31615.0,31668.0,31780.0,31937.0,32172.0,32327.0,32582.0,32685.0,32762.0,32843.0,32911.0,32957.0,33033.0,33058.0,33116.0,33182.0,33256.0,33275.0,33375.0,33421.0,33483.0,33527.0,33573.0,33597.0,33647.0,33737.0,33826.0,33882.0,33927.0,33978.0,34029.0,34062.0,34136.0,34188.0,34218.0,34239.0,34265.0,34303.0,34334.0,34395.0,34464.0,34510.0,34551.0,34579.0,34611.0,34639.0,34704.0,34721.0,34831.0
5004130,43920.0,44025.0,44093.0,44128.0,44196.0,44390.0,44451.0,44520.0,44555.0,44598.0,44638.0,44682.0,44724.0,44784.0,44821.0,44888.0,44944.0,44994.0,45050.0,45090.0,45129.0,45208.0,45283.0,45336.0,45393.0,45461.0,45547.0,45584.0,45617.0,45662.0,45754.0,45836.0,45944.0,46003.0,46148.0,46328.0,46558.0,46709.0,46959.0,47068.0,47150.0,47252.0,47335.0,47390.0,47482.0,47513.0,47601.0,47700.0,47811.0,47838.0,47951.0,48004.0,48067.0,48118.0,48172.0,48206.0,48276.0,48402.0,48558.0,48644.0,48704.0,48771.0,48839.0,48882.0,48978.0,49044.0,49082.0,49109.0,49142.0,49190.0,49229.0,49307.0,49395.0,49453.0,49505.0,49540.0,49581.0,49616.0,49697.0,49717.0,49851.0
5004132,58200.0,58315.0,58383.0,58418.0,58485.0,58708.0,58768.0,58836.0,58870.0,58912.0,58951.0,58995.0,59032.0,59085.0,59118.0,59178.0,59227.0,59271.0,59320.0,59358.0,59395.0,59471.0,59543.0,59595.0,59650.0,59740.0,59853.0,59890.0,59923.0,59966.0,60053.0,60131.0,60244.0,60305.0,60463.0,60644.0,60897.0,61063.0,61336.0,61439.0,61516.0,61611.0,61693.0,61747.0,61838.0,61875.0,62008.0,62158.0,62326.0,62367.0,62479.0,62531.0,62590.0,62643.0,62699.0,62727.0,62785.0,62891.0,63049.0,63176.0,63261.0,63356.0,63452.0,63493.0,63584.0,63647.0,63683.0,63710.0,63743.0,63791.0,63830.0,63908.0,63996.0,64054.0,64106.0,64141.0,64182.0,64217.0,64299.0,64322.0,64476.0
5004134,72600.0,72678.0,72727.0,72752.0,72801.0,72967.0,73020.0,73081.0,73112.0,73150.0,73185.0,73223.0,73254.0,73299.0,73327.0,73378.0,73420.0,73458.0,73501.0,73540.0,73577.0,73653.0,73726.0,73770.0,73815.0,73860.0,73916.0,73949.0,73979.0,74015.0,74088.0,74154.0,74236.0,74280.0,74406.0,74565.0,74757.0,74883.0,75091.0,75189.0,75263.0,75337.0,75400.0,75442.0,75512.0,75545.0,75601.0,75664.0,75735.0,75752.0,75838.0,75878.0,75938.0,75993.0,76050.0,76070.0,76112.0,76187.0,76277.0,76340.0,76380.0,76426.0,76472.0,76504.0,76575.0,76624.0,76652.0,76674.0,76701.0,76739.0,76771.0,76834.0,76905.0,76952.0,76994.0,77022.0,77055.0,77083.0,77148.0,77173.0,77341.0
5006125,25200.0,25278.0,25328.0,25353.0,25403.0,25566.0,25615.0,25671.0,25699.0,25734.0,25767.0,25803.0,25844.0,25903.0,25940.0,26007.0,26062.0,26111.0,26167.0,26205.0,26241.0,26315.0,26386.0,26431.0,26489.0,26554.0,26635.0,26667.0,26696.0,26740.0,26829.0,26909.0,26986.0,27028.0,27125.0,27248.0,27415.0,27525.0,27706.0,27792.0,27857.0,27921.0,27989.0,28035.0,28111.0,28140.0,28201.0,28270.0,28347.0,28365.0,28474.0,28524.0,28585.0,28629.0,28676.0,28698.0,28743.0,28825.0,28901.0,28943.0,28984.0,29030.0,29076.0,29107.0,29176.0,29224.0,29250.0,29272.0,29299.0,29338.0,29370.0,29434.0,29506.0,29554.0,29597.0,29626.0,29660.0,29689.0,29758.0,29774.0,29882.0
5006127,38160.0,38255.0,38315.0,38345.0,38404.0,38604.0,38663.0,38730.0,38764.0,38806.0,38845.0,38887.0,38928.0,38986.0,39022.0,39088.0,39143.0,39192.0,39245.0,39280.0,39314.0,39383.0,39450.0,39497.0,39562.0,39626.0,39707.0,39741.0,39772.0,39829.0,39946.0,40050.0,40167.0,40230.0,40380.0,40554.0,40771.0,40913.0,41148.0,41254.0,41333.0,41433.0,41511.0,41563.0,41651.0,41680.0,41751.0,41832.0,41922.0,41945.0,42037.0,42079.0,42136.0,42183.0,42233.0,42261.0,42318.0,42422.0,42546.0,42607.0,42658.0,42715.0,42772.0,42808.0,42889.0,42945.0,42978.0,43002.0,43031.0,43073.0,43107.0,43175.0,43252.0,43303.0,43348.0,43379.0,43415.0,43446.0,43518.0,43537.0,43663.0
5006129,56400.0,56515.0,56583.0,56618.0,56685.0,56908.0,56968.0,57036.0,57070.0,57112.0,57151.0,57195.0,57232.0,57285.0,57318.0,57378.0,57427.0,57471.0,57520.0,57558.0,57595.0,57671.0,57743.0,57795.0,57850.0,57940.0,58053.0,58090.0,58123.0,58166.0,58253.0,58331.0,58444.0,58505.0,58663.0,58844.0,59097.0,59263.0,59536.0,59639.0,59716.0,59811.0,59893.0,59947.0,60038.0,60075.0,60208.0,60358.0,60526.0,60567.0,60679.0,60731.0,60790.0,60843.0,60899.0,60927.0,60985.0,61091.0,61249.0,61376.0,61461.0,61556.0,61652.0,61693.0,61784.0,61847.0,61883.0,61910.0,61943.0,61991.0,62030.0,62108.0,62196.0,62254.0,62306.0,62341.0,62382.0,62417.0,62499.0,62522.0,62676.0
5006286,70800.0,70886.0,70955.0,70990.0,71059.0,71230.0,71290.0,71359.0,71394.0,71437.0,71477.0,71521.0,71558.0,71611.0,71644.0,71704.0,71753.0,71797.0,71846.0,71881.0,71915.0,71984.0,72050.0,72089.0,72139.0,72192.0,72259.0,72302.0,72342.0,72382.0,72463.0,72535.0,72615.0,72659.0,72762.0,72955.0,73209.0,73376.0,73650.0,73765.0,73851.0,73945.0,74001.0,74038.0,74101.0,74134.0,74204.0,74283.0,74371.0,74393.0,74476.0,74514.0,74580.0,74639.0,74701.0,74719.0,74756.0,74822.0,74909.0,74964.0,75002.0,75045.0,75087.0,75123.0,75202.0,75257.0,75288.0,75309.0,75335.0,75372.0,75402.0,75462.0,75530.0,75575.0,75615.0,75642.0,75674.0,75701.0,75766.0,75780.0,75874.0
5006372,46200.0,46300.0,46372.0,46409.0,46479.0,46681.0,46738.0,46803.0,46836.0,46876.0,46914.0,46955.0,46995.0,47053.0,47089.0,47154.0,47208.0,47257.0,47312.0,47349.0,47384.0,47456.0,47525.0,47589.0,47646.0,47721.0,47815.0,47850.0,47882.0,47925.0,48012.0,48089.0,48199.0,48259.0,48449.0,48607.0,48831.0,48978.0,49220.0,49318.0,49392.0,49491.0,49554.0,49596.0,49667.0,49699.0,49764.0,49838.0,49921.0,49942.0,50042.0,50088.0,50147.0,50198.0,50251.0,50277.0,50330.0,50425.0,50552.0,50615.0,50664.0,50720.0,50776.0,50814.0,50899.0,50958.0,50992.0,51016.0,51045.0,51087.0,51121.0,51189.0,51266.0,51317.0,51362.0,51393.0,51429.0,51460.0,51532.0,51551.0,51674.0
5006374,60600.0,60710.0,60770.0,60800.0,60859.0,61038.0,61094.0,61158.0,61190.0,61230.0,61267.0,61308.0,61344.0,61396.0,61428.0,61487.0,61536.0,61579.0,61628.0,61662.0,61695.0,61762.0,61825.0,61864.0,61905.0,61961.0,62031.0,62058.0,62083.0,62132.0,62231.0,62320.0,62396.0,62437.0,62584.0,62767.0,63002.0,63157.0,63412.0,63511.0,63586.0,63672.0,63741.0,63787.0,63865.0,63890.0,63951.0,64020.0,64097.0,64116.0,64206.0,64248.0,64327.0,64376.0,64427.0,64448.0,64492.0,64572.0,64691.0,64742.0,64782.0,64827.0,64873.0,64910.0,64993.0,65050.0,65083.0,65106.0,65135.0,65176.0,65210.0,65278.0,65354.0,65404.0,65449.0,65480.0,65516.0,65547.0,65618.0,65637.0,65765.0
