tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P
5093505,42000.0,42104.0,42137.0,42189.0,42210.0,42254.0,42294.0,42341.0,42405.0,42477.0,42505.0,42540.0,42628.0,42689.0,42743.0,42823.0,42877.0,42969.0,43112.0,43324.0,43339.0,43520.0,43662.0,43718.0,43922.0,44084.0,44169.0,44263.0,44421.0,44522.0,44549.0,44623.0,44706.0,44768.0,44795.0,44873.0,44947.0,45006.0,45071.0,45114.0,45141.0,45159.0,45224.0,45252.0,45295.0,45469.0,45735.0,45807.0,45840.0,45869.0,45905.0,45942.0,45984.0,46021.0,46052.0,46084.0,46130.0,46151.0,46174.0,46198.0,46210.0,46227.0,46247.0,46280.0,46309.0,46320.0,46340.0,46368.0,46409.0,46417.0,46446.0,46465.0,46486.0
5093507,54000.0,54160.0,54189.0,54250.0,54275.0,54326.0,54356.0,54391.0,54439.0,54498.0,54545.0,54603.0,54699.0,54766.0,54825.0,54914.0,54947.0,55002.0,55144.0,55353.0,55368.0,55612.0,55804.0,55880.0,56156.0,56363.0,56426.0,56496.0,56614.0,56689.0,56750.0,56912.0,56994.0,57055.0,57090.0,57217.0,57371.0,57431.0,57497.0,57552.0,57587.0,57635.0,57708.0,57746.0,57809.0,58147.0,58661.0,58801.0,58864.0,58903.0,58952.0,59002.0,59059.0,59110.0,59153.0,59196.0,59261.0,59282.0,59305.0,59329.0,59341.0,59358.0,59378.0,59411.0,59440.0,59451.0,59471.0,59499.0,59540.0,59548.0,59577.0,59596.0,59617.0
5093509,67200.0,67320.0,67380.0,67434.0,67456.0,67500.0,67548.0,67604.0,67680.0,67740.0,67794.0,67860.0,67934.0,67986.0,68031.0,68100.0,68167.0,68280.0,68419.0,68625.0,68640.0,68733.0,68806.0,68835.0,68940.0,69060.0,69142.0,69232.0,69384.0,69480.0,69529.0,69660.0,69729.0,69780.0,69840.0,70020.0,70260.0,70373.0,70500.0,70611.0,70680.0,70740.0,70860.0,70920.0,70980.0,71230.0,71610.0,71714.0,71760.0,71801.0,71853.0,71906.0,71966.0,72020.0,72066.0,72112.0,72180.0,72215.0,72254.0,72295.0,72316.0,72345.0,72379.0,72435.0,72485.0,72504.0,72538.0,72586.0,72655.0,72669.0,72718.0,72750.0,72780.0
5093511,79200.0,79298.0,79321.0,79362.0,79379.0,79413.0,79448.0,79489.0,79544.0,79575.0,79615.0,79663.0,79719.0,79758.0,79792.0,79843.0,79869.0,79912.0,79997.0,80122.0,80131.0,80293.0,80420.0,80470.0,80654.0,80774.0,80832.0,80896.0,81003.0,81071.0,81099.0,81173.0,81235.0,81282.0,81314.0,81376.0,81435.0,81478.0,81525.0,81580.0,81614.0,81643.0,81706.0,81733.0,81786.0,81925.0,82137.0,82195.0,82220.0,82251.0,82290.0,82330.0,82375.0,82415.0,82449.0,82483.0,82533.0,82554.0,82577.0,82601.0,82613.0,82630.0,82650.0,82683.0,82712.0,82723.0,82743.0,82771.0,82812.0,82820.0,82849.0,82868.0,82889.0
5093700,27600.0,27724.0,27751.0,27805.0,27827.0,27872.0,27905.0,27944.0,27998.0,28045.0,28087.0,28137.0,28190.0,28227.0,28260.0,28309.0,28341.0,28395.0,28479.0,28603.0,28611.0,28752.0,28863.0,28907.0,29066.0,29169.0,29243.0,29325.0,29463.0,29552.0,29591.0,29695.0,29736.0,29766.0,29794.0,29886.0,29965.0,30036.0,30116.0,30193.0,30242.0,30281.0,30339.0,30372.0,30418.0,30572.0,30807.0,30871.0,30899.0,30934.0,30978.0,31023.0,31074.0,31120.0,31159.0,31198.0,31255.0,31276.0,31299.0,31323.0,31335.0,31352.0,31372.0,31405.0,31434.0,31445.0,31465.0,31493.0,31534.0,31542.0,31571.0,31590.0,31611.0
5093702,40200.0,40304.0,40337.0,40389.0,40410.0,40454.0,40494.0,40541.0,40605.0,40677.0,40705.0,40740.0,40828.0,40889.0,40943.0,41023.0,41077.0,41169.0,41312.0,41524.0,41539.0,41720.0,41862.0,41918.0,42122.0,42284.0,42369.0,42463.0,42621.0,42722.0,42749.0,42823.0,42906.0,42968.0,42995.0,43073.0,43147.0,43206.0,43271.0,43314.0,43341.0,43359.0,43424.0,43452.0,43495.0,43669.0,43935.0,44007.0,44040.0,44069.0,44105.0,44142.0,44184.0,44221.0,44252.0,44284.0,44330.0,44351.0,44374.0,44398.0,44410.0,44427.0,44447.0,44480.0,44509.0,44520.0,44540.0,44568.0,44609.0,44617.0,44646.0,44665.0,44686.0
5093704,52200.0,52325.0,52347.0,52389.0,52406.0,52442.0,52482.0,52529.0,52593.0,52652.0,52710.0,52781.0,52851.0,52900.0,52943.0,53007.0,53044.0,53106.0,53241.0,53440.0,53454.0,53714.0,53918.0,53999.0,54291.0,54432.0,54501.0,54577.0,54705.0,54786.0,54819.0,54909.0,54989.0,55048.0,55085.0,55146.0,55241.0,55289.0,55343.0,55424.0,55475.0,55506.0,55561.0,55586.0,55634.0,55797.0,56045.0,56113.0,56143.0,56175.0,56215.0,56257.0,56304.0,56346.0,56382.0,56418.0,56471.0,56492.0,56515.0,56539.0,56551.0,56568.0,56588.0,56621.0,56650.0,56661.0,56681.0,56709.0,56750.0,56758.0,56787.0,56806.0,56827.0
5093706,66000.0,66120.0,66180.0,66234.0,66256.0,66300.0,66348.0,66404.0,66480.0,66540.0,66594.0,66660.0,66734.0,66786.0,66831.0,66900.0,66967.0,67080.0,67219.0,67425.0,67440.0,67533.0,67606.0,67635.0,67740.0,67860.0,67942.0,68032.0,68184.0,68280.0,68329.0,68460.0,68529.0,68580.0,68640.0,68820.0,69060.0,69173.0,69300.0,69411.0,69480.0,69540.0,69660.0,69720.0,69780.0,70030.0,70410.0,70514.0,70560.0,70601.0,70653.0,70706.0,70766.0,70820.0,70866.0,70912.0,70980.0,71015.0,71054.0,71095.0,71116.0,71145.0,71179.0,71235.0,71285.0,71304.0,71338.0,71386.0,71455.0,71469.0,71518.0,71550.0,71580.0
5093986,35400.0,35564.0,35589.0,35639.0,35660.0,35702.0,35753.0,35813.0,35895.0,35957.0,36004.0,36060.0,36119.0,36160.0,36196.0,36250.0,36290.0,36359.0,36483.0,36667.0,36680.0,36875.0,37029.0,37090.0,37310.0,37430.0,37499.0,37575.0,37703.0,37784.0,37815.0,37897.0,37948.0,37986.0,38025.0,38092.0,38163.0,38210.0,38263.0,38328.0,38369.0,38407.0,38461.0,38485.0,38532.0,38687.0,38924.0,38989.0,39017.0,39044.0,39078.0,39113.0,39152.0,39187.0,39217.0,39247.0,39290.0,39311.0,39334.0,39358.0,39370.0,39387.0,39407.0,39440.0,39469.0,39480.0,39500.0,39528.0,39569.0,39577.0,39606.0,39625.0,39646.0
5093988,48000.0,48125.0,48147.0,48189.0,48206.0,48242.0,48282.0,48329.0,48393.0,48452.0,48510.0,48581.0,48651.0,48700.0,48743.0,48807.0,48844.0,48906.0,49041.0,49240.0,49254.0,49514.0,49718.0,49799.0,50091.0,50232.0,50301.0,50377.0,50505.0,50586.0,50619.0,50709.0,50789.0,50848.0,50885.0,50946.0,51041.0,51089.0,51143.0,51224.0,51275.0,51306.0,51361.0,51386.0,51434.0,51597.0,51845.0,51913.0,51943.0,51975.0,52015.0,52057.0,52104.0,52146.0,52182.0,52218.0,52271.0,52292.0,52315.0,52339.0,52351.0,52368.0,52388.0,52421.0,52450.0,52461.0,52481.0,52509.0,52550.0,52558.0,52587.0,52606.0,52627.0
