tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P
5092737,77400.0,77438.0,77464.0,77486.0,77509.0,77558.0,77594.0,77609.0,77635.0,77650.0,77726.0,77784.0,77803.0,77824.0,77846.0,77875.0,77904.0,77924.0,77948.0,77968.0,77982.0,78021.0,78048.0,78087.0,78124.0
5092739,81000.0,81038.0,81064.0,81086.0,81109.0,81158.0,81194.0,81209.0,81235.0,81250.0,81326.0,81384.0,81403.0,81424.0,81446.0,81475.0,81504.0,81524.0,81548.0,81568.0,81582.0,81621.0,81648.0,81687.0,81724.0
5092741,84600.0,84638.0,84664.0,84686.0,84709.0,84758.0,84794.0,84809.0,84835.0,84850.0,84926.0,84984.0,85003.0,85024.0,85046.0,85075.0,85104.0,85124.0,85148.0,85168.0,85182.0,85221.0,85248.0,85287.0,85324.0
5098360,24600.0,24618.0,24630.0,24641.0,24652.0,24675.0,24692.0,24699.0,24711.0,24720.0,24840.0,24960.0,24986.0,25014.0,25043.0,25080.0,25151.0,25200.0,25250.0,25291.0,25320.0,25336.0,25347.0,25363.0,25380.0
5098362,28200.0,28248.0,28280.0,28308.0,28337.0,28398.0,28443.0,28461.0,28493.0,28513.0,28604.0,28672.0,28695.0,28720.0,28746.0,28778.0,28820.0,28848.0,28899.0,28941.0,28969.0,29014.0,29045.0,29090.0,29134.0
5098364,31800.0,31857.0,31895.0,31928.0,31962.0,32034.0,32087.0,32109.0,32147.0,32169.0,32289.0,32377.0,32406.0,32438.0,32472.0,32515.0,32558.0,32587.0,32642.0,32687.0,32718.0,32796.0,32849.0,32927.0,33002.0
5098366,35400.0,35453.0,35489.0,35520.0,35552.0,35619.0,35669.0,35689.0,35725.0,35747.0,35843.0,35931.0,35957.0,35986.0,36016.0,36055.0,36097.0,36126.0,36183.0,36230.0,36263.0,36340.0,36392.0,36468.0,36542.0
5098368,39000.0,39053.0,39089.0,39120.0,39152.0,39219.0,39269.0,39289.0,39325.0,39347.0,39443.0,39531.0,39557.0,39586.0,39616.0,39655.0,39697.0,39726.0,39783.0,39830.0,39863.0,39940.0,39992.0,40068.0,40142.0
5098370,42600.0,42653.0,42689.0,42720.0,42752.0,42819.0,42869.0,42889.0,42925.0,42947.0,43043.0,43131.0,43157.0,43186.0,43216.0,43255.0,43297.0,43326.0,43383.0,43430.0,43463.0,43540.0,43592.0,43668.0,43742.0
5098372,46200.0,46250.0,46284.0,46313.0,46343.0,46406.0,46452.0,46471.0,46504.0,46524.0,46614.0,46695.0,46721.0,46749.0,46779.0,46816.0,46859.0,46888.0,46944.0,46990.0,47022.0,47090.0,47136.0,47203.0,47268.0
5098374,49800.0,49850.0,49884.0,49913.0,49943.0,50006.0,50052.0,50071.0,50104.0,50124.0,50214.0,50295.0,50321.0,50349.0,50379.0,50416.0,50459.0,50488.0,50544.0,50590.0,50622.0,50690.0,50736.0,50803.0,50868.0
5098376,53400.0,53456.0,53494.0,53527.0,53561.0,53632.0,53685.0,53706.0,53744.0,53768.0,53863.0,53948.0,53977.0,54008.0,54041.0,54082.0,54131.0,54164.0,54220.0,54266.0,54298.0,54381.0,54438.0,54520.0,54599.0
5098378,57000.0,57055.0,57092.0,57124.0,57157.0,57226.0,57277.0,57298.0,57334.0,57356.0,57448.0,57546.0,57575.0,57607.0,57641.0,57684.0,57728.0,57758.0,57817.0,57865.0,57899.0,57974.0,58025.0,58100.0,58171.0
5098380,60600.0,60649.0,60682.0,60710.0,60739.0,60801.0,60846.0,60864.0,60896.0,60917.0,60999.0,61060.0,61082.0,61106.0,61131.0,61163.0,61202.0,61229.0,61267.0,61298.0,61320.0,61385.0,61430.0,61495.0,61558.0
5098382,64200.0,64244.0,64274.0,64299.0,64326.0,64382.0,64423.0,64440.0,64469.0,64488.0,64567.0,64639.0,64663.0,64689.0,64716.0,64751.0,64794.0,64823.0,64862.0,64894.0,64917.0,64976.0,65016.0,65075.0,65132.0
5098384,67800.0,67844.0,67874.0,67899.0,67925.0,67980.0,68021.0,68038.0,68067.0,68085.0,68166.0,68230.0,68250.0,68272.0,68296.0,68326.0,68359.0,68381.0,68413.0,68439.0,68458.0,68506.0,68539.0,68586.0,68631.0
5098386,71400.0,71444.0,71474.0,71499.0,71525.0,71580.0,71621.0,71638.0,71667.0,71685.0,71766.0,71830.0,71850.0,71872.0,71896.0,71926.0,71959.0,71981.0,72013.0,72039.0,72058.0,72106.0,72139.0,72186.0,72231.0
5098388,75000.0,75042.0,75070.0,75094.0,75119.0,75172.0,75211.0,75227.0,75255.0,75271.0,75348.0,75405.0,75424.0,75444.0,75465.0,75492.0,75522.0,75543.0,75573.0,75598.0,75616.0,75659.0,75689.0,75732.0,75774.0
5098390,78600.0,78642.0,78670.0,78694.0,78719.0,78772.0,78811.0,78827.0,78855.0,78871.0,78948.0,79005.0,79024.0,79044.0,79065.0,79092.0,79122.0,79143.0,79173.0,79198.0,79216.0,79259.0,79289.0,79332.0,79374.0
5098392,82200.0,82242.0,82270.0,82294.0,82319.0,82372.0,82411.0,82427.0,82455.0,82471.0,82548.0,82605.0,82624.0,82644.0,82665.0,82692.0,82722.0,82743.0,82773.0,82798.0,82816.0,82859.0,82889.0,82932.0,82974.0
5114032,24600.0,24618.0,24630.0,24641.0,24652.0,24675.0,24692.0,24699.0,24711.0,24720.0,24840.0,24960.0,24986.0,25014.0,25043.0,25080.0,25151.0,25200.0,25250.0,25291.0,25320.0,25336.0,25347.0,25363.0,25380.0
5114034,28200.0,28248.0,28280.0,28308.0,28337.0,28398.0,28443.0,28461.0,28493.0,28513.0,28604.0,28672.0,28695.0,28720.0,28746.0,28778.0,28820.0,28848.0,28899.0,28941.0,28969.0,29014.0,29045.0,29090.0,29134.0
5114036,31800.0,31857.0,31895.0,31928.0,31962.0,32034.0,32087.0,32109.0,32147.0,32169.0,32289.0,32377.0,32406.0,32438.0,32472.0,32515.0,32558.0,32587.0,32642.0,32687.0,32718.0,32796.0,32849.0,32927.0,33002.0
5114038,35400.0,35453.0,35489.0,35520.0,35552.0,35619.0,35669.0,35689.0,35725.0,35747.0,35843.0,35931.0,35957.0,35986.0,36016.0,36055.0,36097.0,36126.0,36183.0,36230.0,36263.0,36340.0,36392.0,36468.0,36542.0
5114040,39000.0,39053.0,39089.0,39120.0,39152.0,39219.0,39269.0,39289.0,39325.0,39347.0,39443.0,39531.0,39557.0,39586.0,39616.0,39655.0,39697.0,39726.0,39783.0,39830.0,39863.0,39940.0,39992.0,40068.0,40142.0
5114042,42600.0,42653.0,42689.0,42720.0,42752.0,42819.0,42869.0,42889.0,42925.0,42947.0,43043.0,43131.0,43157.0,43186.0,43216.0,43255.0,43297.0,43326.0,43383.0,43430.0,43463.0,43540.0,43592.0,43668.0,43742.0
5114044,46200.0,46250.0,46284.0,46313.0,46343.0,46406.0,46452.0,46471.0,46504.0,46524.0,46614.0,46695.0,46721.0,46749.0,46779.0,46816.0,46859.0,46888.0,46944.0,46990.0,47022.0,47090.0,47136.0,47203.0,47268.0
5114046,49800.0,49850.0,49884.0,49913.0,49943.0,50006.0,50052.0,50071.0,50104.0,50124.0,50214.0,50295.0,50321.0,50349.0,50379.0,50416.0,50459.0,50488.0,50544.0,50590.0,50622.0,50690.0,50736.0,50803.0,50868.0
5114048,53400.0,53456.0,53494.0,53527.0,53561.0,53632.0,53685.0,53706.0,53744.0,53768.0,53863.0,53948.0,53977.0,54008.0,54041.0,54082.0,54131.0,54164.0,54220.0,54266.0,54298.0,54381.0,54438.0,54520.0,54599.0
5114050,57000.0,57055.0,57092.0,57124.0,57157.0,57226.0,57277.0,57298.0,57334.0,57356.0,57448.0,57546.0,57575.0,57607.0,57641.0,57684.0,57728.0,57758.0,57817.0,57865.0,57899.0,57974.0,58025.0,58100.0,58171.0
5114052,60600.0,60649.0,60682.0,60710.0,60739.0,60801.0,60846.0,60864.0,60896.0,60917.0,60999.0,61060.0,61082.0,61106.0,61131.0,61163.0,61202.0,61229.0,61267.0,61298.0,61320.0,61385.0,61430.0,61495.0,61558.0
5114054,64200.0,64244.0,64274.0,64299.0,64326.0,64382.0,64423.0,64440.0,64469.0,64488.0,64567.0,64639.0,64663.0,64689.0,64716.0,64751.0,64794.0,64823.0,64862.0,64894.0,64917.0,64976.0,65016.0,65075.0,65132.0
5114056,67800.0,67844.0,67874.0,67899.0,67925.0,67980.0,68021.0,68038.0,68067.0,68085.0,68166.0,68230.0,68250.0,68272.0,68296.0,68326.0,68359.0,68381.0,68413.0,68439.0,68458.0,68506.0,68539.0,68586.0,68631.0
5114058,71400.0,71444.0,71474.0,71499.0,71525.0,71580.0,71621.0,71638.0,71667.0,71685.0,71766.0,71830.0,71850.0,71872.0,71896.0,71926.0,71959.0,71981.0,72013.0,72039.0,72058.0,72106.0,72139.0,72186.0,72231.0
5114060,75000.0,75042.0,75070.0,75094.0,75119.0,75172.0,75211.0,75227.0,75255.0,75271.0,75348.0,75405.0,75424.0,75444.0,75465.0,75492.0,75522.0,75543.0,75573.0,75598.0,75616.0,75659.0,75689.0,75732.0,75774.0
5114062,78600.0,78642.0,78670.0,78694.0,78719.0,78772.0,78811.0,78827.0,78855.0,78871.0,78948.0,79005.0,79024.0,79044.0,79065.0,79092.0,79122.0,79143.0,79173.0,79198.0,79216.0,79259.0,79289.0,79332.0,79374.0
5114064,82200.0,82242.0,82270.0,82294.0,82319.0,82372.0,82411.0,82427.0,82455.0,82471.0,82548.0,82605.0,82624.0,82644.0,82665.0,82692.0,82722.0,82743.0,82773.0,82798.0,82816.0,82859.0,82889.0,82932.0,82974.0
