tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P
5094209,36900.0,37054.0,37183.0,37207.0,37299.0,37353.0,37394.0,37445.0,37465.0,37494.0,37511.0,37532.0,37599.0,37636.0,37690.0,37719.0,37747.0,37779.0,37818.0,37847.0,37895.0,37935.0,37980.0,38022.0,38051.0,38092.0,38121.0,38159.0,38189.0,38211.0,38259.0,38292.0,38321.0,38351.0,38378.0,38416.0,38453.0,38478.0,38569.0,38621.0,38642.0,38700.0,38724.0,38775.0,38818.0,38844.0,38899.0,38939.0,39018.0,39044.0,39071.0,39116.0,39142.0,39173.0,39242.0,39264.0,39285.0,39296.0,39322.0,39338.0,39354.0,39373.0,39411.0,39435.0,39463.0,39487.0,39535.0,39598.0,39652.0,39686.0,39719.0,39743.0,39768.0,39788.0
5094211,47700.0,47857.0,47989.0,48013.0,48092.0,48139.0,48179.0,48227.0,48255.0,48294.0,48318.0,48340.0,48412.0,48454.0,48514.0,48544.0,48572.0,48604.0,48645.0,48690.0,48736.0,48784.0,48831.0,48874.0,48910.0,48961.0,48998.0,49044.0,49069.0,49088.0,49145.0,49183.0,49215.0,49248.0,49287.0,49328.0,49368.0,49397.0,49472.0,49514.0,49536.0,49598.0,49622.0,49676.0,49720.0,49752.0,49820.0,49871.0,49954.0,49981.0,50009.0,50056.0,50083.0,50115.0,50181.0,50202.0,50222.0,50232.0,50255.0,50269.0,50283.0,50300.0,50334.0,50356.0,50383.0,50407.0,50432.0,50465.0,50493.0,50511.0,50562.0,50598.0,50636.0,50666.0
5094840,54900.0,55099.0,55266.0,55297.0,55368.0,55410.0,55471.0,55545.0,55572.0,55610.0,55633.0,55652.0,55716.0,55751.0,55802.0,55828.0,55852.0,55880.0,55915.0,55953.0,56096.0,56162.0,56200.0,56235.0,56268.0,56314.0,56347.0,56388.0,56416.0,56437.0,56532.0,56596.0,56643.0,56692.0,56774.0,56817.0,56859.0,56889.0,56967.0,57011.0,57036.0,57107.0,57131.0,57190.0,57239.0,57272.0,57341.0,57393.0,57477.0,57504.0,57532.0,57580.0,57607.0,57640.0,57703.0,57723.0,57742.0,57753.0,57779.0,57795.0,57811.0,57831.0,57870.0,57895.0,57918.0,57938.0,57968.0,58006.0,58039.0,58060.0,58091.0,58113.0,58136.0,58155.0
5094875,35100.0,35308.0,35482.0,35514.0,35562.0,35590.0,35625.0,35668.0,35681.0,35700.0,35712.0,35722.0,35756.0,35792.0,35844.0,35866.0,35887.0,35911.0,35941.0,35973.0,35990.0,36028.0,36061.0,36091.0,36113.0,36144.0,36166.0,36195.0,36224.0,36245.0,36316.0,36364.0,36397.0,36431.0,36474.0,36510.0,36545.0,36570.0,36627.0,36659.0,36683.0,36748.0,36813.0,36921.0,37010.0,37043.0,37113.0,37166.0,37236.0,37259.0,37283.0,37323.0,37346.0,37373.0,37438.0,37459.0,37479.0,37490.0,37515.0,37531.0,37546.0,37565.0,37602.0,37624.0,37644.0,37661.0,37688.0,37724.0,37754.0,37774.0,37876.0,37948.0,38025.0,38087.0
5094877,42300.0,42479.0,42629.0,42657.0,42742.0,42792.0,42828.0,42873.0,42890.0,42914.0,42928.0,42954.0,43040.0,43088.0,43157.0,43191.0,43223.0,43260.0,43305.0,43353.0,43403.0,43438.0,43467.0,43493.0,43526.0,43572.0,43605.0,43648.0,43666.0,43679.0,43730.0,43764.0,43793.0,43823.0,43858.0,43909.0,43959.0,43994.0,44040.0,44066.0,44089.0,44152.0,44169.0,44249.0,44316.0,44345.0,44405.0,44449.0,44537.0,44565.0,44595.0,44645.0,44673.0,44708.0,44768.0,44787.0,44806.0,44817.0,44842.0,44858.0,44873.0,44892.0,44930.0,44953.0,44973.0,44990.0,45010.0,45036.0,45058.0,45073.0,45170.0,45239.0,45312.0,45371.0
5096156,33300.0,33454.0,33583.0,33607.0,33699.0,33753.0,33794.0,33845.0,33865.0,33894.0,33911.0,33932.0,33999.0,34036.0,34090.0,34119.0,34147.0,34179.0,34218.0,34247.0,34295.0,34335.0,34380.0,34422.0,34451.0,34492.0,34521.0,34559.0,34589.0,34611.0,34659.0,34692.0,34721.0,34751.0,34778.0,34816.0,34853.0,34878.0,34969.0,35021.0,35042.0,35100.0,35124.0,35175.0,35218.0,35244.0,35299.0,35339.0,35418.0,35444.0,35471.0,35516.0,35542.0,35573.0,35642.0,35664.0,35685.0,35696.0,35722.0,35738.0,35754.0,35773.0,35811.0,35835.0,35863.0,35887.0,35935.0,35998.0,36052.0,36086.0,36119.0,36143.0,36168.0,36188.0
5096158,44100.0,44257.0,44389.0,44413.0,44492.0,44539.0,44579.0,44627.0,44655.0,44694.0,44718.0,44740.0,44812.0,44854.0,44914.0,44944.0,44972.0,45004.0,45045.0,45090.0,45136.0,45184.0,45231.0,45274.0,45310.0,45361.0,45398.0,45444.0,45469.0,45488.0,45545.0,45583.0,45615.0,45648.0,45687.0,45728.0,45768.0,45797.0,45872.0,45914.0,45936.0,45998.0,46022.0,46076.0,46120.0,46152.0,46220.0,46271.0,46354.0,46381.0,46409.0,46456.0,46483.0,46515.0,46581.0,46602.0,46622.0,46632.0,46655.0,46669.0,46683.0,46700.0,46734.0,46756.0,46783.0,46807.0,46832.0,46865.0,46893.0,46911.0,46962.0,46998.0,47036.0,47066.0
5096160,54900.0,55052.0,55179.0,55203.0,55284.0,55331.0,55374.0,55426.0,55450.0,55485.0,55506.0,55528.0,55599.0,55641.0,55702.0,55743.0,55782.0,55826.0,55880.0,55918.0,55985.0,56033.0,56094.0,56150.0,56202.0,56274.0,56326.0,56392.0,56423.0,56445.0,56512.0,56558.0,56585.0,56612.0,56667.0,56738.0,56807.0,56856.0,56957.0,57014.0,57042.0,57120.0,57141.0,57193.0,57236.0,57269.0,57339.0,57391.0,57481.0,57510.0,57541.0,57592.0,57621.0,57657.0,57726.0,57748.0,57769.0,57780.0,57805.0,57820.0,57835.0,57854.0,57891.0,57913.0,57935.0,57955.0,57983.0,58019.0,58050.0,58069.0,58106.0,58132.0,58160.0,58181.0
5096164,73200.0,73317.0,73415.0,73434.0,73494.0,73529.0,73568.0,73615.0,73637.0,73668.0,73686.0,73707.0,73776.0,73822.0,73888.0,73916.0,73942.0,73972.0,74009.0,74060.0,74130.0,74168.0,74198.0,74225.0,74249.0,74283.0,74307.0,74338.0,74360.0,74376.0,74440.0,74483.0,74505.0,74528.0,74552.0,74580.0,74607.0,74625.0,74686.0,74720.0,74736.0,74781.0,74798.0,74832.0,74861.0,74881.0,74924.0,74956.0,75025.0,75047.0,75070.0,75109.0,75131.0,75158.0,75212.0,75229.0,75246.0,75256.0,75279.0,75293.0,75307.0,75324.0,75359.0,75381.0,75401.0,75419.0,75443.0,75474.0,75501.0,75519.0,75556.0,75582.0,75610.0,75632.0
5097735,29400.0,29533.0,29644.0,29665.0,29768.0,29828.0,29881.0,29945.0,29984.0,30039.0,30073.0,30117.0,30259.0,30307.0,30378.0,30414.0,30448.0,30487.0,30536.0,30577.0,30648.0,30694.0,30753.0,30808.0,30848.0,30904.0,30945.0,30997.0,31035.0,31063.0,31118.0,31155.0,31188.0,31223.0,31261.0,31339.0,31415.0,31468.0,31561.0,31613.0,31637.0,31703.0,31727.0,31775.0,31815.0,31845.0,31907.0,31953.0,32033.0,32059.0,32086.0,32132.0,32158.0,32189.0,32272.0,32298.0,32323.0,32335.0,32364.0,32382.0,32400.0,32422.0,32466.0,32493.0,32516.0,32537.0,32566.0,32603.0,32635.0,32655.0,32694.0,32722.0,32752.0,32775.0
