tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P
5097052,77400.0,77428.0,77463.0,77515.0,77549.0,77584.0,77620.0,77669.0,77695.0,77740.0,77779.0,77811.0,77841.0,77883.0,77939.0,77961.0,78004.0,78036.0,78067.0,78136.0,78207.0,78252.0,78302.0,78385.0,78423.0,78521.0,78542.0,78642.0,78786.0,79071.0,79173.0,79271.0,79312.0,79361.0,79394.0,79429.0,79524.0,79571.0,79607.0,79650.0,79697.0,79738.0,79789.0,79816.0,79846.0,79877.0,79904.0,79959.0,79996.0,80064.0,80109.0,80190.0
5098403,43200.0,43239.0,43287.0,43360.0,43407.0,43444.0,43483.0,43536.0,43564.0,43612.0,43654.0,43689.0,43721.0,43766.0,43826.0,43850.0,43896.0,43937.0,43977.0,44054.0,44134.0,44174.0,44218.0,44292.0,44326.0,44446.0,44466.0,44559.0,44696.0,44968.0,45181.0,45306.0,45353.0,45408.0,45445.0,45484.0,45593.0,45643.0,45681.0,45727.0,45782.0,45830.0,45909.0,45937.0,45969.0,46000.0,46033.0,46109.0,46161.0,46257.0,46308.0,46402.0
5098407,60000.0,60034.0,60076.0,60140.0,60183.0,60219.0,60257.0,60308.0,60335.0,60382.0,60423.0,60456.0,60487.0,60531.0,60589.0,60612.0,60655.0,60699.0,60743.0,60814.0,60887.0,60928.0,60973.0,61049.0,61083.0,61178.0,61201.0,61312.0,61474.0,61795.0,61998.0,62134.0,62187.0,62249.0,62291.0,62335.0,62457.0,62503.0,62539.0,62582.0,62634.0,62680.0,62753.0,62783.0,62817.0,62851.0,62883.0,62957.0,63008.0,63099.0,63144.0,63226.0
5098409,68400.0,68432.0,68472.0,68532.0,68571.0,68605.0,68641.0,68689.0,68714.0,68758.0,68797.0,68829.0,68859.0,68901.0,68956.0,68978.0,69020.0,69060.0,69100.0,69174.0,69251.0,69291.0,69335.0,69409.0,69444.0,69569.0,69591.0,69694.0,69841.0,70131.0,70329.0,70449.0,70500.0,70560.0,70600.0,70643.0,70762.0,70815.0,70856.0,70905.0,70955.0,70999.0,71082.0,71111.0,71143.0,71175.0,71211.0,71273.0,71316.0,71394.0,71438.0,71517.0
5098411,75600.0,75628.0,75663.0,75715.0,75749.0,75784.0,75820.0,75869.0,75895.0,75940.0,75979.0,76011.0,76041.0,76083.0,76139.0,76161.0,76204.0,76236.0,76267.0,76336.0,76407.0,76452.0,76502.0,76585.0,76623.0,76721.0,76742.0,76842.0,76986.0,77271.0,77373.0,77471.0,77512.0,77561.0,77594.0,77629.0,77724.0,77771.0,77807.0,77850.0,77897.0,77938.0,77989.0,78016.0,78046.0,78077.0,78104.0,78159.0,78196.0,78264.0,78309.0,78390.0
5098413,82800.0,82828.0,82863.0,82915.0,82949.0,82984.0,83020.0,83069.0,83095.0,83140.0,83179.0,83211.0,83241.0,83283.0,83339.0,83361.0,83404.0,83436.0,83467.0,83536.0,83607.0,83652.0,83702.0,83785.0,83823.0,83921.0,83942.0,84042.0,84186.0,84471.0,84573.0,84671.0,84712.0,84761.0,84794.0,84829.0,84924.0,84971.0,85007.0,85050.0,85097.0,85138.0,85189.0,85216.0,85246.0,85277.0,85304.0,85359.0,85396.0,85464.0,85509.0,85590.0
5098502,30600.0,30641.0,30692.0,30770.0,30821.0,30873.0,30927.0,31000.0,31038.0,31105.0,31163.0,31211.0,31256.0,31319.0,31403.0,31436.0,31500.0,31554.0,31608.0,31731.0,31858.0,31940.0,32031.0,32184.0,32254.0,32382.0,32401.0,32492.0,32658.0,32986.0,33114.0,33252.0,33307.0,33372.0,33415.0,33461.0,33588.0,33639.0,33679.0,33726.0,33774.0,33816.0,33889.0,33914.0,33942.0,33970.0,34005.0,34091.0,34150.0,34257.0,34296.0,34368.0
5098503,48000.0,48039.0,48087.0,48160.0,48209.0,48252.0,48297.0,48357.0,48388.0,48443.0,48491.0,48530.0,48567.0,48619.0,48688.0,48715.0,48766.0,48813.0,48860.0,48950.0,49042.0,49090.0,49143.0,49232.0,49274.0,49394.0,49418.0,49529.0,49703.0,50048.0,50276.0,50434.0,50500.0,50577.0,50629.0,50684.0,50836.0,50906.0,50960.0,51024.0,51082.0,51132.0,51212.0,51249.0,51290.0,51330.0,51373.0,51484.0,51560.0,51699.0,51745.0,51828.0
5098505,57600.0,57635.0,57678.0,57744.0,57787.0,57828.0,57871.0,57928.0,57958.0,58011.0,58057.0,58095.0,58130.0,58180.0,58246.0,58272.0,58320.0,58367.0,58413.0,58506.0,58601.0,58648.0,58700.0,58787.0,58826.0,58947.0,58969.0,59073.0,59244.0,59582.0,59775.0,59925.0,60001.0,60091.0,60151.0,60215.0,60391.0,60457.0,60508.0,60570.0,60628.0,60678.0,60760.0,60794.0,60832.0,60869.0,60909.0,61026.0,61106.0,61252.0,61297.0,61378.0
5098507,67200.0,67235.0,67278.0,67344.0,67387.0,67428.0,67471.0,67528.0,67558.0,67611.0,67657.0,67695.0,67730.0,67780.0,67846.0,67872.0,67920.0,67967.0,68013.0,68106.0,68201.0,68248.0,68300.0,68387.0,68426.0,68547.0,68569.0,68673.0,68844.0,69182.0,69375.0,69525.0,69601.0,69691.0,69751.0,69815.0,69991.0,70057.0,70108.0,70170.0,70228.0,70278.0,70360.0,70394.0,70432.0,70469.0,70509.0,70626.0,70706.0,70852.0,70897.0,70978.0
