tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5007585,40800.0,41136.0,41156.0,41215.0,41284.0,41324.0,41396.0,41473.0,41500.0,41552.0,41573.0,41604.0,41626.0,41643.0,41670.0,41719.0,41776.0,41820.0,41920.0,41939.0,42082.0,42105.0,42163.0,42211.0,42273.0,42315.0,42353.0,42398.0,42466.0,42502.0,42566.0,42636.0,42706.0,42741.0,42777.0,42813.0,42899.0,42962.0,43018.0,43064.0,43104.0,43143.0,43195.0,43223.0,43341.0,43573.0
5007587,47400.0,47690.0,47698.0,47736.0,47783.0,47828.0,47908.0,47994.0,48024.0,48082.0,48105.0,48140.0,48164.0,48184.0,48209.0,48254.0,48307.0,48352.0,48455.0,48475.0,48626.0,48650.0,48712.0,48753.0,48807.0,48844.0,48876.0,48914.0,48972.0,49006.0,49066.0,49133.0,49200.0,49233.0,49266.0,49300.0,49384.0,49444.0,49492.0,49531.0,49575.0,49619.0,49667.0,49693.0,49816.0,50058.0
5007589,54000.0,54244.0,54253.0,54297.0,54359.0,54399.0,54469.0,54545.0,54572.0,54623.0,54643.0,54674.0,54695.0,54711.0,54733.0,54773.0,54819.0,54872.0,54991.0,55014.0,55137.0,55157.0,55207.0,55244.0,55293.0,55326.0,55351.0,55380.0,55423.0,55450.0,55498.0,55561.0,55624.0,55654.0,55684.0,55714.0,55782.0,55831.0,55885.0,55930.0,55971.0,56011.0,56052.0,56074.0,56193.0,56428.0
5007591,60600.0,60844.0,60853.0,60897.0,60959.0,60999.0,61069.0,61145.0,61172.0,61223.0,61243.0,61274.0,61295.0,61311.0,61333.0,61373.0,61419.0,61472.0,61591.0,61614.0,61737.0,61757.0,61807.0,61844.0,61893.0,61926.0,61951.0,61980.0,62023.0,62050.0,62098.0,62161.0,62224.0,62254.0,62284.0,62314.0,62382.0,62431.0,62485.0,62530.0,62571.0,62611.0,62652.0,62674.0,62793.0,63028.0
5007593,67200.0,67459.0,67466.0,67503.0,67546.0,67583.0,67649.0,67720.0,67745.0,67793.0,67812.0,67841.0,67861.0,67878.0,67899.0,67938.0,67983.0,68033.0,68147.0,68169.0,68300.0,68321.0,68374.0,68412.0,68461.0,68495.0,68523.0,68556.0,68607.0,68641.0,68700.0,68765.0,68831.0,68861.0,68891.0,68921.0,69001.0,69058.0,69106.0,69145.0,69178.0,69210.0,69250.0,69272.0,69385.0,69607.0
5007619,36600.0,36883.0,36894.0,36942.0,36998.0,37041.0,37117.0,37198.0,37227.0,37282.0,37304.0,37337.0,37360.0,37376.0,37403.0,37453.0,37510.0,37574.0,37719.0,37747.0,37909.0,37935.0,38001.0,38043.0,38097.0,38134.0,38165.0,38202.0,38257.0,38288.0,38342.0,38420.0,38498.0,38535.0,38573.0,38611.0,38682.0,38733.0,38784.0,38827.0,38866.0,38905.0,38959.0,38988.0,39099.0,39317.0
5007621,43800.0,44127.0,44138.0,44179.0,44254.0,44301.0,44384.0,44473.0,44505.0,44566.0,44590.0,44626.0,44651.0,44670.0,44695.0,44740.0,44793.0,44861.0,45014.0,45043.0,45209.0,45236.0,45303.0,45343.0,45395.0,45431.0,45465.0,45505.0,45567.0,45599.0,45655.0,45712.0,45770.0,45805.0,45840.0,45875.0,45950.0,46004.0,46058.0,46103.0,46144.0,46184.0,46237.0,46265.0,46387.0,46627.0
5007623,51000.0,51327.0,51338.0,51379.0,51454.0,51501.0,51584.0,51673.0,51705.0,51766.0,51790.0,51826.0,51851.0,51870.0,51895.0,51940.0,51993.0,52061.0,52214.0,52243.0,52409.0,52436.0,52503.0,52543.0,52595.0,52631.0,52665.0,52705.0,52767.0,52799.0,52855.0,52912.0,52970.0,53005.0,53040.0,53075.0,53150.0,53204.0,53258.0,53303.0,53344.0,53384.0,53437.0,53465.0,53587.0,53827.0
5007625,58200.0,58516.0,58528.0,58581.0,58656.0,58708.0,58801.0,58901.0,58936.0,59004.0,59031.0,59071.0,59099.0,59119.0,59145.0,59192.0,59246.0,59310.0,59454.0,59482.0,59648.0,59675.0,59742.0,59781.0,59832.0,59867.0,59908.0,59956.0,60027.0,60057.0,60111.0,60167.0,60223.0,60259.0,60295.0,60332.0,60411.0,60468.0,60523.0,60569.0,60610.0,60651.0,60705.0,60734.0,60857.0,61099.0
5009245,24000.0,24231.0,24239.0,24292.0,24326.0,24362.0,24427.0,24497.0,24522.0,24569.0,24588.0,24616.0,24636.0,24650.0,24669.0,24704.0,24745.0,24781.0,24862.0,24877.0,24980.0,24997.0,25039.0,25066.0,25102.0,25126.0,25141.0,25159.0,25187.0,25224.0,25289.0,25342.0,25396.0,25422.0,25448.0,25475.0,25513.0,25540.0,25585.0,25622.0,25645.0,25668.0,25712.0,25736.0,25847.0,26066.0
