tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P
5017495,36900.0,37031.0,37092.0,37159.0,37243.0,37331.0,37357.0,37456.0,37487.0,37588.0,37636.0,37671.0,37732.0,37794.0,37836.0,37877.0,37919.0,37949.0,37972.0,38083.0,38199.0,38276.0,38308.0,38339.0,38362.0,38401.0,38450.0,38483.0,38511.0,38540.0,38573.0,38596.0,38642.0
5017497,42900.0,43031.0,43092.0,43159.0,43243.0,43331.0,43357.0,43456.0,43487.0,43588.0,43636.0,43671.0,43732.0,43794.0,43836.0,43877.0,43919.0,43949.0,43972.0,44083.0,44199.0,44276.0,44308.0,44339.0,44362.0,44401.0,44450.0,44483.0,44511.0,44540.0,44573.0,44596.0,44642.0
5017501,61800.0,61979.0,62042.0,62111.0,62207.0,62306.0,62340.0,62445.0,62480.0,62594.0,62653.0,62695.0,62758.0,62822.0,62865.0,62907.0,62951.0,62982.0,63005.0,63137.0,63274.0,63367.0,63399.0,63430.0,63453.0,63493.0,63542.0,63576.0,63605.0,63634.0,63668.0,63692.0,63737.0
5017503,68700.0,68815.0,68868.0,68926.0,69015.0,69108.0,69143.0,69232.0,69265.0,69369.0,69427.0,69468.0,69522.0,69577.0,69614.0,69650.0,69688.0,69714.0,69735.0,69819.0,69906.0,69975.0,70007.0,70038.0,70061.0,70101.0,70150.0,70184.0,70213.0,70242.0,70276.0,70300.0,70345.0
5018802,48000.0,48144.0,48208.0,48278.0,48364.0,48454.0,48485.0,48584.0,48616.0,48710.0,48761.0,48798.0,48860.0,48924.0,48967.0,49009.0,49052.0,49082.0,49105.0,49230.0,49361.0,49436.0,49468.0,49499.0,49522.0,49561.0,49610.0,49644.0,49672.0,49701.0,49735.0,49758.0,49804.0
5018806,60300.0,60479.0,60542.0,60611.0,60707.0,60806.0,60840.0,60945.0,60980.0,61094.0,61153.0,61195.0,61258.0,61322.0,61365.0,61407.0,61451.0,61482.0,61505.0,61637.0,61774.0,61867.0,61899.0,61930.0,61953.0,61993.0,62042.0,62076.0,62105.0,62134.0,62168.0,62192.0,62237.0
5018808,66300.0,66479.0,66542.0,66611.0,66707.0,66806.0,66840.0,66945.0,66980.0,67094.0,67153.0,67195.0,67258.0,67322.0,67365.0,67407.0,67451.0,67482.0,67505.0,67637.0,67774.0,67867.0,67899.0,67930.0,67953.0,67993.0,68042.0,68076.0,68105.0,68134.0,68168.0,68192.0,68237.0
5018809,75600.0,75706.0,75750.0,75799.0,75870.0,75944.0,75968.0,76062.0,76088.0,76174.0,76223.0,76258.0,76309.0,76361.0,76396.0,76430.0,76465.0,76490.0,76510.0,76572.0,76637.0,76712.0,76744.0,76775.0,76798.0,76837.0,76886.0,76920.0,76948.0,76977.0,77011.0,77034.0,77080.0
5018817,35100.0,35212.0,35272.0,35338.0,35435.0,35535.0,35572.0,35710.0,35748.0,35847.0,35897.0,35932.0,35994.0,36057.0,36099.0,36140.0,36183.0,36213.0,36237.0,36331.0,36429.0,36491.0,36522.0,36552.0,36574.0,36612.0,36660.0,36693.0,36721.0,36749.0,36782.0,36805.0,36849.0
5018819,41100.0,41231.0,41292.0,41359.0,41443.0,41531.0,41557.0,41656.0,41687.0,41788.0,41836.0,41871.0,41932.0,41994.0,42036.0,42077.0,42119.0,42149.0,42172.0,42283.0,42399.0,42476.0,42508.0,42539.0,42562.0,42601.0,42650.0,42683.0,42711.0,42740.0,42773.0,42796.0,42842.0
5018822,57300.0,57479.0,57542.0,57611.0,57707.0,57806.0,57840.0,57945.0,57980.0,58094.0,58153.0,58195.0,58258.0,58322.0,58365.0,58407.0,58451.0,58482.0,58505.0,58637.0,58774.0,58867.0,58899.0,58930.0,58953.0,58993.0,59042.0,59076.0,59105.0,59134.0,59168.0,59192.0,59237.0
5018829,81600.0,81706.0,81750.0,81799.0,81870.0,81944.0,81968.0,82062.0,82088.0,82174.0,82223.0,82258.0,82309.0,82361.0,82396.0,82430.0,82465.0,82490.0,82510.0,82572.0,82637.0,82712.0,82744.0,82775.0,82798.0,82837.0,82886.0,82920.0,82948.0,82977.0,83011.0,83034.0,83080.0
5084010,27900.0,27988.0,28053.0,28124.0,28220.0,28319.0,28341.0,28443.0,28477.0,28564.0,28615.0,28652.0,28704.0,28757.0,28792.0,28826.0,28862.0,28887.0,28906.0,28967.0,29031.0,29083.0,29113.0,29142.0,29163.0,29200.0,29246.0,29277.0,29303.0,29330.0,29361.0,29383.0,29425.0
5084016,49800.0,49938.0,49999.0,50067.0,50150.0,50236.0,50266.0,50361.0,50392.0,50482.0,50532.0,50567.0,50627.0,50688.0,50729.0,50769.0,50811.0,50840.0,50862.0,50982.0,51108.0,51180.0,51211.0,51241.0,51263.0,51301.0,51348.0,51380.0,51407.0,51435.0,51467.0,51490.0,51534.0
5084018,56100.0,56272.0,56332.0,56399.0,56491.0,56587.0,56620.0,56721.0,56755.0,56865.0,56922.0,56962.0,57023.0,57085.0,57126.0,57166.0,57208.0,57238.0,57260.0,57387.0,57519.0,57608.0,57639.0,57669.0,57691.0,57729.0,57777.0,57809.0,57836.0,57864.0,57896.0,57919.0,57964.0
5084314,25500.0,25588.0,25653.0,25724.0,25820.0,25919.0,25941.0,26043.0,26077.0,26164.0,26215.0,26252.0,26304.0,26357.0,26392.0,26426.0,26462.0,26487.0,26506.0,26567.0,26631.0,26683.0,26713.0,26742.0,26763.0,26800.0,26846.0,26877.0,26903.0,26930.0,26961.0,26983.0,27025.0
5084320,54900.0,55072.0,55132.0,55199.0,55291.0,55387.0,55420.0,55521.0,55555.0,55665.0,55722.0,55762.0,55823.0,55885.0,55926.0,55966.0,56008.0,56038.0,56060.0,56187.0,56319.0,56408.0,56439.0,56469.0,56491.0,56529.0,56577.0,56609.0,56636.0,56664.0,56696.0,56719.0,56764.0
5084326,72600.0,72711.0,72762.0,72818.0,72904.0,72993.0,73027.0,73113.0,73145.0,73245.0,73300.0,73340.0,73392.0,73445.0,73481.0,73516.0,73552.0,73577.0,73597.0,73677.0,73761.0,73827.0,73858.0,73888.0,73910.0,73948.0,73996.0,74028.0,74055.0,74083.0,74115.0,74138.0,74183.0
5084328,78600.0,78702.0,78744.0,78791.0,78859.0,78930.0,78953.0,79043.0,79068.0,79151.0,79198.0,79232.0,79281.0,79331.0,79365.0,79398.0,79432.0,79456.0,79474.0,79534.0,79596.0,79668.0,79699.0,79729.0,79751.0,79789.0,79836.0,79868.0,79895.0,79923.0,79955.0,79978.0,80022.0
5086645,35100.0,35208.0,35266.0,35329.0,35422.0,35518.0,35554.0,35687.0,35724.0,35819.0,35867.0,35901.0,35961.0,36022.0,36063.0,36103.0,36144.0,36173.0,36194.0,36284.0,36379.0,36439.0,36469.0,36498.0,36519.0,36556.0,36602.0,36633.0,36660.0,36687.0,36718.0,36740.0,36783.0
5086647,41100.0,41226.0,41284.0,41349.0,41430.0,41514.0,41539.0,41634.0,41664.0,41761.0,41808.0,41841.0,41900.0,41960.0,42000.0,42039.0,42080.0,42109.0,42130.0,42237.0,42348.0,42422.0,42453.0,42483.0,42505.0,42543.0,42590.0,42622.0,42649.0,42677.0,42709.0,42731.0,42774.0
5086650,57300.0,57472.0,57532.0,57599.0,57691.0,57787.0,57820.0,57921.0,57955.0,58065.0,58122.0,58162.0,58223.0,58285.0,58326.0,58366.0,58408.0,58438.0,58460.0,58587.0,58719.0,58808.0,58839.0,58869.0,58891.0,58929.0,58977.0,59009.0,59036.0,59064.0,59096.0,59119.0,59164.0
5086657,81600.0,81702.0,81744.0,81791.0,81859.0,81930.0,81953.0,82043.0,82068.0,82151.0,82198.0,82232.0,82281.0,82331.0,82365.0,82398.0,82432.0,82456.0,82474.0,82534.0,82596.0,82668.0,82699.0,82729.0,82751.0,82789.0,82836.0,82868.0,82895.0,82923.0,82955.0,82978.0,83022.0
5089560,33300.0,33408.0,33466.0,33529.0,33622.0,33718.0,33754.0,33887.0,33924.0,34019.0,34067.0,34101.0,34161.0,34222.0,34263.0,34303.0,34344.0,34373.0,34394.0,34484.0,34579.0,34639.0,34669.0,34698.0,34719.0,34756.0,34802.0,34833.0,34860.0,34887.0,34918.0,34940.0,34983.0
5089564,46200.0,46338.0,46399.0,46467.0,46550.0,46636.0,46666.0,46761.0,46792.0,46882.0,46932.0,46967.0,47027.0,47088.0,47129.0,47169.0,47211.0,47240.0,47262.0,47382.0,47508.0,47580.0,47611.0,47641.0,47663.0,47701.0,47748.0,47780.0,47807.0,47835.0,47867.0,47890.0,47934.0
5089570,64200.0,64372.0,64432.0,64499.0,64591.0,64687.0,64720.0,64821.0,64855.0,64965.0,65022.0,65062.0,65123.0,65185.0,65226.0,65266.0,65308.0,65338.0,65360.0,65487.0,65619.0,65708.0,65739.0,65769.0,65791.0,65829.0,65877.0,65909.0,65936.0,65964.0,65996.0,66019.0,66064.0
5091168,29700.0,29808.0,29866.0,29929.0,30022.0,30118.0,30154.0,30287.0,30324.0,30419.0,30467.0,30501.0,30561.0,30622.0,30663.0,30703.0,30744.0,30773.0,30794.0,30884.0,30979.0,31039.0,31069.0,31098.0,31119.0,31156.0,31202.0,31233.0,31260.0,31287.0,31318.0,31340.0,31383.0
5091170,39300.0,39426.0,39484.0,39549.0,39630.0,39714.0,39739.0,39834.0,39864.0,39961.0,40008.0,40041.0,40100.0,40160.0,40200.0,40239.0,40280.0,40309.0,40330.0,40437.0,40548.0,40622.0,40653.0,40683.0,40705.0,40743.0,40790.0,40822.0,40849.0,40877.0,40909.0,40931.0,40974.0
5091174,51600.0,51738.0,51799.0,51867.0,51950.0,52036.0,52066.0,52161.0,52192.0,52282.0,52332.0,52367.0,52427.0,52488.0,52529.0,52569.0,52611.0,52640.0,52662.0,52782.0,52908.0,52980.0,53011.0,53041.0,53063.0,53101.0,53148.0,53180.0,53207.0,53235.0,53267.0,53290.0,53334.0
5091175,58800.0,58972.0,59032.0,59099.0,59191.0,59287.0,59320.0,59421.0,59455.0,59565.0,59622.0,59662.0,59723.0,59785.0,59826.0,59866.0,59908.0,59938.0,59960.0,60087.0,60219.0,60308.0,60339.0,60369.0,60391.0,60429.0,60477.0,60509.0,60536.0,60564.0,60596.0,60619.0,60664.0
5091177,64800.0,64972.0,65032.0,65099.0,65191.0,65287.0,65320.0,65421.0,65455.0,65565.0,65622.0,65662.0,65723.0,65785.0,65826.0,65866.0,65908.0,65938.0,65960.0,66087.0,66219.0,66308.0,66339.0,66369.0,66391.0,66429.0,66477.0,66509.0,66536.0,66564.0,66596.0,66619.0,66664.0
5091179,70500.0,70611.0,70662.0,70718.0,70804.0,70893.0,70927.0,71013.0,71045.0,71145.0,71200.0,71240.0,71292.0,71345.0,71381.0,71416.0,71452.0,71477.0,71497.0,71577.0,71661.0,71727.0,71758.0,71788.0,71810.0,71848.0,71896.0,71928.0,71955.0,71983.0,72015.0,72038.0,72083.0
5092780,31500.0,31608.0,31666.0,31729.0,31822.0,31918.0,31954.0,32087.0,32124.0,32219.0,32267.0,32301.0,32361.0,32422.0,32463.0,32503.0,32544.0,32573.0,32594.0,32684.0,32779.0,32839.0,32869.0,32898.0,32919.0,32956.0,33002.0,33033.0,33060.0,33087.0,33118.0,33140.0,33183.0
5092782,36900.0,37026.0,37084.0,37149.0,37230.0,37314.0,37339.0,37434.0,37464.0,37561.0,37608.0,37641.0,37700.0,37760.0,37800.0,37839.0,37880.0,37909.0,37930.0,38037.0,38148.0,38222.0,38253.0,38283.0,38305.0,38343.0,38390.0,38422.0,38449.0,38477.0,38509.0,38531.0,38574.0
5092784,42900.0,43026.0,43084.0,43149.0,43230.0,43314.0,43339.0,43434.0,43464.0,43561.0,43608.0,43641.0,43700.0,43760.0,43800.0,43839.0,43880.0,43909.0,43930.0,44037.0,44148.0,44222.0,44253.0,44283.0,44305.0,44343.0,44390.0,44422.0,44449.0,44477.0,44509.0,44531.0,44574.0
5092788,61800.0,61972.0,62032.0,62099.0,62191.0,62287.0,62320.0,62421.0,62455.0,62565.0,62622.0,62662.0,62723.0,62785.0,62826.0,62866.0,62908.0,62938.0,62960.0,63087.0,63219.0,63308.0,63339.0,63369.0,63391.0,63429.0,63477.0,63509.0,63536.0,63564.0,63596.0,63619.0,63664.0
5092790,68700.0,68811.0,68862.0,68918.0,69004.0,69093.0,69127.0,69213.0,69245.0,69345.0,69400.0,69440.0,69492.0,69545.0,69581.0,69616.0,69652.0,69677.0,69697.0,69777.0,69861.0,69927.0,69958.0,69988.0,70010.0,70048.0,70096.0,70128.0,70155.0,70183.0,70215.0,70238.0,70283.0
5093754,58500.0,58626.0,58655.0,58687.0,58768.0,58853.0,58901.0,59003.0,59019.0,59082.0,59125.0,59155.0,59213.0,59272.0,59312.0,59351.0,59391.0,59419.0,59440.0,59525.0,59614.0,59676.0,59707.0,59737.0,59759.0,59797.0,59845.0,59877.0,59904.0,59932.0,59964.0,59987.0,60032.0
