tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
5012347,48600.0,48609.0,48678.0,48716.0,48772.0,48818.0,48899.0,49131.0,49237.0,49335.0,49474.0,49593.0,49625.0,49657.0,49690.0,49731.0,49788.0,49840.0,49886.0,49940.0,49979.0,50035.0,50073.0,50108.0,50166.0,50207.0,50255.0,50302.0,50356.0,50396.0,50444.0,50484.0,50506.0,50534.0,50586.0,50604.0,50647.0,50675.0,50695.0,50734.0
5012349,54600.0,54608.0,54671.0,54706.0,54757.0,54799.0,54872.0,55157.0,55288.0,55378.0,55506.0,55616.0,55656.0,55696.0,55731.0,55775.0,55835.0,55891.0,55931.0,55977.0,56015.0,56070.0,56107.0,56141.0,56200.0,56244.0,56295.0,56346.0,56404.0,56445.0,56490.0,56530.0,56552.0,56580.0,56632.0,56650.0,56688.0,56711.0,56728.0,56760.0
5012353,66600.0,66610.0,66688.0,66731.0,66794.0,66846.0,66940.0,67130.0,67217.0,67302.0,67472.0,67619.0,67647.0,67676.0,67705.0,67741.0,67791.0,67838.0,67895.0,67961.0,67997.0,68049.0,68084.0,68116.0,68170.0,68206.0,68248.0,68290.0,68337.0,68371.0,68417.0,68448.0,68465.0,68487.0,68527.0,68540.0,68562.0,68591.0,68611.0,68660.0
5012443,28800.0,28811.0,28898.0,28946.0,29016.0,29074.0,29177.0,29511.0,29664.0,29743.0,29922.0,30076.0,30123.0,30171.0,30201.0,30238.0,30289.0,30337.0,30380.0,30429.0,30463.0,30512.0,30545.0,30576.0,30627.0,30675.0,30731.0,30786.0,30849.0,30895.0,30942.0,30978.0,30998.0,31023.0,31070.0,31086.0,31137.0,31161.0,31179.0,31225.0
5012445,36600.0,36608.0,36671.0,36706.0,36757.0,36799.0,36876.0,37151.0,37277.0,37364.0,37516.0,37646.0,37683.0,37721.0,37756.0,37800.0,37861.0,37918.0,37955.0,37997.0,38029.0,38075.0,38106.0,38135.0,38182.0,38226.0,38277.0,38327.0,38385.0,38426.0,38472.0,38507.0,38527.0,38552.0,38598.0,38613.0,38653.0,38679.0,38697.0,38737.0
5012447,43800.0,43808.0,43873.0,43909.0,43961.0,44004.0,44081.0,44327.0,44440.0,44538.0,44683.0,44807.0,44856.0,44905.0,44944.0,44993.0,45061.0,45124.0,45168.0,45218.0,45264.0,45330.0,45374.0,45415.0,45485.0,45537.0,45597.0,45657.0,45726.0,45776.0,45829.0,45873.0,45898.0,45929.0,45986.0,46005.0,46059.0,46092.0,46116.0,46159.0
5012449,51000.0,51008.0,51073.0,51109.0,51161.0,51204.0,51281.0,51527.0,51640.0,51738.0,51883.0,52007.0,52056.0,52105.0,52144.0,52193.0,52261.0,52324.0,52368.0,52418.0,52464.0,52530.0,52574.0,52615.0,52685.0,52737.0,52797.0,52857.0,52926.0,52976.0,53029.0,53073.0,53098.0,53129.0,53186.0,53205.0,53259.0,53292.0,53316.0,53359.0
5012451,58200.0,58210.0,58292.0,58337.0,58403.0,58457.0,58556.0,58866.0,59008.0,59109.0,59276.0,59419.0,59491.0,59565.0,59610.0,59666.0,59743.0,59814.0,59867.0,59929.0,59988.0,60073.0,60130.0,60183.0,60272.0,60328.0,60392.0,60456.0,60529.0,60583.0,60647.0,60700.0,60730.0,60768.0,60838.0,60861.0,60925.0,60965.0,60993.0,61040.0
5012453,65700.0,65713.0,65815.0,65871.0,65953.0,66021.0,66142.0,66502.0,66667.0,66774.0,66972.0,67143.0,67220.0,67298.0,67342.0,67396.0,67471.0,67541.0,67592.0,67650.0,67695.0,67760.0,67804.0,67845.0,67913.0,67966.0,68027.0,68088.0,68157.0,68206.0,68268.0,68319.0,68347.0,68383.0,68449.0,68472.0,68525.0,68560.0,68585.0,68631.0
5012525,35400.0,35412.0,35504.0,35555.0,35630.0,35691.0,35802.0,36113.0,36256.0,36333.0,36493.0,36631.0,36669.0,36707.0,36735.0,36769.0,36817.0,36861.0,36897.0,36938.0,36967.0,37009.0,37037.0,37063.0,37107.0,37148.0,37195.0,37242.0,37296.0,37336.0,37378.0,37414.0,37434.0,37460.0,37507.0,37524.0,37557.0,37580.0,37596.0,37636.0
