tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P
5011964,59400.0,59526.0,59593.0,59650.0,59706.0,59742.0,59785.0,59801.0,59829.0,59852.0,59938.0,59967.0,60001.0,60054.0,60093.0,60151.0,60194.0,60266.0,60286.0,60339.0,60430.0,60476.0,60543.0,60614.0,60722.0,60759.0,60820.0,60861.0,60889.0,60925.0,60979.0,61050.0,61086.0,61183.0,61258.0,61333.0,61374.0,61446.0,61478.0,61503.0,61538.0,61578.0,61633.0,61723.0,61756.0,61811.0,61844.0,61893.0,61932.0,61998.0,62050.0,62168.0,62281.0,62354.0,62418.0,62480.0,62542.0,62593.0,62675.0,62778.0,62944.0,63078.0,63531.0,63603.0,63871.0
5012167,33300.0,33418.0,33481.0,33595.0,33708.0,33750.0,33800.0,33819.0,33852.0,33880.0,33958.0,33984.0,34013.0,34058.0,34092.0,34142.0,34180.0,34252.0,34273.0,34327.0,34416.0,34460.0,34525.0,34585.0,34677.0,34705.0,34753.0,34786.0,34809.0,34838.0,34871.0,34915.0,34938.0,35002.0,35052.0,35101.0,35126.0,35171.0,35191.0,35216.0,35240.0,35268.0,35298.0,35347.0,35365.0,35395.0,35420.0,35457.0,35486.0,35537.0,35577.0,35668.0,35780.0,35840.0,35873.0,35905.0,35938.0,35964.0,36008.0,36133.0,36223.0,36296.0,36543.0,36611.0,36863.0
5013137,32400.0,32536.0,32608.0,32693.0,32778.0,32845.0,32925.0,32955.0,33008.0,33052.0,33168.0,33207.0,33250.0,33316.0,33366.0,33439.0,33494.0,33627.0,33668.0,33776.0,33893.0,33952.0,34037.0,34096.0,34186.0,34220.0,34277.0,34306.0,34326.0,34352.0,34432.0,34539.0,34578.0,34686.0,34770.0,34853.0,34877.0,34919.0,34938.0,34963.0,34998.0,35037.0,35075.0,35139.0,35176.0,35237.0,35264.0,35304.0,35335.0,35388.0,35430.0,35525.0,35608.0,35654.0,35708.0,35760.0,35812.0,35855.0,35925.0,35998.0,36128.0,36233.0,36587.0,36660.0,36932.0
5013139,43200.0,43325.0,43392.0,43461.0,43530.0,43583.0,43647.0,43671.0,43713.0,43748.0,43836.0,43865.0,43904.0,43964.0,44009.0,44075.0,44124.0,44204.0,44226.0,44284.0,44419.0,44487.0,44586.0,44667.0,44791.0,44831.0,44897.0,44937.0,44965.0,45001.0,45070.0,45163.0,45203.0,45312.0,45396.0,45480.0,45518.0,45585.0,45615.0,45640.0,45672.0,45709.0,45746.0,45808.0,45846.0,45908.0,45939.0,45985.0,46021.0,46083.0,46125.0,46220.0,46321.0,46385.0,46443.0,46499.0,46556.0,46602.0,46678.0,46775.0,46913.0,47025.0,47403.0,47474.0,47735.0
5013141,54000.0,54142.0,54217.0,54289.0,54360.0,54415.0,54481.0,54505.0,54548.0,54585.0,54688.0,54722.0,54757.0,54811.0,54851.0,54910.0,54955.0,55025.0,55046.0,55101.0,55221.0,55281.0,55368.0,55445.0,55563.0,55600.0,55662.0,55698.0,55723.0,55754.0,55817.0,55900.0,55936.0,56035.0,56112.0,56188.0,56220.0,56276.0,56300.0,56333.0,56364.0,56398.0,56437.0,56503.0,56532.0,56581.0,56607.0,56646.0,56677.0,56730.0,56766.0,56846.0,56950.0,57014.0,57070.0,57124.0,57179.0,57224.0,57297.0,57369.0,57498.0,57602.0,57953.0,58030.0,58316.0
5013280,31500.0,31618.0,31681.0,31795.0,31908.0,31950.0,32000.0,32019.0,32052.0,32080.0,32158.0,32184.0,32213.0,32258.0,32292.0,32342.0,32380.0,32452.0,32473.0,32527.0,32616.0,32660.0,32725.0,32785.0,32877.0,32905.0,32953.0,32986.0,33009.0,33038.0,33071.0,33115.0,33138.0,33202.0,33252.0,33301.0,33326.0,33371.0,33391.0,33416.0,33440.0,33468.0,33498.0,33547.0,33565.0,33595.0,33620.0,33657.0,33686.0,33737.0,33777.0,33868.0,33980.0,34040.0,34073.0,34105.0,34138.0,34164.0,34208.0,34333.0,34423.0,34496.0,34743.0,34811.0,35063.0
5013553,24300.0,24414.0,24475.0,24527.0,24578.0,24608.0,24644.0,24657.0,24680.0,24700.0,24768.0,24791.0,24815.0,24851.0,24878.0,24918.0,24948.0,25016.0,25033.0,25078.0,25150.0,25186.0,25239.0,25286.0,25359.0,25388.0,25436.0,25474.0,25500.0,25533.0,25619.0,25733.0,25757.0,25822.0,25872.0,25921.0,25953.0,26009.0,26033.0,26068.0,26098.0,26131.0,26163.0,26215.0,26253.0,26316.0,26341.0,26378.0,26407.0,26458.0,26509.0,26623.0,26660.0,26678.0,26717.0,26755.0,26793.0,26824.0,26876.0,27001.0,27120.0,27216.0,27540.0,27619.0,27910.0
5013557,42300.0,42407.0,42464.0,42529.0,42594.0,42648.0,42712.0,42736.0,42778.0,42815.0,42925.0,42962.0,42999.0,43056.0,43099.0,43162.0,43210.0,43284.0,43307.0,43367.0,43467.0,43517.0,43591.0,43665.0,43779.0,43816.0,43877.0,43917.0,43944.0,43979.0,44029.0,44096.0,44135.0,44240.0,44322.0,44403.0,44437.0,44497.0,44523.0,44545.0,44577.0,44613.0,44654.0,44722.0,44749.0,44794.0,44823.0,44865.0,44898.0,44955.0,44996.0,45087.0,45165.0,45223.0,45269.0,45313.0,45358.0,45394.0,45453.0,45530.0,45657.0,45760.0,46105.0,46176.0,46438.0
5013559,53100.0,53214.0,53275.0,53337.0,53399.0,53440.0,53489.0,53507.0,53539.0,53566.0,53661.0,53693.0,53716.0,53751.0,53777.0,53816.0,53846.0,53919.0,53941.0,53997.0,54109.0,54165.0,54247.0,54297.0,54374.0,54411.0,54473.0,54511.0,54537.0,54570.0,54642.0,54738.0,54772.0,54864.0,54936.0,55007.0,55032.0,55076.0,55096.0,55122.0,55153.0,55187.0,55213.0,55255.0,55292.0,55353.0,55375.0,55408.0,55434.0,55478.0,55513.0,55592.0,55656.0,55731.0,55776.0,55819.0,55862.0,55897.0,55955.0,56029.0,56144.0,56237.0,56549.0,56617.0,56868.0
5013773,27900.0,28016.0,28078.0,28116.0,28153.0,28187.0,28228.0,28243.0,28270.0,28293.0,28371.0,28397.0,28418.0,28451.0,28476.0,28512.0,28539.0,28599.0,28609.0,28635.0,28694.0,28724.0,28767.0,28807.0,28869.0,28892.0,28930.0,28955.0,28972.0,28993.0,29035.0,29090.0,29123.0,29213.0,29283.0,29351.0,29381.0,29433.0,29456.0,29477.0,29495.0,29516.0,29547.0,29598.0,29620.0,29656.0,29677.0,29708.0,29732.0,29773.0,29818.0,29920.0,30019.0,30053.0,30096.0,30137.0,30179.0,30213.0,30269.0,30344.0,30453.0,30541.0,30838.0,30890.0,31081.0
