tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
5004701,28800.0,28854.0,28898.0,28956.0,29032.0,29077.0,29152.0,29197.0,29252.0,29322.0,29371.0,29419.0,29476.0,29554.0,29648.0,29723.0,29831.0,29932.0,29987.0,30100.0,30310.0,30612.0,30744.0,30861.0,30937.0,31009.0,31074.0,31128.0,31207.0,31282.0,31329.0,31366.0,31507.0,31569.0,31648.0,31698.0,31741.0,31809.0,31866.0,31932.0,31989.0,32023.0,32088.0,32126.0,32172.0,32224.0,32282.0,32326.0,32383.0,32414.0,32451.0,32467.0,32497.0,32525.0,32557.0,32595.0,32635.0,32685.0,32722.0,32791.0,32837.0
5004703,41400.0,41446.0,41484.0,41533.0,41598.0,41635.0,41693.0,41728.0,41770.0,41840.0,41889.0,41937.0,41993.0,42066.0,42154.0,42220.0,42315.0,42448.0,42520.0,42651.0,42896.0,43219.0,43361.0,43447.0,43504.0,43570.0,43630.0,43678.0,43758.0,43834.0,43882.0,43919.0,43993.0,44026.0,44080.0,44114.0,44143.0,44197.0,44242.0,44312.0,44372.0,44400.0,44455.0,44491.0,44530.0,44574.0,44623.0,44649.0,44682.0,44708.0,44739.0,44753.0,44783.0,44811.0,44843.0,44881.0,44921.0,44971.0,45008.0,45077.0,45123.0
5004705,52200.0,52246.0,52284.0,52334.0,52400.0,52438.0,52496.0,52531.0,52573.0,52628.0,52666.0,52704.0,52749.0,52809.0,52881.0,52932.0,53006.0,53104.0,53158.0,53271.0,53506.0,53821.0,53959.0,54051.0,54111.0,54175.0,54234.0,54279.0,54354.0,54425.0,54470.0,54505.0,54606.0,54651.0,54709.0,54746.0,54778.0,54837.0,54887.0,54967.0,55035.0,55070.0,55139.0,55176.0,55240.0,55312.0,55394.0,55430.0,55477.0,55507.0,55542.0,55558.0,55588.0,55616.0,55648.0,55686.0,55726.0,55776.0,55813.0,55882.0,55928.0
5004707,64200.0,64246.0,64284.0,64333.0,64398.0,64435.0,64491.0,64525.0,64566.0,64625.0,64666.0,64707.0,64755.0,64813.0,64883.0,64938.0,65016.0,65115.0,65169.0,65294.0,65531.0,65892.0,66050.0,66145.0,66207.0,66288.0,66361.0,66415.0,66524.0,66627.0,66692.0,66743.0,66875.0,66934.0,66995.0,67033.0,67067.0,67137.0,67195.0,67310.0,67409.0,67445.0,67515.0,67561.0,67623.0,67693.0,67773.0,67811.0,67861.0,67892.0,67929.0,67946.0,67976.0,68004.0,68036.0,68074.0,68114.0,68164.0,68201.0,68270.0,68316.0
5004709,75600.0,75630.0,75655.0,75687.0,75730.0,75755.0,75798.0,75824.0,75856.0,75927.0,75976.0,76024.0,76081.0,76145.0,76221.0,76257.0,76309.0,76379.0,76417.0,76500.0,76777.0,77004.0,77103.0,77171.0,77216.0,77277.0,77332.0,77371.0,77423.0,77473.0,77505.0,77529.0,77580.0,77603.0,77647.0,77675.0,77699.0,77731.0,77757.0,77816.0,77867.0,77892.0,77941.0,77968.0,77998.0,78033.0,78072.0,78100.0,78136.0,78160.0,78188.0,78201.0,78230.0,78256.0,78287.0,78323.0,78361.0,78408.0,78443.0,78509.0,78553.0
5004927,24000.0,24054.0,24098.0,24156.0,24232.0,24277.0,24352.0,24397.0,24452.0,24522.0,24571.0,24619.0,24676.0,24754.0,24848.0,24923.0,25031.0,25132.0,25187.0,25300.0,25510.0,25812.0,25944.0,26061.0,26137.0,26209.0,26274.0,26328.0,26407.0,26482.0,26529.0,26566.0,26707.0,26769.0,26848.0,26898.0,26941.0,27009.0,27066.0,27132.0,27189.0,27223.0,27288.0,27326.0,27372.0,27424.0,27482.0,27526.0,27583.0,27614.0,27651.0,27667.0,27697.0,27725.0,27757.0,27795.0,27835.0,27885.0,27922.0,27991.0,28037.0
5004930,55800.0,55846.0,55884.0,55933.0,55998.0,56035.0,56091.0,56125.0,56166.0,56225.0,56266.0,56307.0,56355.0,56413.0,56483.0,56538.0,56616.0,56715.0,56769.0,56894.0,57131.0,57492.0,57650.0,57745.0,57807.0,57888.0,57961.0,58015.0,58124.0,58227.0,58292.0,58343.0,58475.0,58534.0,58595.0,58633.0,58667.0,58737.0,58795.0,58910.0,59009.0,59045.0,59115.0,59161.0,59223.0,59293.0,59373.0,59411.0,59461.0,59492.0,59529.0,59546.0,59576.0,59604.0,59636.0,59674.0,59714.0,59764.0,59801.0,59870.0,59916.0
5004932,69000.0,69039.0,69072.0,69114.0,69170.0,69203.0,69255.0,69287.0,69325.0,69431.0,69504.0,69576.0,69661.0,69723.0,69796.0,69846.0,69917.0,69999.0,70043.0,70180.0,70383.0,70648.0,70764.0,70849.0,70904.0,70974.0,71038.0,71082.0,71157.0,71228.0,71273.0,71309.0,71385.0,71418.0,71469.0,71501.0,71530.0,71579.0,71619.0,71699.0,71768.0,71796.0,71850.0,71886.0,71923.0,71965.0,72011.0,72042.0,72081.0,72108.0,72140.0,72155.0,72185.0,72213.0,72245.0,72283.0,72323.0,72373.0,72410.0,72479.0,72525.0
5004934,81000.0,81030.0,81055.0,81087.0,81130.0,81155.0,81198.0,81224.0,81256.0,81327.0,81376.0,81424.0,81481.0,81545.0,81621.0,81657.0,81709.0,81779.0,81817.0,81900.0,82177.0,82404.0,82503.0,82571.0,82616.0,82677.0,82732.0,82771.0,82823.0,82873.0,82905.0,82929.0,82980.0,83003.0,83047.0,83075.0,83099.0,83131.0,83157.0,83216.0,83267.0,83292.0,83341.0,83368.0,83398.0,83433.0,83472.0,83500.0,83536.0,83560.0,83588.0,83601.0,83630.0,83656.0,83687.0,83723.0,83761.0,83808.0,83843.0,83909.0,83953.0
5005145,27900.0,27954.0,27998.0,28056.0,28132.0,28177.0,28252.0,28297.0,28352.0,28422.0,28471.0,28519.0,28576.0,28654.0,28748.0,28823.0,28931.0,29032.0,29087.0,29200.0,29410.0,29712.0,29844.0,29961.0,30037.0,30109.0,30174.0,30228.0,30307.0,30382.0,30429.0,30466.0,30607.0,30669.0,30748.0,30798.0,30841.0,30909.0,30966.0,31032.0,31089.0,31123.0,31188.0,31226.0,31272.0,31324.0,31382.0,31426.0,31483.0,31514.0,31551.0,31567.0,31597.0,31625.0,31657.0,31695.0,31735.0,31785.0,31822.0,31891.0,31937.0
