tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5097938,39600.0,39720.0,39765.0,39840.0,39933.0,40070.0,40080.0,40171.0,40242.0,40270.0,40380.0,40560.0,40607.0,40658.0,40745.0,40800.0,40833.0,40920.0,40962.0,41000.0,41030.0,41051.0,41100.0,41160.0,41184.0,41220.0,41280.0,41337.0,41400.0,41474.0,41520.0,41580.0,41640.0,41674.0,41700.0,41741.0,41807.0,41838.0,41880.0,41940.0,41970.0,42030.0,42060.0,42110.0,42133.0,42158.0,42208.0,42240.0,42282.0,42323.0,42381.0,42437.0,42480.0,42612.0,42641.0,42683.0,42737.0,42772.0,42840.0
5097942,55800.0,55920.0,55965.0,56040.0,56133.0,56270.0,56280.0,56426.0,56540.0,56585.0,56760.0,57060.0,57130.0,57207.0,57337.0,57420.0,57453.0,57540.0,57596.0,57647.0,57687.0,57715.0,57780.0,57840.0,57887.0,57960.0,58020.0,58077.0,58140.0,58214.0,58260.0,58320.0,58380.0,58414.0,58440.0,58494.0,58582.0,58623.0,58680.0,58740.0,58770.0,58830.0,58860.0,58910.0,58933.0,58958.0,59008.0,59040.0,59093.0,59145.0,59217.0,59287.0,59340.0,59494.0,59527.0,59576.0,59639.0,59680.0,59760.0
5097946,73800.0,73920.0,73942.0,73980.0,74050.0,74153.0,74160.0,74251.0,74322.0,74350.0,74460.0,74580.0,74627.0,74678.0,74765.0,74820.0,74853.0,74940.0,74968.0,74994.0,75014.0,75028.0,75060.0,75120.0,75144.0,75180.0,75240.0,75268.0,75300.0,75337.0,75360.0,75420.0,75480.0,75514.0,75540.0,75581.0,75647.0,75678.0,75720.0,75780.0,75810.0,75870.0,75900.0,75950.0,75973.0,75998.0,76048.0,76080.0,76122.0,76163.0,76221.0,76277.0,76320.0,76452.0,76481.0,76523.0,76577.0,76612.0,76680.0
5098264,23700.0,23703.0,23722.0,23755.0,23815.0,23903.0,23909.0,24050.0,24161.0,24205.0,24373.0,24444.0,24499.0,24559.0,24661.0,24725.0,24749.0,24812.0,24852.0,24888.0,24916.0,24936.0,24982.0,25020.0,25048.0,25092.0,25151.0,25186.0,25224.0,25265.0,25290.0,25314.0,25359.0,25391.0,25415.0,25449.0,25505.0,25531.0,25567.0,25621.0,25644.0,25690.0,25713.0,25749.0,25766.0,25784.0,25820.0,25843.0,25881.0,25918.0,25969.0,26018.0,26056.0,26175.0,26201.0,26239.0,26288.0,26320.0,26381.0
5098266,34500.0,34503.0,34532.0,34582.0,34703.0,34882.0,34895.0,35068.0,35204.0,35258.0,35464.0,35582.0,35632.0,35687.0,35780.0,35838.0,35869.0,35951.0,35988.0,36021.0,36047.0,36065.0,36108.0,36145.0,36172.0,36214.0,36287.0,36329.0,36376.0,36420.0,36447.0,36482.0,36520.0,36550.0,36574.0,36611.0,36671.0,36699.0,36737.0,36791.0,36815.0,36863.0,36887.0,36928.0,36947.0,36968.0,37010.0,37037.0,37073.0,37108.0,37157.0,37204.0,37241.0,37363.0,37389.0,37428.0,37478.0,37511.0,37573.0
5098268,44100.0,44104.0,44151.0,44231.0,44350.0,44526.0,44538.0,44715.0,44854.0,44909.0,45121.0,45261.0,45329.0,45404.0,45530.0,45610.0,45653.0,45768.0,45810.0,45849.0,45879.0,45900.0,45949.0,45994.0,46028.0,46080.0,46275.0,46349.0,46432.0,46505.0,46550.0,46589.0,46637.0,46674.0,46703.0,46763.0,46860.0,46906.0,46968.0,47028.0,47058.0,47118.0,47149.0,47216.0,47247.0,47280.0,47348.0,47393.0,47440.0,47485.0,47549.0,47610.0,47656.0,47784.0,47812.0,47853.0,47905.0,47939.0,48006.0
5098270,54900.0,55080.0,55125.0,55200.0,55339.0,55545.0,55560.0,55724.0,55853.0,55904.0,56100.0,56400.0,56482.0,56572.0,56724.0,56820.0,56869.0,57000.0,57070.0,57134.0,57184.0,57219.0,57300.0,57360.0,57407.0,57480.0,57660.0,57745.0,57840.0,57914.0,57960.0,58020.0,58080.0,58114.0,58140.0,58221.0,58353.0,58415.0,58500.0,58620.0,58665.0,58755.0,58800.0,58866.0,58897.0,58930.0,58997.0,59040.0,59093.0,59145.0,59217.0,59287.0,59340.0,59494.0,59527.0,59576.0,59639.0,59680.0,59760.0
5098272,65700.0,65704.0,65737.0,65792.0,65886.0,66024.0,66034.0,66249.0,66418.0,66485.0,66742.0,66827.0,66897.0,66974.0,67103.0,67185.0,67215.0,67294.0,67344.0,67389.0,67424.0,67449.0,67507.0,67562.0,67594.0,67643.0,67715.0,67764.0,67819.0,67884.0,67924.0,67948.0,67994.0,68033.0,68063.0,68122.0,68217.0,68262.0,68323.0,68365.0,68399.0,68467.0,68502.0,68557.0,68582.0,68609.0,68664.0,68700.0,68747.0,68793.0,68857.0,68919.0,68967.0,69097.0,69125.0,69167.0,69220.0,69255.0,69323.0
5098274,74700.0,74703.0,74737.0,74794.0,74876.0,74998.0,75007.0,75146.0,75255.0,75298.0,75464.0,75599.0,75654.0,75715.0,75818.0,75883.0,75906.0,75968.0,76012.0,76052.0,76083.0,76105.0,76158.0,76206.0,76241.0,76294.0,76366.0,76400.0,76438.0,76487.0,76518.0,76570.0,76603.0,76639.0,76666.0,76707.0,76773.0,76804.0,76846.0,76890.0,76925.0,76995.0,77030.0,77081.0,77104.0,77129.0,77180.0,77213.0,77249.0,77285.0,77335.0,77383.0,77419.0,77530.0,77554.0,77590.0,77635.0,77665.0,77722.0
5098276,83700.0,83703.0,83737.0,83794.0,83876.0,83998.0,84007.0,84146.0,84255.0,84298.0,84464.0,84599.0,84654.0,84715.0,84818.0,84883.0,84906.0,84968.0,85012.0,85052.0,85083.0,85105.0,85158.0,85206.0,85241.0,85294.0,85366.0,85400.0,85438.0,85487.0,85518.0,85570.0,85603.0,85639.0,85666.0,85707.0,85773.0,85804.0,85846.0,85890.0,85925.0,85995.0,86030.0,86081.0,86104.0,86129.0,86180.0,86213.0,86249.0,86285.0,86335.0,86383.0,86419.0,86530.0,86554.0,86590.0,86635.0,86665.0,86722.0
5098767,64800.0,64803.0,64843.0,64910.0,65015.0,65171.0,65182.0,65474.0,65704.0,65795.0,66146.0,66278.0,66340.0,66408.0,66523.0,66597.0,66661.0,66834.0,66893.0,66947.0,66989.0,67018.0,67086.0,67124.0,67154.0,67199.0,67343.0,67420.0,67505.0,67552.0,67582.0,67614.0,67648.0,67682.0,67708.0,67756.0,67833.0,67869.0,67919.0,67964.0,68010.0,68103.0,68150.0,68206.0,68232.0,68260.0,68316.0,68352.0,68405.0,68457.0,68530.0,68600.0,68654.0,68784.0,68812.0,68854.0,68907.0,68942.0,69010.0
5098909,36000.0,36120.0,36165.0,36240.0,36333.0,36470.0,36480.0,36571.0,36642.0,36670.0,36780.0,36960.0,37007.0,37058.0,37145.0,37200.0,37233.0,37320.0,37362.0,37400.0,37430.0,37451.0,37500.0,37560.0,37584.0,37620.0,37680.0,37737.0,37800.0,37874.0,37920.0,37980.0,38040.0,38074.0,38100.0,38141.0,38207.0,38238.0,38280.0,38340.0,38370.0,38430.0,38460.0,38510.0,38533.0,38558.0,38608.0,38640.0,38682.0,38723.0,38781.0,38837.0,38880.0,39012.0,39041.0,39083.0,39137.0,39172.0,39240.0
5098911,43200.0,43320.0,43365.0,43440.0,43533.0,43670.0,43680.0,43789.0,43875.0,43909.0,44040.0,44280.0,44338.0,44402.0,44510.0,44580.0,44613.0,44700.0,44756.0,44807.0,44847.0,44875.0,44940.0,45000.0,45047.0,45120.0,45240.0,45297.0,45360.0,45434.0,45480.0,45540.0,45600.0,45634.0,45660.0,45714.0,45802.0,45843.0,45900.0,45960.0,45990.0,46050.0,46080.0,46130.0,46153.0,46178.0,46228.0,46260.0,46302.0,46343.0,46401.0,46457.0,46500.0,46654.0,46687.0,46736.0,46799.0,46840.0,46920.0
5098913,66600.0,66720.0,66742.0,66780.0,66873.0,67010.0,67020.0,67147.0,67247.0,67287.0,67440.0,67680.0,67738.0,67802.0,67910.0,67980.0,68013.0,68100.0,68142.0,68180.0,68210.0,68231.0,68280.0,68340.0,68387.0,68460.0,68520.0,68548.0,68580.0,68654.0,68700.0,68760.0,68820.0,68854.0,68880.0,68921.0,68987.0,69018.0,69060.0,69120.0,69150.0,69210.0,69240.0,69290.0,69313.0,69338.0,69388.0,69420.0,69462.0,69503.0,69561.0,69617.0,69660.0,69814.0,69847.0,69896.0,69959.0,70000.0,70080.0
5098915,75600.0,75720.0,75742.0,75780.0,75850.0,75953.0,75960.0,76051.0,76122.0,76150.0,76260.0,76380.0,76427.0,76478.0,76565.0,76620.0,76653.0,76740.0,76768.0,76794.0,76814.0,76828.0,76860.0,76920.0,76944.0,76980.0,77040.0,77068.0,77100.0,77137.0,77160.0,77220.0,77280.0,77314.0,77340.0,77381.0,77447.0,77478.0,77520.0,77580.0,77610.0,77670.0,77700.0,77750.0,77773.0,77798.0,77848.0,77880.0,77922.0,77963.0,78021.0,78077.0,78120.0,78252.0,78281.0,78323.0,78377.0,78412.0,78480.0
5100085,62700.0,62703.0,62743.0,62810.0,62915.0,63071.0,63082.0,63374.0,63604.0,63695.0,64046.0,64178.0,64240.0,64308.0,64423.0,64497.0,64561.0,64734.0,64793.0,64847.0,64889.0,64918.0,64986.0,65024.0,65054.0,65099.0,65243.0,65320.0,65405.0,65452.0,65482.0,65514.0,65548.0,65582.0,65608.0,65656.0,65733.0,65769.0,65819.0,65864.0,65910.0,66003.0,66050.0,66106.0,66132.0,66160.0,66216.0,66252.0,66305.0,66357.0,66430.0,66500.0,66554.0,66684.0,66712.0,66754.0,66807.0,66842.0,66910.0
