tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
5013275,74820.0,74897.0,74983.0,75119.0,75229.0,75253.0,75475.0,75549.0,75650.0,75728.0,75812.0,75900.0,76025.0,76064.0,76358.0,76381.0,76397.0,76541.0,76591.0,76645.0,76687.0,76739.0,76794.0,76877.0,76935.0,76997.0,77034.0,77091.0,77156.0,77180.0,77196.0,77300.0,77360.0,77400.0,77476.0,77589.0,77665.0,77710.0,77743.0,77797.0
5013277,82020.0,82091.0,82169.0,82290.0,82388.0,82409.0,82607.0,82674.0,82765.0,82833.0,82907.0,82984.0,83092.0,83125.0,83400.0,83421.0,83436.0,83549.0,83590.0,83636.0,83677.0,83727.0,83774.0,83848.0,83899.0,83953.0,83991.0,84050.0,84117.0,84139.0,84153.0,84246.0,84299.0,84339.0,84415.0,84519.0,84589.0,84631.0,84662.0,84711.0
5013487,50520.0,50633.0,50759.0,50897.0,51009.0,51033.0,51259.0,51353.0,51481.0,51573.0,51660.0,51750.0,51874.0,51911.0,52225.0,52249.0,52267.0,52401.0,52448.0,52497.0,52536.0,52601.0,52657.0,52746.0,52808.0,52873.0,52911.0,52969.0,53035.0,53062.0,53080.0,53198.0,53265.0,53303.0,53376.0,53491.0,53569.0,53615.0,53649.0,53704.0
5013489,58320.0,58447.0,58588.0,58758.0,58895.0,58925.0,59201.0,59305.0,59446.0,59529.0,59632.0,59740.0,59893.0,59931.0,60255.0,60280.0,60299.0,60450.0,60505.0,60564.0,60609.0,60670.0,60735.0,60824.0,60886.0,60952.0,60991.0,61051.0,61119.0,61147.0,61166.0,61288.0,61358.0,61400.0,61480.0,61600.0,61681.0,61729.0,61764.0,61822.0
5013490,66420.0,66547.0,66688.0,66858.0,66995.0,67025.0,67301.0,67405.0,67546.0,67629.0,67732.0,67840.0,67993.0,68031.0,68355.0,68380.0,68399.0,68550.0,68605.0,68664.0,68709.0,68770.0,68835.0,68924.0,68986.0,69052.0,69091.0,69151.0,69219.0,69247.0,69266.0,69388.0,69458.0,69500.0,69580.0,69700.0,69781.0,69829.0,69864.0,69922.0
5014481,28920.0,29059.0,29213.0,29350.0,29461.0,29485.0,29708.0,29766.0,29845.0,29918.0,30022.0,30130.0,30302.0,30344.0,30677.0,30703.0,30722.0,30835.0,30871.0,30907.0,30955.0,31006.0,31064.0,31140.0,31193.0,31249.0,31287.0,31345.0,31411.0,31443.0,31464.0,31603.0,31683.0,31720.0,31789.0,31911.0,31993.0,32042.0,32078.0,32135.0
5014483,37920.0,38028.0,38148.0,38263.0,38356.0,38376.0,38562.0,38634.0,38731.0,38794.0,38864.0,38937.0,39084.0,39115.0,39385.0,39406.0,39421.0,39525.0,39566.0,39614.0,39646.0,39691.0,39726.0,39792.0,39838.0,39886.0,39919.0,39969.0,40026.0,40046.0,40059.0,40143.0,40191.0,40229.0,40300.0,40402.0,40470.0,40511.0,40541.0,40589.0
5014487,54120.0,54247.0,54388.0,54558.0,54695.0,54725.0,55001.0,55105.0,55246.0,55329.0,55432.0,55540.0,55693.0,55731.0,56055.0,56080.0,56099.0,56250.0,56305.0,56364.0,56409.0,56470.0,56535.0,56624.0,56686.0,56752.0,56791.0,56851.0,56919.0,56947.0,56966.0,57088.0,57158.0,57200.0,57280.0,57400.0,57481.0,57529.0,57564.0,57622.0
5014490,73020.0,73097.0,73183.0,73319.0,73429.0,73453.0,73675.0,73749.0,73850.0,73928.0,74012.0,74100.0,74225.0,74264.0,74558.0,74581.0,74597.0,74741.0,74791.0,74845.0,74887.0,74939.0,74994.0,75077.0,75135.0,75197.0,75234.0,75291.0,75356.0,75380.0,75396.0,75500.0,75560.0,75600.0,75676.0,75789.0,75865.0,75910.0,75943.0,75997.0
5014492,80220.0,80291.0,80369.0,80490.0,80588.0,80609.0,80807.0,80874.0,80965.0,81033.0,81107.0,81184.0,81292.0,81325.0,81600.0,81621.0,81636.0,81749.0,81790.0,81836.0,81877.0,81927.0,81974.0,82048.0,82099.0,82153.0,82191.0,82250.0,82317.0,82339.0,82353.0,82446.0,82499.0,82539.0,82615.0,82719.0,82789.0,82831.0,82862.0,82911.0
