tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P
5087649,70800.0,70875.0,70958.0,71032.0,71092.0,71105.0,71224.0,71291.0,71382.0,71441.0,71592.0,71642.0,71669.0,71692.0,71725.0,71749.0,71779.0,71797.0,71831.0,71868.0,71915.0,71965.0,71991.0,72112.0,72143.0,72164.0,72272.0,72308.0,72346.0,72383.0,72453.0,72497.0,72541.0,72578.0,72613.0,72647.0,72677.0,72697.0,72760.0,72799.0,72831.0,72918.0
5093684,33600.0,33740.0,33896.0,34021.0,34122.0,34144.0,34348.0,34413.0,34502.0,34565.0,34742.0,34785.0,34825.0,34860.0,34909.0,34936.0,34967.0,34989.0,35028.0,35066.0,35114.0,35165.0,35192.0,35298.0,35325.0,35344.0,35454.0,35496.0,35543.0,35572.0,35693.0,35771.0,35869.0,35908.0,35943.0,36070.0,36182.0,36255.0,36379.0,36408.0,36432.0,36498.0
5093686,40800.0,40912.0,41037.0,41131.0,41207.0,41224.0,41377.0,41443.0,41532.0,41616.0,41811.0,41904.0,41942.0,41976.0,42024.0,42049.0,42080.0,42102.0,42143.0,42179.0,42224.0,42271.0,42296.0,42421.0,42453.0,42475.0,42575.0,42610.0,42645.0,42669.0,42726.0,42763.0,42801.0,42828.0,42853.0,42898.0,42937.0,42963.0,43007.0,43036.0,43060.0,43099.0
5093688,48000.0,48102.0,48215.0,48323.0,48411.0,48430.0,48607.0,48687.0,48795.0,48883.0,49080.0,49144.0,49178.0,49208.0,49250.0,49275.0,49307.0,49329.0,49370.0,49410.0,49461.0,49515.0,49543.0,49690.0,49727.0,49754.0,49865.0,49907.0,49951.0,49983.0,50049.0,50092.0,50129.0,50175.0,50217.0,50290.0,50354.0,50396.0,50482.0,50521.0,50553.0,50676.0
5093690,55200.0,55313.0,55438.0,55591.0,55715.0,55742.0,55992.0,56091.0,56225.0,56314.0,56514.0,56579.0,56627.0,56670.0,56730.0,56755.0,56789.0,56811.0,56852.0,56893.0,56944.0,56998.0,57027.0,57192.0,57234.0,57263.0,57377.0,57419.0,57468.0,57502.0,57593.0,57652.0,57700.0,57785.0,57863.0,57982.0,58086.0,58155.0,58218.0,58279.0,58330.0,58449.0
5093692,62400.0,62513.0,62638.0,62791.0,62915.0,62942.0,63192.0,63291.0,63425.0,63514.0,63714.0,63779.0,63827.0,63870.0,63930.0,63955.0,63989.0,64011.0,64052.0,64093.0,64144.0,64198.0,64227.0,64392.0,64434.0,64463.0,64577.0,64619.0,64668.0,64702.0,64793.0,64852.0,64900.0,64985.0,65063.0,65182.0,65286.0,65355.0,65418.0,65479.0,65530.0,65649.0
5093694,70200.0,70281.0,70372.0,70466.0,70542.0,70559.0,70713.0,70784.0,70880.0,70944.0,71167.0,71212.0,71246.0,71276.0,71318.0,71345.0,71378.0,71399.0,71436.0,71474.0,71523.0,71574.0,71601.0,71745.0,71782.0,71808.0,71911.0,71950.0,71995.0,72028.0,72100.0,72146.0,72177.0,72207.0,72235.0,72281.0,72322.0,72349.0,72407.0,72446.0,72478.0,72550.0
5093696,77400.0,77472.0,77552.0,77646.0,77722.0,77739.0,77893.0,77961.0,78053.0,78107.0,78282.0,78320.0,78345.0,78367.0,78397.0,78422.0,78453.0,78472.0,78507.0,78538.0,78577.0,78619.0,78641.0,78760.0,78790.0,78812.0,78901.0,78933.0,78973.0,79005.0,79063.0,79100.0,79131.0,79158.0,79182.0,79219.0,79251.0,79272.0,79332.0,79374.0,79408.0,79479.0
5093698,84000.0,84072.0,84152.0,84246.0,84322.0,84339.0,84493.0,84561.0,84653.0,84707.0,84882.0,84920.0,84945.0,84967.0,84997.0,85022.0,85053.0,85072.0,85107.0,85138.0,85177.0,85219.0,85241.0,85360.0,85390.0,85412.0,85501.0,85533.0,85573.0,85605.0,85663.0,85700.0,85731.0,85758.0,85782.0,85819.0,85851.0,85872.0,85932.0,85974.0,86008.0,86079.0
5096065,30000.0,30140.0,30296.0,30421.0,30522.0,30544.0,30748.0,30813.0,30902.0,30965.0,31142.0,31185.0,31225.0,31260.0,31309.0,31336.0,31367.0,31389.0,31428.0,31466.0,31514.0,31565.0,31592.0,31698.0,31725.0,31744.0,31854.0,31896.0,31943.0,31972.0,32093.0,32171.0,32269.0,32308.0,32343.0,32470.0,32582.0,32655.0,32779.0,32808.0,32832.0,32898.0
