tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P
5015013,54000.0,54059.0,54081.0,54133.0,54192.0,54219.0,54281.0,54328.0,54347.0,54406.0,54468.0,54524.0,54622.0,54792.0,54884.0,54935.0,55006.0,55064.0,55170.0,55416.0,55747.0,55937.0,55960.0,56113.0,56201.0,56285.0,56406.0,56520.0,56568.0,56678.0,56729.0,56795.0,56866.0,56964.0,57015.0,57058.0,57171.0,57219.0,57253.0,57298.0,57332.0,57376.0,57434.0
5015015,63600.0,63658.0,63680.0,63731.0,63790.0,63817.0,63879.0,63928.0,63947.0,64004.0,64053.0,64097.0,64175.0,64339.0,64428.0,64477.0,64554.0,64617.0,64732.0,65031.0,65435.0,65666.0,65689.0,65842.0,65928.0,66010.0,66132.0,66229.0,66270.0,66364.0,66413.0,66478.0,66552.0,66654.0,66708.0,66749.0,66855.0,66902.0,66935.0,66979.0,67013.0,67056.0,67114.0
5015688,42600.0,42657.0,42678.0,42728.0,42785.0,42811.0,42871.0,42926.0,42948.0,42996.0,43051.0,43101.0,43189.0,43313.0,43380.0,43417.0,43490.0,43550.0,43659.0,43860.0,44130.0,44285.0,44305.0,44438.0,44485.0,44531.0,44606.0,44663.0,44687.0,44742.0,44774.0,44816.0,44865.0,44933.0,44970.0,45001.0,45083.0,45123.0,45151.0,45188.0,45217.0,45254.0,45303.0
5017907,60600.0,60657.0,60679.0,60730.0,60788.0,60815.0,60875.0,60909.0,60923.0,60968.0,61009.0,61046.0,61111.0,61221.0,61281.0,61314.0,61367.0,61411.0,61490.0,61658.0,61885.0,62015.0,62030.0,62135.0,62201.0,62264.0,62325.0,62394.0,62423.0,62490.0,62531.0,62584.0,62633.0,62701.0,62737.0,62785.0,62910.0,62955.0,62986.0,63027.0,63059.0,63100.0,63154.0
5018003,29400.0,29466.0,29491.0,29550.0,29617.0,29648.0,29718.0,29776.0,29799.0,29873.0,29968.0,30054.0,30207.0,30396.0,30498.0,30554.0,30627.0,30687.0,30795.0,31063.0,31424.0,31631.0,31651.0,31786.0,31861.0,31934.0,32014.0,32078.0,32105.0,32167.0,32207.0,32259.0,32314.0,32390.0,32429.0,32466.0,32562.0,32601.0,32628.0,32664.0,32692.0,32728.0,32774.0
5018005,38400.0,38458.0,38480.0,38532.0,38591.0,38618.0,38680.0,38733.0,38754.0,38794.0,38853.0,38906.0,38999.0,39138.0,39213.0,39254.0,39314.0,39363.0,39453.0,39670.0,39963.0,40131.0,40153.0,40302.0,40363.0,40421.0,40500.0,40557.0,40581.0,40637.0,40674.0,40722.0,40772.0,40842.0,40879.0,40915.0,41011.0,41053.0,41083.0,41122.0,41152.0,41191.0,41241.0
5018007,48000.0,48063.0,48087.0,48142.0,48205.0,48234.0,48300.0,48353.0,48374.0,48419.0,48476.0,48527.0,48618.0,48774.0,48858.0,48905.0,48968.0,49019.0,49112.0,49325.0,49613.0,49778.0,49800.0,49945.0,50009.0,50071.0,50145.0,50217.0,50247.0,50317.0,50355.0,50405.0,50463.0,50544.0,50586.0,50630.0,50746.0,50793.0,50826.0,50869.0,50903.0,50946.0,51002.0
5018009,57600.0,57659.0,57681.0,57733.0,57792.0,57819.0,57881.0,57928.0,57947.0,58006.0,58068.0,58124.0,58222.0,58392.0,58484.0,58535.0,58606.0,58664.0,58770.0,59016.0,59347.0,59537.0,59560.0,59713.0,59801.0,59885.0,60006.0,60120.0,60168.0,60278.0,60329.0,60395.0,60466.0,60564.0,60615.0,60658.0,60771.0,60819.0,60853.0,60898.0,60932.0,60976.0,61034.0
5018011,66600.0,66659.0,66681.0,66733.0,66792.0,66819.0,66882.0,66924.0,66941.0,66977.0,67029.0,67076.0,67158.0,67305.0,67384.0,67428.0,67501.0,67561.0,67669.0,67920.0,68259.0,68453.0,68472.0,68602.0,68680.0,68755.0,68840.0,68903.0,68929.0,68990.0,69033.0,69089.0,69170.0,69283.0,69342.0,69383.0,69492.0,69534.0,69564.0,69603.0,69633.0,69672.0,69723.0
5018013,75600.0,75647.0,75665.0,75707.0,75754.0,75776.0,75825.0,75862.0,75877.0,75916.0,75950.0,75981.0,76036.0,76162.0,76230.0,76267.0,76312.0,76349.0,76416.0,76627.0,76912.0,77076.0,77090.0,77183.0,77233.0,77282.0,77349.0,77450.0,77492.0,77590.0,77620.0,77660.0,77703.0,77762.0,77793.0,77827.0,77918.0,77958.0,77986.0,78024.0,78053.0,78090.0,78139.0
5018015,82800.0,82847.0,82865.0,82907.0,82954.0,82976.0,83025.0,83062.0,83077.0,83116.0,83150.0,83181.0,83236.0,83362.0,83430.0,83467.0,83512.0,83549.0,83616.0,83827.0,84112.0,84276.0,84290.0,84383.0,84433.0,84482.0,84549.0,84650.0,84692.0,84790.0,84820.0,84860.0,84903.0,84962.0,84993.0,85027.0,85118.0,85158.0,85186.0,85224.0,85253.0,85290.0,85339.0
5018664,31200.0,31266.0,31291.0,31350.0,31417.0,31448.0,31518.0,31576.0,31599.0,31673.0,31768.0,31854.0,32007.0,32196.0,32298.0,32354.0,32427.0,32487.0,32595.0,32863.0,33224.0,33431.0,33451.0,33586.0,33661.0,33734.0,33814.0,33878.0,33905.0,33967.0,34007.0,34059.0,34114.0,34190.0,34229.0,34266.0,34362.0,34401.0,34428.0,34464.0,34492.0,34528.0,34574.0
5018666,40800.0,40858.0,40880.0,40932.0,40991.0,41018.0,41080.0,41133.0,41154.0,41194.0,41253.0,41306.0,41399.0,41538.0,41613.0,41654.0,41714.0,41763.0,41853.0,42070.0,42363.0,42531.0,42553.0,42702.0,42763.0,42821.0,42900.0,42957.0,42981.0,43037.0,43074.0,43122.0,43172.0,43242.0,43279.0,43315.0,43411.0,43453.0,43483.0,43522.0,43552.0,43591.0,43641.0
5018668,50400.0,50463.0,50487.0,50542.0,50605.0,50634.0,50700.0,50753.0,50774.0,50819.0,50876.0,50927.0,51018.0,51174.0,51258.0,51305.0,51368.0,51419.0,51512.0,51725.0,52013.0,52178.0,52200.0,52345.0,52409.0,52471.0,52545.0,52617.0,52647.0,52717.0,52755.0,52805.0,52863.0,52944.0,52986.0,53030.0,53146.0,53193.0,53226.0,53269.0,53303.0,53346.0,53402.0
