tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P
5004032,39000.0,39041.0,39110.0,39129.0,39228.0,39277.0,39327.0,39356.0,39411.0,39482.0,39559.0,39585.0,39653.0,39705.0,39764.0,39795.0,39828.0,39869.0,39909.0,39945.0,39992.0,40038.0,40095.0,40132.0,40147.0,40218.0,40677.0,40732.0,40795.0,40878.0,40903.0,40947.0,40975.0,41018.0,41054.0,41079.0,41124.0,41192.0,41296.0,41328.0,41377.0,41438.0,41540.0,41584.0,41668.0,41765.0,41883.0,41964.0,42129.0,42166.0,42265.0,42379.0,42472.0,42576.0,42631.0,42697.0,42738.0,42778.0,42828.0,42857.0,42891.0,42930.0,42991.0,43047.0,43072.0,43139.0,43188.0,43211.0,43230.0,43264.0,43507.0
5004034,51600.0,51642.0,51713.0,51732.0,51834.0,51885.0,51937.0,51967.0,52024.0,52097.0,52176.0,52203.0,52270.0,52324.0,52386.0,52418.0,52453.0,52495.0,52537.0,52575.0,52624.0,52672.0,52731.0,52769.0,52786.0,52867.0,53396.0,53461.0,53519.0,53575.0,53597.0,53635.0,53665.0,53712.0,53751.0,53777.0,53818.0,53880.0,53991.0,54023.0,54079.0,54148.0,54245.0,54287.0,54367.0,54459.0,54608.0,54709.0,54916.0,54963.0,55103.0,55265.0,55364.0,55475.0,55532.0,55600.0,55636.0,55671.0,55715.0,55749.0,55788.0,55832.0,55893.0,55948.0,55991.0,56060.0,56112.0,56141.0,56166.0,56214.0,56422.0
5004036,64500.0,64544.0,64618.0,64638.0,64745.0,64798.0,64852.0,64884.0,64943.0,65020.0,65103.0,65131.0,65204.0,65256.0,65315.0,65346.0,65379.0,65420.0,65460.0,65496.0,65543.0,65589.0,65646.0,65683.0,65701.0,65787.0,66345.0,66413.0,66484.0,66552.0,66574.0,66614.0,66644.0,66690.0,66734.0,66765.0,66796.0,66844.0,66959.0,66993.0,67041.0,67101.0,67193.0,67237.0,67322.0,67419.0,67571.0,67674.0,67885.0,67933.0,68035.0,68152.0,68247.0,68353.0,68411.0,68481.0,68534.0,68587.0,68653.0,68682.0,68715.0,68752.0,68803.0,68849.0,68890.0,68956.0,69005.0,69030.0,69051.0,69111.0,69385.0
5004038,76200.0,76236.0,76295.0,76311.0,76396.0,76439.0,76482.0,76507.0,76555.0,76617.0,76683.0,76706.0,76763.0,76801.0,76844.0,76867.0,76891.0,76921.0,76950.0,76977.0,77011.0,77045.0,77086.0,77112.0,77123.0,77174.0,77507.0,77547.0,77603.0,77655.0,77670.0,77696.0,77716.0,77747.0,77775.0,77795.0,77816.0,77848.0,77926.0,77951.0,77990.0,78038.0,78115.0,78148.0,78211.0,78283.0,78377.0,78441.0,78572.0,78602.0,78715.0,78845.0,78944.0,79054.0,79100.0,79155.0,79183.0,79210.0,79244.0,79267.0,79294.0,79325.0,79370.0,79411.0,79432.0,79478.0,79512.0,79534.0,79553.0,79604.0,79735.0
5004628,31800.0,31847.0,31926.0,31948.0,32061.0,32118.0,32176.0,32210.0,32273.0,32355.0,32442.0,32472.0,32546.0,32614.0,32692.0,32732.0,32776.0,32829.0,32882.0,32930.0,32991.0,33052.0,33126.0,33173.0,33187.0,33254.0,33690.0,33743.0,33820.0,33889.0,33914.0,33959.0,33993.0,34045.0,34101.0,34140.0,34186.0,34256.0,34363.0,34401.0,34462.0,34539.0,34693.0,34764.0,34901.0,35058.0,35325.0,35507.0,35878.0,35962.0,36137.0,36340.0,36446.0,36564.0,36639.0,36729.0,36788.0,36847.0,36921.0,36958.0,37000.0,37049.0,37103.0,37153.0,37190.0,37254.0,37301.0,37329.0,37354.0,37414.0,37598.0
5004630,44400.0,44440.0,44506.0,44524.0,44619.0,44666.0,44714.0,44742.0,44795.0,44864.0,44937.0,44962.0,45027.0,45077.0,45135.0,45165.0,45197.0,45237.0,45276.0,45311.0,45356.0,45401.0,45456.0,45493.0,45507.0,45573.0,45999.0,46050.0,46108.0,46162.0,46186.0,46228.0,46256.0,46300.0,46343.0,46372.0,46408.0,46463.0,46581.0,46608.0,46658.0,46720.0,46820.0,46860.0,46938.0,47027.0,47167.0,47262.0,47457.0,47501.0,47619.0,47755.0,47860.0,47978.0,48038.0,48110.0,48166.0,48221.0,48290.0,48326.0,48367.0,48415.0,48479.0,48538.0,48576.0,48648.0,48702.0,48729.0,48752.0,48806.0,49000.0
5004632,57600.0,57639.0,57705.0,57723.0,57818.0,57865.0,57913.0,57941.0,57994.0,58062.0,58135.0,58160.0,58225.0,58276.0,58334.0,58364.0,58397.0,58437.0,58476.0,58512.0,58558.0,58603.0,58658.0,58694.0,58708.0,58775.0,59213.0,59266.0,59330.0,59387.0,59410.0,59450.0,59476.0,59515.0,59551.0,59576.0,59610.0,59661.0,59784.0,59813.0,59858.0,59915.0,60016.0,60053.0,60123.0,60204.0,60363.0,60471.0,60692.0,60743.0,60892.0,61064.0,61172.0,61293.0,61356.0,61432.0,61492.0,61552.0,61627.0,61704.0,61792.0,61894.0,61970.0,62039.0,62083.0,62158.0,62213.0,62242.0,62267.0,62333.0,62508.0
5004634,70800.0,70835.0,70894.0,70910.0,70994.0,71036.0,71079.0,71104.0,71151.0,71212.0,71277.0,71299.0,71356.0,71396.0,71442.0,71466.0,71492.0,71523.0,71554.0,71582.0,71618.0,71654.0,71697.0,71724.0,71737.0,71799.0,72205.0,72255.0,72314.0,72370.0,72388.0,72421.0,72444.0,72478.0,72509.0,72531.0,72560.0,72605.0,72701.0,72727.0,72767.0,72817.0,72891.0,72924.0,72988.0,73062.0,73155.0,73218.0,73347.0,73376.0,73474.0,73587.0,73668.0,73759.0,73811.0,73873.0,73912.0,73951.0,73999.0,74029.0,74064.0,74104.0,74151.0,74194.0,74223.0,74286.0,74333.0,74358.0,74379.0,74430.0,74614.0
5004636,81600.0,81632.0,81685.0,81700.0,81777.0,81815.0,81854.0,81877.0,81920.0,81975.0,82034.0,82054.0,82106.0,82143.0,82186.0,82208.0,82232.0,82261.0,82290.0,82316.0,82349.0,82382.0,82422.0,82449.0,82460.0,82512.0,82852.0,82894.0,82946.0,82989.0,83004.0,83032.0,83053.0,83085.0,83111.0,83129.0,83155.0,83195.0,83267.0,83288.0,83317.0,83353.0,83423.0,83453.0,83511.0,83578.0,83664.0,83722.0,83841.0,83868.0,83962.0,84071.0,84144.0,84226.0,84269.0,84320.0,84348.0,84376.0,84411.0,84435.0,84462.0,84493.0,84540.0,84582.0,84608.0,84653.0,84687.0,84708.0,84727.0,84768.0,84912.0
5005985,37800.0,37839.0,37904.0,37922.0,38016.0,38063.0,38111.0,38139.0,38191.0,38259.0,38331.0,38356.0,38417.0,38464.0,38518.0,38546.0,38576.0,38613.0,38649.0,38682.0,38724.0,38766.0,38817.0,38851.0,38865.0,38929.0,39343.0,39392.0,39450.0,39507.0,39530.0,39571.0,39601.0,39646.0,39684.0,39710.0,39747.0,39802.0,39927.0,39959.0,40007.0,40066.0,40165.0,40209.0,40294.0,40392.0,40542.0,40645.0,40854.0,40902.0,41015.0,41145.0,41247.0,41361.0,41428.0,41508.0,41563.0,41618.0,41687.0,41719.0,41756.0,41799.0,41856.0,41908.0,41938.0,42002.0,42050.0,42074.0,42095.0,42144.0,42348.0
