tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P
5101130,29700.0,29721.0,29734.0,29794.0,29820.0,29856.0,29902.0,29922.0,29969.0,29990.0,30025.0,30097.0,30149.0,30203.0,30223.0,30262.0,30345.0,30433.0,30494.0,30603.0,30647.0,30730.0,30878.0,30979.0,31017.0,31132.0,31185.0,31244.0,31334.0,31454.0,31540.0,31662.0,31748.0,31821.0,31963.0,32031.0,32124.0,32167.0,32223.0,32254.0,32303.0,32441.0,32513.0,32614.0,32651.0,32685.0,32732.0,32830.0,32909.0,32958.0,33075.0,33257.0,33544.0,33739.0,33756.0,34017.0,34101.0,34225.0,34392.0,34489.0,34502.0,34591.0,34657.0,34720.0,34810.0,34872.0,34898.0,34957.0,34992.0,35038.0,35091.0,35165.0,35204.0,35267.0,35293.0,35338.0,35385.0,35414.0,35480.0,35577.0
5101132,45000.0,45024.0,45039.0,45108.0,45138.0,45180.0,45222.0,45240.0,45300.0,45360.0,45420.0,45480.0,45540.0,45569.0,45580.0,45600.0,45660.0,45720.0,45763.0,45840.0,45900.0,46073.0,46380.0,46424.0,46440.0,46562.0,46619.0,46680.0,46732.0,46801.0,46850.0,46920.0,47040.0,47122.0,47280.0,47305.0,47340.0,47366.0,47400.0,47447.0,47520.0,47599.0,47640.0,47728.0,47760.0,47810.0,47880.0,47947.0,48000.0,48036.0,48120.0,48259.0,48480.0,48660.0,48668.0,48794.0,48834.0,48894.0,48974.0,49020.0,49043.0,49200.0,49292.0,49380.0,49500.0,49575.0,49607.0,49680.0,49706.0,49740.0,49782.0,49840.0,49871.0,49920.0,49980.0,49990.0,50000.0,50006.0,50020.0,50040.0
5101134,59400.0,59424.0,59439.0,59508.0,59538.0,59580.0,59664.0,59700.0,59760.0,59820.0,59880.0,59940.0,60000.0,60058.0,60079.0,60120.0,60180.0,60240.0,60283.0,60360.0,60420.0,60615.0,60960.0,61048.0,61080.0,61202.0,61259.0,61320.0,61372.0,61441.0,61490.0,61560.0,61680.0,61782.0,61980.0,62005.0,62040.0,62092.0,62160.0,62207.0,62280.0,62359.0,62400.0,62488.0,62520.0,62570.0,62640.0,62740.0,62820.0,62856.0,62940.0,63103.0,63360.0,63540.0,63550.0,63696.0,63743.0,63812.0,63906.0,63960.0,63983.0,64140.0,64232.0,64320.0,64500.0,64626.0,64679.0,64800.0,64878.0,64980.0,65036.0,65114.0,65155.0,65220.0,65280.0,65290.0,65300.0,65306.0,65320.0,65340.0
5105167,41400.0,41424.0,41439.0,41508.0,41538.0,41580.0,41622.0,41640.0,41700.0,41760.0,41820.0,41880.0,41940.0,41969.0,41980.0,42000.0,42060.0,42120.0,42163.0,42240.0,42300.0,42473.0,42780.0,42824.0,42840.0,42962.0,43019.0,43080.0,43132.0,43201.0,43250.0,43320.0,43440.0,43522.0,43680.0,43705.0,43740.0,43766.0,43800.0,43847.0,43920.0,43999.0,44040.0,44128.0,44160.0,44210.0,44280.0,44347.0,44400.0,44436.0,44520.0,44659.0,44880.0,45060.0,45068.0,45194.0,45234.0,45294.0,45374.0,45420.0,45443.0,45600.0,45692.0,45780.0,45900.0,45975.0,46007.0,46080.0,46106.0,46140.0,46182.0,46240.0,46271.0,46320.0,46380.0,46390.0,46400.0,46406.0,46420.0,46440.0
5105169,55800.0,55824.0,55839.0,55908.0,55938.0,55980.0,56064.0,56100.0,56160.0,56220.0,56280.0,56340.0,56400.0,56429.0,56440.0,56460.0,56520.0,56580.0,56623.0,56700.0,56760.0,56955.0,57300.0,57344.0,57360.0,57451.0,57493.0,57540.0,57592.0,57661.0,57710.0,57780.0,57900.0,57982.0,58140.0,58165.0,58200.0,58252.0,58320.0,58367.0,58440.0,58479.0,58500.0,58588.0,58620.0,58670.0,58740.0,58807.0,58860.0,58896.0,58980.0,59096.0,59280.0,59460.0,59470.0,59616.0,59663.0,59732.0,59826.0,59880.0,59903.0,60060.0,60152.0,60240.0,60420.0,60546.0,60599.0,60720.0,60772.0,60840.0,60896.0,60974.0,61015.0,61080.0,61140.0,61150.0,61160.0,61166.0,61180.0,61200.0
5105171,69300.0,69324.0,69339.0,69408.0,69438.0,69480.0,69522.0,69540.0,69600.0,69660.0,69720.0,69780.0,69900.0,69958.0,69979.0,70020.0,70080.0,70140.0,70162.0,70200.0,70260.0,70455.0,70800.0,70888.0,70920.0,71042.0,71099.0,71160.0,71212.0,71281.0,71330.0,71400.0,71520.0,71602.0,71760.0,71785.0,71820.0,71872.0,71940.0,71987.0,72060.0,72139.0,72180.0,72268.0,72300.0,72350.0,72420.0,72487.0,72540.0,72576.0,72660.0,72776.0,72960.0,73140.0,73150.0,73296.0,73343.0,73412.0,73506.0,73560.0,73583.0,73740.0,73801.0,73860.0,73980.0,74081.0,74123.0,74220.0,74272.0,74340.0,74396.0,74474.0,74515.0,74580.0,74640.0,74650.0,74660.0,74666.0,74680.0,74700.0
5105173,81000.0,81024.0,81039.0,81108.0,81138.0,81180.0,81222.0,81240.0,81300.0,81360.0,81420.0,81480.0,81540.0,81569.0,81580.0,81600.0,81660.0,81720.0,81742.0,81780.0,81840.0,81991.0,82260.0,82304.0,82320.0,82411.0,82453.0,82500.0,82552.0,82621.0,82670.0,82740.0,82800.0,82861.0,82980.0,83005.0,83040.0,83066.0,83100.0,83171.0,83280.0,83319.0,83340.0,83428.0,83460.0,83535.0,83640.0,83707.0,83760.0,83778.0,83820.0,83936.0,84120.0,84240.0,84248.0,84374.0,84414.0,84474.0,84554.0,84600.0,84623.0,84780.0,84841.0,84900.0,85020.0,85095.0,85127.0,85200.0,85252.0,85320.0,85404.0,85520.0,85581.0,85680.0,85800.0,85810.0,85820.0,85826.0,85840.0,85860.0
5106815,37800.0,37831.0,37850.0,37939.0,37977.0,38032.0,38095.0,38121.0,38182.0,38205.0,38240.0,38303.0,38349.0,38382.0,38394.0,38417.0,38488.0,38583.0,38647.0,38760.0,38804.0,38849.0,38930.0,39081.0,39137.0,39233.0,39277.0,39326.0,39388.0,39470.0,39529.0,39612.0,39692.0,39767.0,39911.0,39938.0,39975.0,40010.0,40056.0,40097.0,40161.0,40252.0,40299.0,40380.0,40410.0,40465.0,40541.0,40588.0,40625.0,40649.0,40706.0,40829.0,41024.0,41302.0,41330.0,41755.0,41892.0,42094.0,42366.0,42522.0,42540.0,42660.0,42715.0,42767.0,42848.0,42920.0,42950.0,43020.0,43045.0,43079.0,43119.0,43174.0,43203.0,43250.0,43274.0,43322.0,43372.0,43403.0,43474.0,43577.0
5106817,52200.0,52224.0,52239.0,52308.0,52338.0,52380.0,52422.0,52440.0,52500.0,52560.0,52620.0,52680.0,52740.0,52769.0,52780.0,52800.0,52860.0,52920.0,52942.0,52980.0,53040.0,53213.0,53520.0,53564.0,53580.0,53671.0,53713.0,53760.0,53812.0,53881.0,53930.0,54000.0,54120.0,54202.0,54360.0,54385.0,54420.0,54472.0,54540.0,54587.0,54660.0,54739.0,54780.0,54868.0,54900.0,54950.0,55020.0,55087.0,55140.0,55176.0,55260.0,55399.0,55620.0,55740.0,55748.0,55874.0,55914.0,55974.0,56054.0,56100.0,56123.0,56280.0,56372.0,56460.0,56580.0,56655.0,56687.0,56760.0,56812.0,56880.0,56936.0,57014.0,57055.0,57120.0,57180.0,57190.0,57200.0,57206.0,57220.0,57240.0
5106821,77400.0,77424.0,77439.0,77508.0,77538.0,77580.0,77622.0,77640.0,77700.0,77760.0,77820.0,77880.0,77940.0,77969.0,77980.0,78000.0,78060.0,78120.0,78142.0,78180.0,78240.0,78391.0,78660.0,78704.0,78720.0,78811.0,78853.0,78900.0,78952.0,79021.0,79070.0,79140.0,79200.0,79261.0,79380.0,79405.0,79440.0,79466.0,79500.0,79571.0,79680.0,79719.0,79740.0,79828.0,79860.0,79935.0,80040.0,80107.0,80160.0,80178.0,80220.0,80336.0,80520.0,80640.0,80648.0,80774.0,80814.0,80874.0,80954.0,81000.0,81023.0,81180.0,81241.0,81300.0,81420.0,81495.0,81527.0,81600.0,81652.0,81720.0,81804.0,81920.0,81981.0,82080.0,82200.0,82210.0,82220.0,82226.0,82240.0,82260.0
