tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P
5099966,51000.0,51114.0,51161.0,51270.0,51307.0,51367.0,51404.0,51453.0,51559.0,51612.0,51650.0,51683.0,51815.0,51994.0,52032.0,52080.0,52128.0,52246.0,52298.0,52365.0,52420.0,52474.0,52520.0,52572.0,52687.0,52746.0,52789.0,52807.0,52855.0,52890.0,52917.0,52943.0,52985.0,53016.0,53039.0
5099968,58200.0,58323.0,58374.0,58490.0,58526.0,58586.0,58623.0,58672.0,58783.0,58838.0,58880.0,58910.0,59032.0,59207.0,59242.0,59287.0,59332.0,59449.0,59490.0,59542.0,59585.0,59646.0,59699.0,59758.0,59882.0,59946.0,59993.0,60013.0,60065.0,60103.0,60132.0,60159.0,60197.0,60223.0,60243.0
5099970,65400.0,65521.0,65571.0,65687.0,65717.0,65767.0,65797.0,65838.0,65937.0,65986.0,66030.0,66056.0,66163.0,66300.0,66339.0,66378.0,66418.0,66539.0,66589.0,66654.0,66708.0,66762.0,66808.0,66860.0,66979.0,67040.0,67084.0,67103.0,67153.0,67189.0,67217.0,67242.0,67276.0,67296.0,67312.0
5099972,76200.0,76290.0,76327.0,76413.0,76432.0,76463.0,76482.0,76507.0,76573.0,76606.0,76636.0,76656.0,76736.0,76835.0,76857.0,76884.0,76912.0,76987.0,77020.0,77062.0,77096.0,77145.0,77187.0,77234.0,77323.0,77369.0,77402.0,77416.0,77453.0,77480.0,77501.0,77520.0,77556.0,77578.0,77594.0
5110301,33000.0,33146.0,33207.0,33345.0,33394.0,33474.0,33523.0,33589.0,33673.0,33715.0,33743.0,33774.0,33897.0,34159.0,34185.0,34221.0,34258.0,34356.0,34398.0,34453.0,34498.0,34553.0,34601.0,34655.0,34780.0,34844.0,34891.0,34911.0,34963.0,35001.0,35030.0,35057.0,35096.0,35123.0,35144.0
5110303,40200.0,40314.0,40361.0,40470.0,40507.0,40567.0,40604.0,40653.0,40759.0,40812.0,40850.0,40883.0,41015.0,41194.0,41232.0,41280.0,41328.0,41446.0,41498.0,41565.0,41620.0,41674.0,41720.0,41772.0,41887.0,41946.0,41989.0,42007.0,42055.0,42090.0,42117.0,42143.0,42185.0,42216.0,42239.0
5110305,47400.0,47514.0,47561.0,47670.0,47707.0,47767.0,47804.0,47853.0,47959.0,48012.0,48050.0,48083.0,48215.0,48394.0,48432.0,48480.0,48528.0,48646.0,48698.0,48765.0,48820.0,48874.0,48920.0,48972.0,49087.0,49146.0,49189.0,49207.0,49255.0,49290.0,49317.0,49343.0,49385.0,49416.0,49439.0
5110307,54600.0,54723.0,54774.0,54890.0,54926.0,54986.0,55023.0,55072.0,55183.0,55238.0,55280.0,55310.0,55432.0,55607.0,55642.0,55687.0,55732.0,55849.0,55890.0,55942.0,55985.0,56046.0,56099.0,56158.0,56282.0,56346.0,56393.0,56413.0,56465.0,56503.0,56532.0,56559.0,56597.0,56623.0,56643.0
5110309,61800.0,61954.0,62018.0,62165.0,62203.0,62266.0,62305.0,62357.0,62472.0,62529.0,62569.0,62604.0,62747.0,62955.0,62991.0,63042.0,63094.0,63217.0,63262.0,63320.0,63368.0,63424.0,63473.0,63527.0,63663.0,63733.0,63784.0,63805.0,63862.0,63903.0,63935.0,63964.0,64005.0,64036.0,64059.0
5111485,28800.0,28955.0,29020.0,29167.0,29216.0,29296.0,29345.0,29410.0,29527.0,29586.0,29662.0,29701.0,29858.0,30012.0,30044.0,30085.0,30126.0,30271.0,30339.0,30426.0,30498.0,30599.0,30686.0,30784.0,30921.0,30991.0,31042.0,31064.0,31121.0,31163.0,31195.0,31225.0,31273.0,31304.0,31327.0
5111487,36600.0,36715.0,36763.0,36873.0,36909.0,36968.0,37004.0,37054.0,37171.0,37229.0,37260.0,37293.0,37427.0,37591.0,37625.0,37655.0,37685.0,37778.0,37823.0,37881.0,37929.0,37978.0,38021.0,38069.0,38182.0,38240.0,38282.0,38300.0,38347.0,38381.0,38407.0,38432.0,38472.0,38498.0,38517.0
5111491,51000.0,51114.0,51161.0,51270.0,51307.0,51367.0,51404.0,51453.0,51559.0,51612.0,51650.0,51683.0,51815.0,51994.0,52032.0,52080.0,52128.0,52246.0,52298.0,52365.0,52420.0,52474.0,52520.0,52572.0,52687.0,52746.0,52789.0,52807.0,52855.0,52890.0,52917.0,52943.0,52985.0,53016.0,53039.0
5111493,58200.0,58323.0,58374.0,58490.0,58526.0,58586.0,58623.0,58672.0,58783.0,58838.0,58880.0,58910.0,59032.0,59207.0,59242.0,59287.0,59332.0,59449.0,59490.0,59542.0,59585.0,59646.0,59699.0,59758.0,59882.0,59946.0,59993.0,60013.0,60065.0,60103.0,60132.0,60159.0,60197.0,60223.0,60243.0
5111495,65400.0,65521.0,65571.0,65687.0,65717.0,65767.0,65797.0,65838.0,65937.0,65986.0,66030.0,66056.0,66163.0,66300.0,66339.0,66378.0,66418.0,66539.0,66589.0,66654.0,66708.0,66762.0,66808.0,66860.0,66979.0,67040.0,67084.0,67103.0,67153.0,67189.0,67217.0,67242.0,67276.0,67296.0,67312.0
5111497,76200.0,76290.0,76327.0,76413.0,76432.0,76463.0,76482.0,76507.0,76573.0,76606.0,76636.0,76656.0,76736.0,76835.0,76857.0,76884.0,76912.0,76987.0,77020.0,77062.0,77096.0,77145.0,77187.0,77234.0,77323.0,77369.0,77402.0,77416.0,77453.0,77480.0,77501.0,77520.0,77556.0,77578.0,77594.0
