tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P
5010840,84600.0,84684.0,84731.0,84769.0,84800.0,84856.0,85145.0,85249.0,85386.0,85494.0,85568.0,85609.0,85630.0,85673.0,85714.0,85739.0,85770.0,85797.0,85829.0,85856.0,85880.0,85935.0,85948.0,86006.0,86033.0,86048.0,86077.0,86125.0,86160.0,86178.0,86225.0,86263.0,86282.0,86333.0,86354.0,86376.0,86399.0,86527.0,86550.0,86581.0,86606.0,86667.0,86717.0,86749.0,86774.0,86860.0,86883.0,86913.0,86963.0,87026.0,87042.0,87053.0,87095.0,87132.0,87189.0
5016387,26400.0,26455.0,26485.0,26522.0,26553.0,26608.0,26769.0,26830.0,26911.0,27044.0,27104.0,27137.0,27158.0,27202.0,27256.0,27311.0,27360.0,27404.0,27452.0,27491.0,27522.0,27591.0,27608.0,27682.0,27720.0,27741.0,27782.0,27850.0,27889.0,27909.0,27961.0,28004.0,28025.0,28115.0,28152.0,28191.0,28232.0,28459.0,28482.0,28512.0,28536.0,28594.0,28661.0,28693.0,28717.0,28828.0,28844.0,28868.0,28908.0,28968.0,28992.0,29010.0,29065.0,29114.0,29190.0
5016389,35100.0,35177.0,35219.0,35269.0,35310.0,35383.0,35668.0,35781.0,35928.0,36056.0,36143.0,36191.0,36217.0,36269.0,36350.0,36420.0,36469.0,36512.0,36577.0,36631.0,36668.0,36755.0,36776.0,36868.0,36907.0,36929.0,36971.0,37040.0,37079.0,37099.0,37151.0,37194.0,37215.0,37285.0,37314.0,37344.0,37376.0,37554.0,37582.0,37619.0,37649.0,37721.0,37781.0,37814.0,37840.0,37936.0,37956.0,37985.0,38035.0,38108.0,38138.0,38160.0,38218.0,38270.0,38350.0
5016391,44100.0,44177.0,44219.0,44269.0,44310.0,44383.0,44668.0,44781.0,44928.0,45056.0,45143.0,45191.0,45217.0,45269.0,45350.0,45420.0,45469.0,45512.0,45577.0,45631.0,45668.0,45755.0,45776.0,45868.0,45907.0,45929.0,45971.0,46040.0,46079.0,46099.0,46151.0,46194.0,46215.0,46285.0,46314.0,46344.0,46376.0,46554.0,46582.0,46619.0,46649.0,46721.0,46781.0,46814.0,46840.0,46936.0,46956.0,46985.0,47035.0,47108.0,47138.0,47160.0,47218.0,47270.0,47350.0
5016393,53100.0,53177.0,53219.0,53269.0,53310.0,53383.0,53668.0,53781.0,53928.0,54056.0,54143.0,54191.0,54217.0,54269.0,54350.0,54420.0,54469.0,54512.0,54577.0,54631.0,54668.0,54755.0,54776.0,54868.0,54907.0,54929.0,54971.0,55040.0,55079.0,55099.0,55151.0,55194.0,55215.0,55285.0,55314.0,55344.0,55376.0,55554.0,55582.0,55619.0,55649.0,55721.0,55781.0,55814.0,55840.0,55936.0,55956.0,55985.0,56035.0,56108.0,56138.0,56160.0,56218.0,56270.0,56350.0
5016395,62100.0,62177.0,62219.0,62269.0,62310.0,62383.0,62668.0,62781.0,62928.0,63056.0,63143.0,63191.0,63217.0,63269.0,63350.0,63420.0,63469.0,63512.0,63577.0,63631.0,63668.0,63755.0,63776.0,63868.0,63907.0,63929.0,63971.0,64040.0,64079.0,64099.0,64151.0,64194.0,64215.0,64285.0,64314.0,64344.0,64376.0,64554.0,64582.0,64619.0,64649.0,64721.0,64781.0,64814.0,64840.0,64936.0,64956.0,64985.0,65035.0,65108.0,65138.0,65160.0,65218.0,65270.0,65350.0
5016397,71100.0,71177.0,71219.0,71269.0,71310.0,71383.0,71668.0,71781.0,71928.0,72056.0,72143.0,72191.0,72217.0,72269.0,72350.0,72420.0,72469.0,72512.0,72577.0,72631.0,72668.0,72755.0,72776.0,72868.0,72907.0,72929.0,72971.0,73040.0,73079.0,73099.0,73151.0,73194.0,73215.0,73285.0,73314.0,73344.0,73376.0,73554.0,73582.0,73619.0,73649.0,73721.0,73781.0,73814.0,73840.0,73936.0,73956.0,73985.0,74035.0,74108.0,74138.0,74160.0,74218.0,74270.0,74350.0
5016399,80100.0,80177.0,80219.0,80269.0,80310.0,80383.0,80668.0,80781.0,80928.0,81056.0,81143.0,81191.0,81217.0,81269.0,81350.0,81420.0,81469.0,81512.0,81577.0,81631.0,81668.0,81755.0,81776.0,81868.0,81907.0,81929.0,81971.0,82040.0,82079.0,82099.0,82151.0,82194.0,82215.0,82285.0,82314.0,82344.0,82376.0,82554.0,82582.0,82619.0,82649.0,82721.0,82781.0,82814.0,82840.0,82936.0,82956.0,82985.0,83035.0,83108.0,83138.0,83160.0,83218.0,83270.0,83350.0
5086991,39600.0,39698.0,39753.0,39811.0,39859.0,39945.0,40108.0,40168.0,40246.0,40344.0,40420.0,40461.0,40479.0,40514.0,40572.0,40600.0,40644.0,40684.0,40738.0,40783.0,40814.0,40891.0,40910.0,40991.0,41025.0,41044.0,41081.0,41142.0,41168.0,41182.0,41217.0,41246.0,41261.0,41322.0,41347.0,41374.0,41402.0,41556.0,41582.0,41617.0,41645.0,41712.0,41749.0,41772.0,41789.0,41889.0,41902.0,41923.0,41959.0,42006.0,42025.0,42038.0,42089.0,42134.0,42203.0
5086993,48600.0,48656.0,48687.0,48731.0,48767.0,48833.0,48995.0,49094.0,49223.0,49314.0,49376.0,49410.0,49439.0,49498.0,49565.0,49625.0,49669.0,49708.0,49757.0,49797.0,49830.0,49898.0,49914.0,49987.0,50022.0,50041.0,50079.0,50142.0,50172.0,50188.0,50228.0,50261.0,50278.0,50332.0,50354.0,50378.0,50403.0,50542.0,50569.0,50604.0,50632.0,50701.0,50746.0,50771.0,50790.0,50879.0,50897.0,50923.0,50968.0,51023.0,51053.0,51074.0,51125.0,51170.0,51240.0
