tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P
5096324,49500.0,49548.0,49592.0,49633.0,49668.0,49694.0,49762.0,49797.0,49849.0,49921.0,49945.0,49983.0,50011.0,50056.0,50093.0,50115.0,50492.0,50647.0
5096326,53100.0,53148.0,53192.0,53233.0,53268.0,53294.0,53362.0,53397.0,53449.0,53521.0,53545.0,53583.0,53611.0,53656.0,53693.0,53715.0,54092.0,54247.0
5096328,56700.0,56774.0,56843.0,56886.0,56921.0,56958.0,57056.0,57095.0,57188.0,57273.0,57302.0,57347.0,57381.0,57434.0,57478.0,57504.0,57947.0,58098.0
5096332,67500.0,67574.0,67643.0,67686.0,67721.0,67758.0,67856.0,67895.0,67988.0,68073.0,68102.0,68147.0,68181.0,68234.0,68278.0,68304.0,68747.0,68898.0
5096334,71100.0,71141.0,71180.0,71218.0,71251.0,71272.0,71328.0,71347.0,71419.0,71482.0,71503.0,71536.0,71561.0,71600.0,71632.0,71651.0,71981.0,72176.0
5096633,74400.0,74458.0,74513.0,74555.0,74588.0,74613.0,74678.0,74708.0,74769.0,74833.0,74855.0,74889.0,74914.0,74954.0,74987.0,75007.0,75341.0,75461.0
5106218,49500.0,49548.0,49592.0,49633.0,49668.0,49694.0,49762.0,49797.0,49849.0,49921.0,49945.0,49983.0,50011.0,50056.0,50093.0,50115.0,50492.0,50647.0
5106220,53100.0,53148.0,53192.0,53233.0,53268.0,53294.0,53362.0,53397.0,53449.0,53521.0,53545.0,53583.0,53611.0,53656.0,53693.0,53715.0,54092.0,54247.0
5106222,56700.0,56774.0,56843.0,56886.0,56921.0,56958.0,57056.0,57095.0,57188.0,57273.0,57302.0,57347.0,57381.0,57434.0,57478.0,57504.0,57947.0,58098.0
5108437,27900.0,27947.0,27990.0,28027.0,28057.0,28087.0,28166.0,28198.0,28258.0,28329.0,28353.0,28390.0,28418.0,28462.0,28498.0,28520.0,28888.0,29149.0
5108439,31500.0,31550.0,31597.0,31637.0,31670.0,31694.0,31758.0,31792.0,31862.0,31935.0,31959.0,31998.0,32027.0,32072.0,32110.0,32132.0,32511.0,32727.0
5108443,38700.0,38747.0,38790.0,38831.0,38867.0,38891.0,38956.0,38994.0,39052.0,39118.0,39140.0,39175.0,39201.0,39242.0,39276.0,39296.0,39641.0,39800.0
5108450,60300.0,60374.0,60443.0,60486.0,60521.0,60558.0,60656.0,60695.0,60788.0,60873.0,60902.0,60947.0,60981.0,61034.0,61078.0,61104.0,61547.0,61698.0
5108452,63900.0,63974.0,64043.0,64086.0,64121.0,64158.0,64256.0,64295.0,64388.0,64473.0,64502.0,64547.0,64581.0,64634.0,64678.0,64704.0,65147.0,65298.0
5108458,81900.0,81923.0,81944.0,81982.0,82015.0,82036.0,82093.0,82109.0,82165.0,82223.0,82243.0,82274.0,82297.0,82333.0,82363.0,82381.0,82684.0,82922.0
5115003,42300.0,42347.0,42390.0,42431.0,42467.0,42491.0,42556.0,42594.0,42652.0,42718.0,42740.0,42775.0,42801.0,42842.0,42876.0,42896.0,43241.0,43400.0
5115005,45900.0,45948.0,45992.0,46033.0,46068.0,46094.0,46162.0,46197.0,46249.0,46321.0,46345.0,46383.0,46411.0,46456.0,46493.0,46515.0,46892.0,47047.0
