tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P
5013755,55200.0,55237.0,55279.0,55308.0,55336.0,55389.0,55430.0,55462.0,55506.0,55664.0,55758.0,55878.0,55902.0,55950.0,55989.0,56023.0,56072.0,56133.0,56191.0,56227.0,56268.0,56343.0,56431.0,56483.0,56654.0,56821.0,56928.0,57058.0,57156.0,57252.0,57418.0
5013757,61200.0,61237.0,61279.0,61308.0,61336.0,61389.0,61430.0,61462.0,61506.0,61664.0,61758.0,61878.0,61902.0,61950.0,61989.0,62023.0,62072.0,62133.0,62191.0,62227.0,62268.0,62343.0,62431.0,62483.0,62654.0,62821.0,62928.0,63058.0,63156.0,63252.0,63418.0
5017492,28200.0,28240.0,28285.0,28316.0,28346.0,28402.0,28446.0,28480.0,28527.0,28660.0,28720.0,28796.0,28817.0,28859.0,28893.0,28924.0,28975.0,29039.0,29099.0,29137.0,29180.0,29262.0,29341.0,29387.0,29566.0,29671.0,29793.0,29941.0,30038.0,30133.0,30298.0
5017500,58800.0,58837.0,58879.0,58908.0,58936.0,58989.0,59030.0,59062.0,59106.0,59264.0,59358.0,59478.0,59502.0,59550.0,59589.0,59623.0,59672.0,59733.0,59791.0,59827.0,59868.0,59943.0,60031.0,60083.0,60254.0,60421.0,60528.0,60658.0,60756.0,60852.0,61018.0
5017506,76800.0,76835.0,76875.0,76903.0,76930.0,76980.0,77019.0,77049.0,77090.0,77169.0,77224.0,77294.0,77310.0,77341.0,77366.0,77388.0,77426.0,77474.0,77519.0,77547.0,77578.0,77631.0,77690.0,77724.0,77845.0,77920.0,77982.0,78057.0,78143.0,78227.0,78373.0
5018765,29400.0,29435.0,29474.0,29502.0,29529.0,29579.0,29618.0,29648.0,29688.0,29757.0,29809.0,29875.0,29892.0,29926.0,29953.0,29977.0,30018.0,30070.0,30119.0,30150.0,30184.0,30249.0,30313.0,30350.0,30472.0,30580.0,30639.0,30711.0,30804.0,30895.0,31053.0
5018767,34800.0,34835.0,34874.0,34902.0,34929.0,34979.0,35018.0,35048.0,35088.0,35157.0,35209.0,35275.0,35292.0,35326.0,35353.0,35377.0,35418.0,35470.0,35519.0,35550.0,35584.0,35649.0,35713.0,35750.0,35872.0,35980.0,36039.0,36111.0,36204.0,36295.0,36453.0
5018775,56400.0,56446.0,56497.0,56533.0,56568.0,56633.0,56683.0,56723.0,56777.0,56902.0,56980.0,57079.0,57099.0,57140.0,57173.0,57202.0,57259.0,57331.0,57399.0,57442.0,57489.0,57562.0,57633.0,57675.0,57838.0,57926.0,58025.0,58145.0,58245.0,58344.0,58515.0
5018777,61800.0,61846.0,61897.0,61933.0,61968.0,62033.0,62083.0,62123.0,62177.0,62302.0,62380.0,62479.0,62499.0,62540.0,62573.0,62602.0,62659.0,62731.0,62799.0,62842.0,62889.0,62962.0,63033.0,63075.0,63238.0,63326.0,63425.0,63545.0,63645.0,63744.0,63915.0
5018779,67200.0,67246.0,67297.0,67333.0,67368.0,67433.0,67483.0,67523.0,67577.0,67702.0,67780.0,67879.0,67899.0,67940.0,67973.0,68002.0,68059.0,68131.0,68199.0,68242.0,68289.0,68362.0,68433.0,68475.0,68638.0,68726.0,68825.0,68945.0,69045.0,69144.0,69315.0
