tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P
5085066,29760.0,29849.0,29907.0,29957.0,30110.0,30191.0,30268.0,30303.0,30415.0,30474.0,30600.0,30733.0,30824.0,30893.0,30961.0,31018.0,31067.0,31116.0,31207.0,31370.0,31434.0,31499.0,31541.0,31583.0,31629.0,31672.0,31725.0,31773.0,31839.0,31916.0,32023.0,32143.0,32246.0,32382.0,32404.0,32495.0,32697.0,33204.0,33449.0,33476.0,33563.0,33630.0,33675.0,33730.0,33756.0,33793.0,33816.0,33830.0,33874.0,33917.0,33942.0,33982.0,34002.0,34071.0,34104.0,34165.0,34209.0,34235.0,34268.0,34316.0,34353.0,34404.0,34458.0,34599.0,34628.0,34681.0,34720.0,34776.0,34846.0,34909.0,34941.0
5085068,43200.0,43257.0,43294.0,43327.0,43419.0,43470.0,43520.0,43543.0,43616.0,43654.0,43736.0,43822.0,43880.0,43925.0,43971.0,44000.0,44024.0,44049.0,44112.0,44225.0,44283.0,44341.0,44379.0,44417.0,44455.0,44490.0,44543.0,44591.0,44657.0,44699.0,44758.0,44852.0,44933.0,45040.0,45057.0,45161.0,45318.0,45712.0,45811.0,45839.0,45931.0,46001.0,46051.0,46111.0,46144.0,46191.0,46219.0,46240.0,46302.0,46363.0,46395.0,46446.0,46472.0,46553.0,46592.0,46680.0,46744.0,46783.0,46828.0,46893.0,46943.0,47012.0,47077.0,47229.0,47266.0,47333.0,47387.0,47453.0,47510.0,47560.0,47586.0
5085070,55200.0,55264.0,55306.0,55342.0,55449.0,55503.0,55553.0,55576.0,55649.0,55687.0,55769.0,55856.0,55917.0,55963.0,56015.0,56045.0,56071.0,56097.0,56156.0,56262.0,56319.0,56377.0,56415.0,56452.0,56492.0,56530.0,56578.0,56622.0,56682.0,56725.0,56785.0,56885.0,56971.0,57084.0,57102.0,57207.0,57392.0,57856.0,57976.0,58012.0,58130.0,58221.0,58280.0,58353.0,58391.0,58444.0,58476.0,58507.0,58602.0,58695.0,58731.0,58788.0,58817.0,58912.0,58958.0,59049.0,59128.0,59175.0,59221.0,59287.0,59338.0,59434.0,59510.0,59661.0,59702.0,59775.0,59837.0,59908.0,59966.0,60018.0,60044.0
5085072,68400.0,68467.0,68510.0,68548.0,68661.0,68714.0,68764.0,68787.0,68860.0,68898.0,68981.0,69068.0,69121.0,69162.0,69204.0,69233.0,69257.0,69282.0,69341.0,69446.0,69501.0,69556.0,69592.0,69627.0,69664.0,69698.0,69751.0,69799.0,69865.0,69904.0,69958.0,70048.0,70125.0,70227.0,70243.0,70358.0,70518.0,70921.0,71015.0,71043.0,71135.0,71206.0,71258.0,71322.0,71353.0,71396.0,71422.0,71441.0,71497.0,71552.0,71581.0,71626.0,71649.0,71729.0,71767.0,71834.0,71888.0,71920.0,71964.0,72028.0,72077.0,72141.0,72208.0,72333.0,72372.0,72443.0,72496.0,72564.0,72622.0,72674.0,72701.0
5085074,81600.0,81653.0,81687.0,81717.0,81799.0,81840.0,81882.0,81901.0,81962.0,81994.0,82063.0,82136.0,82186.0,82225.0,82254.0,82278.0,82298.0,82319.0,82351.0,82407.0,82451.0,82495.0,82524.0,82553.0,82585.0,82614.0,82658.0,82698.0,82754.0,82794.0,82850.0,82929.0,82997.0,83087.0,83101.0,83209.0,83396.0,83866.0,83933.0,83958.0,84040.0,84103.0,84148.0,84202.0,84233.0,84277.0,84304.0,84320.0,84369.0,84418.0,84446.0,84490.0,84512.0,84584.0,84618.0,84680.0,84731.0,84762.0,84796.0,84846.0,84884.0,84942.0,85000.0,85111.0,85147.0,85213.0,85263.0,85328.0,85393.0,85451.0,85480.0
5085075,27360.0,27462.0,27528.0,27586.0,27721.0,27781.0,27846.0,27876.0,27972.0,28022.0,28130.0,28244.0,28328.0,28393.0,28488.0,28554.0,28610.0,28667.0,28774.0,28965.0,29036.0,29107.0,29153.0,29199.0,29268.0,29333.0,29389.0,29440.0,29509.0,29602.0,29730.0,29843.0,29940.0,30068.0,30089.0,30183.0,30315.0,30647.0,30841.0,30870.0,30964.0,31035.0,31091.0,31159.0,31196.0,31248.0,31279.0,31299.0,31360.0,31419.0,31443.0,31481.0,31501.0,31556.0,31583.0,31648.0,31711.0,31749.0,31788.0,31844.0,31887.0,31952.0,32019.0,32184.0,32215.0,32271.0,32325.0,32497.0,32552.0,32601.0,32626.0
5085077,40800.0,40857.0,40894.0,40927.0,41019.0,41070.0,41120.0,41143.0,41216.0,41254.0,41336.0,41422.0,41480.0,41525.0,41571.0,41600.0,41624.0,41649.0,41712.0,41825.0,41883.0,41941.0,41979.0,42017.0,42055.0,42090.0,42143.0,42191.0,42257.0,42299.0,42358.0,42452.0,42533.0,42640.0,42657.0,42761.0,42918.0,43312.0,43411.0,43439.0,43531.0,43601.0,43651.0,43711.0,43744.0,43791.0,43819.0,43840.0,43902.0,43963.0,43995.0,44046.0,44072.0,44153.0,44192.0,44280.0,44344.0,44383.0,44428.0,44493.0,44543.0,44612.0,44677.0,44829.0,44866.0,44933.0,44987.0,45053.0,45110.0,45160.0,45186.0
5085079,52800.0,52864.0,52906.0,52942.0,53049.0,53103.0,53153.0,53176.0,53249.0,53287.0,53369.0,53456.0,53517.0,53563.0,53615.0,53645.0,53671.0,53697.0,53756.0,53862.0,53919.0,53977.0,54015.0,54052.0,54092.0,54130.0,54178.0,54222.0,54282.0,54325.0,54385.0,54485.0,54571.0,54684.0,54702.0,54807.0,54992.0,55456.0,55576.0,55612.0,55730.0,55821.0,55880.0,55953.0,55991.0,56044.0,56076.0,56107.0,56202.0,56295.0,56331.0,56388.0,56417.0,56512.0,56558.0,56649.0,56728.0,56775.0,56821.0,56887.0,56938.0,57034.0,57110.0,57261.0,57302.0,57375.0,57437.0,57508.0,57566.0,57618.0,57644.0
5085081,65400.0,65485.0,65540.0,65589.0,65775.0,65835.0,65889.0,65914.0,65993.0,66034.0,66123.0,66215.0,66280.0,66329.0,66382.0,66410.0,66434.0,66458.0,66516.0,66620.0,66671.0,66723.0,66757.0,66790.0,66833.0,66873.0,66922.0,66966.0,67027.0,67073.0,67136.0,67240.0,67330.0,67448.0,67467.0,67582.0,67758.0,68201.0,68299.0,68333.0,68444.0,68528.0,68587.0,68660.0,68698.0,68751.0,68783.0,68809.0,68887.0,68963.0,69000.0,69058.0,69087.0,69180.0,69225.0,69299.0,69360.0,69397.0,69438.0,69497.0,69543.0,69608.0,69677.0,69832.0,69870.0,69939.0,69998.0,70068.0,70117.0,70161.0,70184.0
5085083,78000.0,78053.0,78087.0,78117.0,78199.0,78240.0,78282.0,78301.0,78362.0,78394.0,78463.0,78536.0,78586.0,78625.0,78654.0,78678.0,78698.0,78719.0,78751.0,78807.0,78851.0,78895.0,78924.0,78953.0,78985.0,79014.0,79058.0,79098.0,79154.0,79194.0,79250.0,79329.0,79397.0,79487.0,79501.0,79609.0,79796.0,80266.0,80333.0,80358.0,80440.0,80503.0,80548.0,80602.0,80633.0,80677.0,80704.0,80720.0,80769.0,80818.0,80846.0,80890.0,80912.0,80984.0,81018.0,81080.0,81131.0,81162.0,81196.0,81246.0,81284.0,81342.0,81400.0,81511.0,81547.0,81613.0,81663.0,81728.0,81793.0,81851.0,81880.0
