tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P
5012442,25200.0,25277.0,25316.0,25355.0,25386.0,25431.0,25564.0,25618.0,25688.0,25742.0,25824.0,25925.0,26011.0,26076.0,26194.0,26367.0,26448.0,26529.0,26582.0,26634.0,26697.0,26756.0,26813.0,26865.0,26936.0,27010.0,27113.0,27222.0,27316.0,27440.0,27460.0,27560.0,27716.0,27994.0,28165.0,28216.0,28256.0,28315.0,28402.0,28478.0,28522.0,28535.0
5012444,31800.0,31871.0,31906.0,31947.0,31980.0,32024.0,32152.0,32205.0,32274.0,32328.0,32411.0,32501.0,32591.0,32659.0,32783.0,32963.0,33042.0,33121.0,33173.0,33224.0,33276.0,33325.0,33383.0,33436.0,33509.0,33584.0,33687.0,33806.0,33908.0,34043.0,34064.0,34159.0,34358.0,34713.0,34904.0,34955.0,34995.0,35054.0,35141.0,35217.0,35261.0,35274.0
5012446,40200.0,40259.0,40289.0,40315.0,40335.0,40359.0,40431.0,40473.0,40528.0,40571.0,40637.0,40711.0,40762.0,40801.0,40872.0,40976.0,41035.0,41095.0,41134.0,41172.0,41213.0,41251.0,41301.0,41346.0,41408.0,41449.0,41507.0,41596.0,41673.0,41774.0,41790.0,41877.0,42009.0,42244.0,42362.0,42413.0,42453.0,42512.0,42599.0,42675.0,42719.0,42732.0
5012448,47400.0,47458.0,47487.0,47511.0,47530.0,47552.0,47616.0,47656.0,47707.0,47747.0,47808.0,47895.0,47955.0,48001.0,48084.0,48205.0,48260.0,48315.0,48351.0,48387.0,48426.0,48463.0,48512.0,48557.0,48619.0,48655.0,48705.0,48790.0,48863.0,48959.0,48973.0,49075.0,49205.0,49437.0,49553.0,49604.0,49644.0,49702.0,49789.0,49865.0,49909.0,49922.0
5012450,54600.0,54659.0,54689.0,54712.0,54730.0,54757.0,54838.0,54878.0,54930.0,54970.0,55032.0,55106.0,55153.0,55189.0,55253.0,55347.0,55399.0,55452.0,55486.0,55520.0,55562.0,55602.0,55649.0,55691.0,55749.0,55789.0,55845.0,55936.0,56014.0,56117.0,56132.0,56228.0,56367.0,56616.0,56776.0,56827.0,56867.0,56925.0,57012.0,57087.0,57131.0,57144.0
5012452,61800.0,61861.0,61892.0,61920.0,61943.0,61972.0,62058.0,62100.0,62155.0,62198.0,62263.0,62325.0,62372.0,62407.0,62471.0,62565.0,62624.0,62683.0,62721.0,62759.0,62803.0,62844.0,62898.0,62947.0,63016.0,63063.0,63128.0,63229.0,63315.0,63429.0,63447.0,63543.0,63723.0,64043.0,64195.0,64246.0,64286.0,64345.0,64432.0,64508.0,64552.0,64565.0
5012524,30900.0,30971.0,31006.0,31047.0,31080.0,31124.0,31252.0,31305.0,31374.0,31428.0,31511.0,31601.0,31691.0,31759.0,31883.0,32063.0,32142.0,32221.0,32273.0,32324.0,32376.0,32425.0,32483.0,32536.0,32609.0,32684.0,32787.0,32906.0,33008.0,33143.0,33164.0,33259.0,33458.0,33813.0,34004.0,34055.0,34095.0,34154.0,34241.0,34317.0,34361.0,34374.0
5012526,39000.0,39059.0,39089.0,39115.0,39135.0,39159.0,39231.0,39273.0,39328.0,39371.0,39437.0,39511.0,39562.0,39601.0,39672.0,39776.0,39835.0,39895.0,39934.0,39972.0,40013.0,40051.0,40101.0,40146.0,40208.0,40249.0,40307.0,40396.0,40473.0,40574.0,40590.0,40677.0,40809.0,41044.0,41162.0,41213.0,41253.0,41312.0,41399.0,41475.0,41519.0,41532.0
5012528,46200.0,46258.0,46287.0,46311.0,46330.0,46352.0,46416.0,46456.0,46507.0,46547.0,46608.0,46695.0,46755.0,46801.0,46884.0,47005.0,47060.0,47115.0,47151.0,47187.0,47226.0,47263.0,47312.0,47357.0,47419.0,47455.0,47505.0,47590.0,47663.0,47759.0,47773.0,47875.0,48005.0,48237.0,48353.0,48404.0,48444.0,48502.0,48589.0,48665.0,48709.0,48722.0
5012530,53400.0,53458.0,53487.0,53511.0,53530.0,53552.0,53616.0,53656.0,53707.0,53747.0,53808.0,53895.0,53955.0,54001.0,54084.0,54205.0,54260.0,54315.0,54351.0,54387.0,54426.0,54463.0,54512.0,54557.0,54619.0,54655.0,54705.0,54790.0,54863.0,54959.0,54973.0,55075.0,55205.0,55437.0,55553.0,55604.0,55644.0,55702.0,55789.0,55865.0,55909.0,55922.0
5012532,60600.0,60659.0,60689.0,60712.0,60730.0,60757.0,60838.0,60878.0,60930.0,60970.0,61032.0,61106.0,61153.0,61189.0,61253.0,61347.0,61399.0,61452.0,61486.0,61520.0,61562.0,61602.0,61649.0,61691.0,61749.0,61789.0,61845.0,61936.0,62014.0,62117.0,62132.0,62228.0,62367.0,62616.0,62776.0,62827.0,62867.0,62925.0,63012.0,63087.0,63131.0,63144.0
5013096,27300.0,27377.0,27416.0,27455.0,27486.0,27531.0,27664.0,27718.0,27788.0,27842.0,27924.0,28025.0,28111.0,28176.0,28294.0,28467.0,28548.0,28629.0,28682.0,28734.0,28797.0,28856.0,28913.0,28965.0,29036.0,29110.0,29213.0,29322.0,29416.0,29540.0,29560.0,29660.0,29816.0,30094.0,30265.0,30316.0,30356.0,30415.0,30502.0,30578.0,30622.0,30635.0
5013098,35400.0,35465.0,35498.0,35527.0,35550.0,35580.0,35669.0,35715.0,35775.0,35822.0,35894.0,35979.0,36029.0,36067.0,36135.0,36234.0,36294.0,36355.0,36395.0,36434.0,36482.0,36527.0,36573.0,36615.0,36673.0,36716.0,36775.0,36870.0,36952.0,37060.0,37077.0,37176.0,37337.0,37623.0,37744.0,37795.0,37835.0,37894.0,37981.0,38057.0,38101.0,38114.0
5013100,42600.0,42659.0,42689.0,42715.0,42735.0,42759.0,42831.0,42873.0,42928.0,42971.0,43037.0,43111.0,43162.0,43201.0,43272.0,43376.0,43435.0,43495.0,43534.0,43572.0,43613.0,43651.0,43701.0,43746.0,43808.0,43849.0,43907.0,43996.0,44073.0,44174.0,44190.0,44277.0,44409.0,44644.0,44762.0,44813.0,44853.0,44912.0,44999.0,45075.0,45119.0,45132.0
5013102,49800.0,49858.0,49887.0,49911.0,49930.0,49952.0,50016.0,50056.0,50107.0,50147.0,50208.0,50295.0,50355.0,50401.0,50484.0,50605.0,50660.0,50715.0,50751.0,50787.0,50826.0,50863.0,50912.0,50957.0,51019.0,51055.0,51105.0,51190.0,51263.0,51359.0,51373.0,51475.0,51605.0,51837.0,51953.0,52004.0,52044.0,52102.0,52189.0,52265.0,52309.0,52322.0
5013104,57000.0,57059.0,57089.0,57112.0,57130.0,57157.0,57238.0,57278.0,57330.0,57370.0,57432.0,57506.0,57553.0,57589.0,57653.0,57747.0,57799.0,57852.0,57886.0,57920.0,57962.0,58002.0,58049.0,58091.0,58149.0,58189.0,58245.0,58336.0,58414.0,58517.0,58532.0,58628.0,58767.0,59016.0,59176.0,59227.0,59267.0,59325.0,59412.0,59487.0,59531.0,59544.0
5013106,64800.0,64860.0,64890.0,64909.0,64925.0,64951.0,65028.0,65074.0,65134.0,65181.0,65253.0,65331.0,65381.0,65419.0,65489.0,65591.0,65648.0,65705.0,65742.0,65780.0,65827.0,65870.0,65918.0,65961.0,66021.0,66065.0,66125.0,66217.0,66296.0,66400.0,66417.0,66528.0,66679.0,66948.0,67068.0,67119.0,67159.0,67218.0,67305.0,67381.0,67425.0,67438.0
5013108,72000.0,72052.0,72078.0,72097.0,72112.0,72134.0,72198.0,72233.0,72279.0,72315.0,72369.0,72448.0,72492.0,72526.0,72587.0,72677.0,72731.0,72785.0,72820.0,72855.0,72892.0,72927.0,72980.0,73028.0,73095.0,73134.0,73187.0,73266.0,73334.0,73423.0,73437.0,73534.0,73668.0,73907.0,74016.0,74065.0,74104.0,74160.0,74244.0,74317.0,74359.0,74372.0
5013110,79200.0,79247.0,79270.0,79287.0,79300.0,79317.0,79366.0,79399.0,79441.0,79474.0,79524.0,79596.0,79627.0,79650.0,79693.0,79755.0,79796.0,79837.0,79864.0,79890.0,79919.0,79947.0,79982.0,80014.0,80059.0,80093.0,80140.0,80201.0,80253.0,80322.0,80333.0,80424.0,80545.0,80761.0,80846.0,80890.0,80924.0,80974.0,81048.0,81112.0,81149.0,81159.0
5014332,28200.0,28277.0,28316.0,28355.0,28386.0,28431.0,28564.0,28618.0,28688.0,28742.0,28824.0,28925.0,29011.0,29076.0,29194.0,29367.0,29448.0,29529.0,29582.0,29634.0,29697.0,29756.0,29813.0,29865.0,29936.0,30010.0,30113.0,30222.0,30316.0,30440.0,30460.0,30560.0,30716.0,30994.0,31165.0,31216.0,31256.0,31315.0,31402.0,31478.0,31522.0,31535.0
5014334,36600.0,36659.0,36689.0,36715.0,36735.0,36759.0,36831.0,36873.0,36928.0,36971.0,37037.0,37111.0,37162.0,37201.0,37272.0,37376.0,37435.0,37495.0,37534.0,37572.0,37613.0,37651.0,37701.0,37746.0,37808.0,37849.0,37907.0,37996.0,38073.0,38174.0,38190.0,38277.0,38409.0,38644.0,38762.0,38813.0,38853.0,38912.0,38999.0,39075.0,39119.0,39132.0
5014336,43800.0,43858.0,43887.0,43911.0,43930.0,43952.0,44016.0,44056.0,44107.0,44147.0,44208.0,44295.0,44355.0,44401.0,44484.0,44605.0,44660.0,44715.0,44751.0,44787.0,44826.0,44863.0,44912.0,44957.0,45019.0,45055.0,45105.0,45190.0,45263.0,45359.0,45373.0,45475.0,45605.0,45837.0,45953.0,46004.0,46044.0,46102.0,46189.0,46265.0,46309.0,46322.0
5014338,51000.0,51058.0,51087.0,51111.0,51130.0,51152.0,51216.0,51256.0,51307.0,51347.0,51408.0,51495.0,51555.0,51601.0,51684.0,51805.0,51860.0,51915.0,51951.0,51987.0,52026.0,52063.0,52112.0,52157.0,52219.0,52255.0,52305.0,52390.0,52463.0,52559.0,52573.0,52675.0,52805.0,53037.0,53153.0,53204.0,53244.0,53302.0,53389.0,53465.0,53509.0,53522.0
5014347,26400.0,26477.0,26516.0,26555.0,26586.0,26631.0,26764.0,26818.0,26888.0,26942.0,27024.0,27125.0,27211.0,27276.0,27394.0,27567.0,27648.0,27729.0,27782.0,27834.0,27897.0,27956.0,28013.0,28065.0,28136.0,28210.0,28313.0,28422.0,28516.0,28640.0,28660.0,28760.0,28916.0,29194.0,29365.0,29416.0,29456.0,29515.0,29602.0,29678.0,29722.0,29735.0
5014349,34200.0,34265.0,34298.0,34327.0,34350.0,34380.0,34469.0,34515.0,34575.0,34622.0,34694.0,34779.0,34829.0,34867.0,34935.0,35034.0,35094.0,35155.0,35195.0,35234.0,35282.0,35327.0,35373.0,35415.0,35473.0,35516.0,35575.0,35670.0,35752.0,35860.0,35877.0,35976.0,36137.0,36423.0,36544.0,36595.0,36635.0,36694.0,36781.0,36857.0,36901.0,36914.0
5014351,41400.0,41459.0,41489.0,41515.0,41535.0,41559.0,41631.0,41673.0,41728.0,41771.0,41837.0,41911.0,41962.0,42001.0,42072.0,42176.0,42235.0,42295.0,42334.0,42372.0,42413.0,42451.0,42501.0,42546.0,42608.0,42649.0,42707.0,42796.0,42873.0,42974.0,42990.0,43077.0,43209.0,43444.0,43562.0,43613.0,43653.0,43712.0,43799.0,43875.0,43919.0,43932.0
5014353,48600.0,48658.0,48687.0,48711.0,48730.0,48752.0,48816.0,48856.0,48907.0,48947.0,49008.0,49095.0,49155.0,49201.0,49284.0,49405.0,49460.0,49515.0,49551.0,49587.0,49626.0,49663.0,49712.0,49757.0,49819.0,49855.0,49905.0,49990.0,50063.0,50159.0,50173.0,50275.0,50405.0,50637.0,50753.0,50804.0,50844.0,50902.0,50989.0,51065.0,51109.0,51122.0
5014355,55800.0,55859.0,55889.0,55912.0,55930.0,55957.0,56038.0,56078.0,56130.0,56170.0,56232.0,56306.0,56353.0,56389.0,56453.0,56547.0,56599.0,56652.0,56686.0,56720.0,56762.0,56802.0,56849.0,56891.0,56949.0,56989.0,57045.0,57136.0,57214.0,57317.0,57332.0,57428.0,57567.0,57816.0,57976.0,58027.0,58067.0,58125.0,58212.0,58287.0,58331.0,58344.0
5014357,63000.0,63061.0,63092.0,63120.0,63143.0,63172.0,63258.0,63300.0,63355.0,63398.0,63463.0,63525.0,63572.0,63607.0,63671.0,63765.0,63824.0,63883.0,63921.0,63959.0,64003.0,64044.0,64098.0,64147.0,64216.0,64263.0,64328.0,64429.0,64515.0,64629.0,64647.0,64743.0,64923.0,65243.0,65395.0,65446.0,65486.0,65545.0,65632.0,65708.0,65752.0,65765.0
5014359,70200.0,70252.0,70278.0,70297.0,70312.0,70334.0,70398.0,70433.0,70479.0,70515.0,70569.0,70648.0,70692.0,70726.0,70787.0,70877.0,70931.0,70985.0,71020.0,71055.0,71092.0,71127.0,71180.0,71228.0,71295.0,71334.0,71387.0,71466.0,71534.0,71623.0,71637.0,71734.0,71868.0,72107.0,72216.0,72265.0,72304.0,72360.0,72444.0,72517.0,72559.0,72572.0
