tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P
5006617,35100.0,35154.0,35189.0,35217.0,35259.0,35326.0,35387.0,35434.0,35490.0,35550.0,35599.0,35624.0,35648.0,35675.0,35712.0,35761.0,35835.0,35887.0,35942.0,35992.0,36062.0,36111.0,36179.0,36284.0,36332.0,36479.0,36566.0,36726.0,36846.0,37072.0,37319.0,37399.0,37437.0,37483.0,37530.0,37571.0,37616.0,37675.0,37718.0,37816.0,37843.0,37875.0,37911.0,37983.0,38041.0,38081.0,38110.0,38142.0,38194.0,38216.0,38256.0,38309.0,38351.0,38407.0,38431.0,38455.0,38522.0,38567.0,38631.0,38686.0,38752.0,38818.0,38872.0,38910.0,38935.0,38959.0,39031.0,39296.0,39305.0
5006619,46800.0,46857.0,46895.0,46925.0,46969.0,47033.0,47091.0,47137.0,47197.0,47262.0,47315.0,47342.0,47368.0,47397.0,47438.0,47492.0,47575.0,47632.0,47686.0,47735.0,47804.0,47854.0,47923.0,48030.0,48079.0,48227.0,48315.0,48485.0,48612.0,48845.0,49074.0,49149.0,49193.0,49247.0,49301.0,49348.0,49400.0,49470.0,49519.0,49632.0,49659.0,49696.0,49738.0,49820.0,49896.0,49949.0,49986.0,50028.0,50095.0,50123.0,50174.0,50242.0,50294.0,50370.0,50402.0,50435.0,50527.0,50591.0,50681.0,50758.0,50835.0,50913.0,50976.0,51021.0,51049.0,51076.0,51157.0,51434.0,51443.0
5006621,58500.0,58557.0,58595.0,58625.0,58670.0,58736.0,58796.0,58842.0,58898.0,58959.0,59014.0,59043.0,59071.0,59101.0,59139.0,59190.0,59267.0,59320.0,59373.0,59421.0,59487.0,59538.0,59608.0,59717.0,59768.0,59932.0,60046.0,60211.0,60335.0,60702.0,60955.0,61038.0,61109.0,61196.0,61284.0,61361.0,61445.0,61556.0,61607.0,61723.0,61768.0,61806.0,61848.0,61932.0,62010.0,62064.0,62103.0,62146.0,62215.0,62243.0,62294.0,62362.0,62414.0,62482.0,62511.0,62540.0,62621.0,62677.0,62756.0,62824.0,62918.0,63013.0,63090.0,63144.0,63177.0,63202.0,63279.0,63568.0,63578.0
5006623,70200.0,70243.0,70271.0,70294.0,70328.0,70384.0,70434.0,70473.0,70514.0,70559.0,70606.0,70631.0,70655.0,70680.0,70715.0,70761.0,70831.0,70879.0,70926.0,70969.0,71028.0,71073.0,71135.0,71232.0,71277.0,71411.0,71512.0,71683.0,71812.0,71996.0,72150.0,72200.0,72238.0,72284.0,72331.0,72371.0,72415.0,72474.0,72519.0,72624.0,72651.0,72683.0,72718.0,72787.0,72852.0,72897.0,72929.0,72965.0,73021.0,73044.0,73086.0,73142.0,73185.0,73236.0,73258.0,73280.0,73341.0,73386.0,73449.0,73504.0,73561.0,73619.0,73666.0,73700.0,73725.0,73751.0,73830.0,74095.0,74104.0
5006625,80400.0,80444.0,80473.0,80496.0,80529.0,80577.0,80621.0,80655.0,80690.0,80729.0,80762.0,80779.0,80796.0,80814.0,80847.0,80890.0,80956.0,81002.0,81039.0,81073.0,81119.0,81157.0,81210.0,81292.0,81329.0,81440.0,81528.0,81712.0,81850.0,82022.0,82161.0,82206.0,82235.0,82271.0,82307.0,82339.0,82374.0,82421.0,82457.0,82541.0,82570.0,82596.0,82625.0,82682.0,82739.0,82779.0,82807.0,82839.0,82889.0,82910.0,82947.0,82997.0,83035.0,83083.0,83103.0,83124.0,83181.0,83218.0,83270.0,83316.0,83366.0,83417.0,83458.0,83487.0,83512.0,83536.0,83609.0,83860.0,83869.0
5006850,32400.0,32463.0,32505.0,32538.0,32587.0,32663.0,32732.0,32786.0,32851.0,32922.0,33008.0,33053.0,33096.0,33143.0,33191.0,33254.0,33351.0,33418.0,33472.0,33521.0,33589.0,33647.0,33727.0,33851.0,33908.0,34058.0,34156.0,34337.0,34472.0,34677.0,34894.0,34965.0,34997.0,35037.0,35077.0,35112.0,35150.0,35202.0,35237.0,35319.0,35343.0,35373.0,35406.0,35471.0,35531.0,35572.0,35601.0,35634.0,35687.0,35707.0,35743.0,35790.0,35826.0,35880.0,35903.0,35926.0,35991.0,36033.0,36092.0,36144.0,36203.0,36262.0,36310.0,36345.0,36370.0,36392.0,36460.0,36740.0,36750.0
5006852,44100.0,44157.0,44195.0,44225.0,44269.0,44333.0,44391.0,44437.0,44497.0,44562.0,44615.0,44642.0,44668.0,44697.0,44738.0,44792.0,44875.0,44932.0,44986.0,45035.0,45104.0,45154.0,45223.0,45330.0,45379.0,45527.0,45615.0,45785.0,45912.0,46145.0,46374.0,46449.0,46493.0,46547.0,46601.0,46648.0,46700.0,46770.0,46819.0,46932.0,46959.0,46996.0,47038.0,47120.0,47196.0,47249.0,47286.0,47328.0,47395.0,47423.0,47474.0,47542.0,47594.0,47670.0,47702.0,47735.0,47827.0,47891.0,47981.0,48058.0,48135.0,48213.0,48276.0,48321.0,48349.0,48376.0,48457.0,48734.0,48743.0
5007837,45900.0,45972.0,46020.0,46058.0,46114.0,46185.0,46249.0,46299.0,46360.0,46427.0,46474.0,46498.0,46521.0,46547.0,46588.0,46642.0,46724.0,46780.0,46835.0,46885.0,46955.0,46995.0,47050.0,47135.0,47174.0,47315.0,47417.0,47572.0,47689.0,47872.0,48058.0,48118.0,48160.0,48211.0,48262.0,48307.0,48356.0,48421.0,48464.0,48564.0,48587.0,48620.0,48657.0,48731.0,48806.0,48858.0,48895.0,48937.0,49002.0,49026.0,49068.0,49124.0,49167.0,49224.0,49248.0,49273.0,49342.0,49383.0,49440.0,49489.0,49559.0,49630.0,49687.0,49728.0,49757.0,49781.0,49856.0,50134.0,50144.0
5007839,56700.0,56810.0,56882.0,56940.0,57025.0,57084.0,57138.0,57180.0,57227.0,57279.0,57320.0,57341.0,57362.0,57384.0,57427.0,57483.0,57568.0,57627.0,57680.0,57728.0,57794.0,57840.0,57903.0,58001.0,58047.0,58239.0,58346.0,58521.0,58652.0,58844.0,59035.0,59097.0,59132.0,59174.0,59217.0,59254.0,59295.0,59349.0,59390.0,59485.0,59510.0,59542.0,59578.0,59649.0,59711.0,59754.0,59784.0,59818.0,59873.0,59898.0,59943.0,60003.0,60051.0,60100.0,60121.0,60142.0,60202.0,60254.0,60326.0,60388.0,60454.0,60521.0,60575.0,60614.0,60636.0,60655.0,60715.0,60963.0,60971.0
5008404,30000.0,30050.0,30083.0,30109.0,30148.0,30196.0,30239.0,30273.0,30308.0,30346.0,30380.0,30398.0,30415.0,30433.0,30466.0,30510.0,30576.0,30622.0,30656.0,30687.0,30729.0,30761.0,30805.0,30873.0,30905.0,30987.0,31048.0,31143.0,31214.0,31370.0,31503.0,31546.0,31581.0,31624.0,31668.0,31706.0,31748.0,31803.0,31840.0,31926.0,31943.0,31965.0,31990.0,32038.0,32094.0,32132.0,32159.0,32190.0,32239.0,32255.0,32284.0,32322.0,32351.0,32400.0,32421.0,32442.0,32501.0,32532.0,32576.0,32614.0,32667.0,32721.0,32765.0,32796.0,32820.0,32843.0,32912.0,33173.0,33182.0
