tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P
5004986,24000.0,24065.0,24114.0,24185.0,24275.0,24383.0,24463.0,24575.0,24636.0,24662.0,24721.0,24754.0,24797.0,24847.0,24914.0,24949.0,24988.0,25091.0,25140.0,25181.0,25256.0,25327.0,25386.0,25460.0,25511.0,25540.0,25652.0,25697.0,25775.0,25800.0,25877.0,25911.0,25970.0,26009.0,26064.0,26090.0,26111.0,26169.0,26189.0,26266.0,26295.0,26348.0,26389.0,26468.0,26510.0,26601.0,26654.0,26681.0,26703.0,26763.0,26806.0,26828.0,26867.0,26891.0,26903.0,26918.0,26945.0,26963.0,26986.0,27024.0
5004988,34200.0,34263.0,34311.0,34380.0,34469.0,34567.0,34639.0,34716.0,34775.0,34800.0,34857.0,34897.0,34949.0,35010.0,35084.0,35123.0,35167.0,35282.0,35342.0,35391.0,35473.0,35565.0,35626.0,35702.0,35748.0,35780.0,35885.0,35927.0,36000.0,36025.0,36106.0,36135.0,36218.0,36254.0,36305.0,36329.0,36349.0,36403.0,36421.0,36493.0,36520.0,36569.0,36626.0,36735.0,36793.0,36918.0,36963.0,36990.0,37012.0,37072.0,37115.0,37137.0,37176.0,37200.0,37212.0,37227.0,37254.0,37272.0,37295.0,37333.0
5004990,43200.0,43264.0,43313.0,43383.0,43472.0,43571.0,43645.0,43710.0,43776.0,43804.0,43868.0,43910.0,43966.0,44032.0,44099.0,44135.0,44180.0,44298.0,44357.0,44405.0,44503.0,44589.0,44650.0,44725.0,44770.0,44808.0,44935.0,44985.0,45074.0,45099.0,45178.0,45206.0,45301.0,45339.0,45392.0,45418.0,45439.0,45495.0,45514.0,45589.0,45617.0,45668.0,45743.0,45887.0,45964.0,46129.0,46176.0,46203.0,46225.0,46285.0,46328.0,46350.0,46389.0,46413.0,46425.0,46440.0,46467.0,46485.0,46508.0,46546.0
5005788,30600.0,30649.0,30686.0,30739.0,30807.0,30889.0,30950.0,31012.0,31052.0,31069.0,31107.0,31129.0,31158.0,31192.0,31243.0,31270.0,31303.0,31388.0,31427.0,31460.0,31526.0,31606.0,31653.0,31711.0,31755.0,31780.0,31859.0,31890.0,31945.0,31961.0,32041.0,32067.0,32140.0,32169.0,32210.0,32230.0,32246.0,32290.0,32305.0,32363.0,32385.0,32423.0,32464.0,32542.0,32584.0,32674.0,32725.0,32752.0,32774.0,32834.0,32877.0,32899.0,32938.0,32962.0,32974.0,32989.0,33016.0,33034.0,33057.0,33095.0
5005790,37800.0,37853.0,37893.0,37951.0,38025.0,38112.0,38176.0,38240.0,38294.0,38316.0,38368.0,38412.0,38469.0,38537.0,38599.0,38631.0,38668.0,38766.0,38822.0,38869.0,38980.0,39085.0,39156.0,39244.0,39298.0,39328.0,39432.0,39473.0,39545.0,39566.0,39655.0,39680.0,39781.0,39815.0,39862.0,39885.0,39903.0,39953.0,39970.0,40037.0,40062.0,40107.0,40192.0,40355.0,40442.0,40629.0,40675.0,40702.0,40724.0,40784.0,40827.0,40849.0,40888.0,40912.0,40924.0,40939.0,40966.0,40984.0,41007.0,41045.0
5005792,45300.0,45351.0,45390.0,45445.0,45515.0,45606.0,45674.0,45746.0,45795.0,45815.0,45862.0,45899.0,45948.0,46005.0,46073.0,46109.0,46147.0,46248.0,46301.0,46344.0,46450.0,46536.0,46593.0,46664.0,46704.0,46730.0,46832.0,46872.0,46943.0,46966.0,47051.0,47080.0,47168.0,47202.0,47250.0,47273.0,47292.0,47343.0,47360.0,47428.0,47453.0,47500.0,47567.0,47696.0,47765.0,47914.0,47947.0,47974.0,47996.0,48056.0,48099.0,48121.0,48160.0,48184.0,48196.0,48211.0,48238.0,48256.0,48279.0,48317.0
5005794,53400.0,53451.0,53490.0,53545.0,53615.0,53706.0,53774.0,53846.0,53895.0,53915.0,53962.0,53999.0,54048.0,54105.0,54173.0,54209.0,54247.0,54348.0,54401.0,54444.0,54550.0,54636.0,54693.0,54764.0,54804.0,54830.0,54932.0,54972.0,55043.0,55066.0,55151.0,55180.0,55268.0,55302.0,55350.0,55373.0,55392.0,55443.0,55460.0,55528.0,55553.0,55600.0,55667.0,55796.0,55865.0,56014.0,56047.0,56074.0,56096.0,56156.0,56199.0,56221.0,56260.0,56284.0,56296.0,56311.0,56338.0,56356.0,56379.0,56417.0
5005809,61560.0,61628.0,61680.0,61754.0,61847.0,61955.0,62034.0,62138.0,62241.0,62284.0,62385.0,62436.0,62503.0,62581.0,62658.0,62699.0,62743.0,62858.0,62918.0,62967.0,63075.0,63172.0,63239.0,63323.0,63372.0,63409.0,63542.0,63595.0,63687.0,63712.0,63801.0,63848.0,63985.0,64028.0,64089.0,64118.0,64142.0,64206.0,64228.0,64314.0,64346.0,64404.0,64474.0,64608.0,64680.0,64833.0,64878.0,64905.0,64927.0,64987.0,65030.0,65052.0,65091.0,65115.0,65127.0,65142.0,65169.0,65187.0,65210.0,65248.0
5005813,79200.0,79252.0,79292.0,79349.0,79421.0,79497.0,79554.0,79624.0,79729.0,79773.0,79874.0,79904.0,79943.0,79989.0,80034.0,80057.0,80089.0,80172.0,80208.0,80238.0,80294.0,80361.0,80406.0,80462.0,80500.0,80528.0,80621.0,80658.0,80723.0,80749.0,80820.0,80846.0,80903.0,80938.0,80987.0,81011.0,81030.0,81082.0,81100.0,81169.0,81195.0,81241.0,81278.0,81350.0,81389.0,81472.0,81512.0,81539.0,81561.0,81621.0,81664.0,81686.0,81725.0,81749.0,81761.0,81776.0,81803.0,81821.0,81844.0,81882.0
5006642,30000.0,30063.0,30111.0,30180.0,30269.0,30367.0,30439.0,30516.0,30575.0,30600.0,30657.0,30697.0,30749.0,30810.0,30884.0,30923.0,30967.0,31082.0,31142.0,31191.0,31273.0,31365.0,31426.0,31502.0,31548.0,31580.0,31685.0,31727.0,31800.0,31825.0,31906.0,31935.0,32018.0,32054.0,32105.0,32129.0,32149.0,32203.0,32221.0,32293.0,32320.0,32369.0,32426.0,32535.0,32593.0,32718.0,32763.0,32790.0,32812.0,32872.0,32915.0,32937.0,32976.0,33000.0,33012.0,33027.0,33054.0,33072.0,33095.0,33133.0
