tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P
5006592,62100.0,62137.0,62199.0,62216.0,62305.0,62350.0,62395.0,62422.0,62495.0,62525.0,62592.0,62614.0,62639.0,62663.0,62688.0,62703.0,62751.0,62812.0,62877.0,62952.0,62991.0,63033.0,63084.0,63135.0,63181.0,63240.0,63298.0,63369.0,63415.0,63443.0,63575.0,63768.0,63840.0,63912.0,63981.0,64025.0,64119.0,64196.0,64281.0,64357.0,64398.0,64432.0,64499.0,64627.0,64653.0,64705.0,64766.0,64778.0,64799.0,64833.0,64886.0,64922.0,64946.0,64967.0,65000.0,65078.0,65106.0,65146.0,65196.0,65266.0,65292.0,65343.0,65402.0,65582.0,65705.0,65956.0,66014.0,66080.0,66157.0,66236.0,66324.0,66386.0,66462.0,66491.0,66520.0,66557.0,66675.0,66844.0,66927.0
5006594,74700.0,74740.0,74807.0,74825.0,74922.0,74970.0,75019.0,75048.0,75127.0,75160.0,75233.0,75257.0,75284.0,75310.0,75337.0,75353.0,75405.0,75471.0,75512.0,75559.0,75583.0,75609.0,75641.0,75673.0,75702.0,75739.0,75775.0,75819.0,75848.0,75865.0,75947.0,76067.0,76112.0,76157.0,76200.0,76228.0,76286.0,76333.0,76384.0,76430.0,76478.0,76518.0,76596.0,76746.0,76775.0,76834.0,76874.0,76885.0,76906.0,76926.0,76956.0,76983.0,77002.0,77032.0,77077.0,77174.0,77198.0,77235.0,77281.0,77362.0,77394.0,77457.0,77529.0,77628.0,77695.0,77832.0,77864.0,77969.0,78090.0,78160.0,78239.0,78313.0,78403.0,78443.0,78483.0,78533.0,78614.0,78731.0,78788.0
5007958,31920.0,31971.0,32056.0,32079.0,32202.0,32263.0,32325.0,32361.0,32461.0,32503.0,32595.0,32625.0,32659.0,32692.0,32726.0,32747.0,32813.0,32895.0,32959.0,33032.0,33070.0,33111.0,33161.0,33210.0,33255.0,33312.0,33369.0,33438.0,33483.0,33510.0,33638.0,33825.0,33895.0,33964.0,34031.0,34074.0,34164.0,34248.0,34340.0,34422.0,34469.0,34508.0,34585.0,34734.0,34774.0,34843.0,34918.0,34939.0,34976.0,35005.0,35049.0,35093.0,35123.0,35162.0,35221.0,35344.0,35374.0,35443.0,35530.0,35677.0,35732.0,35837.0,35958.0,36212.0,36386.0,36740.0,36821.0,36971.0,37145.0,37249.0,37364.0,37429.0,37508.0,37556.0,37603.0,37662.0,37709.0,37777.0,37811.0
5007960,44520.0,44560.0,44626.0,44644.0,44740.0,44788.0,44837.0,44865.0,44943.0,44976.0,45048.0,45071.0,45097.0,45123.0,45150.0,45166.0,45218.0,45282.0,45334.0,45394.0,45425.0,45459.0,45500.0,45541.0,45578.0,45625.0,45672.0,45729.0,45766.0,45788.0,45894.0,46048.0,46106.0,46163.0,46218.0,46253.0,46328.0,46392.0,46463.0,46526.0,46580.0,46625.0,46713.0,46884.0,46918.0,46976.0,47031.0,47062.0,47117.0,47146.0,47191.0,47228.0,47253.0,47295.0,47359.0,47488.0,47518.0,47567.0,47628.0,47736.0,47776.0,47853.0,47942.0,48089.0,48190.0,48395.0,48442.0,48555.0,48685.0,48781.0,48887.0,48943.0,49010.0,49060.0,49110.0,49171.0,49227.0,49307.0,49346.0
5007962,57120.0,57160.0,57227.0,57245.0,57341.0,57389.0,57438.0,57467.0,57546.0,57579.0,57651.0,57674.0,57700.0,57726.0,57753.0,57769.0,57821.0,57886.0,57937.0,57995.0,58025.0,58058.0,58098.0,58137.0,58173.0,58219.0,58264.0,58319.0,58355.0,58377.0,58479.0,58628.0,58684.0,58739.0,58792.0,58826.0,58899.0,58961.0,59030.0,59092.0,59145.0,59189.0,59276.0,59443.0,59480.0,59539.0,59592.0,59617.0,59662.0,59692.0,59737.0,59775.0,59801.0,59847.0,59917.0,60024.0,60053.0,60097.0,60152.0,60245.0,60284.0,60360.0,60448.0,60619.0,60735.0,60973.0,61027.0,61172.0,61340.0,61444.0,61559.0,61618.0,61690.0,61732.0,61774.0,61825.0,61879.0,61957.0,61996.0
5008153,44100.0,44146.0,44224.0,44245.0,44357.0,44413.0,44470.0,44503.0,44594.0,44632.0,44716.0,44743.0,44774.0,44805.0,44836.0,44855.0,44915.0,44989.0,45053.0,45127.0,45165.0,45206.0,45257.0,45307.0,45352.0,45410.0,45467.0,45537.0,45582.0,45610.0,45740.0,45929.0,46000.0,46070.0,46138.0,46182.0,46273.0,46336.0,46405.0,46467.0,46520.0,46564.0,46651.0,46821.0,46872.0,46934.0,46990.0,47012.0,47051.0,47087.0,47143.0,47180.0,47206.0,47239.0,47289.0,47412.0,47450.0,47496.0,47553.0,47648.0,47685.0,47757.0,47839.0,47973.0,48064.0,48250.0,48293.0,48439.0,48608.0,48712.0,48827.0,48879.0,48942.0,48981.0,49020.0,49068.0,49143.0,49251.0,49303.0
5008155,56700.0,56739.0,56805.0,56823.0,56918.0,56965.0,57013.0,57041.0,57119.0,57151.0,57222.0,57245.0,57271.0,57297.0,57323.0,57339.0,57390.0,57454.0,57508.0,57570.0,57602.0,57637.0,57679.0,57721.0,57759.0,57808.0,57856.0,57915.0,57953.0,57976.0,58085.0,58244.0,58304.0,58363.0,58420.0,58457.0,58532.0,58589.0,58652.0,58707.0,58759.0,58802.0,58887.0,59050.0,59082.0,59131.0,59190.0,59207.0,59237.0,59270.0,59321.0,59363.0,59392.0,59425.0,59475.0,59593.0,59618.0,59658.0,59709.0,59804.0,59838.0,59904.0,59979.0,60147.0,60262.0,60496.0,60550.0,60686.0,60843.0,60951.0,61072.0,61129.0,61197.0,61261.0,61324.0,61403.0,61478.0,61587.0,61640.0
5008157,69300.0,69340.0,69407.0,69425.0,69522.0,69570.0,69619.0,69648.0,69727.0,69760.0,69833.0,69857.0,69884.0,69910.0,69937.0,69953.0,70005.0,70071.0,70112.0,70159.0,70183.0,70209.0,70241.0,70273.0,70302.0,70339.0,70375.0,70419.0,70448.0,70465.0,70547.0,70667.0,70712.0,70757.0,70800.0,70828.0,70886.0,70933.0,70984.0,71030.0,71078.0,71118.0,71196.0,71346.0,71375.0,71434.0,71474.0,71485.0,71506.0,71526.0,71556.0,71583.0,71602.0,71632.0,71677.0,71774.0,71798.0,71835.0,71881.0,71962.0,71994.0,72057.0,72129.0,72228.0,72295.0,72432.0,72464.0,72569.0,72690.0,72760.0,72839.0,72913.0,73003.0,73043.0,73083.0,73133.0,73214.0,73331.0,73388.0
5008159,81000.0,81039.0,81104.0,81122.0,81216.0,81263.0,81311.0,81339.0,81416.0,81448.0,81518.0,81541.0,81567.0,81593.0,81619.0,81635.0,81686.0,81746.0,81784.0,81827.0,81850.0,81874.0,81904.0,81933.0,81960.0,81994.0,82028.0,82069.0,82096.0,82112.0,82188.0,82299.0,82341.0,82382.0,82422.0,82448.0,82501.0,82545.0,82593.0,82636.0,82678.0,82713.0,82782.0,82914.0,82947.0,83004.0,83043.0,83061.0,83093.0,83110.0,83135.0,83158.0,83173.0,83195.0,83229.0,83274.0,83292.0,83343.0,83407.0,83478.0,83508.0,83565.0,83631.0,83705.0,83755.0,83858.0,83881.0,83948.0,84025.0,84120.0,84225.0,84272.0,84328.0,84352.0,84375.0,84404.0,84440.0,84492.0,84517.0
5008209,26520.0,26561.0,26629.0,26648.0,26746.0,26795.0,26845.0,26874.0,26954.0,26987.0,27060.0,27084.0,27111.0,27138.0,27165.0,27182.0,27235.0,27298.0,27347.0,27403.0,27432.0,27463.0,27501.0,27539.0,27573.0,27617.0,27661.0,27714.0,27748.0,27769.0,27868.0,28012.0,28066.0,28119.0,28170.0,28203.0,28274.0,28339.0,28411.0,28475.0,28525.0,28566.0,28647.0,28804.0,28853.0,28934.0,29004.0,29031.0,29079.0,29115.0,29171.0,29226.0,29263.0,29310.0,29382.0,29465.0,29502.0,29561.0,29635.0,29832.0,29895.0,30016.0,30154.0,30404.0,30575.0,30923.0,31002.0,31182.0,31390.0,31496.0,31615.0,31694.0,31789.0,31848.0,31906.0,31978.0,32021.0,32082.0,32112.0
