tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P
5087861,70200.0,70214.0,70244.0,70260.0,70301.0,70347.0,70475.0,70544.0,70578.0,70607.0,70647.0,70690.0,70730.0,70837.0,70853.0,70884.0,70959.0,71008.0,71222.0,71237.0,71321.0,71334.0,71418.0,71434.0,71453.0,71527.0
5088447,28800.0,28818.0,28855.0,28875.0,28926.0,28983.0,29139.0,29209.0,29244.0,29276.0,29321.0,29368.0,29411.0,29528.0,29546.0,29580.0,29655.0,29705.0,29920.0,29953.0,30081.0,30098.0,30173.0,30189.0,30211.0,30298.0
5088449,32400.0,32418.0,32455.0,32475.0,32526.0,32583.0,32739.0,32809.0,32844.0,32876.0,32921.0,32968.0,33011.0,33128.0,33146.0,33180.0,33255.0,33305.0,33520.0,33553.0,33681.0,33698.0,33773.0,33789.0,33811.0,33898.0
5088451,36000.0,36017.0,36054.0,36073.0,36123.0,36178.0,36331.0,36400.0,36436.0,36466.0,36509.0,36552.0,36591.0,36697.0,36713.0,36744.0,36809.0,36856.0,37069.0,37085.0,37167.0,37189.0,37301.0,37321.0,37345.0,37440.0
5088454,48600.0,48617.0,48652.0,48670.0,48717.0,48770.0,48915.0,48987.0,49020.0,49050.0,49092.0,49131.0,49167.0,49263.0,49277.0,49305.0,49381.0,49427.0,49643.0,49662.0,49753.0,49780.0,49879.0,49913.0,49938.0,50035.0
5088459,63000.0,63017.0,63053.0,63072.0,63122.0,63177.0,63330.0,63411.0,63450.0,63486.0,63538.0,63579.0,63617.0,63719.0,63734.0,63764.0,63851.0,63902.0,64138.0,64160.0,64272.0,64290.0,64378.0,64402.0,64448.0,64629.0
5088466,82800.0,82806.0,82819.0,82826.0,82844.0,82864.0,82920.0,83040.0,83100.0,83125.0,83160.0,83182.0,83202.0,83256.0,83264.0,83280.0,83400.0,83520.0,83760.0,83880.0,83940.0,84000.0,84060.0,84120.0,84157.0,84300.0
5090627,39600.0,39617.0,39654.0,39673.0,39723.0,39778.0,39931.0,40000.0,40036.0,40066.0,40109.0,40152.0,40191.0,40297.0,40313.0,40344.0,40409.0,40456.0,40669.0,40685.0,40767.0,40789.0,40901.0,40921.0,40945.0,41040.0
5090630,43200.0,43217.0,43252.0,43270.0,43317.0,43370.0,43515.0,43587.0,43620.0,43650.0,43692.0,43731.0,43767.0,43863.0,43877.0,43905.0,43981.0,44027.0,44243.0,44262.0,44353.0,44380.0,44479.0,44513.0,44538.0,44635.0
5090632,46800.0,46817.0,46852.0,46870.0,46917.0,46970.0,47115.0,47187.0,47220.0,47250.0,47292.0,47331.0,47367.0,47463.0,47477.0,47505.0,47581.0,47627.0,47843.0,47862.0,47953.0,47980.0,48079.0,48113.0,48138.0,48235.0
5101315,36000.0,36017.0,36054.0,36073.0,36123.0,36178.0,36331.0,36400.0,36436.0,36466.0,36509.0,36552.0,36591.0,36697.0,36713.0,36744.0,36809.0,36856.0,37069.0,37085.0,37167.0,37189.0,37301.0,37321.0,37345.0,37440.0
5105813,43200.0,43217.0,43252.0,43270.0,43317.0,43370.0,43515.0,43587.0,43620.0,43650.0,43692.0,43731.0,43767.0,43863.0,43877.0,43905.0,43981.0,44027.0,44243.0,44262.0,44353.0,44380.0,44479.0,44513.0,44538.0,44635.0
5105815,46800.0,46817.0,46852.0,46870.0,46917.0,46970.0,47115.0,47187.0,47220.0,47250.0,47292.0,47331.0,47367.0,47463.0,47477.0,47505.0,47581.0,47627.0,47843.0,47862.0,47953.0,47980.0,48079.0,48113.0,48138.0,48235.0
5110940,30600.0,30618.0,30655.0,30675.0,30726.0,30783.0,30939.0,31009.0,31044.0,31076.0,31121.0,31168.0,31211.0,31328.0,31346.0,31380.0,31455.0,31505.0,31720.0,31753.0,31881.0,31898.0,31973.0,31989.0,32011.0,32098.0
