tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P
5005738,30600.0,30642.0,30720.0,30765.0,30865.0,30940.0,31012.0,31102.0,31135.0,31254.0,31308.0,31353.0,31412.0,31454.0,31528.0,31604.0,31653.0,31703.0,31754.0,31867.0,31948.0,32032.0,32101.0,32169.0,32236.0,32340.0,32396.0,32502.0,32820.0,33228.0,33403.0,33517.0,33620.0,33791.0,33939.0,33984.0,34030.0,34059.0,34095.0,34145.0,34193.0,34233.0,34280.0,34311.0,34355.0,34390.0,34454.0,34490.0,34539.0,34608.0,34640.0,34659.0,34695.0,34751.0,34823.0,34869.0,34897.0,34942.0,34981.0,35004.0,35051.0,35081.0,35111.0,35141.0,35178.0,35222.0,35271.0,35300.0,35328.0,35382.0,35393.0,35453.0,35523.0,35564.0,35621.0,35648.0
5005740,63000.0,63042.0,63119.0,63163.0,63231.0,63282.0,63331.0,63392.0,63415.0,63494.0,63535.0,63569.0,63613.0,63645.0,63701.0,63757.0,63791.0,63825.0,63859.0,63933.0,63987.0,64057.0,64115.0,64167.0,64218.0,64289.0,64327.0,64399.0,64714.0,65029.0,65256.0,65404.0,65518.0,65720.0,65894.0,65993.0,66094.0,66140.0,66197.0,66276.0,66349.0,66402.0,66463.0,66505.0,66565.0,66613.0,66699.0,66747.0,66811.0,66897.0,66936.0,66959.0,67004.0,67081.0,67182.0,67246.0,67285.0,67342.0,67391.0,67418.0,67476.0,67517.0,67557.0,67598.0,67647.0,67701.0,67761.0,67790.0,67818.0,67872.0,67882.0,67937.0,68001.0,68039.0,68094.0,68119.0
5006403,31500.0,31542.0,31620.0,31665.0,31765.0,31840.0,31912.0,32002.0,32035.0,32154.0,32208.0,32253.0,32312.0,32354.0,32428.0,32504.0,32553.0,32603.0,32654.0,32767.0,32848.0,32932.0,33001.0,33069.0,33136.0,33240.0,33296.0,33402.0,33720.0,34128.0,34303.0,34417.0,34520.0,34691.0,34839.0,34884.0,34930.0,34959.0,34995.0,35045.0,35093.0,35133.0,35180.0,35211.0,35255.0,35290.0,35354.0,35390.0,35439.0,35508.0,35540.0,35559.0,35595.0,35651.0,35723.0,35769.0,35797.0,35842.0,35881.0,35904.0,35951.0,35981.0,36011.0,36041.0,36078.0,36122.0,36171.0,36200.0,36228.0,36282.0,36293.0,36353.0,36423.0,36464.0,36521.0,36548.0
5006405,42000.0,42042.0,42120.0,42165.0,42234.0,42285.0,42335.0,42397.0,42420.0,42501.0,42538.0,42569.0,42609.0,42638.0,42689.0,42742.0,42781.0,42821.0,42861.0,42938.0,42993.0,43053.0,43103.0,43154.0,43204.0,43270.0,43305.0,43373.0,43649.0,43864.0,44031.0,44141.0,44231.0,44377.0,44502.0,44541.0,44580.0,44611.0,44649.0,44702.0,44752.0,44791.0,44837.0,44868.0,44912.0,44948.0,45012.0,45051.0,45103.0,45178.0,45212.0,45232.0,45269.0,45331.0,45411.0,45462.0,45494.0,45540.0,45581.0,45606.0,45657.0,45689.0,45720.0,45752.0,45789.0,45837.0,45890.0,45915.0,45939.0,45986.0,45997.0,46059.0,46131.0,46173.0,46225.0,46249.0
5006407,60300.0,60340.0,60414.0,60456.0,60531.0,60586.0,60640.0,60707.0,60732.0,60819.0,60858.0,60891.0,60933.0,60964.0,61018.0,61073.0,61108.0,61144.0,61180.0,61260.0,61317.0,61389.0,61448.0,61491.0,61533.0,61597.0,61631.0,61696.0,62042.0,62340.0,62561.0,62706.0,62832.0,63043.0,63224.0,63331.0,63440.0,63485.0,63541.0,63618.0,63690.0,63747.0,63813.0,63857.0,63920.0,63970.0,64061.0,64110.0,64175.0,64271.0,64315.0,64339.0,64386.0,64469.0,64577.0,64645.0,64686.0,64743.0,64793.0,64823.0,64887.0,64923.0,64958.0,64994.0,65038.0,65098.0,65163.0,65195.0,65227.0,65288.0,65298.0,65357.0,65426.0,65466.0,65506.0,65524.0
5006409,73200.0,73232.0,73291.0,73324.0,73371.0,73406.0,73440.0,73482.0,73498.0,73553.0,73578.0,73599.0,73626.0,73646.0,73681.0,73717.0,73746.0,73776.0,73806.0,73875.0,73925.0,73974.0,74014.0,74050.0,74086.0,74134.0,74160.0,74208.0,74445.0,74670.0,74836.0,74945.0,75039.0,75161.0,75266.0,75308.0,75351.0,75382.0,75420.0,75473.0,75523.0,75562.0,75607.0,75637.0,75680.0,75714.0,75776.0,75812.0,75859.0,75929.0,75961.0,75981.0,76019.0,76075.0,76148.0,76195.0,76228.0,76276.0,76317.0,76341.0,76390.0,76422.0,76454.0,76486.0,76526.0,76564.0,76606.0,76628.0,76649.0,76691.0,76698.0,76740.0,76788.0,76817.0,76861.0,76882.0
5006411,82800.0,82832.0,82891.0,82924.0,82971.0,83006.0,83040.0,83082.0,83098.0,83153.0,83178.0,83199.0,83226.0,83246.0,83281.0,83317.0,83346.0,83376.0,83406.0,83475.0,83525.0,83574.0,83614.0,83650.0,83686.0,83734.0,83760.0,83808.0,84045.0,84270.0,84436.0,84545.0,84639.0,84761.0,84866.0,84908.0,84951.0,84982.0,85020.0,85073.0,85123.0,85162.0,85207.0,85237.0,85280.0,85314.0,85376.0,85412.0,85459.0,85529.0,85561.0,85581.0,85619.0,85675.0,85748.0,85795.0,85828.0,85876.0,85917.0,85941.0,85990.0,86022.0,86054.0,86086.0,86126.0,86164.0,86206.0,86228.0,86249.0,86291.0,86298.0,86340.0,86388.0,86417.0,86461.0,86482.0
5007494,32400.0,32445.0,32528.0,32576.0,32622.0,32656.0,32689.0,32730.0,32745.0,32801.0,32836.0,32865.0,32902.0,32929.0,32977.0,33025.0,33064.0,33103.0,33142.0,33201.0,33244.0,33289.0,33326.0,33375.0,33424.0,33477.0,33505.0,33558.0,33732.0,33909.0,34014.0,34082.0,34169.0,34272.0,34361.0,34402.0,34443.0,34469.0,34501.0,34545.0,34586.0,34615.0,34648.0,34675.0,34714.0,34746.0,34804.0,34843.0,34896.0,34966.0,34998.0,35018.0,35055.0,35108.0,35177.0,35221.0,35245.0,35288.0,35325.0,35346.0,35390.0,35419.0,35447.0,35476.0,35511.0,35548.0,35588.0,35610.0,35631.0,35672.0,35681.0,35734.0,35796.0,35832.0,35881.0,35904.0
5007496,43200.0,43255.0,43357.0,43416.0,43487.0,43540.0,43591.0,43655.0,43678.0,43761.0,43800.0,43832.0,43874.0,43904.0,43957.0,44011.0,44048.0,44085.0,44123.0,44201.0,44258.0,44321.0,44373.0,44435.0,44497.0,44573.0,44613.0,44690.0,44968.0,45189.0,45343.0,45443.0,45523.0,45639.0,45739.0,45779.0,45819.0,45857.0,45905.0,45971.0,46032.0,46088.0,46153.0,46184.0,46228.0,46264.0,46328.0,46373.0,46432.0,46510.0,46546.0,46569.0,46614.0,46678.0,46761.0,46815.0,46849.0,46899.0,46943.0,46972.0,47034.0,47067.0,47099.0,47132.0,47171.0,47222.0,47278.0,47308.0,47338.0,47395.0,47405.0,47463.0,47530.0,47570.0,47610.0,47629.0
5007498,55200.0,55252.0,55348.0,55403.0,55466.0,55513.0,55558.0,55614.0,55635.0,55709.0,55743.0,55771.0,55808.0,55835.0,55882.0,55930.0,55970.0,56011.0,56052.0,56150.0,56220.0,56259.0,56291.0,56355.0,56419.0,56477.0,56508.0,56567.0,56889.0,57052.0,57196.0,57291.0,57372.0,57519.0,57646.0,57691.0,57737.0,57771.0,57814.0,57873.0,57928.0,57968.0,58015.0,58051.0,58103.0,58145.0,58220.0,58252.0,58294.0,58363.0,58394.0,58422.0,58476.0,58570.0,58692.0,58770.0,58809.0,58866.0,58916.0,58936.0,58977.0,59016.0,59054.0,59093.0,59140.0,59168.0,59198.0,59224.0,59249.0,59298.0,59310.0,59379.0,59459.0,59506.0,59554.0,59576.0
