tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
5092323,67200.0,67256.0,67311.0,67406.0,67478.0,67535.0,67568.0,67603.0,67697.0,67731.0,67837.0,67883.0,67921.0,67961.0,67985.0,68040.0,68072.0,68153.0,68170.0,68189.0,68208.0,68302.0,68430.0,68465.0,68554.0,68592.0,68637.0,68709.0,68773.0,68807.0,68833.0,68857.0,68908.0,68965.0,68997.0,69015.0,69102.0,69191.0,69297.0,69387.0,69448.0,69671.0,69873.0,69982.0,70027.0
5093128,64800.0,64856.0,64911.0,65006.0,65078.0,65135.0,65168.0,65203.0,65297.0,65331.0,65437.0,65483.0,65521.0,65561.0,65585.0,65640.0,65672.0,65753.0,65770.0,65789.0,65808.0,65902.0,66030.0,66065.0,66154.0,66192.0,66237.0,66309.0,66373.0,66407.0,66433.0,66457.0,66508.0,66565.0,66597.0,66615.0,66702.0,66791.0,66897.0,66987.0,67048.0,67271.0,67473.0,67582.0,67627.0
5094063,53400.0,53454.0,53506.0,53584.0,53644.0,53737.0,53769.0,53803.0,53884.0,53917.0,54031.0,54086.0,54157.0,54227.0,54258.0,54298.0,54321.0,54381.0,54390.0,54404.0,54423.0,54521.0,54640.0,54679.0,54776.0,54818.0,54859.0,54925.0,54988.0,55022.0,55048.0,55072.0,55112.0,55157.0,55188.0,55206.0,55296.0,55361.0,55465.0,55552.0,55612.0,55794.0,55996.0,56105.0,56150.0
5097010,41100.0,41151.0,41201.0,41271.0,41325.0,41366.0,41391.0,41418.0,41489.0,41546.0,41615.0,41653.0,41691.0,41715.0,41735.0,41772.0,41793.0,41847.0,41852.0,41868.0,41882.0,41956.0,42056.0,42085.0,42158.0,42190.0,42239.0,42317.0,42388.0,42422.0,42447.0,42468.0,42501.0,42539.0,42565.0,42580.0,42642.0,42714.0,42777.0,42830.0,42866.0,42956.0,43158.0,43267.0,43312.0
5097114,39000.0,39056.0,39110.0,39201.0,39271.0,39396.0,39427.0,39459.0,39552.0,39588.0,39703.0,39747.0,39784.0,39821.0,39846.0,39887.0,39911.0,39971.0,39977.0,39993.0,40011.0,40101.0,40233.0,40273.0,40373.0,40415.0,40452.0,40512.0,40561.0,40597.0,40624.0,40649.0,40688.0,40732.0,40765.0,40784.0,40874.0,40942.0,41058.0,41156.0,41222.0,41436.0,41638.0,41747.0,41792.0
5098035,74400.0,74439.0,74476.0,74535.0,74580.0,74627.0,74656.0,74686.0,74758.0,74784.0,74861.0,74902.0,74927.0,74958.0,74979.0,75016.0,75037.0,75092.0,75098.0,75113.0,75128.0,75207.0,75335.0,75367.0,75447.0,75482.0,75519.0,75578.0,75644.0,75685.0,75715.0,75745.0,75783.0,75825.0,75852.0,75868.0,75927.0,75991.0,76077.0,76149.0,76199.0,76394.0,76595.0,76703.0,76748.0
5100242,27120.0,27181.0,27240.0,27314.0,27371.0,27424.0,27458.0,27493.0,27573.0,27610.0,27693.0,27748.0,27786.0,27836.0,27865.0,27914.0,27942.0,28013.0,28025.0,28042.0,28063.0,28169.0,28421.0,28464.0,28573.0,28620.0,28693.0,28810.0,28874.0,28910.0,28936.0,28969.0,29038.0,29117.0,29162.0,29187.0,29295.0,29384.0,29556.0,29701.0,29799.0,30017.0,30219.0,30328.0,30373.0
5100254,78000.0,78036.0,78071.0,78122.0,78161.0,78205.0,78232.0,78260.0,78323.0,78353.0,78416.0,78453.0,78475.0,78493.0,78511.0,78541.0,78558.0,78603.0,78610.0,78624.0,78636.0,78699.0,78792.0,78828.0,78919.0,78958.0,78987.0,79033.0,79086.0,79116.0,79138.0,79160.0,79183.0,79209.0,79235.0,79250.0,79313.0,79363.0,79432.0,79490.0,79529.0,79629.0,79830.0,79938.0,79983.0
5100347,35400.0,35459.0,35516.0,35593.0,35651.0,35723.0,35759.0,35797.0,35899.0,35941.0,36042.0,36096.0,36169.0,36257.0,36287.0,36330.0,36355.0,36418.0,36428.0,36443.0,36463.0,36566.0,36739.0,36785.0,36902.0,36952.0,37000.0,37076.0,37141.0,37178.0,37205.0,37231.0,37302.0,37382.0,37441.0,37475.0,37612.0,37737.0,37911.0,38057.0,38156.0,38438.0,38640.0,38749.0,38794.0
5100591,74400.0,74439.0,74476.0,74535.0,74580.0,74627.0,74656.0,74686.0,74758.0,74784.0,74861.0,74902.0,74927.0,74958.0,74979.0,75016.0,75037.0,75092.0,75098.0,75113.0,75128.0,75207.0,75335.0,75367.0,75447.0,75482.0,75519.0,75578.0,75644.0,75685.0,75715.0,75745.0,75783.0,75825.0,75852.0,75868.0,75927.0,75991.0,76077.0,76149.0,76199.0,76394.0,76595.0,76703.0,76748.0
