tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P
5014585,67200.0,67260.0,67300.0,67332.0,67378.0,67438.0,67493.0,67536.0,67595.0,67660.0,67710.0,67736.0,67761.0,67788.0,67824.0,67871.0,67943.0,67992.0,68041.0,68086.0,68148.0,68186.0,68239.0,68321.0,68360.0,68532.0,68702.0,68939.0,69117.0,69313.0,69455.0,69501.0,69536.0,69578.0,69621.0,69658.0,69699.0,69753.0,69791.0,69878.0,69903.0,69931.0,69962.0,70023.0,70084.0,70126.0,70156.0,70191.0,70231.0,70263.0,70304.0,70353.0,70390.0,70444.0,70467.0,70490.0,70554.0,70594.0,70650.0,70699.0,70739.0,70779.0,70812.0,70836.0,70858.0,70881.0,70950.0,71202.0,71211.0
5015290,37800.0,37854.0,37889.0,37917.0,37959.0,38029.0,38092.0,38141.0,38213.0,38291.0,38356.0,38390.0,38423.0,38458.0,38494.0,38542.0,38615.0,38665.0,38723.0,38775.0,38847.0,38899.0,38972.0,39085.0,39137.0,39249.0,39348.0,39478.0,39576.0,39761.0,40128.0,40248.0,40281.0,40322.0,40363.0,40399.0,40438.0,40491.0,40523.0,40597.0,40631.0,40665.0,40703.0,40777.0,40839.0,40882.0,40912.0,40948.0,40989.0,41018.0,41052.0,41093.0,41125.0,41178.0,41201.0,41224.0,41288.0,41336.0,41403.0,41462.0,41511.0,41560.0,41600.0,41629.0,41650.0,41669.0,41729.0,41982.0,41991.0
5016904,81600.0,81642.0,81670.0,81692.0,81724.0,81775.0,81821.0,81856.0,81889.0,81924.0,81960.0,81979.0,81997.0,82017.0,82051.0,82096.0,82164.0,82211.0,82258.0,82300.0,82358.0,82396.0,82449.0,82531.0,82569.0,82706.0,82811.0,82988.0,83121.0,83293.0,83440.0,83488.0,83521.0,83562.0,83603.0,83639.0,83678.0,83729.0,83768.0,83859.0,83891.0,83921.0,83955.0,84021.0,84084.0,84128.0,84159.0,84195.0,84237.0,84268.0,84313.0,84367.0,84408.0,84458.0,84479.0,84501.0,84561.0,84600.0,84655.0,84702.0,84757.0,84813.0,84858.0,84890.0,84915.0,84940.0,85017.0,85266.0,85275.0
5017956,31200.0,31248.0,31280.0,31305.0,31342.0,31399.0,31451.0,31491.0,31517.0,31546.0,31578.0,31594.0,31610.0,31627.0,31662.0,31707.0,31776.0,31824.0,31858.0,31888.0,31930.0,31955.0,31990.0,32045.0,32071.0,32148.0,32224.0,32323.0,32398.0,32507.0,32646.0,32691.0,32725.0,32766.0,32808.0,32844.0,32884.0,32937.0,32974.0,33060.0,33092.0,33120.0,33151.0,33211.0,33269.0,33309.0,33337.0,33370.0,33408.0,33437.0,33481.0,33534.0,33575.0,33630.0,33653.0,33677.0,33742.0,33774.0,33819.0,33859.0,33926.0,33993.0,34048.0,34087.0,34115.0,34137.0,34203.0,34440.0,34448.0
5017960,52200.0,52257.0,52295.0,52325.0,52369.0,52447.0,52518.0,52573.0,52638.0,52708.0,52759.0,52786.0,52812.0,52839.0,52875.0,52923.0,52996.0,53046.0,53098.0,53145.0,53210.0,53266.0,53343.0,53463.0,53518.0,53716.0,53827.0,54001.0,54132.0,54341.0,54505.0,54559.0,54609.0,54671.0,54733.0,54787.0,54847.0,54927.0,54975.0,55084.0,55109.0,55141.0,55176.0,55245.0,55304.0,55345.0,55374.0,55408.0,55447.0,55475.0,55509.0,55550.0,55582.0,55629.0,55649.0,55669.0,55726.0,55760.0,55807.0,55848.0,55900.0,55952.0,55994.0,56024.0,56050.0,56070.0,56132.0,56377.0,56385.0
5017962,63000.0,63049.0,63081.0,63107.0,63144.0,63190.0,63231.0,63263.0,63323.0,63389.0,63422.0,63439.0,63456.0,63474.0,63512.0,63563.0,63640.0,63693.0,63739.0,63781.0,63838.0,63870.0,63915.0,63984.0,64016.0,64154.0,64255.0,64408.0,64522.0,64720.0,64832.0,64868.0,64902.0,64943.0,64985.0,65021.0,65061.0,65114.0,65152.0,65239.0,65263.0,65298.0,65337.0,65415.0,65477.0,65520.0,65550.0,65586.0,65627.0,65657.0,65699.0,65750.0,65789.0,65842.0,65864.0,65887.0,65951.0,65988.0,66040.0,66084.0,66135.0,66187.0,66229.0,66259.0,66281.0,66304.0,66373.0,66622.0,66631.0
5018492,45000.0,45049.0,45081.0,45107.0,45144.0,45208.0,45266.0,45311.0,45368.0,45431.0,45481.0,45507.0,45532.0,45559.0,45598.0,45650.0,45729.0,45784.0,45839.0,45889.0,45957.0,46004.0,46069.0,46170.0,46217.0,46399.0,46489.0,46637.0,46748.0,47004.0,47229.0,47303.0,47342.0,47390.0,47439.0,47482.0,47529.0,47591.0,47638.0,47746.0,47776.0,47811.0,47849.0,47925.0,47998.0,48048.0,48084.0,48126.0,48174.0,48210.0,48255.0,48309.0,48351.0,48417.0,48445.0,48474.0,48554.0,48605.0,48676.0,48738.0,48810.0,48883.0,48942.0,48985.0,49010.0,49034.0,49108.0,49393.0,49403.0
5084059,37800.0,37852.0,37886.0,37913.0,37953.0,38020.0,38081.0,38128.0,38197.0,38272.0,38335.0,38368.0,38399.0,38433.0,38468.0,38514.0,38584.0,38632.0,38687.0,38737.0,38807.0,38857.0,38927.0,39036.0,39086.0,39194.0,39289.0,39414.0,39508.0,39686.0,40039.0,40154.0,40186.0,40225.0,40265.0,40300.0,40338.0,40388.0,40419.0,40490.0,40523.0,40555.0,40591.0,40663.0,40722.0,40763.0,40792.0,40826.0,40865.0,40895.0,40928.0,40967.0,40998.0,41049.0,41071.0,41093.0,41155.0,41201.0,41266.0,41322.0,41369.0,41417.0,41456.0,41483.0,41503.0,41522.0,41579.0,41823.0,41831.0
5084063,71100.0,71141.0,71168.0,71189.0,71220.0,71276.0,71327.0,71366.0,71413.0,71464.0,71507.0,71530.0,71552.0,71575.0,71608.0,71651.0,71716.0,71761.0,71805.0,71845.0,71899.0,71942.0,72001.0,72093.0,72135.0,72273.0,72391.0,72560.0,72686.0,72864.0,73032.0,73087.0,73125.0,73172.0,73219.0,73260.0,73305.0,73365.0,73404.0,73495.0,73524.0,73553.0,73585.0,73650.0,73715.0,73760.0,73792.0,73829.0,73872.0,73903.0,73944.0,73993.0,74031.0,74081.0,74102.0,74124.0,74184.0,74223.0,74277.0,74324.0,74380.0,74436.0,74482.0,74515.0,74539.0,74561.0,74628.0,74883.0,74892.0
5089550,41400.0,41447.0,41478.0,41503.0,41538.0,41600.0,41656.0,41699.0,41754.0,41814.0,41862.0,41887.0,41911.0,41937.0,41975.0,42025.0,42101.0,42153.0,42206.0,42254.0,42319.0,42364.0,42427.0,42524.0,42569.0,42744.0,42831.0,42973.0,43080.0,43326.0,43543.0,43614.0,43652.0,43699.0,43746.0,43787.0,43832.0,43891.0,43936.0,44040.0,44069.0,44102.0,44139.0,44212.0,44282.0,44330.0,44364.0,44404.0,44450.0,44486.0,44530.0,44582.0,44622.0,44686.0,44713.0,44741.0,44817.0,44866.0,44935.0,44994.0,45064.0,45134.0,45191.0,45232.0,45256.0,45279.0,45350.0,45625.0,45634.0
5089552,52200.0,52259.0,52298.0,52329.0,52374.0,52436.0,52493.0,52537.0,52583.0,52633.0,52706.0,52744.0,52780.0,52819.0,52856.0,52905.0,52980.0,53032.0,53095.0,53152.0,53231.0,53279.0,53346.0,53450.0,53498.0,53630.0,53721.0,53882.0,54002.0,54219.0,54477.0,54561.0,54605.0,54660.0,54715.0,54763.0,54815.0,54885.0,54945.0,55082.0,55138.0,55182.0,55231.0,55328.0,55402.0,55453.0,55489.0,55531.0,55580.0,55616.0,55664.0,55721.0,55765.0,55828.0,55855.0,55882.0,55957.0,56009.0,56081.0,56143.0,56220.0,56298.0,56361.0,56407.0,56438.0,56462.0,56536.0,56823.0,56833.0
5089556,74400.0,74440.0,74466.0,74487.0,74519.0,74568.0,74612.0,74646.0,74677.0,74711.0,74746.0,74764.0,74781.0,74800.0,74833.0,74876.0,74942.0,74987.0,75032.0,75073.0,75128.0,75165.0,75216.0,75295.0,75331.0,75463.0,75564.0,75734.0,75862.0,76027.0,76169.0,76215.0,76247.0,76286.0,76325.0,76359.0,76397.0,76447.0,76485.0,76572.0,76603.0,76632.0,76664.0,76728.0,76789.0,76831.0,76861.0,76896.0,76936.0,76966.0,77009.0,77061.0,77101.0,77149.0,77169.0,77190.0,77248.0,77286.0,77339.0,77384.0,77437.0,77490.0,77533.0,77565.0,77589.0,77613.0,77687.0,77927.0,77935.0
5095019,48000.0,48047.0,48078.0,48103.0,48138.0,48200.0,48256.0,48299.0,48354.0,48414.0,48462.0,48487.0,48511.0,48537.0,48575.0,48625.0,48701.0,48753.0,48806.0,48854.0,48919.0,48964.0,49027.0,49124.0,49169.0,49344.0,49431.0,49573.0,49680.0,49926.0,50143.0,50214.0,50252.0,50299.0,50346.0,50387.0,50432.0,50491.0,50536.0,50640.0,50669.0,50702.0,50739.0,50812.0,50882.0,50930.0,50964.0,51004.0,51050.0,51086.0,51130.0,51182.0,51222.0,51286.0,51313.0,51341.0,51417.0,51466.0,51535.0,51594.0,51664.0,51734.0,51791.0,51832.0,51856.0,51879.0,51950.0,52225.0,52234.0
5095021,59400.0,59463.0,59504.0,59537.0,59586.0,59653.0,59713.0,59760.0,59812.0,59868.0,59925.0,59955.0,59984.0,60014.0,60044.0,60083.0,60143.0,60184.0,60237.0,60285.0,60351.0,60396.0,60458.0,60554.0,60599.0,60741.0,60845.0,61005.0,61125.0,61360.0,61592.0,61667.0,61736.0,61821.0,61907.0,61982.0,62064.0,62172.0,62214.0,62310.0,62339.0,62380.0,62425.0,62514.0,62581.0,62627.0,62660.0,62699.0,62743.0,62775.0,62820.0,62873.0,62914.0,62969.0,62992.0,63016.0,63083.0,63147.0,63236.0,63313.0,63415.0,63518.0,63602.0,63662.0,63689.0,63713.0,63787.0,64065.0,64075.0
5095520,34200.0,34258.0,34296.0,34327.0,34373.0,34439.0,34499.0,34546.0,34603.0,34666.0,34710.0,34733.0,34755.0,34779.0,34824.0,34884.0,34975.0,35038.0,35082.0,35122.0,35176.0,35219.0,35279.0,35372.0,35414.0,35547.0,35612.0,35807.0,35953.0,36204.0,36429.0,36502.0,36539.0,36584.0,36630.0,36670.0,36714.0,36772.0,36816.0,36916.0,36936.0,36967.0,37001.0,37069.0,37128.0,37169.0,37198.0,37232.0,37271.0,37299.0,37343.0,37396.0,37437.0,37494.0,37518.0,37542.0,37610.0,37647.0,37699.0,37744.0,37804.0,37865.0,37914.0,37950.0,37973.0,37996.0,38065.0,38343.0,38353.0
5095522,45000.0,45047.0,45078.0,45103.0,45138.0,45200.0,45256.0,45299.0,45354.0,45414.0,45462.0,45487.0,45511.0,45537.0,45575.0,45625.0,45701.0,45753.0,45806.0,45854.0,45919.0,45964.0,46027.0,46124.0,46169.0,46344.0,46431.0,46573.0,46680.0,46926.0,47143.0,47214.0,47252.0,47299.0,47346.0,47387.0,47432.0,47491.0,47536.0,47640.0,47669.0,47702.0,47739.0,47812.0,47882.0,47930.0,47964.0,48004.0,48050.0,48086.0,48130.0,48182.0,48222.0,48286.0,48313.0,48341.0,48417.0,48466.0,48535.0,48594.0,48664.0,48734.0,48791.0,48832.0,48856.0,48879.0,48950.0,49225.0,49234.0
5095524,55500.0,55563.0,55604.0,55637.0,55686.0,55753.0,55813.0,55860.0,55912.0,55968.0,56025.0,56055.0,56084.0,56114.0,56144.0,56183.0,56243.0,56284.0,56337.0,56385.0,56451.0,56496.0,56558.0,56654.0,56699.0,56841.0,56945.0,57105.0,57225.0,57460.0,57692.0,57767.0,57836.0,57921.0,58007.0,58082.0,58164.0,58272.0,58314.0,58410.0,58439.0,58480.0,58525.0,58614.0,58681.0,58727.0,58760.0,58799.0,58843.0,58875.0,58920.0,58973.0,59014.0,59069.0,59092.0,59116.0,59183.0,59247.0,59336.0,59413.0,59515.0,59618.0,59702.0,59762.0,59789.0,59813.0,59887.0,60165.0,60175.0
