tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P,086_P,087_P,088_P,089_P,090_P
5004912,67800.0,67852.0,67912.0,67951.0,67992.0,68042.0,68112.0,68145.0,68188.0,68224.0,68250.0,68311.0,68388.0,68476.0,68564.0,68605.0,68674.0,68766.0,68889.0,69013.0,69113.0,69147.0,69187.0,69234.0,69279.0,69374.0,69449.0,69545.0,69584.0,69625.0,69734.0,69761.0,69814.0,69876.0,69937.0,69978.0,70032.0,70065.0,70109.0,70210.0,70300.0,70350.0,70386.0,70436.0,70514.0,70660.0,70862.0,71212.0,71318.0,71335.0,71365.0,71464.0,71540.0,71590.0,71652.0,71687.0,71736.0,71765.0,71786.0,71850.0,71912.0,71947.0,72003.0,72031.0,72116.0,72157.0,72251.0,72317.0,72357.0,72402.0,72468.0,72534.0,72586.0,72632.0,72664.0,72722.0,72773.0,72811.0,72853.0,72909.0,72940.0,72993.0,73046.0,73078.0,73131.0,73164.0,73262.0,73297.0,73390.0,73542.0
5004914,81000.0,81043.0,81093.0,81125.0,81159.0,81201.0,81259.0,81287.0,81323.0,81353.0,81375.0,81425.0,81489.0,81562.0,81625.0,81655.0,81705.0,81771.0,81859.0,81948.0,82010.0,82042.0,82078.0,82116.0,82154.0,82233.0,82280.0,82354.0,82384.0,82416.0,82501.0,82522.0,82562.0,82608.0,82654.0,82685.0,82726.0,82752.0,82786.0,82854.0,82919.0,82955.0,82979.0,83012.0,83064.0,83185.0,83424.0,83840.0,83927.0,83941.0,83968.0,84057.0,84125.0,84169.0,84222.0,84251.0,84292.0,84316.0,84332.0,84380.0,84427.0,84454.0,84497.0,84519.0,84589.0,84623.0,84684.0,84734.0,84764.0,84802.0,84857.0,84911.0,84953.0,84991.0,85017.0,85064.0,85106.0,85137.0,85171.0,85216.0,85247.0,85299.0,85340.0,85364.0,85405.0,85431.0,85506.0,85533.0,85582.0,85663.0
5005387,25200.0,25247.0,25301.0,25336.0,25373.0,25419.0,25482.0,25512.0,25551.0,25584.0,25608.0,25662.0,25725.0,25797.0,25857.0,25885.0,25932.0,25995.0,26079.0,26162.0,26224.0,26257.0,26295.0,26340.0,26381.0,26460.0,26513.0,26590.0,26621.0,26655.0,26752.0,26777.0,26829.0,26889.0,26938.0,26971.0,27015.0,27051.0,27099.0,27180.0,27258.0,27303.0,27347.0,27408.0,27504.0,27646.0,27783.0,28022.0,28223.0,28256.0,28284.0,28375.0,28445.0,28496.0,28559.0,28590.0,28634.0,28660.0,28676.0,28724.0,28770.0,28797.0,28839.0,28860.0,28916.0,28943.0,29003.0,29058.0,29091.0,29130.0,29187.0,29243.0,29281.0,29315.0,29338.0,29380.0,29418.0,29446.0,29477.0,29518.0,29545.0,29591.0,29631.0,29655.0,29696.0,29721.0,29796.0,29824.0,29924.0,30088.0
5005860,25800.0,25845.0,25897.0,25930.0,25965.0,26008.0,26068.0,26097.0,26134.0,26165.0,26188.0,26240.0,26298.0,26363.0,26424.0,26453.0,26501.0,26565.0,26651.0,26737.0,26800.0,26829.0,26862.0,26898.0,26932.0,26999.0,27054.0,27132.0,27164.0,27198.0,27286.0,27308.0,27349.0,27396.0,27441.0,27471.0,27512.0,27539.0,27574.0,27654.0,27717.0,27756.0,27782.0,27817.0,27872.0,27997.0,28149.0,28413.0,28476.0,28487.0,28510.0,28587.0,28646.0,28680.0,28721.0,28744.0,28777.0,28796.0,28809.0,28848.0,28887.0,28913.0,28954.0,28974.0,29050.0,29086.0,29138.0,29176.0,29199.0,29229.0,29273.0,29316.0,29354.0,29388.0,29411.0,29454.0,29492.0,29520.0,29551.0,29592.0,29615.0,29654.0,29695.0,29720.0,29761.0,29787.0,29863.0,29890.0,29968.0,30096.0
5005862,36600.0,36646.0,36700.0,36735.0,36771.0,36816.0,36878.0,36908.0,36947.0,36980.0,37004.0,37058.0,37118.0,37186.0,37248.0,37277.0,37326.0,37391.0,37478.0,37567.0,37632.0,37674.0,37722.0,37764.0,37800.0,37880.0,37955.0,38040.0,38075.0,38112.0,38192.0,38212.0,38249.0,38292.0,38351.0,38390.0,38442.0,38470.0,38506.0,38580.0,38635.0,38677.0,38703.0,38739.0,38795.0,38906.0,39038.0,39266.0,39362.0,39378.0,39401.0,39477.0,39535.0,39571.0,39614.0,39637.0,39669.0,39688.0,39702.0,39744.0,39784.0,39808.0,39846.0,39866.0,39965.0,40012.0,40072.0,40121.0,40150.0,40192.0,40252.0,40312.0,40350.0,40384.0,40407.0,40449.0,40486.0,40513.0,40544.0,40586.0,40607.0,40643.0,40680.0,40702.0,40739.0,40762.0,40831.0,40857.0,40947.0,41096.0
5005864,49800.0,49855.0,49918.0,49959.0,50002.0,50055.0,50128.0,50163.0,50209.0,50247.0,50275.0,50339.0,50407.0,50485.0,50558.0,50593.0,50651.0,50728.0,50831.0,50935.0,51023.0,51058.0,51098.0,51133.0,51176.0,51250.0,51311.0,51408.0,51447.0,51490.0,51589.0,51614.0,51665.0,51724.0,51767.0,51795.0,51833.0,51868.0,51913.0,52022.0,52096.0,52143.0,52176.0,52222.0,52294.0,52433.0,52776.0,53371.0,53449.0,53462.0,53489.0,53578.0,53646.0,53691.0,53745.0,53780.0,53830.0,53860.0,53879.0,53937.0,53994.0,54024.0,54072.0,54096.0,54171.0,54207.0,54298.0,54376.0,54422.0,54479.0,54562.0,54644.0,54695.0,54740.0,54771.0,54827.0,54877.0,54913.0,54954.0,55008.0,55044.0,55107.0,55166.0,55201.0,55260.0,55297.0,55406.0,55447.0,55561.0,55747.0
5005866,64200.0,64247.0,64301.0,64336.0,64373.0,64418.0,64481.0,64511.0,64550.0,64583.0,64607.0,64660.0,64732.0,64815.0,64882.0,64914.0,64967.0,65037.0,65131.0,65225.0,65300.0,65333.0,65372.0,65411.0,65445.0,65520.0,65577.0,65658.0,65691.0,65727.0,65827.0,65852.0,65906.0,65970.0,66017.0,66049.0,66091.0,66117.0,66151.0,66223.0,66290.0,66332.0,66361.0,66402.0,66465.0,66621.0,66943.0,67503.0,67609.0,67626.0,67659.0,67769.0,67854.0,67904.0,67964.0,67997.0,68043.0,68071.0,68092.0,68155.0,68217.0,68250.0,68302.0,68327.0,68422.0,68468.0,68555.0,68610.0,68643.0,68687.0,68751.0,68814.0,68859.0,68900.0,68928.0,68978.0,69023.0,69056.0,69093.0,69141.0,69169.0,69217.0,69265.0,69294.0,69342.0,69372.0,69460.0,69491.0,69588.0,69748.0
5006078,27000.0,27046.0,27100.0,27135.0,27171.0,27216.0,27278.0,27308.0,27347.0,27380.0,27404.0,27458.0,27518.0,27586.0,27648.0,27677.0,27726.0,27791.0,27878.0,27967.0,28032.0,28074.0,28122.0,28164.0,28200.0,28280.0,28355.0,28440.0,28475.0,28512.0,28592.0,28612.0,28649.0,28692.0,28751.0,28790.0,28842.0,28870.0,28906.0,28980.0,29035.0,29077.0,29103.0,29139.0,29195.0,29306.0,29438.0,29666.0,29762.0,29778.0,29801.0,29877.0,29935.0,29971.0,30014.0,30037.0,30069.0,30088.0,30102.0,30144.0,30184.0,30208.0,30246.0,30266.0,30365.0,30412.0,30472.0,30521.0,30550.0,30592.0,30652.0,30712.0,30750.0,30784.0,30807.0,30849.0,30886.0,30913.0,30944.0,30986.0,31007.0,31043.0,31080.0,31102.0,31139.0,31162.0,31231.0,31257.0,31347.0,31496.0
5006082,51000.0,51055.0,51118.0,51159.0,51202.0,51255.0,51328.0,51363.0,51409.0,51447.0,51475.0,51539.0,51607.0,51685.0,51758.0,51793.0,51851.0,51928.0,52031.0,52135.0,52223.0,52258.0,52298.0,52333.0,52376.0,52450.0,52511.0,52608.0,52647.0,52690.0,52789.0,52814.0,52865.0,52924.0,52967.0,52995.0,53033.0,53068.0,53113.0,53222.0,53296.0,53343.0,53376.0,53422.0,53494.0,53633.0,53976.0,54571.0,54649.0,54662.0,54689.0,54778.0,54846.0,54891.0,54945.0,54980.0,55030.0,55060.0,55079.0,55137.0,55194.0,55224.0,55272.0,55296.0,55371.0,55407.0,55498.0,55576.0,55622.0,55679.0,55762.0,55844.0,55895.0,55940.0,55971.0,56027.0,56077.0,56113.0,56154.0,56208.0,56244.0,56307.0,56366.0,56401.0,56460.0,56497.0,56606.0,56647.0,56761.0,56947.0
5006084,65400.0,65447.0,65501.0,65536.0,65573.0,65618.0,65681.0,65711.0,65750.0,65783.0,65807.0,65860.0,65932.0,66015.0,66082.0,66114.0,66167.0,66237.0,66331.0,66425.0,66500.0,66533.0,66572.0,66611.0,66645.0,66720.0,66777.0,66858.0,66891.0,66927.0,67027.0,67052.0,67106.0,67170.0,67217.0,67249.0,67291.0,67317.0,67351.0,67423.0,67490.0,67532.0,67561.0,67602.0,67665.0,67821.0,68143.0,68703.0,68809.0,68826.0,68859.0,68969.0,69054.0,69104.0,69164.0,69197.0,69243.0,69271.0,69292.0,69355.0,69417.0,69450.0,69502.0,69527.0,69622.0,69668.0,69755.0,69810.0,69843.0,69887.0,69951.0,70014.0,70059.0,70100.0,70128.0,70178.0,70223.0,70256.0,70293.0,70341.0,70369.0,70417.0,70465.0,70494.0,70542.0,70572.0,70660.0,70691.0,70788.0,70948.0
5006433,23400.0,23440.0,23486.0,23516.0,23547.0,23586.0,23640.0,23666.0,23699.0,23727.0,23747.0,23794.0,23851.0,23916.0,23968.0,23993.0,24034.0,24089.0,24162.0,24237.0,24287.0,24307.0,24330.0,24363.0,24393.0,24461.0,24503.0,24560.0,24583.0,24608.0,24668.0,24683.0,24717.0,24757.0,24782.0,24799.0,24821.0,24833.0,24849.0,24887.0,24927.0,24952.0,24969.0,24992.0,25027.0,25112.0,25231.0,25438.0,25498.0,25508.0,25524.0,25576.0,25616.0,25644.0,25678.0,25696.0,25722.0,25737.0,25745.0,25769.0,25792.0,25805.0,25826.0,25836.0,25879.0,25899.0,25942.0,25980.0,26003.0,26025.0,26057.0,26088.0,26118.0,26144.0,26162.0,26195.0,26224.0,26245.0,26269.0,26301.0,26323.0,26362.0,26396.0,26416.0,26450.0,26471.0,26534.0,26557.0,26697.0,26927.0
5006435,34200.0,34262.0,34334.0,34380.0,34429.0,34489.0,34572.0,34612.0,34664.0,34707.0,34739.0,34812.0,34892.0,34982.0,35039.0,35066.0,35111.0,35171.0,35252.0,35334.0,35404.0,35438.0,35477.0,35517.0,35554.0,35637.0,35694.0,35780.0,35815.0,35853.0,35957.0,35983.0,36040.0,36107.0,36171.0,36213.0,36270.0,36303.0,36346.0,36419.0,36523.0,36579.0,36615.0,36665.0,36743.0,36867.0,37012.0,37264.0,37358.0,37373.0,37399.0,37486.0,37552.0,37583.0,37621.0,37659.0,37712.0,37744.0,37766.0,37833.0,37899.0,37931.0,37982.0,38008.0,38090.0,38130.0,38206.0,38253.0,38281.0,38309.0,38349.0,38389.0,38435.0,38476.0,38504.0,38555.0,38600.0,38633.0,38670.0,38720.0,38748.0,38795.0,38835.0,38859.0,38899.0,38924.0,38999.0,39027.0,39113.0,39253.0
5006437,47400.0,47463.0,47536.0,47583.0,47633.0,47695.0,47780.0,47821.0,47874.0,47918.0,47950.0,48025.0,48105.0,48195.0,48272.0,48308.0,48369.0,48450.0,48558.0,48667.0,48736.0,48770.0,48810.0,48853.0,48895.0,48970.0,49036.0,49137.0,49178.0,49222.0,49324.0,49350.0,49404.0,49467.0,49516.0,49549.0,49592.0,49624.0,49667.0,49767.0,49842.0,49896.0,49934.0,49987.0,50068.0,50201.0,50419.0,50797.0,50891.0,50907.0,50943.0,51060.0,51150.0,51204.0,51270.0,51307.0,51360.0,51392.0,51411.0,51468.0,51523.0,51553.0,51601.0,51626.0,51717.0,51760.0,51852.0,51918.0,51958.0,52008.0,52080.0,52151.0,52206.0,52255.0,52289.0,52350.0,52405.0,52445.0,52490.0,52550.0,52583.0,52640.0,52704.0,52742.0,52806.0,52846.0,52965.0,53009.0,53125.0,53316.0
5006439,61800.0,61847.0,61901.0,61936.0,61973.0,62018.0,62081.0,62111.0,62150.0,62183.0,62207.0,62260.0,62332.0,62415.0,62482.0,62514.0,62567.0,62637.0,62731.0,62825.0,62900.0,62933.0,62972.0,63011.0,63045.0,63120.0,63177.0,63258.0,63291.0,63327.0,63427.0,63452.0,63506.0,63570.0,63617.0,63649.0,63691.0,63717.0,63751.0,63823.0,63890.0,63932.0,63961.0,64002.0,64065.0,64221.0,64543.0,65103.0,65209.0,65226.0,65259.0,65369.0,65454.0,65504.0,65564.0,65597.0,65643.0,65671.0,65692.0,65755.0,65817.0,65850.0,65902.0,65927.0,66022.0,66068.0,66155.0,66210.0,66243.0,66287.0,66351.0,66414.0,66459.0,66500.0,66528.0,66578.0,66623.0,66656.0,66693.0,66741.0,66769.0,66817.0,66865.0,66894.0,66942.0,66972.0,67060.0,67091.0,67188.0,67348.0
5006731,58800.0,58853.0,58914.0,58954.0,58996.0,59048.0,59119.0,59153.0,59197.0,59234.0,59261.0,59322.0,59395.0,59479.0,59567.0,59608.0,59678.0,59771.0,59895.0,60019.0,60199.0,60236.0,60278.0,60336.0,60380.0,60499.0,60575.0,60681.0,60724.0,60771.0,60887.0,60916.0,60973.0,61039.0,61101.0,61142.0,61198.0,61233.0,61279.0,61376.0,61453.0,61503.0,61546.0,61606.0,61698.0,61868.0,62114.0,62542.0,62687.0,62711.0,62748.0,62871.0,62966.0,63024.0,63094.0,63133.0,63189.0,63223.0,63257.0,63359.0,63458.0,63494.0,63551.0,63579.0,63679.0,63727.0,63814.0,63891.0,63937.0,63980.0,64042.0,64104.0,64159.0,64208.0,64241.0,64302.0,64356.0,64395.0,64439.0,64497.0,64529.0,64585.0,64640.0,64673.0,64729.0,64764.0,64867.0,64904.0,64998.0,65153.0
5006733,73800.0,73843.0,73893.0,73925.0,73959.0,74001.0,74059.0,74087.0,74123.0,74153.0,74175.0,74225.0,74289.0,74362.0,74425.0,74455.0,74505.0,74571.0,74659.0,74748.0,74810.0,74842.0,74878.0,74916.0,74954.0,75033.0,75080.0,75154.0,75184.0,75216.0,75301.0,75322.0,75362.0,75408.0,75454.0,75485.0,75526.0,75552.0,75586.0,75654.0,75719.0,75755.0,75779.0,75812.0,75864.0,75985.0,76224.0,76640.0,76727.0,76741.0,76768.0,76857.0,76925.0,76969.0,77022.0,77051.0,77092.0,77116.0,77132.0,77180.0,77227.0,77254.0,77297.0,77319.0,77389.0,77423.0,77484.0,77534.0,77564.0,77602.0,77657.0,77711.0,77753.0,77791.0,77817.0,77864.0,77906.0,77937.0,77971.0,78016.0,78047.0,78099.0,78140.0,78164.0,78205.0,78231.0,78306.0,78333.0,78382.0,78463.0
5006821,28200.0,28246.0,28300.0,28335.0,28371.0,28416.0,28478.0,28508.0,28547.0,28580.0,28604.0,28658.0,28718.0,28786.0,28848.0,28877.0,28926.0,28991.0,29078.0,29167.0,29232.0,29274.0,29322.0,29364.0,29400.0,29480.0,29555.0,29640.0,29675.0,29712.0,29792.0,29812.0,29849.0,29892.0,29951.0,29990.0,30042.0,30070.0,30106.0,30180.0,30235.0,30277.0,30303.0,30339.0,30395.0,30506.0,30638.0,30866.0,30962.0,30978.0,31001.0,31077.0,31135.0,31171.0,31214.0,31237.0,31269.0,31288.0,31302.0,31344.0,31384.0,31408.0,31446.0,31466.0,31565.0,31612.0,31672.0,31721.0,31750.0,31792.0,31852.0,31912.0,31950.0,31984.0,32007.0,32049.0,32086.0,32113.0,32144.0,32186.0,32207.0,32243.0,32280.0,32302.0,32339.0,32362.0,32431.0,32457.0,32547.0,32696.0
5006823,41400.0,41463.0,41536.0,41583.0,41633.0,41695.0,41780.0,41821.0,41874.0,41918.0,41950.0,42025.0,42105.0,42195.0,42272.0,42308.0,42369.0,42450.0,42558.0,42667.0,42736.0,42770.0,42810.0,42853.0,42895.0,42970.0,43036.0,43137.0,43178.0,43222.0,43324.0,43350.0,43404.0,43467.0,43516.0,43549.0,43592.0,43624.0,43667.0,43767.0,43842.0,43896.0,43934.0,43987.0,44068.0,44201.0,44419.0,44797.0,44891.0,44907.0,44943.0,45060.0,45150.0,45204.0,45270.0,45307.0,45360.0,45392.0,45411.0,45468.0,45523.0,45553.0,45601.0,45626.0,45717.0,45760.0,45852.0,45918.0,45958.0,46008.0,46080.0,46151.0,46206.0,46255.0,46289.0,46350.0,46405.0,46445.0,46490.0,46550.0,46583.0,46640.0,46704.0,46742.0,46806.0,46846.0,46965.0,47009.0,47125.0,47316.0
